# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = BAO_model
# start_datetime = 2023-07-22 20:59:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Meu_Codigo_Normal_Model/Baryonic_Acoustic_Oscilators/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpv_ravs6o/g5_4s2h_.json
# random
#   seed = 19058
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/bao/BAO-20230722215942.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6
-10.2707,1,0.015625,1,3,0,14.713,79.3389,0.374787,79.3389,0.374787,1230.72,1607.7,1969.8,2047.06,2357.01,3611.28,150,299790,nan,nan,nan,nan,nan,nan
-10.2707,0,14.3855,0,1,1,10.3386,79.3389,0.374787,79.3389,0.374787,1230.72,1607.7,1969.8,2047.06,2357.01,3611.28,150,299790,nan,nan,nan,nan,nan,nan
-10.2707,0,2.43117,0,1,1,11.6801,79.3389,0.374787,79.3389,0.374787,1230.72,1607.7,1969.8,2047.06,2357.01,3611.28,150,299790,nan,nan,nan,nan,nan,nan
-10.2707,0,0.239791,0,1,1,10.7298,79.3389,0.374787,79.3389,0.374787,1230.72,1607.7,1969.8,2047.06,2357.01,3611.28,150,299790,nan,nan,nan,nan,nan,nan
-10.2707,4.29573e-50,0.0186273,1,1,0,10.48,79.3389,0.374787,79.3389,0.374787,1230.72,1607.7,1969.8,2047.06,2357.01,3611.28,150,299790,nan,nan,nan,nan,nan,nan
-0.896023,1,0.00130482,3,7,0,10.4395,78.2978,0.456185,78.2978,0.456185,1272.33,1650.67,2009.57,2085.61,2388.95,3593.54,150,299790,nan,nan,nan,nan,nan,nan
4.01809,0.989943,0.00189104,5,53,0,1.22085,70.0702,0.288391,70.0702,0.288391,1256.77,1655.69,2045.21,2129.12,2468.47,3881.25,150,299790,nan,nan,nan,nan,nan,nan
3.64335,0.811365,0.00296285,4,23,0,-1.82625,73.567,0.37904,73.567,0.37904,1279.48,1670.76,2046.32,2126.42,2447.66,3746.11,150,299790,nan,nan,nan,nan,nan,nan
3.92508,1,0.00283897,2,3,0,-3.64386,73.5375,0.360097,73.5375,0.360097,1270.25,1661.58,2038.41,2118.93,2442.35,3756.49,150,299790,nan,nan,nan,nan,nan,nan
3.92508,0.498183,0.00513215,1,1,0,-3.15315,73.5375,0.360097,73.5375,0.360097,1270.25,1661.58,2038.41,2118.93,2442.35,3756.49,150,299790,nan,nan,nan,nan,nan,nan
3.86564,0.995699,0.00195537,5,39,0,-2.00774,68.4478,0.271937,68.4478,0.271937,1259.09,1661.69,2056.23,2141.4,2486.49,3933.05,150,299790,nan,nan,nan,nan,nan,nan
3.86564,0.400241,0.00366352,1,1,0,-2.96968,68.4478,0.271937,68.4478,0.271937,1259.09,1661.69,2056.23,2141.4,2486.49,3933.05,150,299790,nan,nan,nan,nan,nan,nan
3.45844,0.988889,0.00106537,3,7,0,-3.31391,68.5353,0.294936,68.5353,0.294936,1275.21,1678.82,2072.38,2157.09,2499.43,3921.02,150,299790,nan,nan,nan,nan,nan,nan
3.78813,0.997138,0.00200566,3,7,0,-3.27664,68.6852,0.292243,68.6852,0.292243,1271.95,1675,2068.24,2152.9,2495.18,3917.98,150,299790,nan,nan,nan,nan,nan,nan
4.01808,0.960076,0.0038861,4,23,0,-3.04292,72.8128,0.361601,72.8128,0.361601,1277.25,1670.5,2049.09,2129.97,2454.8,3774.12,150,299790,nan,nan,nan,nan,nan,nan
3.82574,0.858825,0.00670532,1,1,0,-3.82087,72.9057,0.333552,72.9057,0.333552,1261.1,1653.79,2033.75,2115.17,2442.95,3785.65,150,299790,nan,nan,nan,nan,nan,nan
