# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = Chrono_model
# start_datetime = 2023-07-22 21:00:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Meu_Codigo_Normal_Model/Cosmic_Chronometers/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpb89sai7z/l6tont0x.json
# random
#   seed = 87191
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/cc/Chrono-20230722220012.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,A
# Adaptation terminated
# Step size = 0.448492
# Diagonal elements of inverse mass matrix:
# 0.00082284, 0.0130433
-11.4944,0.97473,0.448492,2,7,0,14.1986,68.2289,0.317559,68.2289,0.317559,70.6248,71.3535,72.483,74.4617,74.8305,75.6637,75.7058,78.7718,79.2281,82.6452,84.0354,85.0489,85.0694,86.3396,87.391,88.7283,89.178,89.2704,95.6705,100.928,105.355,107.369,113.673,114.016,115.397,125.187,145.476,150.606,156.169,164.672,184.176,204.23,14.5548
-11.5658,0.991581,0.448492,2,7,0,11.7288,67.3707,0.330723,67.3707,0.330723,69.8328,70.581,71.7401,73.7691,74.1471,75.0008,75.044,78.1827,78.6494,82.1426,83.5625,84.5973,84.6182,85.9147,86.9874,88.3514,88.8099,88.9041,95.4245,100.774,105.274,107.321,113.722,114.07,115.472,125.401,145.95,151.142,156.77,165.369,185.083,205.341,14.6224
-11.6718,0.847148,0.448492,2,3,0,12.4695,67.7722,0.337682,67.7722,0.337682,70.3002,71.068,72.2573,74.3383,74.7258,75.601,75.6453,78.8614,79.3395,82.9162,84.3695,85.4285,85.4498,86.7762,87.8735,89.2685,89.7373,89.8337,96.4985,101.962,106.557,108.647,115.178,115.533,116.963,127.089,148.031,153.319,159.051,167.808,187.878,208.496,14.7313
-11.5899,0.893701,0.448492,2,3,0,12.2966,67.2506,0.33263,67.2506,0.33263,69.7223,70.4732,71.6366,73.6729,74.0522,74.9088,74.9522,78.1012,78.5695,82.0735,83.4977,84.5356,84.5565,85.8567,86.9325,88.3003,88.76,88.8545,95.3921,100.754,105.265,107.317,113.731,114.08,115.485,125.434,146.02,151.22,156.858,165.47,185.215,205.502,14.6444
-11.5722,0.997683,0.448492,3,11,0,11.8285,68.9132,0.310267,68.9132,0.310267,71.2785,71.9982,73.1141,75.0698,75.4345,76.2584,76.3001,79.3334,79.785,83.1684,84.5455,85.5497,85.57,86.8288,87.8709,89.1968,89.6426,89.7342,96.0834,101.303,105.7,107.701,113.966,114.308,115.681,125.418,145.613,150.722,156.263,164.734,184.171,204.164,14.6295
-12.2234,0.902422,0.448492,3,11,0,13.2568,65.7422,0.353418,65.7422,0.353418,68.3066,69.0847,70.2891,72.3947,72.7866,73.6712,73.716,76.9638,77.4462,81.0522,82.516,83.5821,83.6036,84.9385,86.0423,87.4451,87.9164,88.0133,94.7067,100.186,104.79,106.882,113.417,113.773,115.202,125.321,146.217,151.489,157.201,165.925,185.907,206.422,15.2264
