# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb3_model
# start_datetime = 2023-07-27 10:33:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = Meu_Codigo_Normal_Model/CMB/data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmphxu43met/hsfotjd6.json
# random
#   seed = 22372
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/cmb/cmb3-20230727113305_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0297157
# Diagonal elements of inverse mass matrix:
# 8.41604e-05, 2.47539e-05, 7.14333e-05
2.76038,0.921807,0.0297157,4,19,0,-2.26075,68.4957,0.0476814,0.299147,0.684957,0.0476814,0.251466,4.15e-05,8.84549e-05,0.700764,0.684957,0.0476814,0.251466,8.84549e-05,0.700764,0.0609308,0.548086,1091.68,0,0,3.18241,3.18241,0.0331492,301.602,1.7406,0.0223705,0.0317326,-0.000100397,9.04507e-05
1.85846,0.908501,0.0297157,2,5,0,-1.63377,68.5269,0.0475384,0.299495,0.685269,0.0475384,0.251957,4.15e-05,8.83743e-05,0.700417,0.685269,0.0475384,0.251957,8.83743e-05,0.700417,0.0610278,0.54813,1091.77,0,0,3.18096,3.18096,0.0331522,301.437,1.74082,0.0223237,-0.133381,0.000116437,4.37216e-05
2.54135,0.944709,0.0297157,6,89,0,-0.550181,68.9702,0.0472909,0.293263,0.689702,0.0472909,0.245972,4.15e-05,8.7242e-05,0.70665,0.689702,0.0472909,0.245972,8.7242e-05,0.70665,0.0606724,0.547968,1091.42,0,0,3.20783,3.20783,0.0334156,301.586,1.73716,0.0224957,0.0164915,-0.00353945,0.000215725
1.79686,0.815633,0.0297157,5,47,0,-0.44904,68.8071,0.0476075,0.295932,0.688071,0.0476075,0.248325,4.15e-05,8.76561e-05,0.70398,0.688071,0.0476075,0.248325,8.76561e-05,0.70398,0.0605829,0.547927,1091.42,0,0,3.19623,3.19623,0.0332951,301.583,1.73874,0.0225394,0.0134638,-0.00196048,0.000259356
2.96331,0.973775,0.0297157,4,31,0,-1.37267,68.5982,0.047375,0.296987,0.685982,0.047375,0.249612,4.15e-05,8.81907e-05,0.702924,0.685982,0.047375,0.249612,8.81907e-05,0.702924,0.0610911,0.548159,1091.74,0,0,3.19164,3.19164,0.0332434,301.619,1.73933,0.0222933,0.0489536,-0.00136691,1.32915e-05
2.5623,0.728487,0.0297157,6,87,0,0.237801,69.3536,0.0463659,0.28731,0.693536,0.0463659,0.240944,4.15e-05,8.628e-05,0.712604,0.693536,0.0463659,0.240944,8.628e-05,0.712604,0.0610737,0.548151,1091.59,0,0,3.23423,3.23423,0.0337038,301.468,1.73359,0.0223016,-0.102173,-0.00711259,2.16491e-05
2.59805,0.999383,0.0297157,6,95,0,-1.48693,68.4857,0.0473198,0.298634,0.684857,0.0473198,0.251314,4.15e-05,8.84806e-05,0.701277,0.684857,0.0473198,0.251314,8.84806e-05,0.701277,0.0612979,0.548252,1091.91,0,0,3.18459,3.18459,0.0331813,301.516,1.7403,0.0221944,-0.0539007,-0.000403157,-8.56462e-05
2.86482,0.758993,0.0297157,5,47,0,-0.119313,68.739,0.0470762,0.294665,0.68739,0.0470762,0.247588,4.15e-05,8.78299e-05,0.705248,0.68739,0.0470762,0.247588,8.78299e-05,0.705248,0.0611945,0.548206,1091.76,0,0,3.20167,3.20167,0.0333489,301.61,1.73797,0.0222437,0.0401057,-0.00273446,-3.62663e-05
2.08128,0.959039,0.0297157,2,5,0,-1.03832,68.7185,0.047007,0.294362,0.687185,0.047007,0.247355,4.15e-05,8.7882e-05,0.705551,0.687185,0.047007,0.247355,8.7882e-05,0.705551,0.0612907,0.548249,1091.81,0,0,3.20298,3.20298,0.0333579,301.651,1.73778,0.0221978,0.0810893,-0.0029219,-8.21741e-05
1.51427,0.95252,0.0297157,6,79,0,-0.391191,68.9957,0.0464919,0.29053,0.689957,0.0464919,0.244038,4.15e-05,8.71774e-05,0.709383,0.689957,0.0464919,0.244038,8.71774e-05,0.709383,0.061429,0.54831,1091.84,0,0,3.21981,3.21981,0.0335427,301.565,1.7355,0.022132,-0.00476815,-0.00519693,-0.000147961
2.74856,0.995544,0.0297157,6,79,0,1.47697,69.4821,0.0464006,0.285701,0.694821,0.0464006,0.239301,4.15e-05,8.59611e-05,0.714213,0.694821,0.0464006,0.239301,8.59611e-05,0.714213,0.0608673,0.548057,1091.42,0,0,3.24149,3.24149,0.033771,301.544,1.73261,0.0224011,-0.0260773,-0.00809178,0.000121118
2.6738,0.860848,0.0297157,6,91,0,-0.813057,68.2757,0.0477978,0.301889,0.682757,0.0477978,0.254091,4.15e-05,8.90259e-05,0.698022,0.682757,0.0477978,0.254091,8.90259e-05,0.698022,0.0611162,0.54817,1091.84,0,0,3.1708,3.1708,0.0330303,301.582,1.74218,0.0222813,0.0124902,0.00147702,1.25207e-06
1.82285,0.935176,0.0297157,3,7,0,-1.60688,68.2001,0.0475907,0.301489,0.682001,0.0475907,0.253898,4.15e-05,8.92231e-05,0.698422,0.682001,0.0475907,0.253898,8.92231e-05,0.698422,0.0614213,0.548307,1092.01,0,0,3.17245,3.17245,0.0330399,301.652,1.74193,0.0221357,0.0816226,0.001227,-0.000144323
2.18704,0.991163,0.0297157,3,7,0,-1.67937,68.2255,0.0475748,0.301463,0.682255,0.0475748,0.253889,4.15e-05,8.91568e-05,0.698447,0.682255,0.0475748,0.253889,8.91568e-05,0.698447,0.0614022,0.548299,1092,0,0,3.17256,3.17256,0.0330456,301.61,1.74192,0.0221448,0.0403259,0.00121798,-0.000135247
0.666919,0.875909,0.0297157,2,7,0,2.43712,68.1799,0.0475306,0.3011,0.681799,0.0475306,0.253569,4.15e-05,8.9276e-05,0.698811,0.681799,0.0475306,0.253569,8.9276e-05,0.698811,0.0615079,0.548345,1092.04,0,0,3.17407,3.17407,0.0330505,301.709,1.74169,0.0220946,0.13878,0.000993248,-0.000185365
0.0156045,0.962926,0.0297157,3,15,0,0.383428,68.2964,0.0480403,0.303621,0.682964,0.0480403,0.255581,4.15e-05,8.89719e-05,0.69629,0.682964,0.0480403,0.255581,8.89719e-05,0.69629,0.0608533,0.548051,1091.73,0,0,3.1636,3.1636,0.0329729,301.421,1.7432,0.0224079,-0.149321,0.00249786,0.000127899
0.573104,0.851785,0.0297157,2,3,0,0.813642,68.2846,0.0481932,0.303705,0.682846,0.0481932,0.255511,4.15e-05,8.90026e-05,0.696206,0.682846,0.0481932,0.255511,8.90026e-05,0.696206,0.0607222,0.547991,1091.64,0,0,3.16324,3.16324,0.0329606,301.499,1.74324,0.0224715,-0.0707349,0.00254204,0.000191472
0.822819,0.994423,0.0297157,6,87,0,2.39586,69.74,0.0457932,0.281386,0.6974,0.0457932,0.235593,4.15e-05,8.53267e-05,0.718529,0.6974,0.0457932,0.235593,8.53267e-05,0.718529,0.0611349,0.548179,1091.51,0,0,3.26122,3.26122,0.033978,301.532,1.72994,0.0222723,-0.0383977,-0.0107575,-7.74146e-06
1.10018,1,0.0297157,4,15,0,-0.464789,69.7343,0.0458335,0.281606,0.697343,0.0458335,0.235772,4.15e-05,8.53406e-05,0.718309,0.697343,0.0458335,0.235772,8.53406e-05,0.718309,0.0611017,0.548164,1091.5,0,0,3.26021,3.26021,0.0339681,301.526,1.73008,0.0222882,-0.0440912,-0.0106191,8.21242e-06
2.02542,0.999465,0.0297157,4,27,0,-0.719035,69.8208,0.0460331,0.28158,0.698208,0.0460331,0.235546,4.15e-05,8.51291e-05,0.718335,0.698208,0.0460331,0.235546,8.51291e-05,0.718335,0.0607852,0.54802,1091.31,0,0,3.26036,3.26036,0.033972,301.505,1.73008,0.0224409,-0.0648087,-0.0106198,0.000160886
1.94948,0.994087,0.0297157,4,15,0,-1.92982,69.8625,0.0461084,0.28181,0.698625,0.0461084,0.235702,4.15e-05,8.50276e-05,0.718105,0.698625,0.0461084,0.235702,8.50276e-05,0.718105,0.0606545,0.54796,1091.24,0,0,3.25932,3.25932,0.0339676,301.447,1.73024,0.0225044,-0.122563,-0.0104647,0.000224425
2.59616,0.975288,0.0297157,5,47,0,-1.5702,69.5888,0.0464649,0.285121,0.695888,0.0464649,0.238656,4.15e-05,8.56978e-05,0.714793,0.695888,0.0464649,0.238656,8.56978e-05,0.714793,0.0606614,0.547963,1091.29,0,0,3.24414,3.24414,0.0338024,301.511,1.73227,0.0225011,-0.0593305,-0.00843383,0.000221073
3.06738,0.99918,0.0297157,6,115,0,-2.17455,68.6681,0.0471575,0.295879,0.686681,0.0471575,0.248722,4.15e-05,8.80111e-05,0.704033,0.686681,0.0471575,0.248722,8.80111e-05,0.704033,0.0612102,0.548213,1091.8,0,0,3.19642,3.19642,0.0332981,301.574,1.73868,0.0222363,0.00393604,-0.00201593,-4.37464e-05
2.62688,0.944673,0.0297157,6,71,0,-2.2401,69.1286,0.0467431,0.289712,0.691286,0.0467431,0.242969,4.15e-05,8.68426e-05,0.710201,0.691286,0.0467431,0.242969,8.68426e-05,0.710201,0.0609993,0.548118,1091.56,0,0,3.22346,3.22346,0.0335749,301.618,1.73502,0.0223374,0.0480542,-0.00567628,5.74258e-05
2.90379,0.999018,0.0297157,5,63,0,-2.16769,68.8915,0.0473288,0.294353,0.688915,0.0473288,0.247024,4.15e-05,8.74414e-05,0.70556,0.688915,0.0473288,0.247024,8.74414e-05,0.70556,0.0607409,0.548,1091.49,0,0,3.20308,3.20308,0.0333693,301.558,1.73781,0.0224624,-0.012397,-0.00289394,0.00018242
1.96903,0.933342,0.0297157,6,89,0,-1.36437,69.4453,0.0468308,0.287427,0.694453,0.0468308,0.240596,4.15e-05,8.60524e-05,0.712487,0.694453,0.0468308,0.240596,8.60524e-05,0.712487,0.06049,0.547883,1091.22,0,0,3.23373,3.23373,0.0336896,301.549,1.73367,0.0225848,-0.0211033,-0.00702721,0.000304812
0.667033,0.657405,0.0297157,1,1,0,-0.564714,69.4439,0.0469433,0.287434,0.694439,0.0469433,0.240491,4.15e-05,8.60558e-05,0.71248,0.694439,0.0469433,0.240491,8.60558e-05,0.71248,0.0603813,0.547833,1091.15,0,0,3.23369,3.23369,0.0336828,301.606,1.73368,0.0226382,0.035807,-0.00702452,0.000358176
2.17929,1,0.0297157,2,7,0,-0.618642,69.4142,0.0463604,0.287062,0.694142,0.0463604,0.240702,4.15e-05,8.61294e-05,0.712852,0.694142,0.0463604,0.240702,8.61294e-05,0.712852,0.0609981,0.548117,1091.55,0,0,3.23536,3.23536,0.0337216,301.415,1.73345,0.022338,-0.15503,-0.00725395,5.79864e-05
3.34326,0.654347,0.0297157,5,47,0,1.61461,68.9795,0.0470733,0.292761,0.689795,0.0470733,0.245687,4.15e-05,8.72184e-05,0.707152,0.689795,0.0470733,0.245687,8.72184e-05,0.707152,0.0608733,0.54806,1091.55,0,0,3.21002,3.21002,0.0334435,301.541,1.73686,0.0223982,-0.0291689,-0.00384071,0.000118247
1.65677,0.812753,0.0297157,3,15,0,-0.592322,69.0196,0.0474114,0.293691,0.690196,0.0474114,0.24628,4.15e-05,8.71171e-05,0.706222,0.690196,0.0474114,0.24628,8.71171e-05,0.706222,0.0604888,0.547883,1091.33,0,0,3.20599,3.20599,0.0334048,301.511,1.73743,0.0225854,-0.059069,-0.00326954,0.000305396
3.18865,0.938515,0.0297157,5,55,0,-0.349223,68.6908,0.0474103,0.296724,0.686908,0.0474103,0.249313,4.15e-05,8.79532e-05,0.703188,0.686908,0.0474103,0.249313,8.79532e-05,0.703188,0.0609314,0.548087,1091.65,0,0,3.1928,3.1928,0.0332642,301.54,1.73919,0.0223702,-0.0300945,-0.00150569,9.01766e-05
3.12629,0.945868,0.0297157,4,31,0,-2.71345,68.6797,0.0471997,0.295802,0.686797,0.0471997,0.248602,4.15e-05,8.79816e-05,0.70411,0.686797,0.0471997,0.248602,8.79816e-05,0.70411,0.061153,0.548187,1091.76,0,0,3.19675,3.19675,0.0332999,301.589,1.73864,0.0222636,0.0189781,-0.00206072,-1.64107e-05
2.32143,0.669876,0.0297157,3,11,0,0.36044,68.7698,0.0475638,0.296177,0.687698,0.0475638,0.248614,4.15e-05,8.7751e-05,0.703735,0.687698,0.0475638,0.248614,8.7751e-05,0.703735,0.0606754,0.547969,1091.48,0,0,3.19517,3.19517,0.0332844,301.58,1.73888,0.0224943,0.00998749,-0.0018199,0.00021427
1.74301,1,0.0297157,3,7,0,-1.44919,68.6458,0.0469069,0.29518,0.686458,0.0469069,0.248273,4.15e-05,8.80685e-05,0.704732,0.686458,0.0469069,0.248273,8.80685e-05,0.704732,0.0614888,0.548337,1091.95,0,0,3.19942,3.19942,0.0333278,301.588,1.73826,0.0221037,0.0180392,-0.00243981,-0.000176319
2.33718,0.998348,0.0297157,4,15,0,-0.553123,68.6751,0.0476353,0.29782,0.686751,0.0476353,0.250184,4.15e-05,8.79933e-05,0.702092,0.686751,0.0476353,0.250184,8.79933e-05,0.702092,0.0607333,0.547996,1091.55,0,0,3.18812,3.18812,0.0332185,301.512,1.73985,0.0224661,-0.0581305,-0.000854019,0.000186108
2.12198,0.981593,0.0297157,6,99,0,-0.059149,69.7776,0.0461255,0.282172,0.697776,0.0461255,0.236046,4.15e-05,8.52347e-05,0.717743,0.697776,0.0461255,0.236046,8.52347e-05,0.717743,0.0607497,0.548004,1091.29,0,0,3.25763,3.25763,0.0339416,301.522,1.73045,0.0224581,-0.0477175,-0.0102533,0.000178104
1.29046,0.966549,0.0297157,5,47,0,-0.31681,69.5029,0.0460853,0.284211,0.695029,0.0460853,0.238126,4.15e-05,8.59096e-05,0.715703,0.695029,0.0460853,0.238126,8.59096e-05,0.715703,0.0611559,0.548188,1091.57,0,0,3.24823,3.24823,0.0338366,301.585,1.73168,0.0222622,0.0149264,-0.00902038,-1.77855e-05
1.63182,0.995964,0.0297157,3,11,0,-0.887476,69.6246,0.0466124,0.285805,0.696246,0.0466124,0.239193,4.15e-05,8.56097e-05,0.714109,0.696246,0.0466124,0.239193,8.56097e-05,0.714109,0.0604677,0.547873,1091.2,0,0,3.24107,3.24107,0.0337796,301.429,1.7327,0.0225958,-0.141374,-0.00799848,0.00031576
1.78487,0.837548,0.0297157,4,15,0,-0.317333,69.5853,0.0464499,0.284509,0.695853,0.0464499,0.238059,4.15e-05,8.57063e-05,0.715406,0.695853,0.0464499,0.238059,8.57063e-05,0.715406,0.0606809,0.547972,1091.28,0,0,3.24691,3.24691,0.0338209,301.602,1.73188,0.0224916,0.0320633,-0.00882036,0.00021159
2.2356,0.950861,0.0297157,4,19,0,-0.936309,69.5758,0.0465082,0.285935,0.695758,0.0465082,0.239427,4.15e-05,8.57299e-05,0.713979,0.695758,0.0465082,0.239427,8.57299e-05,0.713979,0.0606356,0.547951,1091.31,0,0,3.24047,3.24047,0.0337735,301.427,1.73277,0.0225136,-0.143161,-0.00792594,0.000233649
2.01677,0.949925,0.0297157,6,95,0,-1.0729,68.3994,0.0477022,0.301115,0.683994,0.0477022,0.253413,4.15e-05,8.87041e-05,0.698796,0.683994,0.0477022,0.253413,8.87041e-05,0.698796,0.061041,0.548136,1091.8,0,0,3.17409,3.17409,0.0330772,301.467,1.74175,0.0223174,-0.102697,0.00104832,3.73676e-05
2.01498,0.991164,0.0297157,4,15,0,-1.47857,68.3944,0.0479529,0.301388,0.683944,0.0479529,0.253435,4.15e-05,8.87169e-05,0.698523,0.683944,0.0479529,0.253435,8.87169e-05,0.698523,0.0608047,0.548029,1091.64,0,0,3.17294,3.17294,0.0330555,301.556,1.7419,0.0224314,-0.0140111,0.00120485,0.000151425
