# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb3_model
# start_datetime = 2023-07-27 10:33:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = Meu_Codigo_Normal_Model/CMB/data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmphxu43met/hsfotjd6.json
# random
#   seed = 22372
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/cmb/cmb3-20230727113305_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0272212
# Diagonal elements of inverse mass matrix:
# 6.04859e-05, 2.46337e-05, 5.36695e-05
0.707057,1,0.0272212,3,7,0,0.971491,68.2527,0.0479614,0.303695,0.682527,0.0479614,0.255733,4.15e-05,8.90858e-05,0.696216,0.682527,0.0479614,0.255733,8.90858e-05,0.696216,0.0609887,0.548113,1091.81,0,0,3.16327,3.16327,0.0329679,301.436,1.74323,0.0223425,-0.1342,0.00253292,6.25028e-05
1.54259,0.999876,0.0272212,5,31,0,0.647387,67.9678,0.0480245,0.306126,0.679678,0.0480245,0.258101,4.15e-05,8.98342e-05,0.693784,0.679678,0.0480245,0.258101,8.98342e-05,0.693784,0.0613165,0.54826,1092.04,0,0,3.15314,3.15314,0.0328513,301.537,1.74459,0.0221855,-0.0329938,0.00388933,-9.45014e-05
1.76138,0.984706,0.0272212,3,11,0,0.519596,67.9415,0.0480441,0.305885,0.679415,0.0480441,0.257841,4.15e-05,8.99038e-05,0.694025,0.679415,0.0480441,0.257841,8.99038e-05,0.694025,0.0613336,0.548268,1092.03,0,0,3.15412,3.15412,0.0328525,301.619,1.74444,0.0221774,0.0491384,0.00374285,-0.000102621
1.79318,0.998263,0.0272212,3,15,0,-1.49887,67.9442,0.0481275,0.306319,0.679442,0.0481275,0.258191,4.15e-05,8.98966e-05,0.693592,0.679442,0.0481275,0.258191,8.98966e-05,0.693592,0.0612492,0.54823,1091.99,0,0,3.15234,3.15234,0.0328368,301.593,1.74469,0.0222176,0.0232461,0.00399448,-6.23755e-05
2.66447,0.935693,0.0272212,6,71,0,-0.710703,68.6432,0.0473924,0.296413,0.686432,0.0473924,0.249021,4.15e-05,8.80751e-05,0.703499,0.686432,0.0473924,0.249021,8.80751e-05,0.703499,0.0610132,0.548124,1091.68,0,0,3.19411,3.19411,0.0332661,301.646,1.739,0.0223307,0.0759611,-0.00170293,5.07427e-05
2.51351,0.938883,0.0272212,5,59,0,-0.49473,68.2417,0.0476972,0.301677,0.682417,0.0476972,0.25398,4.15e-05,8.91144e-05,0.698233,0.682417,0.0476972,0.25398,8.91144e-05,0.698233,0.0612604,0.548235,1091.92,0,0,3.17167,3.17167,0.0330359,301.614,1.74205,0.0222122,0.0443379,0.00134622,-6.77536e-05
2.8698,0.886225,0.0272212,6,83,0,-0.490249,68.4018,0.0475351,0.29996,0.684018,0.0475351,0.252425,4.15e-05,8.86978e-05,0.699951,0.684018,0.0475351,0.252425,8.86978e-05,0.699951,0.0612008,0.548209,1091.86,0,0,3.17895,3.17895,0.0331187,301.55,1.74107,0.0222407,-0.019915,0.000365884,-3.92547e-05
2.47922,0.994465,0.0272212,2,7,0,-1.77353,68.4439,0.04782,0.30042,0.684439,0.04782,0.2526,4.15e-05,8.85888e-05,0.699491,0.684439,0.04782,0.2526,8.85888e-05,0.699491,0.0608663,0.548057,1091.67,0,0,3.17702,3.17702,0.0330976,301.56,1.74134,0.0224016,-0.0104218,0.000644036,0.000121603
2.34419,0.997299,0.0272212,4,15,0,-2.12508,68.4032,0.0473192,0.299033,0.684032,0.0473192,0.251714,4.15e-05,8.86941e-05,0.700878,0.684032,0.0473192,0.251714,8.86941e-05,0.700878,0.0614108,0.548302,1091.97,0,0,3.18287,3.18287,0.0331564,301.579,1.74052,0.0221407,0.00857711,-0.000183059,-0.00013935
3.01627,0.977807,0.0272212,4,15,0,-1.43053,68.4806,0.0475363,0.298863,0.684806,0.0475363,0.251327,4.15e-05,8.84939e-05,0.701048,0.684806,0.0475363,0.251327,8.84939e-05,0.701048,0.0610925,0.54816,1091.77,0,0,3.18361,3.18361,0.0331624,301.595,1.74043,0.0222926,0.0248897,-0.000270975,1.25904e-05
2.48317,0.968946,0.0272212,7,155,0,-1.74415,69.6265,0.0463366,0.284186,0.696265,0.0463366,0.237849,4.15e-05,8.5605e-05,0.715729,0.696265,0.0463366,0.237849,8.5605e-05,0.715729,0.0607391,0.547999,1091.32,0,0,3.24839,3.24839,0.0338438,301.536,1.73169,0.0224633,-0.0344276,-0.00901329,0.000183272
1.12172,0.601856,0.0272212,2,3,0,-0.101268,69.6433,0.0460853,0.284296,0.696433,0.0460853,0.238211,4.15e-05,8.55636e-05,0.715619,0.696433,0.0460853,0.238211,8.55636e-05,0.715619,0.0609685,0.548104,1091.49,0,0,3.24791,3.24791,0.0338576,301.368,1.73176,0.0223523,-0.201533,-0.00893582,7.22602e-05
2.0424,0.996023,0.0272212,4,15,0,0.0851301,69.5854,0.0463526,0.284275,0.695854,0.0463526,0.237922,4.15e-05,8.57062e-05,0.71564,0.695854,0.0463526,0.237922,8.57062e-05,0.71564,0.0607777,0.548016,1091.34,0,0,3.24797,3.24797,0.0338334,301.589,1.73173,0.0224445,0.0193097,-0.00896661,0.000164516
2.55784,0.998282,0.0272212,5,51,0,-1.45717,69.3788,0.0466355,0.287151,0.693788,0.0466355,0.240516,4.15e-05,8.62174e-05,0.712763,0.693788,0.0466355,0.240516,8.62174e-05,0.712763,0.0607714,0.548014,1091.38,0,0,3.23494,3.23494,0.0336977,301.589,1.73349,0.0224476,0.0194719,-0.00721075,0.000167584
