# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = Supernova_dL_model
# start_datetime = 2023-07-22 21:01:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Meu_Codigo_Normal_Model/Supernova/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpg_e5obpy/97x3tqkm.json
# random
#   seed = 9768
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/snia/Supernova_dL-20230722220118.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.975651
# Diagonal elements of inverse mass matrix:
# 0.000926307
-51.6742,0.83195,0.975651,1,3,0,52.072,0.274355,3.2607e+07,1.37012e+06,57571.6,23.8155,23.756,23.7814,23.7804,23.7816,23.772,23.7421,23.7741,23.7702,23.8772,23.8121,23.8757,23.8517,23.7947,23.8212,23.8757,23.8009,23.7448,23.8179,23.8157,23.7992,23.8045,23.7939,23.7931,23.7618,23.7935,23.8295,23.8015,23.7958,23.8067,23.7961,23.8161,23.7892,23.8137,23.7711,23.7621,23.802,23.8014,23.7597,23.6574
-51.6969,0.995146,0.975651,1,1,0,51.8357,0.274185,3.26068e+07,1.37012e+06,57571.6,23.8155,23.756,23.7814,23.7804,23.7815,23.772,23.7421,23.7741,23.7702,23.8772,23.8121,23.8757,23.8517,23.7947,23.8212,23.8756,23.8009,23.7448,23.8179,23.8157,23.7991,23.8045,23.7938,23.793,23.7617,23.7934,23.8294,23.8014,23.7957,23.8065,23.796,23.816,23.7891,23.8135,23.7709,23.7619,23.8018,23.8012,23.7594,23.6571
-51.3883,0.887718,0.975651,1,3,0,52.8942,0.292315,3.2628e+07,1.37056e+06,57571.6,23.8159,23.7565,23.7822,23.7813,23.7827,23.7734,23.7437,23.7759,23.7723,23.8796,23.8147,23.8787,23.8549,23.7982,23.825,23.8798,23.8053,23.7496,23.8231,23.8213,23.8052,23.8109,23.8008,23.8005,23.7697,23.802,23.8387,23.8113,23.8063,23.818,23.8083,23.8292,23.8034,23.8292,23.7879,23.7808,23.8227,23.8244,23.787,23.6891
-51.53,0.967008,0.975651,1,1,0,51.5876,0.293662,3.26296e+07,1.3706e+06,57571.6,23.8159,23.7566,23.7822,23.7814,23.7828,23.7735,23.7439,23.7761,23.7724,23.8797,23.8149,23.8789,23.8551,23.7985,23.8252,23.8801,23.8057,23.7499,23.8235,23.8217,23.8056,23.8114,23.8013,23.801,23.7703,23.8027,23.8394,23.812,23.8071,23.8189,23.8092,23.8302,23.8044,23.8303,23.7891,23.7822,23.8242,23.8261,23.789,23.6914
-52.1356,0.954951,0.975651,2,3,0,52.1638,0.298004,3.26346e+07,1.3707e+06,57571.6,23.816,23.7567,23.7824,23.7817,23.7831,23.7738,23.7443,23.7765,23.7729,23.8803,23.8156,23.8796,23.8558,23.7993,23.8261,23.881,23.8067,23.7511,23.8247,23.823,23.8071,23.813,23.803,23.8028,23.7722,23.8047,23.8416,23.8144,23.8096,23.8216,23.8121,23.8333,23.8078,23.834,23.7931,23.7867,23.8291,23.8316,23.7954,23.6988
-51.3048,1,0.975651,2,7,0,51.9572,0.277714,3.2611e+07,1.3702e+06,57571.6,23.8156,23.7561,23.7816,23.7806,23.7818,23.7722,23.7424,23.7744,23.7706,23.8776,23.8126,23.8763,23.8523,23.7954,23.8219,23.8764,23.8018,23.7457,23.8189,23.8168,23.8003,23.8057,23.7952,23.7945,23.7633,23.7951,23.8312,23.8033,23.7978,23.8088,23.7984,23.8186,23.7919,23.8166,23.7743,23.7656,23.8059,23.8057,23.7649,23.6635
