# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = _3together_model
# start_datetime = 2023-07-22 20:58:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Meu_Codigo_Normal_Model/AllTogetherNow/Data/3together.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpev8vau9s/j19j124t.json
# random
#   seed = 18309
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/together/3together-20230722215822.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,M,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.123684
# Diagonal elements of inverse mass matrix:
# 0.671895, 0.00101342, 0.000787787
-36.6446,0.755187,0.123684,4,23,0,38.8689,70.1073,0.286548,-19.3475,70.1073,0.286548,-19.3475,72.3324,73.0106,74.063,75.9101,76.2548,77.0342,77.0736,79.9473,80.3757,83.5897,84.8999,85.8561,85.8754,87.0748,88.0684,89.3333,89.7588,89.8463,95.9168,100.919,105.142,107.065,113.095,113.424,114.747,124.14,143.675,148.626,153.998,162.218,181.099,200.544,60.5211,84.2127,115.21,144.279,174.53,210.57,249.794,287.128,325.338,368.272,405.886,460.546,495.093,557.01,598.963,659.3,723.05,783.962,860.091,929.195,1017.38,1100.23,1206.99,1294.77,1413.63,1538.14,1684.84,1831.2,1990.86,2208.81,2408.56,2663.92,2961.52,3359.62,3760.77,4460.72,5208.83,6249.73,8633.44,12034.8,14.562,15.2794,15.9599,16.4485,16.8618,17.2695,17.6404,17.9429,18.2142,18.4833,18.6945,18.9689,19.1259,19.3818,19.5395,19.7479,19.9483,20.124,20.3252,20.493,20.6899,20.8599,21.061,21.2134,21.4042,21.5875,21.7853,21.9662,22.1477,22.3733,22.5613,22.7801,23.0101,23.2839,23.5289,23.8995,24.2362,24.6318,25.3334,26.0547,1255.13,1653.85,2043.33,2127.25,2466.72,3881.01,150,299790
-37.6511,0.786315,0.123684,2,3,0,38.186,70.2796,0.285276,-19.3531,70.2796,0.285276,-19.3531,72.5005,73.1774,74.2279,76.0718,76.416,77.1941,77.2334,80.1027,80.5305,83.74,85.0485,86.0034,86.0227,87.2206,88.213,89.4764,89.9015,89.9889,96.0531,101.051,105.27,107.192,113.218,113.546,114.869,124.257,143.784,148.734,154.105,162.322,181.201,200.644,60.3735,84.0078,114.93,143.93,174.109,210.064,249.194,286.441,324.562,367.398,404.925,459.46,493.929,555.708,597.567,657.771,721.381,782.161,858.127,927.084,1015.08,1097.76,1204.31,1291.9,1410.53,1534.79,1681.21,1827.29,1986.65,2204.21,2403.61,2658.52,2955.62,3353.08,3753.59,4452.5,5199.56,6239.07,8619.91,12017.6,14.5512,15.2685,15.9491,16.4377,16.851,17.2587,17.6296,17.9321,18.2034,18.4726,18.6838,18.9582,19.1153,19.3712,19.5289,19.7373,19.9378,20.1134,20.3147,20.4825,20.6795,20.8495,21.0506,21.2031,21.3939,21.5772,21.7751,21.956,22.1376,22.3632,22.5513,22.7701,23.0002,23.2742,23.5192,23.89,24.2268,24.6225,25.3245,26.046,1252.7,1650.87,2039.92,2123.76,2462.96,3876.85,150,299790
-38.2765,0.967497,0.123684,2,7,0,38.5361,70.1409,0.283372,-19.3439,70.1409,0.283372,-19.3439,72.3428,73.014,74.0558,75.8845,76.2259,76.9977,77.0368,79.8831,80.3076,83.4922,84.7907,85.7385,85.7576,86.9465,87.9315,89.1856,89.6075,89.6943,95.7147,100.678,104.868,106.777,112.762,113.089,114.402,123.73,143.136,148.055,153.394,161.562,180.33,199.661,60.4942,84.1763,115.162,144.221,174.463,210.493,249.707,287.034,325.238,368.167,405.778,460.435,494.982,556.901,598.858,659.203,722.964,783.89,860.041,929.168,1017.39,1100.27,1207.1,1294.92,1413.87,1538.46,1685.29,1831.78,1991.6,2209.79,2409.79,2665.49,2963.51,3362.25,3764.09,4465.39,5215.1,6258.43,8648.44,12059.9,14.5647,15.2821,15.9627,16.4513,16.8646,17.2723,17.6433,17.9458,18.2171,18.4864,18.6976,18.972,19.1291,19.385,19.5428,19.7512,19.9517,20.1274,20.3287,20.4966,20.6936,20.8636,21.0648,21.2174,21.4082,21.5916,21.7895,21.9705,22.1521,22.3779,22.566,22.785,23.0152,23.2893,23.5344,23.9054,24.2424,24.6385,25.3408,26.0629,1252.54,1651,2040.49,2124.45,2464.18,3881.41,150,299790
-36.4194,0.785238,0.123684,2,3,0,40.2866,70.1982,0.285818,-19.3506,70.1982,0.285818,-19.3506,72.4206,73.098,74.1492,75.9943,76.3386,77.1172,77.1566,80.0274,80.4554,83.6664,84.9755,85.9309,85.9502,87.1486,88.1414,89.4053,89.8305,89.9179,95.9842,100.984,105.203,107.126,113.153,113.481,114.804,124.193,143.722,148.671,154.042,162.26,181.137,200.579,60.4432,84.1046,115.062,144.095,174.308,210.303,249.478,286.766,324.929,367.812,405.38,459.974,494.481,556.325,598.229,658.497,722.174,783.017,859.061,928.088,1016.18,1098.93,1205.59,1293.27,1412.01,1536.39,1682.95,1829.16,1988.67,2206.42,2405.99,2661.12,2958.46,3356.24,3757.07,4456.51,5204.1,6244.31,8626.64,12026.3,14.5561,15.2735,15.954,16.4426,16.8559,17.2636,17.6345,17.937,18.2083,18.4775,18.6887,18.963,19.1201,19.376,19.5337,19.7421,19.9426,20.1182,20.3195,20.4873,20.6842,20.8542,21.0554,21.2078,21.3986,21.5819,21.7797,21.9606,22.1422,22.3678,22.5558,22.7747,23.0047,23.2786,23.5236,23.8943,24.2311,24.6268,25.3286,26.05,1253.8,1652.23,2041.49,2125.37,2464.7,3878.84,150,299790
-36.6399,0.901871,0.123684,4,31,0,37.5649,69.8786,0.279733,-19.3604,69.8786,0.279733,-19.3604,72.0445,72.7049,73.73,75.53,75.866,76.6258,76.6643,79.4672,79.8853,83.0226,84.3022,85.2362,85.255,86.4269,87.3978,88.6341,89.0501,89.1356,95.0728,99.9692,104.104,105.989,111.898,112.22,113.517,122.729,141.903,146.765,152.042,160.117,178.674,197.792,60.7236,84.4968,115.602,144.776,175.137,211.311,250.683,288.162,326.523,369.631,407.4,462.29,496.985,559.174,601.316,661.929,725.978,787.183,863.687,933.139,1021.78,1105.07,1212.41,1300.68,1420.23,1545.47,1693.07,1840.35,2001.04,2220.45,2421.59,2678.78,2978.58,3379.77,3784.15,4490.04,5244.82,6295.47,8703.12,12141.1,14.5564,15.2738,15.9545,16.4431,16.8565,17.2642,17.6352,17.9378,18.2092,18.4785,18.6897,18.9642,19.1213,19.3774,19.5351,19.7437,19.9442,20.12,20.3214,20.4894,20.6864,20.8566,21.0579,21.2105,21.4014,21.5849,21.783,21.9641,22.1459,22.3718,22.5601,22.7793,23.0097,23.2841,23.5295,23.9009,24.2383,24.6348,25.338,26.0609,1252.19,1651.18,2041.5,2125.68,2466.43,3890.07,150,299790
-36.9602,0.969516,0.123684,2,7,0,37.3035,69.9373,0.278005,-19.3591,69.9373,0.278005,-19.3591,72.0919,72.7489,73.7689,75.5599,75.8943,76.6504,76.6887,79.4783,79.8944,83.0176,84.2915,85.2214,85.2402,86.407,87.3738,88.6049,89.0191,89.1043,95.0176,99.8951,104.015,105.892,111.78,112.102,113.394,122.575,141.69,146.537,151.799,159.85,178.356,197.422,60.6737,84.4279,115.509,144.66,174.999,211.147,250.491,287.944,326.279,369.359,407.105,461.961,496.637,558.791,600.91,661.493,725.511,786.687,863.159,932.584,1021.19,1104.45,1211.77,1300.01,1419.54,1544.75,1692.34,1839.6,2000.29,2219.71,2420.86,2678.09,2977.96,3379.27,3783.8,4490.02,5245.25,6296.66,8706.42,12148.1,14.5559,15.2733,15.9539,16.4426,16.856,17.2638,17.6348,17.9374,18.2088,18.4781,18.6894,18.9639,19.1211,19.3771,19.5349,19.7435,19.9441,20.1199,20.3213,20.4893,20.6864,20.8566,21.058,21.2106,21.4016,21.5852,21.7833,21.9645,22.1463,22.3723,22.5607,22.78,23.0105,23.285,23.5305,23.9021,24.2397,24.6364,25.3401,26.0634,1250.38,1649.11,2039.32,2123.49,2464.29,3889.16,150,299790
