# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-19 10:00:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpgmdm9_d1/hjzuwgbp.json
# random
#   seed = 58054
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/bao/bao-20230719110027.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6
# Adaptation terminated
# Step size = 0.0713845
# Diagonal elements of inverse mass matrix:
# 0.0165966, 0.000102892, 0.0939147
3.12554,0.999884,0.0713845,5,39,0,-1.80916,56.4683,0.264074,0.518487,56.4683,0.264074,0.518487,1265.66,1657.75,2041.46,2124.42,2461.68,3916.94,150,299790,nan,nan,nan,nan,nan,nan
2.08195,0.992674,0.0713845,6,63,0,-1.18609,51.3391,0.292848,0.816428,51.3391,0.292848,0.816428,1281.3,1667.06,2042.44,2123.42,2452.25,3875.56,150,299790,nan,nan,nan,nan,nan,nan
-0.247023,0.721413,0.0713845,5,59,0,2.84205,53.7763,0.266845,0.550888,53.7763,0.266845,0.550888,1291.69,1690.59,2080.71,2165.04,2507.8,3987.36,150,299790,nan,nan,nan,nan,nan,nan
0.115172,0.939443,0.0713845,4,25,0,2.33363,58.451,0.320342,0.570325,58.451,0.320342,0.570325,1257.05,1635.87,2003.13,2082.13,2401.96,3763.61,150,299790,nan,nan,nan,nan,nan,nan
2.62731,0.996848,0.0713845,4,31,0,1.61692,57.2335,0.314418,0.566571,57.2335,0.314418,0.566571,1268.97,1652.39,2024.43,2104.5,2428.78,3811.09,150,299790,nan,nan,nan,nan,nan,nan
4.42779,0.994009,0.0713845,5,63,0,-1.98725,67.5329,0.307421,0.0959704,67.5329,0.307421,0.0959704,1268.68,1665.03,2050.4,2133.25,2467.94,3860.64,150,299790,nan,nan,nan,nan,nan,nan
