# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-19 14:30:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp4szuegh3/bcgx00c_.json
# random
#   seed = 83815
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/bao/bao-20230719153015.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6
# Adaptation terminated
# Step size = 0.0742815
# Diagonal elements of inverse mass matrix:
# 0.00997715, 9.40379e-05, 0.0571935
4.1088,0.983331,0.0742815,5,55,0,-2.46116,69.4804,0.314515,0.0707756,69.4804,0.314515,0.0707756,1261.42,1655.08,2037.34,2119.45,2450.84,3824.16,150,299790,nan,nan,nan,nan,nan,nan
4.012,0.945272,0.0742815,4,23,0,-2.16258,67.3621,0.276209,0.0545207,67.3621,0.276209,0.0545207,1259.64,1659.9,2051.62,2136.14,2478.57,3916.26,150,299790,nan,nan,nan,nan,nan,nan
4.09324,0.910016,0.0742815,3,7,0,-3.09881,66.9931,0.283042,0.0612344,66.9931,0.283042,0.0612344,1266.35,1667.29,2059.1,2143.57,2485.54,3918.01,150,299790,nan,nan,nan,nan,nan,nan
3.7122,0.999413,0.0742815,6,67,0,-3.56142,79.3279,0.362912,-0.146115,79.3279,0.362912,-0.146115,1268.59,1664.06,2044.52,2125.67,2450.91,3753.11,150,299790,nan,nan,nan,nan,nan,nan
-1.21845,0.983847,0.0742815,6,95,0,1.92295,43.9987,0.330952,1.3331,43.9987,0.330952,1.3331,1293.9,1669.6,2033.36,2111.72,2429.85,3819.38,150,299790,nan,nan,nan,nan,nan,nan
-0.829207,0.996834,0.0742815,6,63,0,4.91797,99.5502,0.391905,-0.483729,99.5502,0.391905,-0.483729,1269.39,1676.24,2064.32,2146.37,2471.81,3703.94,150,299790,nan,nan,nan,nan,nan,nan
1.58283,0.999961,0.0742815,4,19,0,0.901543,91.9466,0.376506,-0.381023,91.9466,0.376506,-0.381023,1266.16,1668.88,2054.77,2136.7,2463.1,3726.97,150,299790,nan,nan,nan,nan,nan,nan
3.6056,0.989367,0.0742815,6,63,0,-0.580194,75.059,0.379951,-0.0270644,75.059,0.379951,-0.0270644,1275.56,1666.38,2041.4,2121.35,2441.86,3733.79,150,299790,nan,nan,nan,nan,nan,nan
2.8781,0.968869,0.0742815,4,19,0,-1.75341,75.5152,0.40402,-0.0132279,75.5152,0.40402,-0.0132279,1278.7,1666.5,2037.17,2116.03,2431.65,3697.73,150,299790,nan,nan,nan,nan,nan,nan
2.65959,0.962602,0.0742815,6,63,0,-1.7454,65.0321,0.379668,0.288928,65.0321,0.379668,0.288928,1275.68,1657.63,2024.66,2103.14,2418.92,3724.65,150,299790,nan,nan,nan,nan,nan,nan
2.32061,0.972736,0.0742815,2,3,0,-2.23385,64.2942,0.379796,0.249688,64.2942,0.379796,0.249688,1293.47,1681.71,2054.73,2134.45,2455.15,3777.55,150,299790,nan,nan,nan,nan,nan,nan
3.37043,0.989325,0.0742815,5,55,0,-1.84107,61.8453,0.32599,0.298247,61.8453,0.32599,0.298247,1284.52,1677.03,2057.28,2138.95,2468.86,3851.53,150,299790,nan,nan,nan,nan,nan,nan
3.12794,0.978721,0.0742815,5,39,0,-2.57842,72.3935,0.296114,-0.12266,72.3935,0.296114,-0.12266,1273.24,1680.33,2077.42,2162.84,2507.65,3925.65,150,299790,nan,nan,nan,nan,nan,nan
1.98551,0.939275,0.0742815,2,7,0,-1.4463,73.3612,0.279933,-0.0812979,73.3612,0.279933,-0.0812979,1241.85,1640.25,2030.18,2114.25,2454.38,3867.39,150,299790,nan,nan,nan,nan,nan,nan
3.51274,1,0.0742815,2,3,0,-1.98093,72.5224,0.284333,-0.134004,72.5224,0.284333,-0.134004,1265.62,1672.77,2071.02,2156.81,2503.62,3935.88,150,299790,nan,nan,nan,nan,nan,nan
3.19267,0.96265,0.0742815,2,3,0,-3.00885,73.0061,0.281877,-0.0899746,73.0061,0.281877,-0.0899746,1248.48,1648.96,2040.79,2125.24,2466.83,3883.77,150,299790,nan,nan,nan,nan,nan,nan
3.92125,0.948818,0.0742815,5,55,0,-1.21582,63.4091,0.272636,0.197599,63.4091,0.272636,0.197599,1262.99,1660.72,2049.92,2133.96,2474.83,3919.79,150,299790,nan,nan,nan,nan,nan,nan
3.48595,0.970634,0.0742815,6,63,0,-3.17328,76.6081,0.373512,-0.096975,76.6081,0.373512,-0.096975,1281.14,1677.07,2057.27,2138.32,2463.07,3765.6,150,299790,nan,nan,nan,nan,nan,nan
3.70305,0.995546,0.0742815,2,3,0,-3.43036,76.8328,0.373778,-0.0893456,76.8328,0.373778,-0.0893456,1277.03,1671.37,2050.05,2130.79,2454.28,3752.67,150,299790,nan,nan,nan,nan,nan,nan
3.95616,0.995042,0.0742815,4,31,0,-1.29654,77.3839,0.358297,-0.121154,77.3839,0.358297,-0.121154,1273.55,1670.37,2052.49,2134.06,2461.23,3776.44,150,299790,nan,nan,nan,nan,nan,nan
3.23422,0.986876,0.0742815,6,95,0,-2.78352,58.3095,0.26071,0.423601,58.3095,0.26071,0.423601,1261.92,1655.67,2041.43,2124.86,2464,3923.41,150,299790,nan,nan,nan,nan,nan,nan
3.2229,0.998264,0.0742815,5,31,0,-2.94816,59.1255,0.256586,0.334619,59.1255,0.256586,0.334619,1268.09,1666.74,2057.82,2142.44,2486.43,3963.3,150,299790,nan,nan,nan,nan,nan,nan
3.19932,0.973649,0.0742815,3,7,0,-2.70028,58.7626,0.252045,0.357775,58.7626,0.252045,0.357775,1264.51,1662.33,2052.9,2137.45,2481.36,3961.95,150,299790,nan,nan,nan,nan,nan,nan
