# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = newbao_model
# start_datetime = 2023-07-20 10:25:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpal26qh23/sm0lah0q.json
# random
#   seed = 23928
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/bao/newbao-20230720112522.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6
# Adaptation terminated
# Step size = 0.0948409
# Diagonal elements of inverse mass matrix:
# 0.0109045, 0.000128136, 0.189245
3.22393,0.997803,0.0948409,4,19,0,-1.73903,69.027,0.265772,-0.00727596,69.027,0.265772,-0.00727596,1249.69,1650.63,2044.15,2129.18,2473.96,3922.98,150,299790,nan,nan,nan,nan,nan,nan
3.04595,0.996762,0.0948409,5,31,0,-2.11759,76.8065,0.408793,-0.115261,76.8065,0.408793,-0.115261,1280.27,1671.64,2046.36,2126.12,2445.31,3720.27,150,299790,nan,nan,nan,nan,nan,nan
2.92796,0.97767,0.0948409,4,31,0,-1.35721,70.5846,0.383116,0.179176,70.5846,0.383116,0.179176,1286.86,1673.8,2043.68,2122.45,2438.2,3720.29,150,299790,nan,nan,nan,nan,nan,nan
2.5015,0.978413,0.0948409,4,23,0,-1.14668,82.9879,0.360141,-0.559649,82.9879,0.360141,-0.559649,1261.58,1672.22,2073.53,2159.74,2506.61,3887.6,150,299790,nan,nan,nan,nan,nan,nan
2.27432,0.907904,0.0948409,2,7,0,-1.58851,82.8508,0.357124,-0.453761,82.8508,0.357124,-0.453761,1247.48,1649.3,2040.9,2124.95,2463.08,3816.87,150,299790,nan,nan,nan,nan,nan,nan
2.3907,0.914705,0.0948409,5,31,0,0.470796,62.7422,0.303762,0.467473,62.7422,0.303762,0.467473,1292.58,1686.2,2065.83,2147.16,2475.06,3844.04,150,299790,nan,nan,nan,nan,nan,nan
1.91573,1,0.0948409,3,11,0,-1.3581,63.6262,0.308079,0.670993,63.6262,0.308079,0.670993,1267.79,1647.88,2012.97,2091.06,2405.61,3721.55,150,299790,nan,nan,nan,nan,nan,nan
3.49865,1,0.0948409,2,7,0,-1.46058,62.5576,0.29927,0.546541,62.5576,0.29927,0.546541,1284.74,1674.73,2050.69,2131.24,2456.03,3815.58,150,299790,nan,nan,nan,nan,nan,nan
3.54838,0.892681,0.0948409,5,55,0,-2.21032,67.9335,0.309997,0.0986209,67.9335,0.309997,0.0986209,1281.1,1680.79,2068.48,2151.7,2487.41,3876.58,150,299790,nan,nan,nan,nan,nan,nan
1.86541,0.878048,0.0948409,3,15,0,-1.35813,70.1619,0.294596,0.136514,70.1619,0.294596,0.136514,1247.49,1638.22,2018.11,2099.78,2429.69,3803.31,150,299790,nan,nan,nan,nan,nan,nan
2.90392,0.997946,0.0948409,3,11,0,0.401956,68.1086,0.255581,-0.0885214,68.1086,0.255581,-0.0885214,1256.6,1664.14,2065.86,2152.86,2506.24,3996.87,150,299790,nan,nan,nan,nan,nan,nan
3.79119,0.998776,0.0948409,5,47,0,-1.90081,71.7361,0.287449,-0.146638,71.7361,0.287449,-0.146638,1255.47,1658.89,2054.28,2139.59,2484.87,3918.94,150,299790,nan,nan,nan,nan,nan,nan
2.4087,0.703827,0.0948409,2,7,0,-1.19432,72.5295,0.291603,-0.0745018,72.5295,0.291603,-0.0745018,1244.83,1641.77,2029.76,2113.37,2451.49,3855.36,150,299790,nan,nan,nan,nan,nan,nan
-0.3879,0.988131,0.0948409,4,15,0,0.596776,71.071,0.241235,-0.238061,71.071,0.241235,-0.238061,1230.16,1636.3,2039.61,2127.28,2484.48,3999.9,150,299790,nan,nan,nan,nan,nan,nan
2.04207,0.990519,0.0948409,4,31,0,1.28682,67.0036,0.25662,-0.0748787,67.0036,0.25662,-0.0748787,1266.48,1676.6,2080.64,2168.11,2523.36,4021.31,150,299790,nan,nan,nan,nan,nan,nan
