# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-19 09:59:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpapd2cade/vezct3e3.json
# random
#   seed = 53327
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cc/cc-20230719105939.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.117808
# Diagonal elements of inverse mass matrix:
# 0.0322486, 0.0133519, 0.327994
-6.34731,0.869686,0.117808,5,31,0,7.26909,0.229447,60.5294,1.03233,0.229447,60.5294,1.03233,68.3839,69.6747,71.4749,74.2683,74.7538,75.82,75.8729,79.5127,80.0258,83.7017,85.1296,86.151,86.1715,87.4306,88.4571,89.7447,90.1733,90.2612,96.1712,100.829,104.654,106.37,111.664,111.949,113.094,121.106,137.3,141.337,145.695,152.323,167.417,182.826
-8.25562,0.757072,0.117808,4,27,0,11.2594,0.243751,67.0716,0.677463,0.243751,67.0716,0.677463,73.8253,75.0274,76.7336,79.4398,79.9165,80.9694,81.0219,84.6725,85.1933,88.9614,90.441,91.5042,91.5255,92.8415,93.9185,95.274,95.7264,95.8193,102.109,107.123,111.269,113.138,118.926,119.24,120.497,129.33,147.338,151.85,156.731,164.168,181.155,198.552
-5.82402,0.98697,0.117808,2,3,0,8.59056,0.238278,65.6752,0.612494,0.238278,65.6752,0.612494,71.7061,72.803,74.3675,76.8638,77.3052,78.2815,78.3302,81.7299,82.2164,85.7467,87.1371,88.1376,88.1576,89.3973,90.4129,91.6925,92.1199,92.2076,98.1637,102.927,106.875,108.656,114.181,114.48,115.681,124.133,141.411,145.748,150.44,157.596,173.957,190.73
-7.29747,0.995889,0.117808,5,31,0,7.72965,0.219889,55.4858,1.94589,0.219889,55.4858,1.94589,66.9392,68.6253,70.9176,74.3603,74.9465,76.2224,76.2853,80.5357,81.1236,85.267,86.8475,87.9693,87.9917,89.365,90.4773,91.8639,92.3235,92.4176,98.6601,103.479,107.381,109.119,114.43,114.714,115.854,123.757,139.436,143.297,147.449,153.735,167.937,182.313
-10.2009,0.966346,0.117808,5,31,0,10.5511,0.242134,46.1506,3.75731,0.242134,46.1506,3.75731,63.9092,66.2346,69.3165,73.7974,74.5447,76.157,76.236,81.4776,82.1888,87.1176,88.9627,90.2617,90.2876,91.8662,93.1362,94.7088,95.2276,95.3337,102.268,107.498,111.667,113.507,119.071,119.366,120.549,128.657,144.358,148.162,152.228,158.342,171.996,185.633
-10.0254,0.854664,0.117808,5,43,0,14.7494,0.132079,53.8156,4.00727,0.132079,53.8156,4.00727,66.6072,68.3677,70.7236,74.1896,74.772,76.0323,76.0942,80.2254,80.7895,84.7204,86.2007,87.2455,87.2663,88.5389,89.5648,90.8377,91.2582,91.3442,96.9912,101.279,104.712,106.23,110.835,111.081,112.062,118.809,131.956,135.153,138.575,143.729,155.271,166.832
-10.7796,0.999767,0.117808,6,63,0,11.1044,0.129089,50.5846,5.86291,0.129089,50.5846,5.86291,66.8619,68.9929,71.8137,75.9058,76.5872,78.056,78.1279,82.8906,83.5354,87.9937,89.6581,90.8284,90.8517,92.2721,93.4136,94.8253,95.2906,95.3857,101.586,106.239,109.934,111.561,116.468,116.728,117.768,124.875,138.529,141.817,145.324,150.583,162.269,173.867
-9.66163,0.972522,0.117808,6,71,0,12.4991,0.220449,48.5219,3.02807,0.220449,48.5219,3.02807,62.9467,64.9215,67.5626,71.4467,72.0992,73.5114,73.5807,78.2105,78.8429,83.2509,84.9118,86.0844,86.1078,87.5363,88.6883,90.1181,90.5905,90.6872,97.0368,101.865,105.734,107.447,112.647,112.924,114.033,121.667,136.58,140.214,144.107,149.976,163.14,176.355
-7.8074,0.997231,0.117808,4,27,0,10.915,0.178448,58.055,2.1128,0.178448,58.055,2.1128,68.6394,70.2015,72.3267,75.5212,76.0655,77.2505,77.3089,81.2596,81.8064,85.6623,87.1341,88.179,88.1999,89.4794,90.5161,91.8087,92.2372,92.3249,98.1489,102.649,106.295,107.919,112.886,113.152,114.219,121.615,136.306,139.927,143.821,149.718,163.049,176.55
-8.62422,0.965539,0.117808,5,31,0,8.95769,0.222781,51.042,2.51566,0.222781,51.042,2.51566,64.1967,66.0506,68.5461,72.2461,72.871,74.2263,74.293,78.7643,79.378,83.6746,85.3013,86.4522,86.4751,87.8799,89.0147,90.4255,90.8923,90.9878,97.2873,102.106,105.984,107.705,112.944,113.223,114.343,122.076,137.278,140.999,144.991,151.02,164.587,178.253
-6.53318,0.964615,0.117808,5,43,0,9.3978,0.281924,55.5138,1.24015,0.281924,55.5138,1.24015,65.5712,67.1461,69.3172,72.6356,73.207,74.4563,74.5181,78.7344,79.3235,83.5106,85.123,86.272,86.2949,87.7066,88.8538,90.2885,90.7651,90.8627,97.3857,102.474,106.624,108.479,114.175,114.481,115.708,124.255,141.369,145.609,150.177,157.108,172.829,188.809
-5.73538,0.990502,0.117808,5,63,0,7.03615,0.250203,63.9276,0.710326,0.250203,63.9276,0.710326,70.7528,71.9544,73.6557,76.3454,76.8183,77.8619,77.9138,81.5236,82.0376,85.7509,87.2065,88.2517,88.2727,89.5655,90.6229,91.953,92.3967,92.4877,98.6484,103.549,107.598,109.421,115.063,115.368,116.592,125.189,142.687,147.066,151.801,159.014,175.478,192.327
-4.97771,0.990632,0.117808,5,63,0,6.13543,0.347879,64.3204,0.246592,0.347879,64.3204,0.246592,69.2656,70.3368,71.9136,74.5219,74.9927,76.0426,76.0952,79.8294,80.3718,84.3543,85.9414,87.0888,87.1119,88.5394,89.7129,91.1963,91.6929,91.7948,98.7622,104.38,109.056,111.17,117.743,118.099,119.531,129.616,150.269,155.455,161.066,169.622,189.175,209.203
-4.38802,0.983333,0.117808,3,11,0,5.1575,0.330565,66.7996,0.0911622,0.330565,66.7996,0.0911622,70.1549,71.0172,72.3229,74.5532,74.9632,75.8843,75.9307,79.2714,79.7636,83.4186,84.8929,85.964,85.9856,87.3239,88.4285,89.8299,90.3002,90.3968,97.0518,102.477,107.023,109.087,115.526,115.876,117.284,127.235,147.759,152.933,158.54,167.101,186.708,206.838
