# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-19 14:41:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpb_33ojd4/ejoaesyq.json
# random
#   seed = 70993
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cc/cc-20230719154102.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.1379
# Diagonal elements of inverse mass matrix:
# 0.0520673, 0.0123195, 0.53364
-6.10713,0.966359,0.1379,5,31,0,7.30976,0.231915,61.8379,0.873831,0.231915,61.8379,0.873831,68.9836,70.1955,71.8977,74.5627,75.0285,76.0538,76.1048,79.6278,80.1269,83.718,85.1194,86.1239,86.144,87.3844,88.3973,89.6697,90.0938,90.1808,96.0493,100.698,104.527,106.249,111.57,111.857,113.01,121.094,137.5,141.6,146.03,152.774,168.155,183.882
-5.93108,0.999893,0.1379,3,7,0,6.13209,0.2323,62.5992,0.844423,0.2323,62.5992,0.844423,69.6622,70.868,72.5641,75.2247,75.6902,76.7155,76.7664,80.294,80.7943,84.3968,85.804,86.8129,86.8332,88.0796,89.0978,90.3772,90.8037,90.8912,96.7978,101.481,105.342,107.078,112.447,112.737,113.901,122.063,138.642,142.786,147.266,154.087,169.647,185.562
-7.02614,0.878588,0.1379,5,31,0,8.0127,0.218575,57.2408,1.59779,0.218575,57.2408,1.59779,67.2558,68.7813,70.8717,74.0436,74.5872,75.7737,75.8323,79.8159,80.3704,84.2982,85.8054,86.8779,86.8993,88.2153,89.2834,90.6177,91.0606,91.1513,97.197,101.897,105.72,107.428,112.663,112.944,114.07,121.906,137.556,141.427,145.595,151.917,166.243,180.792
-6.80192,0.955648,0.1379,2,7,0,7.55302,0.219163,58.6473,1.53035,0.219163,58.6473,1.53035,68.5831,70.1077,72.2004,75.3827,75.9288,77.1216,77.1805,81.1919,81.7509,85.7157,87.239,88.3235,88.3451,89.6764,90.7576,92.1086,92.5572,92.6491,98.7791,103.551,107.438,109.174,114.501,114.787,115.934,123.917,139.883,143.836,148.093,154.553,169.199,184.081
-6.43291,0.961073,0.1379,4,31,0,8.06435,0.24824,57.3882,1.33651,0.24824,57.3882,1.33651,67.1869,68.714,70.8172,74.029,74.5816,75.7899,75.8497,79.9256,80.4949,84.5404,86.0979,87.2078,87.2299,88.5934,89.7016,91.0872,91.5475,91.6418,97.9419,102.857,106.865,108.658,114.161,114.456,115.642,123.902,140.449,144.549,148.967,155.673,170.885,186.353
-6.7648,0.939193,0.1379,4,15,0,7.03643,0.249198,58.8287,1.33222,0.249198,58.8287,1.33222,68.8839,70.4513,72.6104,75.9078,76.4752,77.7158,77.7772,81.9621,82.5467,86.7008,88.3002,89.4399,89.4627,90.8629,92.0008,93.4237,93.8964,93.9933,100.463,105.511,109.628,111.468,117.12,117.424,118.642,127.125,144.119,148.331,152.869,159.756,175.381,191.267
-8.97713,0.994493,0.1379,5,63,0,11.3758,0.1561,60.4408,2.36693,0.1561,60.4408,2.36693,71.1477,72.7157,74.8449,78.0381,78.5814,79.7633,79.8215,83.7551,84.2987,88.1277,89.5873,90.6229,90.6436,91.911,92.9374,94.2165,94.6404,94.7272,100.482,104.921,108.514,110.113,115.001,115.262,116.311,123.58,137.992,141.54,145.355,151.129,164.174,177.375
-8.50602,0.975168,0.1379,5,31,0,9.72201,0.157938,63.0474,1.77508,0.157938,63.0474,1.77508,71.9275,73.2858,75.1496,77.9834,78.4697,79.532,79.5845,83.1578,83.656,87.1904,88.549,89.5166,89.5359,90.724,91.6891,92.8954,93.296,93.3781,98.8568,103.127,106.608,108.164,112.942,113.199,114.228,121.4,135.77,139.333,143.173,149.003,162.235,175.699
