# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-19 14:44:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpk9s3x3_1/ubp930ev.json
# random
#   seed = 15297
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cc/cc-20230719154408.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.0919815
# Diagonal elements of inverse mass matrix:
# 0.10908, 0.0122791, 0.925408
-6.61216,0.978553,0.0919815,5,31,0,9.50464,0.412463,55.2499,0.648502,0.412463,55.2499,0.648502,64.1138,65.6583,67.8346,71.2506,71.8482,73.1636,73.229,77.7469,78.3865,82.9811,84.7706,86.0519,86.0775,87.6582,88.9476,90.5656,91.1044,91.2149,98.6491,104.51,109.32,111.478,118.129,118.488,119.926,129.974,150.232,155.27,160.705,168.963,187.734,206.853
-6.78523,0.99843,0.0919815,3,7,0,6.8839,0.41168,54.4813,0.719063,0.41168,54.4813,0.719063,63.8503,65.4465,67.6851,71.1787,71.7877,73.1264,73.1929,77.7729,78.4194,83.0525,84.8524,86.1396,86.1654,87.752,89.0451,90.6665,91.2062,91.3168,98.7483,104.592,109.382,111.528,118.138,118.494,119.922,129.892,149.954,154.939,160.314,168.478,187.024,205.903
-6.80359,0.981815,0.0919815,5,31,0,7.54727,0.336506,54.0739,1.19066,0.336506,54.0739,1.19066,65.2452,66.9847,69.3787,73.0295,73.6571,75.0286,75.0964,79.7158,80.3602,84.934,86.6924,87.9446,87.9696,89.507,90.7557,92.3163,92.8345,92.9406,100.023,105.536,110.025,112.03,118.18,118.511,119.835,129.046,147.45,152.002,156.905,164.339,181.185,198.288
-6.7933,0.889424,0.0919815,2,7,0,8.12123,0.321572,53.6753,1.28593,0.321572,53.6753,1.28593,64.9604,66.6977,69.0826,72.7085,73.3307,74.6891,74.7563,79.3221,79.958,84.4651,86.1953,87.4266,87.4512,88.9622,90.1888,91.7209,92.2296,92.3337,99.2767,104.673,109.063,111.023,117.03,117.352,118.645,127.632,145.565,149.998,154.77,162.005,178.392,195.02
-5.3086,0.98188,0.0919815,5,39,0,9.74418,0.393493,75.8405,-0.43589,0.393493,75.8405,-0.43589,72.9734,73.1287,73.571,74.7195,74.9709,75.5724,75.604,78.1301,78.5382,81.7832,83.1805,84.2216,84.2428,85.5715,86.6887,88.1304,88.6199,88.7207,95.8967,101.998,107.232,109.636,117.226,117.641,119.317,131.271,156.309,162.669,169.574,180.138,204.399,229.357
-7.50375,0.482043,0.0919815,1,3,0,8.09701,0.387191,75.9816,-0.336802,0.387191,75.9816,-0.336802,74.5784,74.9321,75.6319,77.1369,77.4451,78.1662,78.2035,81.0861,81.5384,85.0628,86.5519,87.6535,87.6759,89.0735,90.2427,91.7444,92.2526,92.3573,99.7383,105.945,111.239,113.662,121.294,121.711,123.391,135.355,160.323,166.655,173.525,184.033,208.15,232.949
-5.90636,1,0.0919815,2,3,0,7.45593,0.379192,74.7601,-0.322164,0.379192,74.7601,-0.322164,73.6085,73.9771,74.688,76.19,76.4955,77.2084,77.2452,80.0797,80.523,83.9697,85.4232,86.4976,86.5194,87.8817,89.0209,90.4834,90.9782,91.0801,98.2609,104.295,109.439,111.794,119.209,119.615,121.247,132.873,157.138,163.293,169.973,180.189,203.64,227.762
-4.89708,0.960564,0.0919815,3,7,0,5.71888,0.390167,75.5803,-0.481032,0.390167,75.5803,-0.481032,72.0886,72.1476,72.4598,73.4174,73.637,74.1703,74.1985,76.5083,76.8878,79.9421,81.2715,82.266,82.2863,83.5598,84.6337,86.0232,86.4957,86.5932,93.559,99.519,104.65,107.01,114.476,114.886,116.536,128.329,153.088,159.384,166.223,176.689,200.736,225.486
-5.29093,0.636954,0.0919815,5,31,0,6.53078,0.293516,64.8545,0.181438,0.293516,64.8545,0.181438,68.5307,69.3806,70.6476,72.7758,73.1634,74.0313,74.075,77.1952,77.6521,81.0306,82.3874,83.3714,83.3913,84.6191,85.6314,86.9142,87.3444,87.4328,93.5074,98.4476,102.584,104.46,110.313,110.631,111.91,120.952,139.605,144.31,149.409,157.196,175.042,193.377
-7.18033,0.935975,0.0919815,5,63,0,7.58588,0.258684,55.5888,1.30932,0.258684,55.5888,1.30932,65.2917,66.8051,68.8898,72.0737,72.6216,73.8194,73.8787,77.9194,78.4838,82.4942,84.0382,85.1384,85.1604,86.512,87.6104,88.9838,89.44,89.5335,95.7775,100.648,104.62,106.396,111.848,112.14,113.315,121.497,137.883,141.942,146.317,152.955,168.014,183.322
-4.26762,0.934859,0.0919815,5,63,0,7.39437,0.360655,73.6435,-0.365692,0.360655,73.6435,-0.365692,72.0063,72.2731,72.8359,74.098,74.3608,74.9793,75.0114,77.5191,77.9161,81.0308,82.3558,83.3389,83.3588,84.6089,85.6571,87.0061,87.4633,87.5575,94.2288,99.8734,104.706,106.923,113.921,114.304,115.847,126.864,149.95,155.819,162.193,171.949,194.371,217.461
-4.48112,0.816171,0.0919815,3,7,0,5.02185,0.368743,74.6875,-0.439033,0.368743,74.6875,-0.439033,72.0022,72.1391,72.5385,73.5854,73.8153,74.3662,74.3951,76.7162,77.092,80.0865,81.3789,82.3428,82.3624,83.5938,84.6302,85.9686,86.4233,86.5171,93.1989,98.8983,103.799,106.052,113.178,113.569,115.143,126.398,150.042,156.059,162.595,172.602,195.609,219.305
-4.25412,0.831584,0.0919815,2,7,0,5.1535,0.350218,74.7804,-0.38824,0.350218,74.7804,-0.38824,72.8797,73.1021,73.6034,74.7719,75.0188,75.6027,75.6331,78.0274,78.4091,81.4191,82.7059,83.6625,83.682,84.9005,85.9237,87.2425,87.6898,87.782,94.3301,99.892,104.665,106.858,113.787,114.167,115.697,126.632,149.601,155.448,161.8,171.528,193.9,216.955
-4.69667,0.981739,0.0919815,5,31,0,4.87934,0.366598,63.8746,0.141144,0.366598,63.8746,0.141144,67.9475,68.9244,70.3867,72.8511,73.3006,74.3072,74.3578,77.9766,78.5063,82.4183,83.987,85.1238,85.1467,86.5639,87.7312,89.2093,89.7047,89.8064,96.7837,102.436,107.153,109.29,115.94,116.301,117.751,127.98,148.975,154.252,159.964,168.677,188.597,209.01
-4.18764,0.984007,0.0919815,4,31,0,5.42501,0.331017,71.7177,-0.263964,0.331017,71.7177,-0.263964,71.4156,71.8159,72.5319,73.9631,74.2476,74.906,74.9399,77.5116,77.9097,80.9826,82.2706,83.2208,83.24,84.4428,85.4473,86.7355,87.171,87.2607,93.5715,98.8694,103.387,105.456,111.975,112.331,113.768,124.007,145.438,150.886,156.802,165.858,186.68,208.134
-4.76574,0.97731,0.0919815,4,31,0,6.57756,0.277689,72.2217,-0.0753948,0.277689,72.2217,-0.0753948,73.745,74.3282,75.2563,76.9283,77.2447,77.964,78.0005,80.6899,81.0947,84.1556,85.4133,86.3342,86.3528,87.5113,88.4733,89.7011,90.1148,90.1999,96.1343,101.059,105.234,107.141,113.132,113.459,114.776,124.152,143.738,148.714,154.12,162.396,181.434,201.069
-4.69232,0.992722,0.0919815,4,15,0,4.96767,0.278865,70.917,-0.00405866,0.278865,70.917,-0.00405866,73.0715,73.7347,74.7655,76.5777,76.9162,77.682,77.7207,80.5475,80.9693,84.1363,85.4285,86.3719,86.391,87.5748,88.5558,89.8051,90.2255,90.3119,96.3139,101.266,105.448,107.355,113.334,113.66,114.973,124.297,143.71,148.633,153.978,162.156,180.951,200.316
-4.31594,0.998119,0.0919815,3,15,0,7.18972,0.365638,68.7343,-0.162947,0.365638,68.7343,-0.162947,69.6139,70.2016,71.1734,72.9863,73.335,74.1324,74.173,77.1945,77.653,81.1366,82.574,83.6277,83.649,84.9755,86.0779,87.4851,87.9594,88.057,94.8583,100.493,105.259,107.433,114.248,114.62,116.115,126.731,148.773,154.349,160.396,169.638,190.833,212.616
-4.77763,0.999886,0.0919815,5,31,0,5.01217,0.279679,65.5038,0.3172,0.279679,65.5038,0.3172,70.1567,71.1218,72.5336,74.8545,75.2722,76.2026,76.2492,79.5509,80.03,83.5454,84.9464,85.9592,85.9796,87.2399,88.2764,89.5868,90.0256,90.1157,96.2795,101.259,105.412,107.292,113.143,113.46,114.737,123.742,142.252,146.912,151.958,159.662,177.299,195.403
-4.6564,0.992125,0.0919815,5,31,0,4.97383,0.283508,66.5514,0.240612,0.283508,66.5514,0.240612,70.6989,71.6084,72.9525,75.1879,75.5928,76.4974,76.5428,79.7762,80.2477,83.7232,85.1143,86.122,86.1422,87.3981,88.4323,89.7418,90.1806,90.2708,96.4545,101.47,105.663,107.564,113.488,113.81,115.103,124.243,143.075,147.823,152.967,160.822,178.819,197.305
-5.8501,0.793054,0.0919815,3,11,0,7.44342,0.24796,68.3736,0.372269,0.24796,68.3736,0.372269,73.1112,74.0657,75.4556,77.7288,78.1367,79.0446,79.0901,82.3039,82.7695,86.1823,87.5411,88.5232,88.543,89.7648,90.7694,92.0394,92.4647,92.552,98.5251,103.352,107.379,109.203,114.882,115.19,116.429,125.179,143.192,147.732,152.651,160.164,177.38,195.07
