# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-19 14:45:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpxmzlm6xd/fq7hnnww.json
# random
#   seed = 17404
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cc/cc-20230719154518.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.0882901
# Diagonal elements of inverse mass matrix:
# 0.101012, 0.0126859, 1.26065
-6.75188,0.775021,0.0882901,5,47,0,7.6309,0.413128,54.9545,0.700436,0.413128,54.9545,0.700436,64.2643,65.8592,68.0984,71.5979,72.2084,73.5509,73.6176,78.215,78.8643,83.5209,85.3309,86.6259,86.6518,88.2481,89.5494,91.1815,91.7247,91.8361,99.3205,105.21,110.037,112.202,118.868,119.227,120.667,130.725,150.974,156.006,161.433,169.676,188.404,207.47
-5.96778,0.835592,0.0882901,5,47,0,7.64965,0.255539,77.5698,-0.300544,0.255539,77.5698,-0.300544,76.9718,77.2574,77.7918,78.9002,79.1243,79.6465,79.6735,81.748,82.0729,84.6068,85.6803,86.476,86.4921,87.5037,88.3518,89.4436,89.8138,89.8901,95.3051,99.9121,103.876,105.702,111.488,111.805,113.087,122.281,141.771,146.764,152.202,160.552,179.846,199.828
-7.33932,0.809773,0.0882901,5,63,0,8.01819,0.398632,56.6034,0.736346,0.398632,56.6034,0.736346,66.2091,67.841,70.1286,73.6969,74.3188,75.6856,75.7535,80.4289,81.0887,85.8174,87.6543,88.9681,88.9944,90.6135,91.9332,93.588,94.1387,94.2516,101.836,107.801,112.689,114.881,121.629,121.992,123.45,133.629,154.116,159.207,164.697,173.037,191.982,211.27
-6.52166,0.999251,0.0882901,5,31,0,8.08373,0.248763,58.6317,1.04079,0.248763,58.6317,1.04079,66.8923,68.2412,70.1192,73.0264,73.531,74.6382,74.6931,78.4657,78.9967,82.7957,84.2691,85.3223,85.3433,86.6408,87.698,89.0233,89.4643,89.5547,95.6267,100.403,104.318,106.075,111.485,111.777,112.946,121.12,137.608,141.711,146.14,152.873,168.189,183.808
-6.57139,0.975193,0.0882901,2,3,0,6.90183,0.254554,59.6577,1.18936,0.254554,59.6577,1.18936,69.1755,70.6886,72.7821,75.9975,76.5528,77.7687,77.8289,81.9476,82.5247,86.6375,88.2257,89.3589,89.3816,90.7754,91.9093,93.3287,93.8006,93.8973,100.371,105.439,109.581,111.435,117.137,117.444,118.674,127.254,144.491,148.769,153.383,160.39,176.304,192.503
-6.00152,0.821578,0.0882901,4,31,0,8.0683,0.242903,61.8012,0.763606,0.242903,61.8012,0.763606,68.5588,69.733,71.3909,74.0034,74.4618,75.4725,75.5228,79.0111,79.507,83.0845,84.4848,85.4897,85.5098,86.7522,87.7677,89.0446,89.4705,89.5579,95.4642,100.157,104.029,105.772,111.165,111.456,112.626,120.835,137.529,141.706,146.22,153.097,168.79,184.845
