# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-19 14:51:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpjac79apv/0xvk06ce.json
# random
#   seed = 7250
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cc/cc-20230719155158.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.133045
# Diagonal elements of inverse mass matrix:
# 0.0439871, 0.0137288, 0.44103
-4.33162,0.959342,0.133045,2,5,0,4.83896,0.354422,66.7643,-0.00792002,0.354422,66.7643,-0.00792002,69.2901,70.0711,71.2829,73.4064,73.8021,74.6958,74.741,78.0263,78.5147,82.1678,83.6516,84.7327,84.7545,86.1083,87.2281,88.6514,89.1296,89.228,96.0228,101.588,106.265,108.391,115.032,115.393,116.846,127.131,148.377,153.737,159.546,168.417,188.737,209.6
-4.25697,0.977592,0.133045,5,31,0,4.94324,0.360689,71.2607,-0.233325,0.360689,71.2607,-0.233325,71.3078,71.7928,72.6351,74.2769,74.5993,75.3424,75.3805,78.2506,78.6916,82.0745,83.4835,84.5202,84.5412,85.8505,86.9417,88.3383,88.8098,88.9069,95.7071,101.38,106.199,108.401,115.321,115.699,117.22,128.041,150.584,156.297,162.497,171.978,193.74,216.125
-4.3473,0.999827,0.133045,5,31,0,4.49928,0.3202,76.2902,-0.405747,0.3202,76.2902,-0.405747,74.3113,74.4888,74.9165,75.9497,76.1709,76.6964,76.7239,78.9019,79.2515,82.023,83.2145,84.1022,84.1202,85.2533,86.2066,87.4373,87.8554,87.9415,94.0868,99.3372,103.86,105.942,112.539,112.901,114.361,124.82,146.893,152.529,158.657,168.052,189.698,212.043
-4.72261,0.997081,0.133045,2,7,0,5.35872,0.307601,78.4701,-0.51117,0.307601,78.4701,-0.51117,75.2675,75.2634,75.4474,76.1257,76.2881,76.6876,76.7089,78.4894,78.7868,81.213,82.283,83.0879,83.1044,84.1403,85.018,86.1585,86.5475,86.6279,92.4264,97.4621,101.841,103.867,110.317,110.672,112.106,122.42,144.353,149.976,156.098,165.495,187.186,209.618
-4.42554,0.723618,0.133045,4,15,0,5.90662,0.296149,70.0111,-0.0955758,0.296149,70.0111,-0.0955758,71.3904,71.966,72.8888,74.5629,74.8808,75.6042,75.641,78.3535,78.7625,81.8581,83.1312,84.0636,84.0824,85.2555,86.2299,87.4735,87.8925,87.9788,93.9893,98.9754,103.2,105.129,111.186,111.517,112.848,122.318,142.071,147.085,152.528,160.86,180.011,199.744
-4.80807,0.983942,0.133045,5,31,0,5.00565,0.311907,63.81,0.371899,0.311907,63.81,0.371899,69.3227,70.4236,72.0213,74.622,75.0872,76.1208,76.1725,79.8145,80.3401,84.179,85.7009,86.7989,86.821,88.1845,89.3038,90.7165,91.189,91.2859,97.8944,103.203,107.612,109.604,115.789,116.124,117.47,126.944,146.323,151.186,156.448,164.47,182.802,201.58
-5.3077,0.946459,0.133045,5,31,0,5.75742,0.27193,73.2204,-0.070267,0.27193,73.2204,-0.070267,74.7805,75.3662,76.2968,77.9705,78.287,79.0062,79.0428,81.7305,82.1349,85.1923,86.4485,87.3682,87.3868,88.5438,89.5046,90.7308,91.144,91.229,97.1567,102.077,106.249,108.155,114.144,114.471,115.789,125.166,144.764,149.746,155.157,163.444,182.513,202.185
