# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-19 14:53:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp2i3gfcib/syq55_12.json
# random
#   seed = 30251
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cc/cc-20230719155327.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.070284
# Diagonal elements of inverse mass matrix:
# 0.00577507, 93.6782, 1.16577
-7.54121,1,0.070284,3,15,0,7.83622,0.284553,67.6393,0.165022,0.284553,67.6393,0.165022,71.2171,72.0593,73.3188,75.4424,75.8301,76.6989,76.7426,79.874,80.3334,83.7359,85.1048,86.0984,86.1184,87.3589,88.3822,89.6799,90.1152,90.2047,96.3607,101.377,105.581,107.49,113.45,113.774,115.077,124.297,143.348,148.158,153.373,161.34,179.609,198.39
-7.35979,0.966227,0.070284,4,23,0,8.69916,0.35031,71.6654,-0.252064,0.35031,71.6654,-0.252064,71.4881,71.9311,72.7138,74.2619,74.568,75.2753,75.3116,78.0606,78.4847,81.7491,83.1132,84.1183,84.1386,85.4095,86.4697,87.828,88.2869,88.3814,95.0147,100.565,105.287,107.448,114.244,114.616,116.111,126.759,148.984,154.624,160.745,170.11,191.62,213.759
-8.66313,0.900093,0.070284,5,39,0,9.70183,0.234186,61.6674,0.927265,0.234186,61.6674,0.927265,69.1865,70.4464,72.2112,74.9646,75.4448,76.5008,76.5532,80.1724,80.6841,84.3597,85.7914,86.8167,86.8372,88.1025,89.1351,90.4314,90.8632,90.9518,96.9188,101.636,105.516,107.259,112.642,112.933,114.099,122.263,138.806,142.935,147.395,154.183,169.653,185.459
-8.7893,0.89615,0.070284,4,31,0,10.8587,0.228326,67.6463,0.496649,0.228326,67.6463,0.496649,72.825,73.8104,75.2297,77.5214,77.9297,78.8353,78.8806,82.0611,82.5192,85.8613,87.1854,88.1405,88.1597,89.3459,90.3196,91.5489,91.9601,92.0445,97.8014,102.435,106.291,108.035,113.458,113.752,114.934,123.27,140.398,144.711,149.382,156.515,172.852,189.635
-8.27832,0.996444,0.070284,5,31,0,9.51355,0.281835,60.459,0.77053,0.281835,60.459,0.77053,68.1195,69.4374,71.293,74.2055,74.7153,75.8378,75.8936,79.755,80.3025,84.2422,85.78,86.8822,86.9043,88.2654,89.3768,90.7728,91.238,91.3334,97.7691,102.863,107.056,108.941,114.761,115.075,116.336,125.166,143.055,147.519,152.34,159.677,176.39,193.459
-8.73376,0.998467,0.070284,4,31,0,11.8097,0.424363,63.6176,0.00410235,0.424363,63.6176,0.00410235,66.6363,67.5394,68.9321,71.354,71.8032,72.8156,72.8667,76.5651,77.1123,81.1867,82.8334,84.0304,84.0545,85.5505,86.7855,88.3524,88.8782,88.9862,96.4219,102.473,107.535,109.83,116.98,117.368,118.929,129.942,152.556,158.241,164.394,173.776,195.22,217.182
-9.61441,0.736996,0.070284,5,63,0,12.3517,0.245513,55.899,1.44848,0.245513,55.899,1.44848,65.9669,67.5143,69.6388,72.8699,73.4245,74.6357,74.6955,78.7688,79.3364,83.3618,84.9082,86.0091,86.0311,87.3824,88.4797,89.8508,90.3061,90.3994,96.6191,101.459,105.4,107.161,112.56,112.85,114.013,122.101,138.269,142.269,146.578,153.114,167.93,182.978
-9.82641,0.994991,0.070284,5,31,0,10.5338,0.188403,64.7135,1.12098,0.188403,64.7135,1.12098,72.1425,73.3582,75.053,77.6823,78.1393,79.1431,79.1929,82.6208,83.1043,86.57,87.9172,88.8813,88.9006,90.0894,91.059,92.2756,92.6808,92.7638,98.3555,102.77,106.399,108.029,113.061,113.332,114.422,122.052,137.513,141.373,145.544,151.892,166.367,181.166
-9.25369,0.984307,0.070284,5,63,0,11.1614,0.350062,57.0957,0.830393,0.350062,57.0957,0.830393,66.4516,68.0149,70.1999,73.5968,74.1876,75.4854,75.5498,79.9803,80.6048,85.0756,86.8106,88.0511,88.0759,89.6043,90.8497,92.4109,92.9304,93.0369,100.188,105.81,110.417,112.481,118.839,119.182,120.555,130.146,149.455,154.254,159.43,167.293,185.16,203.355
-7.48377,0.986006,0.070284,5,47,0,11.3149,0.356142,67.1854,-0.0368276,0.356142,67.1854,-0.0368276,69.4225,70.1701,71.3406,73.411,73.7987,74.6762,74.7206,77.9615,78.445,82.0703,83.5467,84.6235,84.6452,85.9949,87.1121,88.5332,89.011,89.1092,95.9081,101.488,106.182,108.317,114.992,115.355,116.816,127.164,148.56,153.961,159.815,168.755,189.241,210.278
-8.53055,0.998645,0.070284,5,31,0,9.62203,0.242402,61.6983,0.892842,0.242402,61.6983,0.892842,69.2532,70.526,72.3108,75.099,75.5857,76.6562,76.7094,80.3816,80.9011,84.6346,86.0896,87.1319,87.1527,88.4391,89.489,90.8073,91.2466,91.3366,97.4074,102.208,106.158,107.934,113.415,113.71,114.898,123.213,140.062,144.267,148.81,155.724,171.48,187.579
-8.1042,0.995813,0.070284,4,31,0,9.93963,0.32403,60.6894,0.488867,0.32403,60.6894,0.488867,67.1219,68.331,70.0644,72.8444,73.3372,74.4283,74.4828,78.2893,78.8346,82.7926,84.3515,85.473,85.4955,86.8848,88.0226,89.4558,89.9344,90.0326,96.6938,102.009,106.407,108.388,114.526,114.858,116.191,125.55,144.603,149.371,154.525,162.375,180.283,198.597
-7.28604,0.995524,0.070284,5,39,0,8.68981,0.32236,73.0371,-0.278542,0.32236,73.0371,-0.278542,72.5738,72.948,73.6284,75.0061,75.2815,75.9205,75.9534,78.4624,78.8521,81.8689,83.1368,84.0732,84.0922,85.2788,86.2706,87.5436,87.9742,88.0629,94.315,99.5767,104.07,106.131,112.627,112.982,114.415,124.636,146.068,151.521,157.446,166.518,187.39,208.906
-8.25887,0.89788,0.070284,3,11,0,8.36514,0.314789,75.7031,-0.286585,0.314789,75.7031,-0.286585,75.1426,75.5086,76.1805,77.5517,77.8268,78.4657,78.4987,81.0157,81.4075,84.4455,85.7245,86.6699,86.6891,87.8877,88.8902,90.1776,90.6133,90.703,97.0366,102.376,106.942,109.036,115.644,116.006,117.465,127.877,149.737,155.304,161.354,170.621,191.95,213.949
-7.45476,0.983677,0.070284,2,3,0,8.36009,0.316393,75.3197,-0.381386,0.316393,75.3197,-0.381386,73.6716,73.8847,74.3549,75.4385,75.6667,76.2057,76.2338,78.4409,78.7926,81.5675,82.7549,83.6381,83.6561,84.7818,85.7277,86.9475,87.3616,87.4469,93.5197,98.6948,103.146,105.195,111.68,112.036,113.47,123.741,145.402,150.931,156.943,166.159,187.39,209.308
-7.52367,0.966697,0.070284,2,3,0,7.62659,0.318184,75.2511,-0.402897,0.318184,75.2511,-0.402897,73.3448,73.5235,73.9489,74.9705,75.1888,75.707,75.7341,77.8788,78.2228,80.9484,82.1197,82.9921,83.0099,84.1234,85.0601,86.2694,86.6801,86.7648,92.8018,97.959,102.401,104.447,110.927,111.283,112.717,122.991,144.677,150.215,156.237,165.47,186.742,208.704
-9.26527,0.963779,0.070284,5,31,0,13.2965,0.235515,76.3312,-0.204096,0.235515,76.3312,-0.204096,76.613,76.9874,77.6252,78.8514,79.0912,79.643,79.6713,81.8019,82.1297,84.6523,85.7078,86.4864,86.5022,87.4881,88.3117,89.3687,89.7263,89.8,94.9968,99.3848,103.145,104.874,110.341,110.641,111.85,120.514,138.846,143.541,148.653,156.502,174.642,193.438
-11.0268,0.984277,0.070284,4,15,0,11.4224,0.201924,76.9594,-0.108054,0.201924,76.9594,-0.108054,77.9056,78.3275,79.0098,80.2607,80.4997,81.0454,81.0732,83.138,83.4515,85.8421,86.8335,87.5623,87.577,88.4973,89.2643,90.2466,90.5784,90.6467,95.4493,99.4867,102.94,104.526,109.54,109.815,110.924,118.868,135.699,140.015,144.717,151.943,168.668,186.028
-7.81743,0.998573,0.070284,4,15,0,11.5526,0.280806,75.3268,-0.290025,0.280806,75.3268,-0.290025,74.7948,75.1146,75.7047,76.9145,77.1578,77.7237,77.7529,79.989,80.338,83.0505,84.1958,85.0434,85.0606,86.1366,87.0376,88.1961,88.5885,88.6694,94.3913,99.2373,103.394,105.305,111.347,111.679,113.015,122.577,142.753,147.907,153.514,162.114,181.948,202.448
-8.23652,0.858444,0.070284,5,31,0,9.75414,0.343171,77.072,-0.550743,0.343171,77.072,-0.550743,73.032,72.9514,73.0529,73.6538,73.8086,74.197,74.2179,76.0143,76.3198,78.8402,79.9618,80.8082,80.8255,81.9171,82.8436,84.0494,84.4611,84.5461,90.6951,96.0419,100.69,102.84,109.678,110.054,111.573,122.482,145.603,151.516,157.949,167.812,190.539,213.997
-8.47784,0.992277,0.070284,4,15,0,9.01944,0.382135,78.021,-0.532721,0.382135,78.021,-0.532721,73.7228,73.6708,73.8384,74.5949,74.7825,75.2484,75.2734,77.3844,77.7396,80.6448,81.9275,82.8923,82.912,84.1528,85.2032,86.567,87.0318,87.1278,94.0297,99.9845,105.134,107.509,115.039,115.453,117.121,129.061,154.212,160.62,167.583,178.244,202.758,228.006
-7.77619,0.965899,0.070284,5,31,0,9.21285,0.367496,72.7172,-0.378218,0.367496,72.7172,-0.378218,70.9069,71.1525,71.6888,72.9159,73.1734,73.7808,73.8124,76.2888,76.682,79.7742,81.0922,82.0707,82.0906,83.3356,84.3799,85.7245,86.1804,86.2743,92.9306,98.5664,103.393,105.607,112.597,112.98,114.522,125.525,148.58,154.439,160.802,170.541,192.919,215.958
-8.08364,0.996892,0.070284,5,31,0,8.44983,0.293229,78.0471,-0.414693,0.293229,78.0471,-0.414693,76.0956,76.2474,76.6285,77.5686,77.7713,78.2543,78.2795,80.2938,80.6184,83.2012,84.3156,85.1472,85.1641,86.2272,87.1227,88.2804,88.674,88.7552,94.5606,99.5437,103.85,105.837,112.143,112.49,113.889,123.928,145.213,150.663,156.595,165.699,186.709,208.438
-10.3479,0.499907,0.070284,2,3,0,11.507,0.29416,77.8127,-0.613501,0.29416,77.8127,-0.613501,73.6133,73.4388,73.3851,73.6972,73.7965,74.0585,74.073,75.3952,75.6297,77.6179,78.5244,79.2148,79.229,80.1264,80.8934,81.8979,82.2424,82.3136,87.5318,92.1505,96.2098,98.0988,104.146,104.481,105.832,115.594,136.533,141.925,147.803,156.839,177.739,199.394
-8.01469,0.995489,0.070284,3,11,0,11.1869,0.325182,73.8246,-0.408713,0.325182,73.8246,-0.408713,71.8447,72.0143,72.4283,73.4345,73.6504,74.1636,74.1904,76.3201,76.6621,79.3751,80.5417,81.411,81.4287,82.5383,83.4717,84.6769,85.0863,85.1707,91.1879,96.3275,100.754,102.792,109.245,109.599,111.028,121.255,142.828,148.334,154.321,163.497,184.634,206.448
-8.71206,0.999795,0.070284,6,63,0,9.11935,0.38707,63.5459,0.199271,0.38707,63.5459,0.199271,68.4495,69.5526,71.1855,73.9024,74.3943,75.4926,75.5477,79.464,80.0339,84.2222,85.893,87.1012,87.1255,88.6289,89.865,91.4277,91.9508,92.0582,99.3985,105.315,110.238,112.464,119.378,119.753,121.258,131.858,153.538,158.976,164.859,173.825,194.3,215.257
-10.1698,0.7373,0.070284,4,31,0,13.2103,0.404616,56.2305,0.711085,0.404616,56.2305,0.711085,65.6726,67.2872,69.5535,73.0942,73.7119,75.0699,75.1374,79.7875,80.4442,85.1536,86.9842,88.2938,88.32,89.9344,91.2505,92.9011,93.4505,93.5631,101.133,107.089,111.972,114.162,120.905,121.268,122.725,132.901,153.389,158.481,163.973,172.316,191.27,210.568
-9.27263,0.964736,0.070284,4,23,0,10.9756,0.377704,60.3809,0.474403,0.377704,60.3809,0.474403,67.6429,69.0058,70.9569,74.0792,74.6318,75.8544,75.9154,80.1706,80.779,85.1868,86.919,88.164,88.1889,89.7299,90.9908,92.5776,93.1072,93.2158,100.571,106.422,111.252,113.426,120.149,120.512,121.97,132.192,152.936,158.117,163.712,172.227,191.626,211.434
-8.26993,0.903221,0.070284,5,35,0,11.0339,0.245558,65.4568,0.431001,0.245558,65.4568,0.431001,70.3675,71.3274,72.7168,74.9733,75.3766,76.2725,76.3174,79.4746,79.9304,83.2627,84.5855,85.5404,85.5596,86.7463,87.7211,88.9524,89.3643,89.4489,95.2236,99.8774,103.753,105.507,110.961,111.257,112.446,120.835,138.073,142.413,147.115,154.292,170.729,187.61
-7.45498,0.989838,0.070284,5,63,0,9.98942,0.317999,66.1139,0.101865,0.317999,66.1139,0.101865,69.4132,70.2492,71.5129,73.6677,74.0635,74.9524,74.9972,78.2192,78.6937,82.2172,83.6384,84.6709,84.6917,85.9818,87.0467,88.3978,88.8512,88.9444,95.3625,100.596,104.985,106.977,113.195,113.534,114.893,124.51,144.358,149.366,154.792,163.079,182.067,201.569
-7.83404,0.801876,0.070284,3,15,0,12.0402,0.270972,68.7655,0.0458833,0.270972,68.7655,0.0458833,71.2238,71.9068,72.9545,74.7714,75.1084,75.8683,75.9067,78.692,79.1055,82.1985,83.4556,84.372,84.3905,85.5389,86.4894,87.6985,88.1051,88.1887,93.98,98.7444,102.762,104.592,110.326,110.638,111.896,120.825,139.393,144.099,149.207,157.023,174.981,193.483
-8.55681,0.997887,0.070284,4,15,0,8.96133,0.251505,74.9957,-0.261725,0.251505,74.9957,-0.261725,74.7759,75.0966,75.6702,76.8183,77.0469,77.5767,77.604,79.6819,80.0047,82.5074,83.5618,84.3416,84.3574,85.3469,86.1751,87.2398,87.6004,87.6747,92.9331,97.3901,101.217,102.978,108.551,108.857,110.091,118.931,137.646,142.437,147.654,155.664,174.165,193.325
-7.56433,0.921257,0.070284,5,31,0,9.82111,0.304829,74.9446,-0.297949,0.304829,74.9446,-0.297949,74.2833,74.6167,75.238,76.5205,76.7791,77.3809,77.412,79.7936,80.1654,83.0557,84.2755,85.178,85.1963,86.3417,87.3004,88.5325,88.9497,89.0357,95.1116,100.246,104.644,106.663,113.04,113.389,114.798,124.863,146.037,151.435,157.303,166.296,187.008,208.387
-7.35998,0.923411,0.070284,4,31,0,9.83978,0.3247,71.8259,-0.259376,0.3247,71.8259,-0.259376,71.58,71.9803,72.6932,74.1129,74.3946,75.0465,75.08,77.6233,78.0167,81.0528,82.3249,83.2634,83.2824,84.4703,85.4624,86.7346,87.1648,87.2533,93.4866,98.7206,103.185,105.23,111.674,112.026,113.446,123.573,144.78,150.172,156.029,164.997,185.62,206.874
-7.96478,0.97924,0.070284,5,35,0,9.23283,0.357256,64.2033,0.201684,0.357256,64.2033,0.201684,68.8132,69.8511,71.3888,73.951,74.4154,75.4527,75.5047,79.2096,79.7494,83.7216,85.3085,86.4568,86.4799,87.9097,89.086,90.5739,91.0722,91.1745,98.1765,103.832,108.545,110.678,117.309,117.668,119.114,129.298,150.173,155.417,161.091,169.744,189.522,209.783
-7.58903,0.944739,0.070284,4,31,0,10.4,0.284564,72.9699,-0.164062,0.284564,72.9699,-0.164062,73.6867,74.1727,74.9785,76.4888,76.7803,77.4479,77.482,80.0253,80.4129,83.372,84.5995,85.5016,85.5199,86.6584,87.6066,88.8199,89.2295,89.3138,95.2225,100.161,104.364,106.288,112.346,112.677,114.012,123.527,143.469,148.544,154.059,162.508,181.957,202.028
-9.96416,0.910879,0.070284,5,35,0,10.6608,0.425614,59.7652,0.366411,0.425614,59.7652,0.366411,66.6521,68.0112,69.9742,73.1477,73.7127,74.9652,75.0278,79.4127,80.0422,84.6168,86.4202,87.7179,87.7439,89.3518,90.6686,92.3272,92.881,92.9946,100.7,106.841,111.916,114.202,121.273,121.655,123.189,133.949,155.793,161.248,167.14,176.107,196.532,217.384
-9.32555,0.663857,0.070284,2,3,0,13.7821,0.414142,58.6509,0.290832,0.414142,58.6509,0.290832,64.4487,65.6531,67.41,70.2832,70.7982,71.9433,72.0006,76.0391,76.622,80.8774,82.5629,83.7782,83.8026,85.3109,86.5482,88.1088,88.6304,88.7375,96.0192,101.849,106.68,108.858,115.61,115.975,117.442,127.745,148.72,153.968,159.639,168.274,187.963,208.082
-10.7465,0.93199,0.070284,5,31,0,11.6695,0.407001,51.8873,0.888606,0.407001,51.8873,0.888606,62.1507,63.8227,66.1454,69.728,70.3482,71.7073,71.7746,76.3874,77.0346,81.6498,83.4331,84.7057,84.7312,86.2966,87.5701,89.1643,89.6942,89.8028,97.0718,102.758,107.402,109.48,115.865,116.208,117.585,127.179,146.412,151.179,156.316,164.112,181.796,199.771
-11.5835,0.946561,0.070284,6,63,0,12.3524,0.36781,49.457,1.31379,0.36781,49.457,1.31379,61.3993,63.2094,65.6853,69.432,70.0729,71.4706,71.5397,76.2209,76.8711,81.4684,83.2285,84.4797,84.5047,86.0385,87.2825,88.8349,89.3499,89.4554,96.4703,101.906,106.319,108.286,114.31,114.633,115.927,124.915,142.801,147.214,151.962,159.155,175.427,191.917
-8.96341,0.999083,0.070284,5,31,0,13.3904,0.218773,63.062,0.834378,0.218773,63.062,0.834378,69.7233,70.8667,72.4774,75.0089,75.4525,76.4298,76.4784,79.8467,80.325,83.7733,85.1221,86.0898,86.1092,87.3053,88.2828,89.5118,89.9216,90.0057,95.6883,100.202,103.927,105.604,110.793,111.073,112.199,120.099,136.176,140.201,144.552,151.18,166.314,181.806
-9.50439,0.995254,0.070284,6,63,0,10.615,0.449836,65.4332,-0.0779928,0.449836,65.4332,-0.0779928,67.6196,68.4583,69.7869,72.1608,72.6072,73.6188,73.6701,77.4148,77.9738,82.1635,83.8678,85.1097,85.1348,86.6902,87.9766,89.6115,90.1607,90.2736,98.0674,104.435,109.774,112.197,119.753,120.163,121.814,133.47,157.432,163.458,169.981,179.929,202.665,225.951
-7.97911,0.767786,0.070284,5,39,0,11.0944,0.306233,61.4984,0.527851,0.306233,61.4984,0.527851,67.9907,69.1946,70.9161,73.6697,74.1571,75.2355,75.2892,79.0457,79.5833,83.4821,85.0165,86.12,86.1422,87.509,88.6281,90.0375,90.5081,90.6046,97.1522,102.375,106.696,108.643,114.672,114.998,116.308,125.503,144.227,148.914,153.98,161.697,179.307,197.319
-8.39683,0.996667,0.070284,5,63,0,8.93382,0.346462,59.2215,0.53909,0.346462,59.2215,0.53909,66.3486,67.6556,69.519,72.4871,73.0111,74.169,74.2267,78.2465,78.8202,82.9707,84.5997,85.7699,85.7933,87.241,88.4252,89.915,90.412,90.514,97.4131,102.897,107.423,109.46,115.758,116.098,117.463,127.039,146.473,151.327,156.57,164.55,182.734,201.306
-9.08691,0.997289,0.070284,5,47,0,10.5644,0.334186,55.7822,0.933548,0.334186,55.7822,0.933548,65.3201,66.8807,69.0522,72.4099,72.992,74.2688,74.3321,78.6753,79.2857,83.6463,85.3345,86.5402,86.5644,88.0486,89.2571,90.7708,91.2743,91.3774,98.2956,103.721,108.16,110.148,116.265,116.594,117.915,127.127,145.643,150.241,155.198,162.726,179.824,197.225
-10.0058,0.999153,0.070284,5,63,0,10.5422,0.278729,52.502,1.75686,0.278729,52.502,1.75686,64.8847,66.7044,69.1769,72.8877,73.5192,74.8934,74.9612,79.5368,80.1694,84.6255,86.3245,87.5301,87.5542,89.0297,90.2247,91.714,92.2076,92.3086,99.0095,104.178,108.362,110.225,115.916,116.22,117.441,125.904,142.68,146.809,151.248,157.966,173.142,188.496
-11.0187,0.949239,0.070284,5,35,0,12.1954,0.147785,57.0413,2.87607,0.147785,57.0413,2.87607,68.367,69.9852,72.1698,75.4211,75.9715,77.1664,77.2252,81.178,81.7217,85.5349,86.9814,88.0057,88.0261,89.2773,90.2888,91.5471,91.9636,92.0488,97.679,101.995,105.475,107.02,111.728,111.979,112.987,119.949,133.665,137.026,140.635,146.087,158.365,170.747
-10.3066,0.998712,0.070284,5,47,0,11.6633,0.277289,51.9594,1.94194,0.277289,51.9594,1.94194,65.1732,67.0815,69.6642,73.5211,74.1755,75.5975,75.6675,80.3845,81.0348,85.604,87.3413,88.5725,88.5971,90.1025,91.3204,92.8369,93.3391,93.4419,100.245,105.475,109.7,111.578,117.309,117.615,118.843,127.342,144.138,148.264,152.696,159.399,174.519,189.793
-9.54803,0.894545,0.070284,3,15,0,12.8595,0.269892,56.1239,1.461,0.269892,56.1239,1.461,67.2281,68.92,71.238,74.7535,75.3558,76.6702,76.7351,81.1457,81.7592,86.1038,87.7699,88.9551,88.9788,90.4327,91.6126,93.086,93.575,93.6751,100.346,105.526,109.738,111.618,117.379,117.688,118.927,127.54,144.722,148.967,153.539,160.468,176.16,192.083
-10.451,0.907296,0.070284,5,63,0,11.7556,0.247019,54.3325,2.0154,0.247019,54.3325,2.0154,67.1601,69.0194,71.5379,75.303,75.9421,77.3316,77.4,82.0125,82.6488,87.1219,88.8236,90.0299,90.054,91.5293,92.7231,94.2098,94.7023,94.8031,101.477,106.611,110.76,112.606,118.238,118.539,119.746,128.102,144.628,148.689,153.053,159.653,174.545,189.595
-9.14818,0.998514,0.070284,5,31,0,10.8282,0.29821,56.1556,1.17766,0.29821,56.1556,1.17766,66.4515,68.0732,70.3113,73.7372,74.3275,75.6189,75.6828,80.045,80.6549,84.9925,86.6638,87.8551,87.8789,89.3428,90.5329,92.0212,92.5157,92.617,99.388,104.673,108.984,110.912,116.831,117.149,118.425,127.31,145.108,149.518,154.269,161.48,177.835,194.459
-9.20611,0.999817,0.070284,4,31,0,11.1351,0.219769,60.0866,1.3465,0.219769,60.0866,1.3465,69.3009,70.7468,72.742,75.7965,76.3229,77.4748,77.5318,81.4254,81.9701,85.8469,87.342,88.4082,88.4295,89.7402,90.8062,92.1398,92.5831,92.6739,98.75,103.501,107.381,109.118,114.455,114.742,115.894,123.922,140.041,144.041,148.355,154.905,169.781,184.924
-8.06505,0.993816,0.070284,5,47,0,11.7173,0.282069,77.0019,-0.355164,0.282069,77.0019,-0.355164,75.7766,76.0095,76.4889,77.5501,77.7703,78.288,78.3148,80.4132,80.7457,83.3608,84.477,85.3065,85.3234,86.3803,87.268,88.4127,88.8012,88.8813,94.5809,99.4439,103.633,105.563,111.679,112.015,113.37,123.085,143.652,148.915,154.643,163.433,183.72,204.704
-8.57616,0.991057,0.070284,5,31,0,9.40602,0.361813,80.5302,-0.59021,0.361813,80.5302,-0.59021,75.4932,75.3189,75.3176,75.8184,75.9626,76.3345,76.3549,78.1606,78.4749,81.1036,82.287,83.1835,83.2019,84.3618,85.349,86.6366,87.0769,87.1678,93.7699,99.5333,104.551,106.874,114.263,114.67,116.312,128.102,153.074,159.456,166.395,177.033,201.526,226.788
-9.71345,0.507247,0.070284,3,11,0,11.7263,0.341212,79.0865,-0.426388,0.341212,79.0865,-0.426388,76.6262,76.7839,77.2058,78.275,78.5075,79.0626,79.0917,81.4163,81.7915,84.777,86.0642,87.0241,87.0436,88.2698,89.3019,90.6351,91.0881,91.1815,97.8433,103.535,108.436,110.692,117.834,118.226,119.806,131.113,154.936,161.01,167.613,177.729,201.014,225.029
-8.30809,1,0.070284,1,1,0,9.31615,0.339161,78.9265,-0.485204,0.339161,78.9265,-0.485204,75.7116,75.7568,76.028,76.8779,77.0741,77.5515,77.5768,79.6563,79.9993,82.771,83.9827,84.891,84.9095,86.0748,87.0593,88.3354,88.7699,88.8595,95.2956,100.84,105.636,107.849,114.871,115.257,116.813,127.974,151.563,157.587,164.139,174.182,197.315,221.186
-8.72803,0.99779,0.070284,5,63,0,9.32613,0.364452,60.0815,0.498935,0.364452,60.0815,0.498935,67.295,68.6366,70.5541,73.6173,74.159,75.3568,75.4165,79.5814,80.1765,84.4858,86.1785,87.3948,87.4192,88.9245,90.1561,91.7059,92.223,92.3291,99.5103,105.222,109.936,112.058,118.62,118.974,120.397,130.375,150.625,155.683,161.146,169.459,188.403,207.748
-8.31467,0.991392,0.070284,2,7,0,8.97805,0.356888,60.5468,0.34817,0.356888,60.5468,0.34817,66.2761,67.4296,69.1044,71.8307,72.3182,73.4012,73.4554,77.268,77.8177,81.8288,83.417,84.562,84.585,86.0062,87.1721,88.6428,89.1345,89.2354,96.1017,101.604,106.167,108.227,114.613,114.958,116.347,126.107,146.015,151.002,156.394,164.609,183.358,202.537
-8.47448,0.933409,0.070284,6,63,0,9.45353,0.360918,72.2897,-0.199089,0.360918,72.2897,-0.199089,72.7598,73.3099,74.2405,76.0131,76.3576,77.1483,77.1888,80.2134,80.6753,84.2016,85.6636,86.7374,86.7591,88.1132,89.2401,90.6806,91.1666,91.2666,98.256,104.068,108.995,111.245,118.307,118.692,120.244,131.268,154.202,160.01,166.31,175.944,198.048,220.777
-8.64125,0.993433,0.070284,6,63,0,9.8284,0.300477,60.7585,0.746861,0.300477,60.7585,0.746861,68.7549,70.1343,72.0771,75.1271,75.6609,76.8365,76.895,80.9383,81.5115,85.6355,87.2448,88.3981,88.4212,89.8451,91.0077,92.4679,92.9544,93.0542,99.7823,105.104,109.484,111.451,117.526,117.853,119.169,128.379,147.022,151.671,156.692,164.33,181.723,199.477
-8.42365,0.955026,0.070284,4,31,0,10.0251,0.348993,72.8969,-0.20321,0.348993,72.8969,-0.20321,73.3058,73.8356,74.7348,76.4529,76.7874,77.5555,77.5948,80.5387,80.9887,84.4294,85.8577,86.9074,86.9286,88.2529,89.3556,90.7657,91.2416,91.3396,98.1918,103.899,108.742,110.955,117.906,118.285,119.813,130.678,153.313,159.05,165.276,174.798,196.658,219.148
-7.93064,0.955993,0.070284,2,3,0,8.81763,0.338818,72.4295,-0.363352,0.338818,72.4295,-0.363352,70.9456,71.1957,71.7205,72.8937,73.1379,73.7124,73.7422,76.0718,76.4408,79.3376,80.5712,81.4868,81.5054,82.6705,83.6478,84.9062,85.3329,85.4209,91.6561,96.9436,101.478,103.56,110.14,110.5,111.953,122.335,144.147,149.701,155.736,164.979,186.244,208.165
