# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-19 15:04:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp0q5afprg/7e9gcqd_.json
# random
#   seed = 58459
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cc/cc-20230719160441.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,chi
# Adaptation terminated
# Step size = 0.116889
# Diagonal elements of inverse mass matrix:
# 0.0043098, 58.364, 0.570803
-11.7253,0.987337,0.116889,4,15,0,12.2334,0.271565,47.0048,2.82373,0.271565,47.0048,2.82373,62.8645,65.0154,67.8871,72.1019,72.8091,74.3389,74.414,79.423,80.1065,84.8674,86.6598,87.9248,87.9499,89.4907,90.7328,92.2739,92.7831,92.8873,99.7269,104.924,109.087,110.93,116.522,116.82,118.012,126.219,142.243,146.148,150.33,156.635,170.776,184.971,18.0797
-8.09265,0.97585,0.116889,5,31,0,12.4133,0.289593,62.1525,0.479795,0.289593,62.1525,0.479795,67.9994,69.1089,70.7037,73.2705,73.7266,74.7375,74.788,78.3254,78.8333,82.5286,83.9876,85.0384,85.0595,86.3626,87.4308,88.7775,89.2275,89.3199,95.5976,100.623,104.79,106.67,112.502,112.818,114.086,123.004,141.218,145.785,150.725,158.255,175.458,193.075,15.5667
-7.48789,0.983119,0.116889,4,19,0,8.42181,0.313242,68.7417,-0.0835202,0.313242,68.7417,-0.0835202,70.2939,70.9071,71.885,73.6488,73.9826,74.7414,74.7799,77.6149,78.0412,81.2611,82.5821,83.5486,83.5681,84.7829,85.791,87.0766,87.5095,87.5986,93.7956,98.9217,103.257,105.234,111.435,111.773,113.135,122.806,142.929,148.028,153.561,162.025,181.463,201.47,14.9592
-7.80998,0.931885,0.116889,4,27,0,9.56218,0.298406,63.1665,0.447151,0.298406,63.1665,0.447151,69.0151,70.1402,71.7614,74.3788,74.8447,75.878,75.9296,79.5519,80.0727,83.8654,85.3645,86.4446,86.4662,87.8061,88.9049,90.2904,90.7535,90.8485,97.3129,102.492,106.788,108.727,114.742,115.068,116.376,125.578,144.375,149.089,154.189,161.961,179.718,197.903,15.151
-8.04763,0.981651,0.116889,3,15,0,8.60028,0.300318,62.6264,0.531358,0.300318,62.6264,0.531358,69.1443,70.3524,72.0801,74.8437,75.3329,76.4154,76.4694,80.2407,80.7805,84.696,86.2373,87.3459,87.3681,88.7413,89.8658,91.282,91.7548,91.8519,98.433,103.684,108.029,109.988,116.054,116.382,117.699,126.952,145.802,150.521,155.623,163.396,181.134,199.282,15.5487
-8.1947,0.956409,0.116889,5,31,0,8.76839,0.311842,74.185,-0.413098,0.311842,74.185,-0.413098,72.2288,72.385,72.7742,73.73,73.9358,74.4257,74.4514,76.4908,76.819,79.4267,80.5501,81.3877,81.4048,82.4748,83.3756,84.5394,84.9349,85.0164,90.8388,95.8232,100.122,102.104,108.384,108.729,110.12,120.093,141.173,146.561,152.421,161.409,182.126,203.526,16.212
-7.75915,0.655162,0.116889,4,27,0,10.535,0.367742,68.2684,-0.17702,0.367742,68.2684,-0.17702,68.9813,69.5459,70.4873,72.2567,72.5983,73.3805,73.4204,76.3944,76.8466,80.2885,81.7109,82.7543,82.7754,84.0897,85.1823,86.5777,87.0482,87.145,93.897,99.4967,104.236,106.398,113.179,113.549,115.037,125.604,147.553,153.106,159.129,168.335,189.448,211.147,15.4697
-7.94171,0.970128,0.116889,4,31,0,8.22844,0.387917,70.5843,-0.239528,0.387917,70.5843,-0.239528,70.5539,71.0594,71.9414,73.6663,74.0055,74.7874,74.8274,77.848,78.312,81.8698,83.3504,84.4393,84.4614,85.8361,86.9811,88.446,88.9404,89.0421,96.1626,102.091,107.118,109.413,116.618,117.011,118.594,129.836,153.2,159.112,165.524,175.324,197.796,220.886,15.8485
-7.67264,0.835854,0.116889,2,7,0,8.6011,0.378042,69.8158,-0.226301,0.378042,69.8158,-0.226301,69.9521,70.462,71.3421,73.0476,73.3816,74.1504,74.1898,77.1501,77.6039,81.079,82.5234,83.5852,83.6067,84.9467,86.0626,87.4898,87.9715,88.0706,95.0043,100.775,105.669,107.903,114.917,115.3,116.841,127.787,150.547,156.308,162.557,172.109,194.017,216.534,15.3201
-7.59862,0.987367,0.116889,5,31,0,8.08298,0.314052,76.2997,-0.385294,0.314052,76.2997,-0.385294,74.5972,74.8051,75.2692,76.3466,76.574,77.1118,77.1399,79.3464,79.6985,82.4787,83.6695,84.5555,84.5735,85.7033,86.6527,87.8776,88.2934,88.3791,94.4815,99.6858,104.165,106.226,112.754,113.113,114.558,124.902,146.732,152.305,158.367,167.659,189.071,211.178,14.7981
-10.8579,0.45923,0.116889,1,3,0,10.9246,0.313656,76.9978,-0.241673,0.313656,76.9978,-0.241673,76.9465,77.3892,78.1646,79.6885,79.9891,80.6832,80.7189,83.414,83.8297,87.0313,88.3703,89.3575,89.3775,90.6265,91.669,93.0055,93.4573,93.5503,100.093,105.583,110.266,112.411,119.17,119.54,121.03,131.655,153.918,159.582,165.734,175.157,196.832,219.181,21.2248
-12.1233,0.844567,0.116889,3,13,0,13.8783,0.320701,71.1689,-0.437656,0.320701,71.1689,-0.437656,68.9643,69.0794,69.4118,70.2811,70.472,70.9295,70.9535,72.8845,73.1976,75.6989,76.7815,77.5901,77.6066,78.6409,79.5127,80.6402,81.0236,81.1027,86.7585,91.6105,95.7995,97.7308,103.855,104.192,105.549,115.277,135.841,141.096,146.811,155.575,175.772,196.628,24.2292
-8.45369,0.99399,0.116889,4,31,0,12.4415,0.394817,61.4912,0.197679,0.394817,61.4912,0.197679,66.3108,67.3958,69.0019,71.6736,72.1572,73.2369,73.291,77.1401,77.7001,81.8144,83.4552,84.6415,84.6654,86.1414,87.3548,88.8887,89.4021,89.5075,96.7093,102.512,107.338,109.52,116.296,116.663,118.138,128.521,149.748,155.071,160.828,169.602,189.635,210.134,16.147
-7.59821,0.996407,0.116889,4,31,0,9.12682,0.283431,66.6534,0.18717,0.283431,66.6534,0.18717,70.3538,71.2054,72.4742,74.6045,74.9926,75.8612,75.9049,79.0281,79.4855,82.8681,84.227,85.2127,85.2325,86.4626,87.4768,88.7624,89.1935,89.2821,95.3726,100.329,104.48,106.364,112.243,112.563,113.848,122.936,141.701,146.437,151.571,159.413,177.392,195.871,15.083
-8.6409,0.985571,0.116889,4,23,0,9.18712,0.424216,65.8668,-0.120394,0.424216,65.8668,-0.120394,67.3972,68.1228,69.2942,71.4279,71.8332,72.7554,72.8022,76.2507,76.7691,80.677,82.2761,83.4441,83.4677,84.9337,86.1484,87.6949,88.2151,88.3221,95.7337,101.821,106.941,109.268,116.541,116.937,118.528,129.785,153.002,158.852,165.188,174.857,196.981,219.664,17.0491
-9.04253,0.716501,0.116889,5,31,0,11.0349,0.292811,57.1372,0.925474,0.292811,57.1372,0.925474,65.7202,67.1397,69.1206,72.1952,72.7296,73.9029,73.9611,77.9647,78.5288,82.5672,84.1345,85.2551,85.2775,86.6583,87.7835,89.1942,89.6637,89.76,96.2252,101.311,105.481,107.351,113.111,113.421,114.666,123.364,140.898,145.26,149.966,157.119,173.383,189.959,16.4218
-8.84032,0.93896,0.116889,5,31,0,10.211,0.365993,73.5973,-0.256356,0.365993,73.5973,-0.256356,73.3521,73.8198,74.6493,76.2945,76.6202,77.3729,77.4115,80.338,80.7895,84.2643,85.7158,86.785,86.8067,88.1583,89.2856,90.7295,91.2173,91.3177,98.3624,104.25,109.254,111.543,118.737,119.13,120.712,131.968,155.428,161.375,167.828,177.697,200.35,223.65,17.5332
-8.14986,0.840678,0.116889,5,31,0,10.3598,0.259995,65.9527,0.28391,0.259995,65.9527,0.28391,70.0635,70.9381,72.2242,74.352,74.7364,75.5941,75.6371,78.695,79.1402,82.4174,83.7278,84.6765,84.6956,85.8777,86.8509,88.0829,88.4958,88.5806,94.3962,99.113,103.056,104.844,110.418,110.721,111.938,120.543,138.292,142.769,147.623,155.037,172.034,189.505,16.1287
-7.58379,0.955598,0.116889,4,23,0,9.00732,0.328488,73.8188,-0.378065,0.328488,73.8188,-0.378065,72.1802,72.4028,72.8888,74.0021,74.2359,74.7878,74.8166,77.0714,77.4302,80.2568,81.4647,82.3625,82.3807,83.5244,84.4849,85.7229,86.1429,86.2295,92.382,97.615,102.111,104.178,110.716,111.075,112.52,122.858,144.621,150.17,156.201,165.442,186.718,208.665,15.0171
-7.74929,0.910412,0.116889,3,11,0,8.59851,0.363361,75.2071,-0.450246,0.363361,75.2071,-0.450246,72.3925,72.5067,72.8742,73.8721,74.0936,74.6261,74.6541,76.9144,77.2818,80.2193,81.4907,82.44,82.4594,83.6732,84.6957,86.0173,86.4665,86.5592,93.1715,98.8236,103.689,105.928,113.014,113.402,114.969,126.174,149.74,155.742,162.263,172.249,195.214,218.875,15.2094
