# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-19 15:05:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmppopryakv/l7b2sidm.json
# random
#   seed = 93440
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cc/cc-20230719160524.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,chi
# Adaptation terminated
# Step size = 0.050426
# Diagonal elements of inverse mass matrix:
# 0.00807833, 84.0001, 2.41231
-7.47841,0.998959,0.050426,5,43,0,8.07592,0.294158,67.2471,0.104511,0.294158,67.2471,0.104511,70.3806,71.1734,72.3723,74.4186,74.7947,75.6398,75.6824,78.7494,79.2015,82.563,83.9206,84.9076,84.9274,86.1614,87.1804,88.4741,88.9084,88.9977,95.1544,100.186,104.411,106.331,112.33,112.657,113.969,123.266,142.499,147.359,152.628,160.68,179.147,198.136,14.8808
-7.9657,0.841672,0.050426,4,19,0,10.0489,0.364574,71.5083,-0.348049,0.364574,71.5083,-0.348049,70.1239,70.4172,71.0109,72.308,72.5754,73.2025,73.235,75.7572,76.1546,79.2607,80.5775,81.5532,81.573,82.8123,83.8503,85.185,85.6371,85.7302,92.3135,97.87,102.62,104.798,111.666,112.041,113.555,124.353,146.952,152.693,158.926,168.466,190.382,212.944,15.8908
-10.0115,0.995843,0.050426,6,63,0,11.726,0.238884,54.1362,2.01585,0.238884,54.1362,2.01585,66.5379,68.3406,70.7839,74.4396,75.0605,76.4106,76.4771,80.9617,81.5807,85.9337,87.5905,88.7653,88.7887,90.2257,91.3887,92.8372,93.3171,93.4153,99.9209,104.929,108.978,110.779,116.276,116.571,117.749,125.911,142.06,146.03,150.297,156.751,171.317,186.041,17.4508
-10.7658,0.834339,0.050426,2,7,0,14.088,0.233886,53.4382,1.83695,0.233886,53.4382,1.83695,64.5754,66.2231,68.4655,71.838,72.4127,73.6641,73.7258,77.8992,78.4769,82.5513,84.1067,85.211,85.2331,86.5853,87.681,89.0471,89.5,89.5928,95.7483,100.504,104.358,106.074,111.323,111.604,112.731,120.547,136.065,139.889,144.002,150.228,164.303,178.556,18.7374
-10.59,0.982109,0.050426,4,23,0,12.7246,0.199299,53.0207,2.73182,0.199299,53.0207,2.73182,66.2527,68.1115,70.6113,74.3139,74.9388,76.2936,76.3603,80.826,81.4386,85.7239,87.3453,88.4919,88.5147,89.9139,91.0439,92.4483,92.9129,93.0079,99.2733,104.061,107.912,109.619,114.816,115.093,116.204,123.867,138.914,142.593,146.541,152.5,165.9,179.389,18.1818
-9.42738,0.959772,0.050426,6,63,0,11.8247,0.224029,60.3176,1.02592,0.224029,60.3176,1.02592,67.9337,69.1886,70.9398,73.6595,74.1325,75.1715,75.223,78.7723,79.2729,82.8614,84.2561,85.254,85.2739,86.5044,87.5077,88.7665,89.1856,89.2715,95.0532,99.6133,103.359,105.041,110.23,110.509,111.632,119.489,135.383,139.347,143.627,150.138,164.97,180.115,17.8837
-8.50134,0.9474,0.050426,5,39,0,11.1658,0.305785,68.8433,0.144391,0.305785,68.8433,0.144391,72.554,73.4459,74.7834,77.0448,77.4582,78.3851,78.4317,81.7758,82.2667,85.9032,87.3663,88.4283,88.4497,89.7756,90.8692,92.2559,92.721,92.8166,99.3916,104.745,109.229,111.264,117.613,117.959,119.346,129.159,149.404,154.511,160.045,168.496,187.862,207.753,16.989
