# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-19 15:06:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp27dy9szl/pad3858g.json
# random
#   seed = 29683
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cc/cc-20230719160609.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,chi
# Adaptation terminated
# Step size = 0.094574
# Diagonal elements of inverse mass matrix:
# 0.00431774, 59.3123, 0.727336
-7.43133,0.996103,0.094574,5,31,0,9.52178,0.354272,72.085,-0.304434,0.354272,72.085,-0.304434,71.2657,71.6279,72.3079,73.7182,74.0029,74.6656,74.6998,77.3211,77.7299,80.9025,82.2385,83.2258,83.2459,84.4974,85.5438,86.8871,87.3416,87.4352,94.032,99.5794,104.313,106.481,113.312,113.686,115.191,125.917,148.35,154.048,160.234,169.7,191.45,213.841,14.8065
-9.50495,0.886445,0.094574,4,15,0,10.1472,0.379625,81.5804,-0.609093,0.379625,81.5804,-0.609093,75.9202,75.6902,75.63,76.0796,76.2196,76.5866,76.6069,78.4396,78.7624,81.4826,82.714,83.6486,83.6678,84.8786,85.9102,87.2568,87.7175,87.8127,94.7301,100.773,106.035,108.469,116.212,116.638,118.357,130.697,156.793,163.454,170.695,181.789,207.313,233.616,17.6398
-7.69027,0.997637,0.094574,5,35,0,10.1523,0.27389,68.4084,0.083137,0.27389,68.4084,0.083137,71.1987,71.9278,73.0365,74.9407,75.292,76.0826,76.1225,79.0042,79.4304,82.6078,83.895,84.8321,84.851,86.0239,86.9936,88.226,88.6401,88.7252,94.61,99.4369,103.5,105.349,111.134,111.449,112.717,121.71,140.374,145.099,150.226,158.068,176.074,194.614,15.3524
-9.01908,0.906069,0.094574,4,31,0,9.55887,0.230171,65.7316,0.412815,0.230171,65.7316,0.412815,70.2421,71.1338,72.428,74.5372,74.915,75.755,75.7971,78.7652,79.1946,82.3396,83.5907,84.4947,84.5128,85.6372,86.5614,87.7297,88.1208,88.2011,93.6938,98.132,101.835,103.512,108.735,109.018,110.158,118.209,134.796,138.979,143.513,150.438,166.318,182.645,17.8348
-9.19749,0.984041,0.094574,5,31,0,9.67679,0.331356,59.8649,0.388117,0.331356,59.8649,0.388117,65.4854,66.5946,68.2,70.804,71.2688,72.3005,72.352,75.9777,76.4998,80.3066,81.8128,82.8985,82.9203,84.2675,85.3725,86.7663,87.2321,87.3277,93.8331,99.046,103.37,105.321,111.373,111.7,113.016,122.27,141.157,145.89,151.009,158.809,176.619,194.846,17.3623
-8.46079,0.984152,0.094574,4,29,0,9.7828,0.331421,69.4033,0.0320795,0.331421,69.4033,0.0320795,72.2818,73.0988,74.3533,76.5289,76.9321,77.841,77.887,81.2116,81.7042,85.3807,86.8708,87.9556,87.9774,89.3351,90.4573,91.8831,92.3621,92.4605,99.2595,104.824,109.499,111.623,118.261,118.622,120.075,130.358,151.611,156.976,162.792,171.674,192.032,212.943,16.9141
-8.32794,0.999704,0.094574,4,19,0,9.68211,0.388691,61.8284,0.195864,0.388691,61.8284,0.195864,66.5827,67.6556,69.2445,71.8897,72.3688,73.4384,73.4921,77.3077,77.863,81.9449,83.5735,84.7512,84.7749,86.2405,87.4455,88.969,89.4791,89.5838,96.7406,102.51,107.31,109.481,116.223,116.588,118.057,128.393,149.534,154.838,160.574,169.317,189.283,209.718,15.9563
-8.25854,0.987767,0.094574,5,63,0,9.11263,0.402446,70.2935,-0.312634,0.402446,70.2935,-0.312634,69.2737,69.6599,70.3931,71.9243,72.2341,72.9557,72.9929,75.8475,76.2925,79.7421,81.1923,82.263,82.2848,83.6408,84.7735,86.2262,86.7173,86.8185,93.9283,99.8826,104.948,107.264,114.545,114.943,116.544,127.93,151.632,157.634,164.145,174.095,196.917,220.366,16.4733
-7.6113,0.973615,0.094574,5,31,0,8.55297,0.293245,65.9622,0.268387,0.293245,65.9622,0.268387,70.4489,71.4104,72.825,75.1654,75.5881,76.531,76.5783,79.9369,80.4255,84.0181,85.4527,86.4908,86.5117,87.8043,88.8679,90.2135,90.6642,90.7567,97.0956,102.224,106.504,108.443,114.478,114.805,116.122,125.416,144.526,149.337,154.549,162.503,180.713,199.404,15.0587
-7.91267,0.837185,0.094574,2,3,0,9.1683,0.299919,65.8183,0.113278,0.299919,65.8183,0.113278,69.0223,69.823,71.0315,73.0891,73.4668,74.315,74.3577,77.4311,77.8837,81.245,82.6011,83.5865,83.6063,84.8378,85.8545,87.1447,87.5778,87.6668,93.8001,98.8069,103.008,104.916,110.875,111.199,112.503,121.729,140.8,145.615,150.835,158.811,177.096,195.891,15.6503
-8.31144,0.99646,0.094574,4,27,0,10.0552,0.265174,63.1118,0.68286,0.265174,63.1118,0.68286,70.0364,71.2617,72.998,75.7456,76.2289,77.2955,77.3486,81.0395,81.5652,85.3631,86.852,87.9211,87.9425,89.2648,90.3463,91.7066,92.1604,92.2535,98.5531,103.563,107.7,109.563,115.327,115.638,116.889,125.667,143.521,147.988,152.816,160.17,176.949,194.114,16.1389
-8.07458,1,0.094574,2,7,0,8.32101,0.266842,62.8262,0.597168,0.266842,62.8262,0.597168,69.1441,70.2933,71.9312,74.5419,75.0031,76.0229,76.0738,79.6201,80.1271,83.8015,85.2467,86.2859,86.3068,87.5938,88.6476,89.9746,90.4176,90.5085,96.6739,101.594,105.665,107.501,113.187,113.495,114.73,123.411,141.112,145.547,150.343,157.652,174.343,191.432,15.6266
-9.55583,0.86646,0.094574,2,7,0,9.86016,0.270246,62.0785,0.430638,0.270246,62.0785,0.430638,67.1836,68.1778,69.615,71.9446,72.3604,73.2836,73.3298,76.5768,77.0449,80.4617,81.8158,82.7925,82.8122,84.0251,85.0208,86.2776,86.6979,86.7842,92.6657,97.3938,101.325,103.101,108.621,108.92,110.122,118.59,135.945,140.307,145.029,152.231,168.708,185.606,18.4788
-7.9202,0.998685,0.094574,2,7,0,9.58313,0.275743,63.5432,0.468692,0.275743,63.5432,0.468692,69.1621,70.236,71.7823,74.2769,74.7209,75.7054,75.7546,79.206,79.7023,83.3176,84.747,85.7772,85.7979,87.0761,88.1245,89.4469,89.8889,89.9796,96.1539,101.106,105.216,107.072,112.834,113.146,114.399,123.223,141.274,145.806,150.709,158.186,175.279,192.797,15.4189
-8.1131,0.979468,0.094574,3,11,0,8.3017,0.266718,63.7985,0.586539,0.266718,63.7985,0.586539,70.1334,71.2899,72.9398,75.5721,76.0374,77.0665,77.1178,80.699,81.2112,84.9251,86.3865,87.4376,87.4587,88.7607,89.8268,91.1696,91.618,91.71,97.9516,102.935,107.06,108.92,114.683,114.995,116.247,125.048,143,147.498,152.364,159.779,176.715,194.057,15.8337
-8.64873,0.927148,0.094574,5,31,0,10.2417,0.418348,64.3744,0.0165298,0.418348,64.3744,0.0165298,67.5381,68.4593,69.8752,72.3292,72.7835,73.8068,73.8584,77.5905,78.1421,82.2458,83.903,85.1073,85.1316,86.6364,87.8783,89.4537,89.9824,90.091,97.5636,103.642,108.726,111.031,118.211,118.601,120.168,131.226,153.933,159.641,165.819,175.24,196.774,218.831,16.925
-9.10128,0.475269,0.094574,2,7,0,13.292,0.39762,61.9193,0.0692319,0.39762,61.9193,0.0692319,65.4004,66.3206,67.7173,70.1062,70.5453,71.5319,71.5816,75.1556,75.6815,79.5804,81.1498,82.2888,82.3118,83.7334,84.9057,86.3914,86.8897,86.992,94.0233,99.7313,104.501,106.662,113.392,113.757,115.225,125.583,146.844,152.188,157.973,166.794,186.957,207.613,17.5114
-12.0886,0.939063,0.094574,5,31,0,12.766,0.416017,49.0178,1.10407,0.416017,49.0178,1.10407,60.6198,62.4222,64.9002,68.6739,69.3219,70.7375,70.8075,75.5689,76.2324,80.9368,82.7433,84.029,84.0547,85.6325,86.9135,88.5137,89.0448,89.1536,96.405,102.041,106.624,108.671,114.942,115.278,116.627,126.005,144.71,149.331,154.306,161.847,178.919,196.237,19.7086
-10.5026,0.991837,0.094574,5,63,0,13.7326,0.440157,72.1976,-0.3063,0.440157,72.1976,-0.3063,71.1482,71.5958,72.4372,74.1797,74.5308,75.3472,75.3893,78.6048,79.1044,82.9658,84.5839,85.7768,85.801,87.3098,88.5685,90.1808,90.7255,90.8376,98.6981,105.253,110.814,113.353,121.319,121.753,123.502,135.917,161.667,168.173,175.225,185.996,210.664,235.977,20.8775
