# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-19 15:11:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpi2qg_nk_/akrprvub.json
# random
#   seed = 31466
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cc/cc-20230719161136.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,chi
# Adaptation terminated
# Step size = 0.0804643
# Diagonal elements of inverse mass matrix:
# 0.00472994, 61.2621, 0.94125
-8.17465,0.98792,0.0804643,5,39,0,10.0792,0.264158,62.4895,0.686639,0.264158,62.4895,0.686639,69.3475,70.5599,72.2776,74.995,75.473,76.5278,76.5803,80.2296,80.7493,84.5039,85.9756,87.0324,87.0536,88.3606,89.4295,90.7741,91.2226,91.3146,97.5407,102.492,106.58,108.421,114.117,114.425,115.661,124.335,141.978,146.392,151.163,158.43,175.01,191.972,15.7754
-9.32446,0.963224,0.0804643,4,23,0,10.1453,0.273006,57.9094,1.2362,0.273006,57.9094,1.2362,68.0686,69.6641,71.8652,75.2329,75.8131,77.0821,77.1449,81.4309,82.0301,86.2913,87.9332,89.1035,89.1269,90.5652,91.7343,93.1965,93.6824,93.7819,100.435,105.629,109.867,111.762,117.582,117.895,119.149,127.889,145.401,149.741,154.418,161.516,177.622,193.997,17.1689
-8.19975,0.992219,0.0804643,6,63,0,10.0554,0.363586,71.3444,-0.35665,0.363586,71.3444,-0.35665,69.859,70.1356,70.7064,71.9688,72.2303,72.8446,72.8765,75.3565,75.7481,78.8145,80.1167,81.082,81.1016,82.3284,83.3565,84.679,85.127,85.2193,91.75,97.268,101.988,104.153,110.982,111.356,112.862,123.604,146.1,151.816,158.023,167.523,189.351,211.824,16.364
-8.57914,0.972646,0.0804643,2,7,0,8.69844,0.36587,72.4221,-0.212311,0.36587,72.4221,-0.212311,72.7342,73.2702,74.1855,75.9436,76.2865,77.0747,77.1151,80.1403,80.6031,84.1428,85.6124,86.6924,86.7143,88.0768,89.2111,90.6616,91.151,91.2517,98.296,104.158,109.129,111.399,118.527,118.916,120.482,131.61,154.762,160.625,166.985,176.709,199.02,221.96,17.0818
-8.38599,0.993474,0.0804643,5,31,0,10.2445,0.34216,80.3809,-0.636398,0.34216,80.3809,-0.636398,74.9918,74.7326,74.6039,74.8906,74.996,75.2812,75.2973,76.7965,77.0667,79.3769,80.4364,81.2445,81.2611,82.3125,83.2116,84.3894,84.7933,84.8768,90.9898,96.3846,101.111,103.306,110.314,110.701,112.262,123.51,147.463,153.602,160.285,170.538,194.183,218.604,15.6832
-8.45022,0.793821,0.0804643,5,63,0,9.71309,0.309138,59.0844,0.677579,0.309138,59.0844,0.677579,66.5403,67.8508,69.7036,72.6262,73.1393,74.2703,74.3266,78.2292,78.7837,82.7814,84.3447,85.4659,85.4884,86.8739,88.0058,89.4284,89.9027,89.9999,96.5677,101.773,106.062,107.99,113.947,114.268,115.559,124.602,142.932,147.506,152.448,159.966,177.095,194.587,15.704
