# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-20 10:36:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = Modelo1/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpngs56yab/saotzy9x.json
# random
#   seed = 96465
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cc/cc-20230720113615_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.458228
# Diagonal elements of inverse mass matrix:
# 0.0232998, 0.00127313, 0.00846971
-6.053,0.952601,0.458228,3,15,0,6.34558,0.37641,63.1069,0.0867993,63.1069,0.37641,0.0867993,65.9366,66.7882,68.1008,70.3807,70.8031,71.7548,71.8028,75.2747,75.7878,79.6049,81.1461,82.2659,82.2884,83.6875,84.842,86.3063,86.7976,86.8986,93.8419,99.4877,104.21,106.35,113.017,113.379,114.833,125.101,146.184,151.485,157.222,165.971,185.972,206.461
-7.50404,0.992694,0.458228,4,15,0,8.21363,0.471473,61.5072,-0.107305,61.5072,0.471473,-0.107305,64.3711,65.2421,66.5917,68.9532,69.3929,70.3858,70.436,74.0811,74.6225,78.6669,80.3074,81.5016,81.5257,83.0202,84.2554,85.8244,86.3514,86.4597,93.9308,100.031,105.144,107.465,114.704,115.097,116.678,127.849,150.827,156.608,162.867,172.414,194.244,216.611
-6.79222,0.955662,0.458228,3,7,0,8.62917,0.483852,62.0344,-0.0291825,62.0344,0.483852,-0.0291825,65.2356,66.2013,67.6912,70.2823,70.7628,71.8454,71.9,75.8517,76.4359,80.7818,82.5362,83.8107,83.8364,85.4285,86.742,88.4077,88.9665,89.0813,96.9717,103.379,108.731,111.155,118.7,119.11,120.755,132.352,156.111,162.075,168.525,178.357,200.806,223.774
-5.67982,0.973366,0.458228,3,7,0,8.63821,0.399902,66.7762,-0.14729,66.7762,0.399902,-0.14729,69.3126,70.0904,71.3007,73.4327,73.8315,74.734,74.7797,78.1153,78.6135,82.3542,83.8805,84.9946,85.0171,86.4148,87.5726,89.0465,89.5423,89.6443,96.7135,102.531,107.433,109.665,116.649,117.029,118.559,129.406,151.871,157.548,163.701,173.103,194.655,216.794
-5.26408,0.997509,0.458228,4,15,0,6.85826,0.375778,67.0506,-0.139454,67.0506,0.375778,-0.139454,69.4669,70.2082,71.3622,73.3964,73.7771,74.6388,74.6825,77.8701,78.3464,81.9263,83.3883,84.4558,84.4774,85.8172,86.9275,88.3416,88.8174,88.9152,95.7058,101.302,106.023,108.174,114.909,115.276,116.753,127.228,148.96,154.457,160.418,169.53,190.429,211.916
-5.49719,0.962374,0.458228,3,7,0,6.46668,0.413605,66.0641,-0.0987212,66.0641,0.413605,-0.0987212,68.7941,69.6266,70.9181,73.1835,73.606,74.5608,74.6091,78.1235,78.6465,82.5625,84.1547,85.3152,85.3386,86.7924,87.9952,89.5244,90.0384,90.1441,97.4497,103.436,108.467,110.754,117.898,118.286,119.849,130.909,153.74,159.497,165.734,175.256,197.059,219.43
