# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-20 10:36:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = Modelo1/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpngs56yab/saotzy9x.json
# random
#   seed = 96465
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cc/cc-20230720113615_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.399603
# Diagonal elements of inverse mass matrix:
# 0.0302434, 0.00181348, 0.0106424
-6.44471,0.846182,0.399603,3,7,0,6.69725,0.345121,68.4938,0.118888,68.4938,0.345121,0.118888,71.3925,72.2649,73.6095,75.9454,76.3783,77.3536,77.4029,80.9621,81.4883,85.4041,86.9859,88.1355,88.1586,89.5952,90.781,92.2853,92.7902,92.8939,100.033,105.843,110.707,112.912,119.785,120.159,121.659,132.256,154.045,159.527,165.463,174.519,195.231,216.463
-6.44471,0.730232,0.399603,2,3,0,8.59998,0.345121,68.4938,0.118888,68.4938,0.345121,0.118888,71.3925,72.2649,73.6095,75.9454,76.3783,77.3536,77.4029,80.9621,81.4883,85.4041,86.9859,88.1355,88.1586,89.5952,90.781,92.2853,92.7902,92.8939,100.033,105.843,110.707,112.912,119.785,120.159,121.659,132.256,154.045,159.527,165.463,174.519,195.231,216.463
-4.41805,0.971128,0.399603,2,7,0,6.92798,0.29764,68.5047,0.0372335,68.5047,0.29764,0.0372335,70.8403,71.5496,72.6482,74.5711,74.9292,75.7382,75.7791,78.7535,79.196,82.5078,83.8545,84.8362,84.856,86.0862,87.1043,88.3992,88.8345,88.924,95.1195,100.208,104.493,106.443,112.546,112.878,114.215,123.695,143.352,148.323,153.716,161.959,180.874,200.329
-4.38251,0.999613,0.399603,3,7,0,4.46629,0.319672,68.3097,-0.0568206,68.3097,0.319672,-0.0568206,70.596,71.2945,72.3797,74.2873,74.6437,75.4498,75.4906,78.4662,78.9102,82.2433,83.603,84.5954,84.6155,85.8606,86.8922,88.2057,88.6476,88.7385,95.0434,100.239,104.623,106.621,112.879,113.22,114.592,124.335,144.575,149.7,155.26,163.763,183.284,203.372
-5.5355,0.810954,0.399603,2,7,0,6.44035,0.313516,70.5471,0.0397335,70.5471,0.313516,0.0397335,73.0841,73.8536,75.0446,77.1268,77.5143,78.3893,78.4335,81.6468,82.1242,85.6947,87.145,88.2016,88.2229,89.5463,90.641,92.0326,92.5003,92.5964,99.2446,104.695,109.28,111.364,117.883,118.238,119.665,129.775,150.697,155.983,161.714,170.47,190.547,211.181
-4.99494,0.997055,0.399603,2,7,0,6.87449,0.333714,65.7764,-0.00964267,65.7764,0.333714,-0.00964267,68.1797,68.9105,70.0429,72.0261,72.3956,73.2304,73.2726,76.3427,76.7994,80.2181,81.6081,82.6213,82.6417,83.9112,84.9617,86.2975,86.7466,86.8389,93.2265,98.4683,102.879,104.885,111.16,111.501,112.875,122.61,142.76,147.851,153.37,161.803,181.137,201.005
-5.30505,0.992461,0.399603,3,7,0,5.83681,0.371724,66.8889,-0.14228,66.8889,0.371724,-0.14228,69.2665,69.9964,71.1329,73.137,73.5122,74.3615,74.4045,77.5478,78.0176,81.5501,82.9932,84.0473,84.0685,85.3916,86.4882,87.8849,88.355,88.4516,95.1625,100.696,105.366,107.494,114.159,114.522,115.984,126.355,147.881,153.328,159.235,168.265,188.982,210.284
-5.77506,0.855533,0.399603,2,3,0,6.41364,0.381716,65.47,-0.139338,65.47,0.381716,-0.139338,67.8662,68.6011,69.745,71.7606,72.1377,72.9912,73.0344,76.1907,76.6622,80.2048,81.6511,82.707,82.7283,84.0533,85.1512,86.5492,87.0196,87.1163,93.827,99.3545,104.016,106.139,112.786,113.148,114.605,124.939,146.365,151.783,157.658,166.636,187.226,208.39
-4.68167,0.997288,0.399603,4,15,0,6.34231,0.317771,70.0129,-0.0592186,70.0129,0.317771,-0.0592186,72.337,73.0473,74.151,76.0916,76.4542,77.2744,77.316,80.3448,80.7968,84.1909,85.5757,86.5867,86.6071,87.8756,88.9266,90.265,90.7153,90.8079,97.2343,102.532,107.003,109.04,115.424,115.772,117.173,127.114,147.774,153.006,158.684,167.366,187.301,207.819
-4.60734,1,0.399603,3,7,0,4.87533,0.303223,69.7009,0.0397503,69.7009,0.303223,0.0397503,72.1265,72.8628,74.0028,75.9971,76.3684,77.207,77.2495,80.3312,80.7894,84.2179,85.6113,86.6269,86.6474,87.9197,88.9725,90.3112,90.7612,90.8537,97.2548,102.508,106.93,108.942,115.235,115.578,116.957,126.727,146.969,152.087,157.637,166.119,185.576,205.583
-4.72277,0.993694,0.399603,3,7,0,5.56789,0.358895,66.7054,0.0547139,66.7054,0.358895,0.0547139,69.4813,70.3198,71.6145,73.8698,74.2886,75.2328,75.2805,78.7348,79.2465,83.0614,84.6055,85.7286,85.7513,87.1559,88.3162,89.7892,90.2837,90.3853,97.3903,103.105,107.894,110.067,116.847,117.216,118.697,129.166,150.723,156.152,162.032,171.004,191.537,212.593
-4.66644,0.963766,0.399603,3,15,0,5.10967,0.333353,66.1365,0.0582611,66.1365,0.333353,0.0582611,68.7046,69.4814,70.682,72.7762,73.1653,74.0433,74.0876,77.3043,77.7814,81.3423,82.7856,83.8362,83.8574,85.172,86.2585,87.6387,88.1022,88.1975,94.7733,100.149,104.661,106.71,113.109,113.457,114.857,124.757,145.187,150.34,155.922,164.446,183.969,204.01
-5.34132,0.988376,0.399603,3,7,0,5.50309,0.382401,65.4791,-0.112985,65.4791,0.382401,-0.112985,67.9478,68.703,69.8767,71.9409,72.3266,73.199,73.2432,76.4632,76.9435,80.5474,82.0164,83.0882,83.1098,84.454,85.5672,86.9839,87.4603,87.5583,94.3471,99.9291,104.631,106.771,113.467,113.832,115.299,125.695,147.223,152.662,158.558,167.567,188.219,209.436
-5.16219,0.949605,0.399603,3,15,0,6.43534,0.344522,69.544,-0.104402,69.544,0.344522,-0.104402,71.9317,72.6632,73.8011,75.805,76.1799,77.0281,77.0711,80.2072,80.6756,84.1957,85.633,86.6826,86.7038,88.021,89.1127,90.503,90.9709,91.0671,97.7458,103.253,107.901,110.019,116.655,117.016,118.472,128.802,150.258,155.69,161.582,170.591,191.269,212.541
-4.68867,0.995144,0.399603,3,15,0,6.2106,0.371541,66.1247,-0.0706922,66.1247,0.371541,-0.0706922,68.6552,69.4267,70.6239,72.7243,73.1162,74.0018,74.0466,77.3083,77.7941,81.433,82.9138,83.9935,84.0152,85.3684,86.4883,87.9128,88.3918,88.4902,95.3048,100.898,105.605,107.746,114.44,114.805,116.271,126.653,148.13,153.552,159.431,168.409,188.986,210.12
