# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-20 10:58:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp5qz_s0lv/w6dpjhpy.json
# random
#   seed = 49479
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cc/cc-20230720115812.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.445258
# Diagonal elements of inverse mass matrix:
# 0.0293902, 0.00185591, 0.00801757
-5.88193,0.965227,0.445258,3,7,0,6.63487,0.372408,66.7663,-0.174498,66.7663,0.372408,-0.174498,69.0612,69.768,70.8704,72.8192,73.1846,74.0125,74.0545,77.1254,77.5853,81.0486,82.466,83.5021,83.523,84.8245,85.904,87.2798,87.743,87.8383,94.4619,99.935,104.56,106.669,113.281,113.641,115.093,125.396,146.815,152.239,158.123,167.122,187.776,209.024
-6.35416,0.973983,0.445258,3,7,0,7.00859,0.332616,66.908,0.186792,66.908,0.332616,0.186792,69.7939,70.6593,71.9909,74.2981,74.7248,75.6856,75.734,79.2313,79.7474,83.5806,85.1259,86.2479,86.2705,87.6716,88.8273,90.2923,90.7837,90.8847,97.8219,103.455,108.164,110.297,116.94,117.3,118.749,128.973,149.962,155.238,160.948,169.657,189.565,209.962
-5.4869,0.945477,0.445258,3,7,0,7.16416,0.36504,65.9563,-0.125661,65.9563,0.36504,-0.125661,68.3006,69.0194,70.1378,72.1084,72.4771,73.3115,73.3538,76.4394,76.9004,80.3643,81.7786,82.8113,82.8322,84.1282,85.2023,86.57,87.0302,87.1249,93.6931,99.1062,103.673,105.754,112.27,112.625,114.054,124.191,145.226,150.547,156.319,165.142,185.383,206.196
-5.70424,0.973124,0.445258,3,7,0,6.35786,0.338911,67.6636,0.130538,67.6636,0.338911,0.130538,70.504,71.3585,72.6755,74.9628,75.3866,76.3414,76.3897,79.8735,80.3885,84.2204,85.7682,86.893,86.9156,88.3212,89.4813,90.9531,91.447,91.5485,98.5323,104.217,108.974,111.131,117.855,118.22,119.689,130.055,151.372,156.736,162.544,171.405,191.673,212.451
-6.91553,0.65302,0.445258,2,7,0,8.15904,0.292235,65.5858,0.13988,65.5858,0.292235,0.13988,67.985,68.7088,69.8261,71.7715,72.1326,72.9469,72.988,75.9672,76.4087,79.7007,81.034,82.0041,82.0237,83.2373,84.2402,85.5138,85.9415,86.0294,92.0948,97.0517,101.212,103.102,109.004,109.325,110.616,119.75,138.615,143.375,148.534,156.413,174.469,193.014
-5.59907,0.941633,0.445258,4,15,0,7.31793,0.282608,68.4109,-0.0673741,68.4109,0.282608,-0.0673741,70.4177,71.0328,71.9902,73.6778,73.9938,74.709,74.7453,77.3938,77.79,80.7719,81.9919,82.8836,82.9016,84.0218,84.951,86.1356,86.5344,86.6165,92.3253,97.0512,101.052,102.878,108.612,108.925,110.185,119.15,137.863,142.617,147.779,155.683,173.865,192.616
-5.06885,0.95189,0.445258,2,7,0,6.36137,0.311578,68.8603,0.10165,68.8603,0.311578,0.10165,71.4584,72.2431,73.4551,75.5668,75.9589,76.8434,76.8881,80.126,80.6059,84.1863,85.6368,86.6923,86.7136,88.0342,89.1256,90.5116,90.9771,91.0728,97.6745,103.07,107.598,109.655,116.078,116.427,117.831,127.768,148.282,153.456,159.063,167.626,187.242,207.384
-5.15581,0.941665,0.445258,2,7,0,6.12206,0.302107,68.1637,-0.0855214,68.1637,0.302107,-0.0855214,70.2605,70.9034,71.9041,73.6682,73.9985,74.7462,74.7841,77.5523,77.9663,81.0816,82.3557,83.2868,83.3056,84.4751,85.4449,86.6811,87.0973,87.1829,93.136,98.0593,102.224,104.124,110.087,110.412,111.722,121.033,140.441,145.366,150.713,158.896,177.707,197.092
