# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-27 20:11:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmptlygldh0/ep91e15r.json
# random
#   seed = 67630
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cc/cc-20230727211152.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.325596
# Diagonal elements of inverse mass matrix:
# 0.0269345, 0.00136499, 0.00862578
-5.1498,0.921459,0.325596,3,11,0,5.86463,0.290265,67.8366,-0.0228383,67.8366,0.290265,-0.0228383,69.9706,70.622,71.6337,73.4112,73.7432,74.4941,74.5321,77.3038,77.7173,80.8222,82.089,83.0138,83.0325,84.193,85.1546,86.3792,86.7912,86.876,92.7584,97.6106,101.708,103.576,109.432,109.751,111.037,120.166,139.163,143.979,149.206,157.204,175.58,194.507
-4.46872,0.9967,0.325596,2,7,0,5.46794,0.307937,67.6005,0.0182622,67.6005,0.307937,0.0182622,69.9429,70.6548,71.7578,73.6891,74.049,74.8619,74.903,77.8929,78.3377,81.6683,83.023,84.0105,84.0305,85.268,86.2923,87.595,88.033,88.1231,94.3568,99.4769,103.788,105.75,111.89,112.224,113.569,123.105,142.871,147.87,153.291,161.577,180.586,200.136
-4.59468,0.887616,0.325596,3,7,0,6.13692,0.343864,67.1458,0.0609486,67.1458,0.343864,0.0609486,69.8401,70.6543,71.9121,74.1043,74.5114,75.4297,75.4761,78.8378,79.336,83.0524,84.5576,85.6528,85.6749,87.0449,88.1769,89.6143,90.097,90.1962,97.0381,102.625,107.311,109.438,116.077,116.438,117.889,128.15,149.303,154.633,160.408,169.223,189.402,210.107
-4.5464,0.940764,0.325596,3,7,0,5.28698,0.345673,66.6763,0.0597403,66.6763,0.345673,0.0597403,69.3627,70.1745,71.4285,73.614,74.0199,74.9354,74.9816,78.3328,78.8295,82.5339,84.0342,85.1258,85.1478,86.5132,87.6414,89.074,89.5551,89.6539,96.4721,102.039,106.708,108.827,115.442,115.801,117.247,127.469,148.538,153.848,159.599,168.378,188.475,209.094
-5.3822,0.992814,0.325596,3,15,0,5.47732,0.304292,71.0929,-0.127176,71.0929,0.304292,-0.127176,73.2019,73.8509,74.863,76.6522,76.9878,77.7482,77.7868,80.6094,81.0324,84.2214,85.5284,86.4845,86.5038,87.7056,88.7031,89.9753,90.4039,90.4921,96.6335,101.725,106.039,108.009,114.197,114.535,115.895,125.576,145.792,150.927,156.504,165.043,184.684,204.935
-6.02262,0.991432,0.325596,3,7,0,6.50127,0.320791,69.7692,-0.191275,69.7692,0.320791,-0.191275,71.8007,72.4293,73.4122,75.1568,75.4848,76.2291,76.2669,79.0394,79.456,82.6047,83.8986,84.8461,84.8653,86.0576,87.0481,88.3127,88.7389,88.8266,94.9471,100.035,104.353,106.326,112.531,112.87,114.235,123.957,144.288,149.456,155.071,163.669,183.451,203.854
-4.63597,0.992008,0.325596,3,11,0,7.51518,0.336956,67.0814,0.0763075,67.0814,0.336956,0.0763075,69.7557,70.5634,71.8107,73.9836,74.3871,75.2969,75.3429,78.6724,79.1657,82.8446,84.3342,85.4179,85.4397,86.7953,87.9152,89.3373,89.8148,89.9129,96.6799,102.204,106.837,108.941,115.505,115.861,117.296,127.44,148.351,153.62,159.329,168.043,187.993,208.463
-6.31474,0.975919,0.325596,4,15,0,7.2405,0.231551,73.0304,-0.0616068,73.0304,0.231551,-0.0616068,74.8004,75.3445,76.1926,77.6917,77.9729,78.6101,78.6424,81.0095,81.3645,84.0442,85.1442,85.9495,85.9657,86.9789,87.8205,88.895,89.2572,89.3317,94.5357,98.8688,102.552,104.238,109.547,109.838,111.008,119.359,136.915,141.395,146.269,153.745,170.997,188.85
-10.4164,0.880953,0.325596,4,15,0,14.0206,0.457902,68.1883,-0.270179,68.1883,0.457902,-0.270179,70.7523,71.5474,72.7914,75.0001,75.4154,76.3574,76.4052,79.9102,80.4362,84.4044,86.0311,87.2209,87.2449,88.7401,89.9806,91.5623,92.0949,92.2044,99.8232,106.119,111.437,113.861,121.457,121.871,123.537,135.358,159.883,166.085,172.809,183.085,206.646,230.855
-4.4459,1,0.325596,3,7,0,10.7884,0.300397,69.6351,-0.0499032,69.6351,0.300397,-0.0499032,71.8424,72.5172,73.5659,75.4107,75.7556,76.5357,76.5752,79.4574,79.8878,83.1209,84.4409,85.4048,85.4243,86.6342,87.6369,88.9142,89.344,89.4324,95.5715,100.638,104.919,106.87,112.989,113.322,114.665,124.206,144.061,149.095,154.558,162.917,182.122,201.902
-5.47163,0.960157,0.325596,2,7,0,7.81742,0.243524,71.6383,-0.00205122,71.6383,0.243524,-0.00205122,73.5714,74.1624,75.081,76.6979,77.0002,77.6845,77.7191,80.2501,80.6284,83.4742,84.6379,85.4885,85.5057,86.5741,87.4603,88.59,88.9705,89.0487,94.4948,99.0061,102.828,104.573,110.057,110.356,111.562,120.15,138.114,142.684,147.651,155.261,172.787,190.887
-4.74644,0.987408,0.325596,3,15,0,7.48564,0.339229,69.1566,-0.0333532,69.1566,0.339229,-0.0333532,71.6672,72.4317,73.6175,75.6964,76.0841,76.9602,77.0046,80.2301,80.7103,84.3078,85.7718,86.8393,86.8608,88.1987,89.3061,90.7148,91.1884,91.2858,98.0275,103.565,108.227,110.348,116.984,117.345,118.799,129.1,150.435,155.827,161.673,170.607,191.091,212.145
