# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 20:31:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpfdist83k/pudhnfkr.json
# random
#   seed = 21181
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cmb/cmb-20230727213100.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,zeta,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 9.74741e-05
# Diagonal elements of inverse mass matrix:
# 2.43903e-05, 2.43902e-05, 2.43903e-05, 2.43903e-05
-682443,0.909091,9.74741e-05,3,11,1,682444,124.854,0.066641,0.517224,1.49014e-06,1.24854,0.066641,0.450583,4.15e-05,2.6622e-05,0.482749,1.24854,0.066641,0.450583,2.6622e-05,0.482749,1.49014e-06,0.0167397,0.414773,1071.06,0,0,2.5572,2.5572,0.037299,215.386,1.83909,0.103884,-86.1842,0.0983912,0.081604
-682443,0.75,9.74741e-05,2,4,1,682444,124.854,0.066641,0.517224,9.03924e-07,1.24854,0.066641,0.450583,4.15e-05,2.6622e-05,0.482749,1.24854,0.066641,0.450583,2.6622e-05,0.482749,9.03924e-07,0.0167397,0.414773,1071.06,0,0,2.5572,2.5572,0.0372989,215.386,1.83909,0.103884,-86.1841,0.0983914,0.0816041
-682442,0.75,9.74741e-05,2,4,1,682446,124.854,0.0666411,0.517225,2.44711e-07,1.24854,0.0666411,0.450584,4.15e-05,2.66221e-05,0.482749,1.24854,0.0666411,0.450584,2.66221e-05,0.482749,2.44711e-07,0.0167398,0.414774,1071.06,0,0,2.55719,2.55719,0.0372989,215.386,1.83909,0.103884,-86.1842,0.0983918,0.0816037
-682442,0.5,9.74741e-05,1,2,1,682443,124.854,0.0666411,0.517225,1.24493e-07,1.24854,0.0666411,0.450584,4.15e-05,2.66221e-05,0.482748,1.24854,0.0666411,0.450584,2.66221e-05,0.482748,1.24493e-07,0.0167397,0.414774,1071.06,0,0,2.55719,2.55719,0.0372989,215.386,1.83909,0.103884,-86.1842,0.0983919,0.0816038
-682442,0,9.74741e-05,0,1,1,682443,124.854,0.0666411,0.517225,1.24493e-07,1.24854,0.0666411,0.450584,4.15e-05,2.66221e-05,0.482748,1.24854,0.0666411,0.450584,2.66221e-05,0.482748,1.24493e-07,0.0167397,0.414774,1071.06,0,0,2.55719,2.55719,0.0372989,215.386,1.83909,0.103884,-86.1842,0.0983919,0.0816038
-682442,0,9.74741e-05,0,1,1,682445,124.854,0.0666411,0.517225,1.24493e-07,1.24854,0.0666411,0.450584,4.15e-05,2.66221e-05,0.482748,1.24854,0.0666411,0.450584,2.66221e-05,0.482748,1.24493e-07,0.0167397,0.414774,1071.06,0,0,2.55719,2.55719,0.0372989,215.386,1.83909,0.103884,-86.1842,0.0983919,0.0816038
