# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 20:32:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpkd37ey9d/ghaz6qxv.json
# random
#   seed = 15198
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cmb/cmb-20230727213247.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,zeta,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 4.36599e-05
# Diagonal elements of inverse mass matrix:
# 2.43903e-05, 2.43903e-05, 2.43904e-05, 2.46095e-05
-679153,0.965515,4.36599e-05,4,29,1,679158,119.052,0.0732598,0.525732,2.69575e-06,1.19052,0.0732598,0.452472,4.15e-05,2.92804e-05,0.474239,1.19052,0.0732598,0.452472,2.92804e-05,0.474239,2.69575e-06,119.052,0.525732,0.0167471,0.414868,1070.55,0,0,2.53998,2.53998,0.0370002,215.663,1.84167,0.103833,-85.9069,0.100975,0.0815533
-679154,0.979592,4.36599e-05,5,49,1,679154,119.051,0.0732596,0.525732,4.56506e-06,1.19051,0.0732596,0.452473,4.15e-05,2.92805e-05,0.474239,1.19051,0.0732596,0.452473,2.92805e-05,0.474239,4.56506e-06,119.051,0.525732,0.0167472,0.41487,1070.55,0,0,2.53998,2.53998,0.0370003,215.663,1.84167,0.103833,-85.9072,0.100974,0.0815526
-679154,0.976189,4.36599e-05,5,42,1,679154,119.051,0.0732595,0.525731,3.4158e-06,1.19051,0.0732595,0.452471,4.15e-05,2.92806e-05,0.47424,1.19051,0.0732595,0.452471,2.92806e-05,0.47424,3.4158e-06,119.051,0.525731,0.0167473,0.41487,1070.55,0,0,2.53998,2.53998,0.0370004,215.663,1.84167,0.103832,-85.9073,0.100974,0.0815523
-679154,0.959999,4.36599e-05,4,25,1,679154,119.051,0.0732597,0.525731,4.48677e-06,1.19051,0.0732597,0.452472,4.15e-05,2.92806e-05,0.474239,1.19051,0.0732597,0.452472,2.92806e-05,0.474239,4.48677e-06,119.051,0.525731,0.0167472,0.41487,1070.55,0,0,2.53998,2.53998,0.0370003,215.663,1.84167,0.103832,-85.9073,0.100974,0.0815524
-679155,0.95,4.36599e-05,4,20,1,679157,119.051,0.0732597,0.525731,7.2572e-06,1.19051,0.0732597,0.452471,4.15e-05,2.92806e-05,0.47424,1.19051,0.0732597,0.452471,2.92806e-05,0.47424,7.2572e-06,119.051,0.525731,0.0167472,0.41487,1070.55,0,0,2.53998,2.53998,0.0370003,215.663,1.84167,0.103832,-85.9074,0.100973,0.0815524
-679154,0.983049,4.36599e-05,5,59,1,679155,119.051,0.0732597,0.52573,3.17388e-06,1.19051,0.0732597,0.45247,4.15e-05,2.92809e-05,0.474241,1.19051,0.0732597,0.45247,2.92809e-05,0.474241,3.17388e-06,119.051,0.52573,0.0167474,0.414871,1070.55,0,0,2.53999,2.53999,0.0370004,215.662,1.84167,0.103832,-85.9076,0.100974,0.0815516
-679153,0.972222,4.36599e-05,5,36,1,679154,119.05,0.0732598,0.52573,3.12514e-06,1.1905,0.0732598,0.45247,4.15e-05,2.92811e-05,0.474241,1.1905,0.0732598,0.45247,2.92811e-05,0.474241,3.12514e-06,119.05,0.52573,0.0167475,0.414873,1070.55,0,0,2.53999,2.53999,0.0370005,215.662,1.84167,0.103831,-85.9079,0.100974,0.0815508
-679153,0.978723,4.36599e-05,5,47,1,679154,119.05,0.0732597,0.525731,4.78897e-06,1.1905,0.0732597,0.452471,4.15e-05,2.92812e-05,0.47424,1.1905,0.0732597,0.452471,2.92812e-05,0.47424,4.78897e-06,119.05,0.525731,0.0167476,0.414874,1070.55,0,0,2.53998,2.53998,0.0370005,215.662,1.84167,0.10383,-85.9081,0.100974,0.0815503
