# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 20:33:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpw4xpnlj0/8r7y57i6.json
# random
#   seed = 20212
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cmb/cmb-20230727213356.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,zeta,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 6.0622e-06
# Diagonal elements of inverse mass matrix:
# 2.4392e-05, 2.49576e-05, 2.55606e-05, 0.0057953
-594980,0,6.0622e-06,0,1,1,594982,66.6674,0.229051,0.84609,1.00838e-07,0.666674,0.229051,0.617039,4.15e-05,9.33728e-05,0.153817,0.666674,0.229051,0.617039,9.33728e-05,0.153817,1.00838e-07,66.6674,0.84609,0.0170492,0.418678,1066.96,0,0,2.08141,2.08141,0.0292587,223.487,1.91455,0.101803,-78.0828,0.173848,0.0795229
-594980,0.75,6.0622e-06,2,4,1,594984,66.6674,0.229052,0.84609,4.9693e-07,0.666674,0.229052,0.617039,4.15e-05,9.33728e-05,0.153816,0.666674,0.229052,0.617039,9.33728e-05,0.153816,4.9693e-07,66.6674,0.84609,0.0170492,0.418678,1066.96,0,0,2.08141,2.08141,0.0292587,223.487,1.91455,0.101803,-78.0828,0.173848,0.079523
-594980,0.5,6.0622e-06,1,2,1,594982,66.6674,0.229052,0.84609,9.36812e-07,0.666674,0.229052,0.617039,4.15e-05,9.33728e-05,0.153816,0.666674,0.229052,0.617039,9.33728e-05,0.153816,9.36812e-07,66.6674,0.84609,0.0170492,0.418678,1066.96,0,0,2.08141,2.08141,0.0292587,223.487,1.91455,0.101803,-78.0828,0.173848,0.079523
-594980,0.833333,6.0622e-06,2,6,1,594982,66.6674,0.229052,0.84609,8.07088e-07,0.666674,0.229052,0.617039,4.15e-05,9.33728e-05,0.153817,0.666674,0.229052,0.617039,9.33728e-05,0.153817,8.07088e-07,66.6674,0.84609,0.0170492,0.418678,1066.96,0,0,2.08141,2.08141,0.0292587,223.487,1.91455,0.101803,-78.0828,0.173848,0.079523
-594980,0.5,6.0622e-06,1,2,1,594982,66.6674,0.229052,0.84609,1.55985e-07,0.666674,0.229052,0.617039,4.15e-05,9.33728e-05,0.153817,0.666674,0.229052,0.617039,9.33728e-05,0.153817,1.55985e-07,66.6674,0.84609,0.0170492,0.418678,1066.96,0,0,2.08141,2.08141,0.0292587,223.487,1.91455,0.101803,-78.0828,0.173848,0.079523
-594980,0,6.0622e-06,0,1,1,594982,66.6674,0.229052,0.84609,1.55985e-07,0.666674,0.229052,0.617039,4.15e-05,9.33728e-05,0.153817,0.666674,0.229052,0.617039,9.33728e-05,0.153817,1.55985e-07,66.6674,0.84609,0.0170492,0.418678,1066.96,0,0,2.08141,2.08141,0.0292587,223.487,1.91455,0.101803,-78.0828,0.173848,0.079523
-594980,0,6.0622e-06,0,1,1,594982,66.6674,0.229052,0.84609,1.55985e-07,0.666674,0.229052,0.617039,4.15e-05,9.33728e-05,0.153817,0.666674,0.229052,0.617039,9.33728e-05,0.153817,1.55985e-07,66.6674,0.84609,0.0170492,0.418678,1066.96,0,0,2.08141,2.08141,0.0292587,223.487,1.91455,0.101803,-78.0828,0.173848,0.079523
-594980,0.875,6.0622e-06,3,8,1,594981,66.6674,0.229052,0.84609,1.96271e-07,0.666674,0.229052,0.617038,4.15e-05,9.33728e-05,0.153817,0.666674,0.229052,0.617038,9.33728e-05,0.153817,1.96271e-07,66.6674,0.84609,0.0170491,0.418678,1066.96,0,0,2.08141,2.08141,0.0292587,223.487,1.91455,0.101803,-78.0827,0.173848,0.0795232
-594980,0.75,6.0622e-06,2,4,1,594980,66.6674,0.229052,0.84609,1.85544e-07,0.666674,0.229052,0.617038,4.15e-05,9.33728e-05,0.153816,0.666674,0.229052,0.617038,9.33728e-05,0.153816,1.85544e-07,66.6674,0.84609,0.0170491,0.418678,1066.96,0,0,2.08141,2.08141,0.0292587,223.487,1.91455,0.101803,-78.0827,0.173848,0.0795231
-594980,0,6.0622e-06,0,1,1,594982,66.6674,0.229052,0.84609,1.85544e-07,0.666674,0.229052,0.617038,4.15e-05,9.33728e-05,0.153816,0.666674,0.229052,0.617038,9.33728e-05,0.153816,1.85544e-07,66.6674,0.84609,0.0170491,0.418678,1066.96,0,0,2.08141,2.08141,0.0292587,223.487,1.91455,0.101803,-78.0827,0.173848,0.0795231
-594980,0.75,6.0622e-06,2,4,1,594987,66.6674,0.229052,0.84609,6.75062e-07,0.666674,0.229052,0.617038,4.15e-05,9.33728e-05,0.153817,0.666674,0.229052,0.617038,9.33728e-05,0.153817,6.75062e-07,66.6674,0.84609,0.0170491,0.418678,1066.96,0,0,2.08141,2.08141,0.0292587,223.487,1.91455,0.101803,-78.0827,0.173848,0.0795232
