# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 21:22:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpwbqecknw/m1gsq8qu.json
# random
#   seed = 53331
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cmb/cmb-20230727222250.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,zeta,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 5.0045e-05
# Diagonal elements of inverse mass matrix:
# 2.43903e-05, 2.43912e-05, 2.43915e-05, 0.000116271
-589125,0.857142,5.0045e-05,2,7,1,589125,70.7293,0.201632,0.876863,2.33626e-06,0.707293,0.201632,0.675231,4.15e-05,8.29562e-05,0.123054,0.707293,0.201632,0.675231,8.29562e-05,0.123054,2.33626e-06,70.7293,0.876863,0.0171918,0.420433,1067.89,0,0,2.05019,2.05019,0.0287867,223.745,1.91982,0.100869,-77.8255,0.179122,0.0785892
-589125,0.909091,5.0045e-05,3,11,1,589125,70.7293,0.201631,0.876863,2.06736e-06,0.707293,0.201631,0.675232,4.15e-05,8.29562e-05,0.123054,0.707293,0.201631,0.675232,8.29562e-05,0.123054,2.06736e-06,70.7293,0.876863,0.0171919,0.420434,1067.89,0,0,2.05019,2.05019,0.0287868,223.744,1.91982,0.100869,-77.8256,0.179122,0.0785888
-589124,0.749999,5.0045e-05,2,4,1,589129,70.7293,0.20163,0.876862,6.32703e-07,0.707293,0.20163,0.675232,4.15e-05,8.29562e-05,0.123055,0.707293,0.20163,0.675232,8.29562e-05,0.123055,6.32703e-07,70.7293,0.876862,0.017192,0.420435,1067.89,0,0,2.0502,2.0502,0.0287868,223.744,1.91982,0.100868,-77.8258,0.179122,0.078588
-589124,0,5.0045e-05,0,1,1,589127,70.7293,0.20163,0.876862,6.32703e-07,0.707293,0.20163,0.675232,4.15e-05,8.29562e-05,0.123055,0.707293,0.20163,0.675232,8.29562e-05,0.123055,6.32703e-07,70.7293,0.876862,0.017192,0.420435,1067.89,0,0,2.0502,2.0502,0.0287868,223.744,1.91982,0.100868,-77.8258,0.179122,0.078588
-589124,0.75,5.0045e-05,2,4,1,589129,70.7293,0.201629,0.876862,1.11874e-06,0.707293,0.201629,0.675233,4.15e-05,8.29562e-05,0.123055,0.707293,0.201629,0.675233,8.29562e-05,0.123055,1.11874e-06,70.7293,0.876862,0.017192,0.420436,1067.89,0,0,2.0502,2.0502,0.0287868,223.744,1.91982,0.100868,-77.826,0.179122,0.0785877
-589124,0.666666,5.0045e-05,1,3,1,589126,70.7293,0.201629,0.876862,2.02372e-06,0.707293,0.201629,0.675233,4.15e-05,8.29562e-05,0.123055,0.707293,0.201629,0.675233,8.29562e-05,0.123055,2.02372e-06,70.7293,0.876862,0.017192,0.420436,1067.89,0,0,2.0502,2.0502,0.0287868,223.744,1.91982,0.100868,-77.826,0.179122,0.0785878
-589124,0.928571,5.0045e-05,3,14,1,589126,70.7293,0.201628,0.876862,2.95298e-06,0.707293,0.201628,0.675234,4.15e-05,8.29562e-05,0.123055,0.707293,0.201628,0.675234,8.29562e-05,0.123055,2.95298e-06,70.7293,0.876862,0.0171921,0.420437,1067.89,0,0,2.05019,2.05019,0.0287868,223.744,1.91982,0.100867,-77.8262,0.179121,0.0785871
-589125,0.916666,5.0045e-05,3,12,1,589126,70.7293,0.201628,0.876862,3.03757e-06,0.707293,0.201628,0.675234,4.15e-05,8.29562e-05,0.123055,0.707293,0.201628,0.675234,8.29562e-05,0.123055,3.03757e-06,70.7293,0.876862,0.0171921,0.420437,1067.89,0,0,2.0502,2.0502,0.0287868,223.744,1.91982,0.100867,-77.8262,0.179121,0.0785874
-589124,0.899999,5.0045e-05,3,10,1,589125,70.7293,0.201628,0.876862,2.36703e-06,0.707293,0.201628,0.675234,4.15e-05,8.29562e-05,0.123055,0.707293,0.201628,0.675234,8.29562e-05,0.123055,2.36703e-06,70.7293,0.876862,0.0171921,0.420437,1067.89,0,0,2.0502,2.0502,0.0287869,223.744,1.91982,0.100867,-77.8262,0.179121,0.0785871
-589124,0.923076,5.0045e-05,3,13,1,589128,70.7293,0.201625,0.87686,3.36392e-06,0.707293,0.201625,0.675234,4.15e-05,8.29562e-05,0.123057,0.707293,0.201625,0.675234,8.29562e-05,0.123057,3.36392e-06,70.7293,0.87686,0.0171923,0.420439,1067.89,0,0,2.0502,2.0502,0.0287869,223.743,1.91982,0.100866,-77.8267,0.179121,0.0785859
