# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = SNIA_model
# start_datetime = 2023-07-19 09:58:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpvemhtge4/l7m1rgs5.json
# random
#   seed = 99854
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/snia/SNIA-20230719105841.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.33054
# Diagonal elements of inverse mass matrix:
# 0.00472399, 0.0216376, 0.00248055
-42.2175,0.831289,0.33054,2,3,0,45.4059,0.352339,67.5698,-0.161102,0.352339,67.5698,-0.161102,3.25305e+07,1.36851e+06,57571.6,23.8003,23.7385,23.7616,23.7587,23.7583,23.747,23.7156,23.7464,23.7414,23.8474,23.7815,23.8441,23.8195,23.7617,23.7877,23.8416,23.7664,23.7099,23.7827,23.7803,23.7637,23.769,23.7585,23.7579,23.7269,23.7591,23.7959,23.7687,23.764,23.7763,23.7673,23.7892,23.7647,23.7926,23.7534,23.7503,23.7964,23.8039,23.7785,23.6947
-43.9099,0.895118,0.33054,2,7,0,44.6382,0.335027,58.4646,-0.181016,0.335027,58.4646,-0.181016,3.24977e+07,1.36782e+06,57571.6,23.7988,23.7366,23.7592,23.756,23.7551,23.7435,23.7117,23.742,23.7366,23.8422,23.7759,23.838,23.8132,23.7548,23.7805,23.8339,23.7581,23.7012,23.7734,23.7705,23.7533,23.758,23.7468,23.7457,23.714,23.7455,23.7814,23.7534,23.7479,23.7592,23.7493,23.7701,23.7445,23.7709,23.7304,23.7253,23.7695,23.7748,23.7458,23.6586
-42.8985,0.98912,0.33054,3,11,0,45.6169,0.340212,64.1561,-0.185378,0.340212,64.1561,-0.185378,3.24966e+07,1.3678e+06,57571.6,23.7982,23.7359,23.7584,23.7551,23.7542,23.7426,23.7107,23.741,23.7356,23.8411,23.7749,23.837,23.8121,23.7537,23.7794,23.8328,23.7571,23.7002,23.7724,23.7696,23.7523,23.7572,23.746,23.7449,23.7133,23.7449,23.7809,23.753,23.7477,23.7591,23.7493,23.7704,23.7449,23.7716,23.7314,23.7267,23.7714,23.7774,23.7494,23.6634
-43.2504,0.915548,0.33054,1,1,0,43.413,0.338063,64.3153,-0.186706,0.338063,64.3153,-0.186706,3.24938e+07,1.36774e+06,57571.6,23.7981,23.7358,23.7583,23.755,23.7541,23.7424,23.7105,23.7408,23.7353,23.8408,23.7745,23.8366,23.8117,23.7532,23.7789,23.8323,23.7565,23.6995,23.7717,23.7688,23.7515,23.7563,23.7451,23.7439,23.7123,23.7438,23.7797,23.7517,23.7463,23.7576,23.7477,23.7687,23.7431,23.7696,23.7292,23.7243,23.7688,23.7745,23.7461,23.6596
-41.9604,0.999521,0.33054,3,11,0,44.2937,0.342037,75.1755,-0.154065,0.342037,75.1755,-0.154065,3.25304e+07,1.36851e+06,57571.6,23.8013,23.7396,23.7628,23.76,23.7596,23.7485,23.7171,23.7479,23.7429,23.8489,23.783,23.8456,23.821,23.7631,23.7892,23.843,23.7677,23.7112,23.7839,23.7814,23.7646,23.7698,23.7591,23.7584,23.7273,23.7593,23.7958,23.7684,23.7635,23.7754,23.7661,23.7876,23.7627,23.7899,23.7502,23.7462,23.7914,23.7978,23.7703,23.6843
-42.4455,0.938921,0.33054,2,3,0,42.4962,0.335066,75.0954,-0.168296,0.335066,75.0954,-0.168296,3.25108e+07,1.3681e+06,57571.6,23.8001,23.7381,23.761,23.7579,23.7573,23.7459,23.7142,23.7448,23.7395,23.8453,23.7792,23.8415,23.8167,23.7585,23.7843,23.8379,23.7623,23.7055,23.7779,23.7752,23.7581,23.763,23.7519,23.7509,23.7194,23.7511,23.7871,23.7593,23.754,23.7655,23.7557,23.7767,23.7512,23.7778,23.7374,23.7325,23.7769,23.7824,23.7534,23.6661
