# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = SNIA_model
# start_datetime = 2023-07-19 12:50:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpb1__lxuo/bjmm3b8a.json
# random
#   seed = 91110
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/snia/SNIA-20230719135016.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.371859
# Diagonal elements of inverse mass matrix:
# 0.00288607, 0.0152672, 0.001437
-42.4856,0.998067,0.371859,3,15,0,46.5346,0.354063,63.4511,-0.2008,0.354063,63.4511,-0.2008,3.24889e+07,1.36764e+06,57571.6,23.7961,23.7335,23.7557,23.7522,23.7511,23.7392,23.7071,23.7373,23.7318,23.8372,23.7709,23.8329,23.8079,23.7495,23.7752,23.8285,23.7528,23.6959,23.7682,23.7653,23.7482,23.7531,23.742,23.741,23.7096,23.7413,23.7775,23.7499,23.7448,23.7566,23.7471,23.7686,23.7437,23.7711,23.7315,23.728,23.7739,23.7813,23.7562,23.6732
-42.8756,0.921388,0.371859,3,15,0,44.2637,0.344544,64.8015,-0.137104,0.344544,64.8015,-0.137104,3.25498e+07,1.36892e+06,57571.6,23.803,23.7416,23.7652,23.7627,23.7626,23.7517,23.7206,23.7517,23.7469,23.8532,23.7875,23.8504,23.826,23.7684,23.7946,23.8486,23.7736,23.7173,23.7903,23.788,23.7715,23.777,23.7666,23.7661,23.7353,23.7676,23.8044,23.7772,23.7726,23.7849,23.7758,23.7977,23.7732,23.8008,23.7614,23.7579,23.8035,23.8103,23.7834,23.6978
-42.6898,0.976611,0.371859,3,15,0,44.253,0.329981,80.1505,-0.150757,0.329981,80.1505,-0.150757,3.25248e+07,1.36839e+06,57571.6,23.8019,23.7403,23.7635,23.7607,23.7603,23.7492,23.7178,23.7485,23.7435,23.8494,23.7834,23.8459,23.8213,23.7633,23.7892,23.8429,23.7675,23.7108,23.7833,23.7807,23.7637,23.7687,23.7578,23.7569,23.7255,23.7572,23.7933,23.7656,23.7603,23.7718,23.762,23.783,23.7575,23.7839,23.7435,23.7383,23.7824,23.7874,23.7574,23.6688
-43.9264,0.861132,0.371859,3,11,0,44.8393,0.370401,69.3664,-0.170235,0.370401,69.3664,-0.170235,3.2533e+07,1.36857e+06,57571.6,23.7989,23.7369,23.7598,23.7568,23.7563,23.745,23.7136,23.7443,23.7393,23.8453,23.7795,23.8421,23.8176,23.7599,23.786,23.84,23.7649,23.7086,23.7816,23.7794,23.7629,23.7685,23.7583,23.7579,23.7273,23.7599,23.7971,23.7703,23.7661,23.779,23.7706,23.7932,23.7696,23.7984,23.7602,23.7587,23.8064,23.8158,23.794,23.7138
-42.268,0.987617,0.371859,2,7,0,44.5967,0.361623,63.1776,-0.190647,0.361623,63.1776,-0.190647,3.25047e+07,1.36797e+06,57571.6,23.7969,23.7345,23.7569,23.7536,23.7527,23.741,23.7092,23.7395,23.7342,23.8398,23.7737,23.8359,23.8111,23.7529,23.7788,23.8324,23.7569,23.7002,23.7728,23.7701,23.7533,23.7584,23.7477,23.7469,23.7159,23.7479,23.7845,23.7572,23.7525,23.7648,23.7557,23.7777,23.7533,23.7813,23.7424,23.7398,23.7864,23.7947,23.7712,23.6896
-41.9991,0.986634,0.371859,4,15,0,42.8558,0.341665,75.7142,-0.168908,0.341665,75.7142,-0.168908,3.25147e+07,1.36818e+06,57571.6,23.7998,23.7378,23.7607,23.7577,23.7571,23.7457,23.7141,23.7446,23.7394,23.8452,23.7792,23.8415,23.8168,23.7587,23.7846,23.8382,23.7627,23.706,23.7785,23.7759,23.7589,23.7639,23.753,23.7521,23.7208,23.7526,23.7889,23.7613,23.7562,23.7679,23.7584,23.7797,23.7546,23.7816,23.7416,23.7374,23.7824,23.7886,23.7611,23.6751
