# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = SNIA_model
# start_datetime = 2023-07-19 12:53:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmphi28_2lo/b4zv8afz.json
# random
#   seed = 12120
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/snia/SNIA-20230719135352.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,M,theta.1,theta.2,theta.3,theta.4,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40
# Adaptation terminated
# Step size = 0.11322
# Diagonal elements of inverse mass matrix:
# 0.008341, 0.0167772, 0.00440684, 0.000387792
-25.5584,0.953587,0.11322,5,37,0,26.2279,0.362397,72.3715,-0.225007,23.7482,0.362397,72.3715,-0.225007,23.7482,0.0143015,0.0199335,0.0273197,0.0342614,0.0414978,0.0501334,0.0595463,0.0685181,0.077711,0.0880515,0.0971187,0.110307,0.118648,0.133608,0.14375,0.158344,0.17377,0.188514,0.206946,0.223681,0.245037,0.265101,0.290952,0.3122,0.340964,0.371075,0.406531,0.441872,0.480385,0.532891,0.580939,0.642254,0.713554,0.808674,0.904218,1.07024,1.24677,1.49098,2.04516,2.82704,14.5251,15.2461,15.9306,16.4222,16.8383,17.2488,17.6225,17.9272,18.2006,18.4719,18.6847,18.9612,19.1195,19.3774,19.5363,19.7462,19.9481,20.1249,20.3275,20.4964,20.6944,20.8653,21.0673,21.2204,21.4118,21.5955,21.7937,21.9747,22.1562,22.3814,22.5689,22.7867,23.0153,23.2871,23.5296,23.8956,24.2271,24.6156,25.3018,26.0049
-25.6264,0.919637,0.11322,3,7,0,26.2004,0.361043,73.7121,-0.223356,23.7493,0.361043,73.7121,-0.223356,23.7493,0.0142999,0.019931,0.0273158,0.034256,0.0414907,0.0501242,0.0595348,0.0685042,0.0776946,0.0880323,0.097097,0.110281,0.11862,0.133576,0.143715,0.158305,0.173726,0.188467,0.206894,0.223624,0.244976,0.265035,0.29088,0.312124,0.340882,0.370988,0.406439,0.441775,0.480285,0.532787,0.580834,0.642149,0.713453,0.808583,0.904143,1.0702,1.24679,1.4911,2.04558,2.82801,14.526,15.247,15.9314,16.423,16.8391,17.2496,17.6232,17.9279,18.2013,18.4725,18.6853,18.9618,19.1201,19.378,19.5368,19.7468,19.9486,20.1255,20.3281,20.4969,20.6949,20.8658,21.0679,21.2209,21.4123,21.5961,21.7943,21.9753,22.1568,22.3821,22.5696,22.7875,23.0161,23.2879,23.5305,23.8966,24.2283,24.6168,25.3034,26.0067
-31.0267,0.943171,0.11322,4,15,0,33.0674,0.387126,102.281,-0.217691,23.7515,0.387126,102.281,-0.217691,23.7515,0.0143032,0.0199351,0.0273202,0.0342598,0.0414928,0.0501226,0.0595272,0.0684889,0.0776693,0.0879931,0.0970434,0.110203,0.118524,0.133443,0.143554,0.158099,0.173467,0.188151,0.206501,0.223153,0.244396,0.264343,0.290032,0.311135,0.339689,0.369562,0.404717,0.439734,0.477871,0.529825,0.577331,0.637907,0.708287,0.802084,0.896204,1.05955,1.23301,1.47266,2.01555,2.78015,14.5287,15.2496,15.9339,16.4254,16.8414,17.2517,17.6251,17.9296,18.2028,18.4738,18.6863,18.9625,19.1205,19.378,19.5366,19.7462,19.9476,20.1241,20.3261,20.4945,20.692,20.8624,21.0637,21.2163,21.4069,21.59,21.7873,21.9675,22.1481,22.3722,22.5586,22.7753,23.0026,23.2726,23.5136,23.8771,24.2064,24.592,25.2735,25.9719
-27.7807,0.967414,0.11322,4,15,0,32.5712,0.399047,89.1931,-0.239343,23.7487,0.399047,89.1931,-0.239343,23.7487,0.0143238,0.0199685,0.0273728,0.0343324,0.041588,0.0502467,0.0596847,0.0686798,0.0778958,0.0882611,0.0973488,0.110564,0.118921,0.133906,0.144062,0.158672,0.17411,0.188861,0.207295,0.224023,0.245362,0.265399,0.291202,0.312397,0.341073,0.37107,0.406365,0.441517,0.479792,0.531922,0.579577,0.640323,0.710875,0.804861,0.899123,1.06262,1.2361,1.47558,2.01744,2.77951,14.529,15.2504,15.9353,16.4272,16.8435,17.2542,17.628,17.9328,18.2062,18.4775,18.6903,18.9667,19.125,19.3827,19.5414,19.7512,19.9528,20.1294,20.3316,20.5001,20.6977,20.8682,21.0696,21.2222,21.4129,21.5959,21.7932,21.9734,22.1539,22.3779,22.5642,22.7807,23.0076,23.2773,23.5178,23.8805,24.2089,24.5935,25.2727,25.9685
-27.548,0.960925,0.11322,4,15,0,29.5617,0.391598,85.446,-0.205843,23.7601,0.391598,85.446,-0.205843,23.7601,0.0142952,0.0199218,0.0272985,0.0342289,0.0414512,0.0500668,0.0594543,0.0683982,0.077559,0.0878592,0.0968876,0.110013,0.118312,0.133188,0.143269,0.157768,0.173085,0.187719,0.206003,0.222592,0.243752,0.263618,0.289198,0.310209,0.338633,0.368366,0.40335,0.438191,0.47613,0.527805,0.575048,0.635278,0.705244,0.798474,0.892008,1.05431,1.22663,1.46468,2.00387,2.76323,14.5361,15.2567,15.9408,16.4321,16.8478,17.2579,17.631,17.9353,18.2083,18.479,18.6914,18.9673,19.1252,19.3824,19.5409,19.7502,19.9514,20.1276,20.3295,20.4977,20.6948,20.865,21.0661,21.2184,21.4088,21.5915,21.7885,21.9684,22.1487,22.3725,22.5586,22.7749,23.0018,23.2714,23.512,23.875,24.2037,24.5888,25.2695,25.9672
-26.0101,1,0.11322,4,15,0,27.7408,0.335445,76.7624,-0.187605,23.7556,0.335445,76.7624,-0.187605,23.7556,0.0142687,0.0198808,0.0272374,0.0341485,0.0413508,0.0499432,0.0593068,0.0682297,0.0773711,0.0876523,0.0966667,0.109777,0.118069,0.132939,0.143021,0.157528,0.172863,0.187522,0.20585,0.222492,0.243734,0.263694,0.289419,0.310568,0.339208,0.3692,0.404532,0.439766,0.478183,0.530589,0.57858,0.639867,0.711199,0.806461,0.902261,1.06897,1.24654,1.49264,2.05266,2.84529,14.5275,15.2477,15.9314,16.4224,16.838,17.248,17.6211,17.9254,18.1985,18.4694,18.682,18.9581,19.1162,19.3738,19.5326,19.7424,19.9441,20.1208,20.3233,20.4921,20.6902,20.8611,21.0632,21.2164,21.4079,21.5919,21.7903,21.9717,22.1535,22.3794,22.5674,22.786,23.0155,23.2885,23.5322,23.9004,24.2341,24.6254,25.3172,26.0262
