# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = SNIA_model
# start_datetime = 2023-07-19 14:32:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpjxvnrf0r/9z3d9b_6.json
# random
#   seed = 671
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/snia/SNIA-20230719153220.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,M,theta.1,theta.2,theta.3,theta.4,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40
# Adaptation terminated
# Step size = 0.106994
# Diagonal elements of inverse mass matrix:
# 0.00810984, 0.0261203, 0.00444472, 0.000324123
-23.244,0.990889,0.106994,4,15,0,27.8167,0.414078,69.3356,-0.295156,-1.26991,0.414078,69.3356,-0.295156,-1.26991,0.0143754,0.0200527,0.0275068,0.0345191,0.0418348,0.0505713,0.0601006,0.0691884,0.0785043,0.0889872,0.0981822,0.11156,0.120023,0.135203,0.145495,0.160306,0.175962,0.190925,0.209628,0.226606,0.248267,0.26861,0.294812,0.316337,0.345461,0.375929,0.411778,0.447478,0.486348,0.539277,0.587651,0.649294,0.720859,0.816139,0.911635,1.07712,1.2525,1.49429,2.04023,2.80605,14.5182,15.241,15.9273,16.4204,16.8378,17.2496,17.6245,17.9303,18.2046,18.4767,18.6903,18.9676,19.1264,19.385,19.5443,19.7548,19.9572,20.1344,20.3373,20.5064,20.7047,20.8757,21.0778,21.2308,21.4221,21.6056,21.8034,21.984,22.1648,22.3892,22.5757,22.7923,23.0193,23.2889,23.5292,23.8914,24.219,24.6023,25.2785,25.9706
-23.8978,0.994422,0.106994,4,15,0,25.4108,0.403029,68.9036,-0.284951,-1.2808,0.403029,68.9036,-0.284951,-1.2808,0.0143621,0.0200315,0.0274735,0.0344734,0.0417753,0.0504942,0.0600034,0.0690713,0.0783662,0.0888249,0.0979985,0.111344,0.119787,0.134931,0.145199,0.159975,0.175594,0.190523,0.209185,0.226126,0.247742,0.268045,0.294197,0.315685,0.344762,0.375186,0.410989,0.446652,0.485489,0.538388,0.586748,0.648394,0.719986,0.815344,0.910963,1.07675,1.25257,1.49514,2.04335,2.81319,14.5053,15.2278,15.9138,16.4066,16.8238,17.2354,17.6101,17.9157,18.1898,18.4619,18.6753,18.9525,19.1112,19.3698,19.529,19.7395,19.9418,20.1189,20.3219,20.4909,20.6892,20.8602,21.0624,21.2155,21.4068,21.5904,21.7883,21.969,22.1501,22.3747,22.5615,22.7784,23.0058,23.2759,23.5167,23.8798,24.2082,24.5926,25.2709,25.9652
-24.0153,0.99992,0.106994,4,15,0,24.3503,0.416188,67.4035,-0.288779,-1.28044,0.416188,67.4035,-0.288779,-1.28044,0.0143709,0.0200453,0.0274946,0.0345018,0.0418116,0.0505401,0.0600598,0.0691376,0.0784425,0.0889122,0.0980949,0.111453,0.119903,0.13506,0.145335,0.16012,0.175747,0.190682,0.209349,0.226291,0.247906,0.268204,0.294344,0.315818,0.34487,0.37526,0.411013,0.446616,0.485376,0.538152,0.58638,0.647835,0.719174,0.814146,0.909327,1.07425,1.24903,1.48999,2.03402,2.79719,14.507,15.2296,15.9158,16.4088,16.826,17.2377,17.6125,17.9181,18.1923,18.4644,18.6778,18.955,19.1137,19.3722,19.5314,19.7418,19.944,20.1211,20.3239,20.4929,20.691,20.8619,21.0638,21.2167,21.4078,21.5912,21.7888,21.9692,22.15,22.3741,22.5605,22.7769,23.0037,23.2731,23.5132,23.8751,24.2024,24.5855,25.2613,25.9532
-23.6269,1,0.106994,3,7,0,24.4529,0.402376,68.1054,-0.283872,-1.27987,0.402376,68.1054,-0.283872,-1.27987,0.014361,0.0200296,0.0274706,0.0344693,0.0417699,0.0504872,0.0599945,0.0690604,0.0783533,0.0888097,0.0979811,0.111324,0.119764,0.134905,0.14517,0.159942,0.175558,0.190482,0.20914,0.226076,0.247686,0.267984,0.294129,0.315612,0.344682,0.375098,0.410893,0.446549,0.485378,0.538266,0.586617,0.648253,0.719835,0.815182,0.910792,1.07657,1.25239,1.49497,2.04323,2.81321,14.506,15.2285,15.9145,16.4073,16.8244,17.236,17.6107,17.9163,18.1904,18.4624,18.6758,18.9531,19.1118,19.3703,19.5295,19.7399,19.9422,20.1194,20.3223,20.4914,20.6896,20.8607,21.0628,21.2159,21.4072,21.5909,21.7888,21.9695,22.1505,22.3751,22.5619,22.7789,23.0063,23.2764,23.5172,23.8803,24.2088,24.5933,25.2717,25.9661
-22.3681,0.901674,0.106994,5,31,0,25.9329,0.306608,72.3581,-0.0975123,-1.21221,0.306608,72.3581,-0.0975123,-1.21221,0.0142081,0.0197827,0.0270829,0.0339349,0.0410704,0.0495772,0.0588413,0.0676643,0.0766988,0.0868552,0.0957566,0.108697,0.116879,0.131549,0.141491,0.155795,0.170911,0.185359,0.20342,0.219817,0.240746,0.260411,0.285756,0.306594,0.334816,0.364375,0.399205,0.433948,0.471844,0.523565,0.570954,0.631513,0.702055,0.796361,0.891314,1.05682,1.23346,1.47882,2.03918,2.83586,14.5505,15.2692,15.9513,16.441,16.8554,17.2642,17.6362,17.9396,18.2117,18.4818,18.6936,18.9689,19.1265,19.3832,19.5414,19.7505,19.9516,20.1279,20.3297,20.4981,20.6956,20.8661,21.0678,21.2206,21.4118,21.5955,21.7938,21.975,22.1568,22.3826,22.5708,22.7897,23.0196,23.2933,23.5379,23.9078,24.2434,24.6374,25.3351,26.0512
-22.6184,0.925321,0.106994,3,7,0,24.5444,0.316627,70.2859,-0.0742242,-1.21638,0.316627,70.2859,-0.0742242,-1.21638,0.0141942,0.0197593,0.0270448,0.0338809,0.0409976,0.0494795,0.0587135,0.0675052,0.0765053,0.08662,0.0954827,0.108363,0.116505,0.131098,0.140987,0.155208,0.170234,0.184591,0.202533,0.218817,0.239595,0.259112,0.284258,0.304926,0.332907,0.362205,0.396714,0.431124,0.468643,0.519828,0.566708,0.62659,0.696313,0.78948,0.883239,1.04657,1.2208,1.46268,2.01472,2.79915,14.5442,15.2625,15.944,16.4334,16.8474,17.2557,17.6273,17.9303,18.2021,18.4717,18.6832,18.958,19.1153,19.3716,19.5295,19.7382,19.9389,20.1147,20.3161,20.484,20.681,20.8511,21.0522,21.2046,21.3952,21.5784,21.776,21.9566,22.1378,22.3629,22.5504,22.7685,22.9976,23.2703,23.514,23.8825,24.2168,24.6094,25.3047,26.0188
