# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = SNIA_model
# start_datetime = 2023-07-20 10:21:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpwtf1_yr5/wy6ynda4.json
# random
#   seed = 25896
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/snia/SNIA-20230720112126.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,M,theta.1,theta.2,theta.3,theta.4,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40
# Adaptation terminated
# Step size = 0.159276
# Diagonal elements of inverse mass matrix:
# 0.0200853, 0.0228183, 0.0149055, 9.05236e-05
-23.8408,0.997311,0.159276,4,15,0,25.3181,0.324272,51.2784,-0.140244,-1.19696,51.2784,0.324272,-0.140244,-1.19696,0.0141543,0.0196956,0.0269461,0.0337462,0.040823,0.0492546,0.0584314,0.0671666,0.0761071,0.0861535,0.0949551,0.107746,0.11583,0.13032,0.140137,0.154257,0.169175,0.183429,0.201243,0.217412,0.238045,0.257427,0.282401,0.302931,0.330729,0.35984,0.394134,0.428337,0.465637,0.516536,0.563165,0.622743,0.692131,0.78488,0.878248,1.04096,1.21458,1.45569,2.00611,2.78819,14.5575,15.2749,15.9555,16.4442,16.8576,17.2653,17.6363,17.9388,18.2102,18.4794,18.6906,18.965,19.1221,19.3781,19.5358,19.7443,19.9447,20.1204,20.3216,20.4895,20.6863,20.8563,21.0574,21.2098,21.4004,21.5836,21.7813,21.962,22.1433,22.3685,22.5562,22.7746,23.004,23.2771,23.5211,23.8902,24.2252,24.6184,25.3148,26.0297
-20.8706,0.969191,0.159276,4,31,0,24.7725,0.382408,68.6481,-0.380029,-1.20994,68.6481,0.382408,-0.380029,-1.20994,0.0141604,0.0197073,0.0269677,0.0337796,0.0408714,0.049324,0.0585274,0.0672916,0.0762651,0.0863525,0.0951933,0.108046,0.116172,0.130743,0.140618,0.154827,0.169844,0.184198,0.202143,0.218437,0.239234,0.258778,0.283967,0.304679,0.332729,0.362108,0.396724,0.431251,0.468904,0.520281,0.567339,0.627449,0.697423,0.79089,0.884891,1.04847,1.22266,1.46394,2.01224,2.78634,14.5454,15.2632,15.9443,16.4333,16.8472,17.2554,17.6269,17.9299,18.2017,18.4714,18.6831,18.9581,19.1156,19.3721,19.5303,19.7393,19.9403,20.1165,20.3184,20.4867,20.6842,20.8547,21.0564,21.2093,21.4005,21.5843,21.7825,21.9637,22.1455,22.3712,22.5593,22.778,23.0075,23.2806,23.5245,23.8928,24.2266,24.6177,25.3085,26.0152
-20.6547,0.916067,0.159276,4,31,0,24.6412,0.368687,70.1898,-0.326131,-1.20361,70.1898,0.368687,-0.326131,-1.20361,0.0141587,0.0197041,0.0269618,0.0337705,0.0408581,0.049305,0.0585011,0.0672572,0.0762216,0.0862977,0.0951276,0.107963,0.116078,0.130625,0.140485,0.154669,0.169658,0.183984,0.201892,0.21815,0.238901,0.258398,0.283526,0.304185,0.332162,0.361463,0.395984,0.430415,0.467963,0.519195,0.566123,0.626067,0.695855,0.789086,0.882869,1.04612,1.22004,1.4611,2.00946,2.78482,14.5515,15.2692,15.9501,16.4391,16.8528,17.2608,17.6322,17.9351,18.2068,18.4764,18.6879,18.9628,19.1201,19.3765,19.5345,19.7434,19.9443,20.1203,20.322,20.4902,20.6875,20.8578,21.0594,21.2121,21.4031,21.5867,21.7848,21.9658,22.1474,22.373,22.5609,22.7795,23.009,23.282,23.5259,23.8943,24.2283,24.6198,25.3118,26.0204
-21.0962,0.961757,0.159276,5,47,0,24.0045,0.55156,61.4716,-0.693182,-1.21772,61.4716,0.55156,-0.693182,-1.21772,0.0141702,0.0197262,0.0270025,0.0338334,0.0409487,0.0494346,0.0586799,0.0674892,0.0765139,0.0866644,0.095565,0.108511,0.116701,0.131391,0.141352,0.155689,0.170848,0.185342,0.203468,0.21993,0.240946,0.260696,0.286153,0.307082,0.335422,0.365094,0.400038,0.434867,0.472818,0.52454,0.571844,0.63216,0.702216,0.795508,0.888999,1.05089,1.2222,1.45781,1.98703,2.72351,14.5392,15.2575,15.9393,16.429,16.8435,17.2524,17.6247,17.9284,18.201,18.4715,18.6838,18.9596,19.1176,19.3751,19.5338,19.7436,19.9453,20.1221,20.3248,20.4937,20.6919,20.8629,21.0653,21.2185,21.4102,21.5943,21.7928,21.9741,22.1557,22.3812,22.5687,22.7864,23.0146,23.2855,23.5268,23.8901,24.218,24.6008,25.2733,25.9579
-25.3745,0.976144,0.159276,4,15,0,26.8042,0.48139,39.8721,-0.613265,-1.21767,39.8721,0.48139,-0.613265,-1.21767,0.0141678,0.0197216,0.026994,0.0338203,0.04093,0.049408,0.0586436,0.0674425,0.0764556,0.086592,0.0954794,0.108405,0.116582,0.131247,0.141191,0.155503,0.170635,0.185104,0.203199,0.219633,0.240616,0.260338,0.285762,0.306669,0.334985,0.364644,0.399585,0.434428,0.472415,0.524221,0.57164,0.63216,0.70253,0.796374,0.890571,1.05403,1.22746,1.46666,2.00631,2.76116,14.5388,15.257,15.9387,16.4282,16.8425,17.2513,17.6234,17.927,18.1994,18.4697,18.6819,18.9576,19.1155,19.3728,19.5314,19.741,19.9427,20.1194,20.3219,20.4908,20.6889,20.86,21.0623,21.2157,21.4075,21.5917,21.7904,21.9719,22.1539,22.3799,22.5679,22.7865,23.0156,23.2879,23.5307,23.8966,24.2274,24.614,25.2943,25.9878
-20.1194,0.895083,0.159276,4,15,0,26.3446,0.474276,67.9268,-0.582518,-1.21327,67.9268,0.474276,-0.582518,-1.21327,0.014166,0.0197182,0.0269878,0.0338106,0.040916,0.0493878,0.0586154,0.0674057,0.0764089,0.0865328,0.0954082,0.108315,0.116478,0.131118,0.141044,0.155327,0.170428,0.184864,0.202915,0.219308,0.240235,0.259901,0.28525,0.306093,0.334318,0.363877,0.398696,0.433414,0.47126,0.522868,0.570103,0.630381,0.700468,0.793933,0.887753,1.05057,1.22336,1.46173,1.99985,2.75319,14.543,15.2611,15.9426,16.432,16.8462,17.2548,17.6268,17.9302,18.2024,18.4726,18.6847,18.9602,19.118,19.375,19.5335,19.743,19.9444,20.121,20.3233,20.492,20.6899,20.8608,21.0629,21.216,21.4075,21.5915,21.7899,21.9712,22.153,22.3787,22.5665,22.7847,23.0137,23.2856,23.5282,23.8939,24.2245,24.6111,25.2917,25.9859
-22.1693,0.634235,0.159276,4,15,0,25.6135,0.53386,84.1579,-0.69146,-1.22557,84.1579,0.53386,-0.69146,-1.22557,0.0141709,0.0197276,0.027005,0.0338373,0.0409546,0.0494432,0.0586921,0.0675054,0.0765349,0.0866914,0.095598,0.108554,0.116751,0.131454,0.141426,0.155779,0.170957,0.185471,0.203625,0.220113,0.241167,0.260957,0.286468,0.307447,0.335858,0.365613,0.400662,0.435607,0.473694,0.525617,0.573122,0.633717,0.704125,0.797932,0.891987,1.05495,1.22753,1.46503,1.999,2.7428,14.5314,15.2498,15.9317,16.4214,16.8359,17.245,17.6173,17.9211,18.1937,18.4643,18.6767,18.9527,19.1107,19.3683,19.5271,19.737,19.9389,20.1158,20.3186,20.4877,20.686,20.8573,21.0598,21.2133,21.4052,21.5895,21.7883,21.9699,22.1519,22.3778,22.5657,22.7839,23.0127,23.2843,23.5262,23.8906,24.2196,24.6037,25.2785,25.9654
