# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = SNIA_model
# start_datetime = 2023-07-27 14:52:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmprao0mfyc/zvkp49al.json
# random
#   seed = 8918
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/snia/SNIA-20230727155215.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,zeta,theta.1,theta.2,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.133502
# Diagonal elements of inverse mass matrix:
# 0.0216748, 0.0188928
-47.0135,0.904772,0.133502,2,3,0,48.2595,0.438641,-0.510474,0.438641,-0.510474,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25838e+07,1.36963e+06,57571.6,23.8141,23.7541,23.779,23.7774,23.778,23.7678,23.7372,23.7686,23.7641,23.8704,23.8048,23.8677,23.8433,23.7855,23.8116,23.8654,23.7901,23.7334,23.806,23.8033,23.7862,23.7912,23.7801,23.779,23.7475,23.779,23.815,23.787,23.7816,23.793,23.7832,23.8042,23.7789,23.8058,23.766,23.7624,23.8086,23.8169,23.7954,23.7185
-47.3725,0.962089,0.133502,3,15,0,48.3665,0.491454,-0.62444,0.491454,-0.62444,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25655e+07,1.36925e+06,57571.6,23.8135,23.7532,23.7777,23.7758,23.7761,23.7656,23.7346,23.7657,23.7608,23.8668,23.8009,23.8634,23.8387,23.7805,23.8063,23.8597,23.784,23.727,23.7991,23.7961,23.7786,23.7832,23.7717,23.7703,23.7384,23.7696,23.8053,23.7771,23.7714,23.7826,23.7727,23.7937,23.7685,23.7958,23.7564,23.7539,23.8016,23.8121,23.7958,23.7257
-47.1779,1,0.133502,2,7,0,47.4388,0.489886,-0.599937,0.489886,-0.599937,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25763e+07,1.36948e+06,57571.6,23.8137,23.7536,23.7782,23.7764,23.7768,23.7664,23.7356,23.7668,23.7621,23.8683,23.8025,23.8652,23.8406,23.7826,23.8085,23.8622,23.7866,23.7298,23.8022,23.7993,23.7821,23.7869,23.7757,23.7745,23.7429,23.7744,23.8103,23.7824,23.7771,23.7886,23.779,23.8004,23.7755,23.8032,23.7643,23.7623,23.8103,23.8212,23.8053,23.7352
-47.0234,0.999981,0.133502,4,27,0,47.5359,0.460248,-0.560961,0.460248,-0.560961,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.2576e+07,1.36947e+06,57571.6,23.8139,23.7537,23.7784,23.7767,23.7772,23.7668,23.7361,23.7673,23.7627,23.8689,23.8032,23.8659,23.8413,23.7834,23.8094,23.863,23.7875,23.7307,23.8031,23.8003,23.783,23.7878,23.7765,23.7754,23.7436,23.775,23.8109,23.7828,23.7773,23.7886,23.7787,23.7998,23.7745,23.8015,23.7619,23.7587,23.8055,23.8147,23.7953,23.7212
-47.4304,0.892145,0.133502,2,7,0,47.9209,0.465759,-0.538181,0.465759,-0.538181,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25898e+07,1.36976e+06,57571.6,23.8142,23.7542,23.779,23.7774,23.778,23.7678,23.7373,23.7687,23.7642,23.8706,23.8051,23.868,23.8436,23.7859,23.812,23.8659,23.7906,23.7341,23.8067,23.8041,23.7872,23.7923,23.7814,23.7805,23.7491,23.7809,23.8171,23.7895,23.7844,23.7962,23.7868,23.8084,23.7836,23.8114,23.7724,23.7702,23.8178,23.8279,23.8099,23.7369
-47.2462,0.972793,0.133502,4,27,0,49.0244,0.417,-0.478206,0.417,-0.478206,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25821e+07,1.3696e+06,57571.6,23.8142,23.7542,23.7791,23.7775,23.7781,23.7679,23.7374,23.7688,23.7643,23.8707,23.8051,23.868,23.8436,23.7858,23.8119,23.8657,23.7903,23.7337,23.8062,23.8035,23.7864,23.7913,23.7801,23.779,23.7474,23.7788,23.8147,23.7866,23.781,23.7921,23.7821,23.8028,23.7771,23.8035,23.7631,23.7586,23.8037,23.8107,23.7864,23.7064
