# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = total_model
# start_datetime = 2023-07-19 10:46:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/3together.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpziw3_g8o/cocgm0ci.json
# random
#   seed = 7026
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/together/total-20230719114654.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.454253
# Diagonal elements of inverse mass matrix:
# 0.000351776, 3.07299, 0.00138352
-10458.9,0.856002,0.454253,3,11,0,10460,0.326013,69.9712,-0.117743,0.326013,69.9712,-0.117743,3.25543e+07,1.36901e+06,57571.6,23.8052,23.7442,23.768,23.7657,23.7658,23.7551,23.7242,23.7553,23.7507,23.857,23.7914,23.8543,23.8299,23.7723,23.7985,23.8525,23.7774,23.7211,23.7939,23.7916,23.7749,23.7802,23.7696,23.7689,23.7379,23.7699,23.8063,23.7788,23.7738,23.7855,23.776,23.7972,23.7719,23.7985,23.7582,23.7531,23.7971,23.8019,23.7712,23.6815,71.2521,71.8521,72.8225,74.5969,74.935,75.7055,75.7447,78.6415,79.079,82.3924,83.7557,84.7542,84.7744,86.0306,87.074,88.4053,88.8539,88.9462,95.3761,100.703,105.211,107.268,113.721,114.073,115.49,125.558,146.506,151.814,157.574,166.383,186.608,207.42,0.12679,0.157244,0.187492,0.194165,0.222021,0.367475,150,299790
-10459.9,0.985803,0.454253,3,15,0,10460.8,0.380342,69.2838,-0.224774,0.380342,69.2838,-0.224774,3.24767e+07,1.36738e+06,57571.6,23.7923,23.7292,23.7509,23.7469,23.7455,23.7332,23.7009,23.7308,23.7251,23.8303,23.7639,23.8257,23.8007,23.7422,23.7678,23.8212,23.7454,23.6886,23.7609,23.7582,23.7411,23.7462,23.7353,23.7346,23.7035,23.7355,23.7722,23.745,23.7404,23.7529,23.7442,23.7665,23.7426,23.7713,23.7331,23.7318,23.7798,23.79,23.7701,23.6925,69.4389,69.9506,70.8326,72.5398,72.874,73.643,73.6824,76.6417,77.0951,80.5664,82.0087,83.0689,83.0903,84.4281,85.5419,86.9663,87.447,87.5459,94.4637,100.219,105.098,107.326,114.318,114.699,116.235,127.144,149.818,155.557,161.781,171.294,193.112,215.534,0.137552,0.170794,0.203862,0.211162,0.241642,0.400478,150,299790
-10459.9,0.311216,0.454253,2,3,0,10463.9,0.380342,69.2838,-0.224774,0.380342,69.2838,-0.224774,3.24767e+07,1.36738e+06,57571.6,23.7923,23.7292,23.7509,23.7469,23.7455,23.7332,23.7009,23.7308,23.7251,23.8303,23.7639,23.8257,23.8007,23.7422,23.7678,23.8212,23.7454,23.6886,23.7609,23.7582,23.7411,23.7462,23.7353,23.7346,23.7035,23.7355,23.7722,23.745,23.7404,23.7529,23.7442,23.7665,23.7426,23.7713,23.7331,23.7318,23.7798,23.79,23.7701,23.6925,69.4389,69.9506,70.8326,72.5398,72.874,73.643,73.6824,76.6417,77.0951,80.5664,82.0087,83.0689,83.0903,84.4281,85.5419,86.9663,87.447,87.5459,94.4637,100.219,105.098,107.326,114.318,114.699,116.235,127.144,149.818,155.557,161.781,171.294,193.112,215.534,0.137552,0.170794,0.203862,0.211162,0.241642,0.400478,150,299790
-10459.3,0.91922,0.454253,3,7,0,10460.5,0.362579,69.9575,-0.219216,0.362579,69.9575,-0.219216,3.24735e+07,1.36731e+06,57571.6,23.7937,23.7308,23.7526,23.7487,23.7474,23.7352,23.7028,23.7328,23.727,23.8322,23.7657,23.8275,23.8025,23.7438,23.7694,23.8226,23.7467,23.6897,23.7619,23.7589,23.7417,23.7465,23.7353,23.7343,23.7028,23.7345,23.7707,23.7431,23.738,23.7499,23.7405,23.7622,23.7375,23.7651,23.7259,23.7229,23.7694,23.7776,23.7543,23.6732,70.1735,70.6753,71.5369,73.1995,73.5245,74.2724,74.3106,77.1868,77.6275,81.0013,82.4036,83.4346,83.4555,84.7567,85.8404,87.2266,87.6945,87.7908,94.5296,100.143,104.906,107.082,113.916,114.289,115.791,126.468,148.694,154.325,160.434,169.775,191.211,213.256,0.134483,0.166962,0.199274,0.206407,0.236198,0.39166,150,299790
-10458.7,0.926433,0.454253,2,3,0,10459.8,0.363174,70.2623,-0.198787,0.363174,70.2623,-0.198787,3.24966e+07,1.3678e+06,57571.6,23.796,23.7334,23.7557,23.7522,23.7511,23.7393,23.7073,23.7376,23.7321,23.8377,23.7714,23.8335,23.8087,23.7504,23.7762,23.8297,23.7541,23.6973,23.7698,23.7671,23.7501,23.7552,23.7444,23.7436,23.7124,23.7444,23.781,23.7536,23.7488,23.761,23.7519,23.7739,23.7495,23.7775,23.7385,23.7359,23.7827,23.7911,23.7679,23.6866,70.7257,71.2641,72.1748,73.9091,74.246,75.0194,75.0589,78.0167,78.4682,81.9153,83.3442,84.3936,84.4149,85.7381,86.8392,88.2468,88.7216,88.8193,95.647,101.323,106.134,108.331,115.225,115.601,117.116,127.876,150.254,155.92,162.068,171.465,193.027,215.196,0.134622,0.1671,0.199395,0.206524,0.236287,0.391521,150,299790
-10459.6,0.700785,0.454253,2,3,0,10460.7,0.370816,70.359,-0.19146,0.370816,70.359,-0.19146,3.25095e+07,1.36807e+06,57571.6,23.7965,23.7341,23.7565,23.7531,23.7523,23.7406,23.7088,23.7392,23.7339,23.8396,23.7735,23.8358,23.8111,23.753,23.7789,23.8326,23.7572,23.7007,23.7734,23.7709,23.7542,23.7595,23.7489,23.7484,23.7175,23.7498,23.7867,23.7596,23.7552,23.7678,23.7591,23.7815,23.7576,23.7862,23.7478,23.746,23.7935,23.8028,23.7811,23.7013,70.9227,71.4854,72.4321,74.2263,74.5741,75.3715,75.4123,78.4548,78.9185,82.4539,83.9173,84.9914,85.0131,86.3668,87.4927,88.9312,89.4164,89.5162,96.4848,102.27,107.169,109.404,116.417,116.8,118.339,129.273,151.988,157.737,163.971,173.5,195.355,217.817,0.136079,0.168899,0.201528,0.208729,0.238789,0.395444,150,299790
