# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = total_model
# start_datetime = 2023-07-19 13:15:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/3together.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp2imwo2i2/ow8j9mud.json
# random
#   seed = 70105
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/together/total-20230719141518.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,M,theta.1,theta.2,theta.3,theta.4,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.000384689
# Diagonal elements of inverse mass matrix:
# 0.000900829, 2.43933e-05, 2.44426e-05, 0.000198825
-1.4652e+07,0.38657,0.000384689,4,15,0,1.46576e+07,0.0386363,60.3277,0.973999,1.17641,0.0386363,60.3277,0.973999,1.17641,0.0141176,0.0196462,0.0268859,0.0336834,0.0407663,0.0492178,0.0584328,0.0672211,0.0762335,0.0863822,0.0952928,0.108274,0.1165,0.131281,0.141325,0.155813,0.171173,0.185901,0.204378,0.221219,0.242803,0.263176,0.289567,0.311378,0.34108,0.37239,0.409548,0.446897,0.487958,0.544538,0.596925,0.664623,0.744531,0.853101,0.96439,1.16297,1.38115,1.69432,2.44969,3.6056,-8.07478,-7.3572,-6.67597,-6.18652,-5.77209,-5.36298,-4.99031,-4.68607,-4.41287,-4.14147,-3.92829,-3.65097,-3.49197,-3.23259,-3.07249,-2.86058,-2.65642,-2.47719,-2.27142,-2.09949,-1.89733,-1.72236,-1.51485,-1.35715,-1.15932,-0.968602,-0.762072,-0.572557,-0.381684,-0.143452,0.0560061,0.289281,0.53582,0.831409,1.09767,1.50426,1.8776,2.32138,3.12196,3.96129,61.6524,61.8846,62.2148,62.7414,62.8347,63.0414,63.0517,63.7755,63.8798,64.6419,64.9451,65.1644,65.1688,65.4419,65.6667,65.9515,66.0469,66.0665,67.4169,68.523,69.4574,69.8843,71.2282,71.3018,71.5983,73.723,78.2625,79.4398,80.7296,82.7266,87.418,92.3875,0.0409814,0.0506771,0.0602459,0.06235,0.0711118,0.116993,150,299790
-1.46516e+07,0.877992,0.000384689,2,3,0,1.4652e+07,0.0384944,60.3277,0.974001,1.17643,0.0384944,60.3277,0.974001,1.17643,0.0141179,0.0196467,0.0268866,0.0336845,0.0407677,0.0492198,0.0584353,0.0672242,0.0762373,0.0863869,0.0952982,0.108281,0.116507,0.13129,0.141335,0.155824,0.171186,0.185916,0.204396,0.221239,0.242826,0.263202,0.289598,0.311413,0.341119,0.372436,0.4096,0.446958,0.488027,0.544621,0.597021,0.664736,0.744666,0.853269,0.964594,1.16325,1.38151,1.69482,2.45058,3.60724,-8.07472,-7.35713,-6.67589,-6.18642,-5.77199,-5.36287,-4.99019,-4.68594,-4.41273,-4.14133,-3.92815,-3.65081,-3.49181,-3.23242,-3.07232,-2.86039,-2.65622,-2.47699,-2.27121,-2.09927,-1.8971,-1.72212,-1.5146,-1.35689,-1.15904,-0.968313,-0.761769,-0.572239,-0.381351,-0.1431,0.0563768,0.289674,0.536238,0.831859,1.09815,1.50479,1.87819,2.32204,3.12278,3.9623,61.6476,61.8789,62.2079,62.7328,62.8257,63.0316,63.0419,63.7632,63.8671,64.6266,64.9288,65.1473,65.1517,65.4238,65.6479,65.9317,66.0268,66.0464,67.3922,68.4947,69.4261,69.8516,71.1912,71.2645,71.5602,73.6783,78.2042,79.378,80.6641,82.6554,87.3339,92.2902,0.0409055,0.0505833,0.0601344,0.0622346,0.0709801,0.116775,150,299790
-1.46513e+07,0.935149,0.000384689,1,1,0,1.46516e+07,0.0383481,60.3277,0.974,1.17645,0.0383481,60.3277,0.974,1.17645,0.0141182,0.0196471,0.0268874,0.0336856,0.0407692,0.0492218,0.0584379,0.0672274,0.0762412,0.0863916,0.0953038,0.108288,0.116515,0.131299,0.141346,0.155836,0.1712,0.185932,0.204414,0.221259,0.24285,0.26323,0.289629,0.311448,0.34116,0.372483,0.409655,0.44702,0.488099,0.544706,0.597119,0.664852,0.744806,0.853442,0.964804,1.16353,1.38188,1.69533,2.45151,3.60894,-8.07465,-7.35706,-6.67581,-6.18633,-5.77189,-5.36277,-4.99008,-4.68582,-4.4126,-4.14119,-3.928,-3.65066,-3.49165,-3.23225,-3.07214,-2.86021,-2.65603,-2.47679,-2.271,-2.09904,-1.89686,-1.72188,-1.51434,-1.35663,-1.15876,-0.968023,-0.761464,-0.571919,-0.381015,-0.142743,0.0567524,0.290073,0.536662,0.832318,1.09864,1.50534,1.8788,2.32272,3.12361,3.96334,61.6426,61.8731,62.2009,62.7238,62.8164,63.0216,63.0318,63.7505,63.854,64.6108,64.9119,65.1297,65.134,65.4052,65.6285,65.9113,66.0061,66.0256,67.3667,68.4655,69.3938,69.8178,71.153,71.2262,71.5208,73.6322,78.144,79.3143,80.5965,82.582,87.2471,92.1897,0.0408271,0.0504864,0.0600192,0.0621153,0.0708441,0.116551,150,299790
-1.4651e+07,0.941209,0.000384689,1,1,0,1.46513e+07,0.0382159,60.3277,0.973999,1.17647,0.0382159,60.3277,0.973999,1.17647,0.0141185,0.0196476,0.0268881,0.0336866,0.0407706,0.0492236,0.0584403,0.0672304,0.0762448,0.086396,0.0953088,0.108294,0.116521,0.131307,0.141355,0.155847,0.171213,0.185946,0.204431,0.221278,0.242872,0.263254,0.289658,0.31148,0.341197,0.372525,0.409704,0.447076,0.488163,0.544783,0.597208,0.664958,0.744932,0.853599,0.964995,1.16379,1.38222,1.6958,2.45234,3.61048,-8.07459,-7.35698,-6.67572,-6.18624,-5.77179,-5.36266,-4.98996,-4.6857,-4.41248,-4.14106,-3.92786,-3.65051,-3.4915,-3.23208,-3.07197,-2.86003,-2.65584,-2.47659,-2.27079,-2.09883,-1.89664,-1.72165,-1.5141,-1.35638,-1.1585,-0.967749,-0.761175,-0.571617,-0.3807,-0.142408,0.0571036,0.290445,0.537058,0.832744,1.0991,1.50584,1.87935,2.32334,3.12438,3.9643,61.6382,61.8679,62.1945,62.7157,62.808,63.0125,63.0227,63.739,63.8422,64.5965,64.8967,65.1137,65.1181,65.3884,65.611,65.8928,65.9874,66.0068,67.3437,68.4391,69.3646,69.7873,71.1185,71.1914,71.4852,73.5904,78.0895,79.2566,80.5354,82.5156,87.1686,92.0988,0.0407562,0.0503986,0.0599149,0.0620074,0.0707209,0.116347,150,299790
-1.46506e+07,0.93699,0.000384689,1,1,0,1.4651e+07,0.0380748,60.3277,0.974,1.17649,0.0380748,60.3277,0.974,1.17649,0.0141188,0.0196481,0.0268889,0.0336877,0.040772,0.0492255,0.0584428,0.0672335,0.0762486,0.0864006,0.0953142,0.1083,0.116529,0.131316,0.141365,0.155859,0.171226,0.185961,0.204449,0.221298,0.242895,0.26328,0.289688,0.311514,0.341236,0.37257,0.409756,0.447136,0.488232,0.544865,0.597303,0.66507,0.745067,0.853766,0.965198,1.16406,1.38257,1.69629,2.45324,3.61212,-8.07453,-7.35691,-6.67564,-6.18615,-5.7717,-5.36256,-4.98985,-4.68558,-4.41235,-4.14093,-3.92772,-3.65036,-3.49134,-3.23192,-3.0718,-2.85985,-2.65566,-2.4764,-2.27059,-2.09862,-1.89642,-1.72142,-1.51386,-1.35612,-1.15823,-0.967469,-0.760881,-0.571308,-0.380375,-0.142064,0.0574659,0.290829,0.537468,0.833186,1.09957,1.50637,1.87993,2.324,3.12519,3.9653,61.6334,61.8622,62.1878,62.707,62.799,63.0028,63.0129,63.7267,63.8296,64.5813,64.8804,65.0967,65.1011,65.3704,65.5923,65.8732,65.9674,65.9867,67.3192,68.411,69.3334,69.7548,71.0817,71.1544,71.4473,73.5459,78.0314,79.1951,80.4702,82.4447,87.0847,92.0017,0.0406803,0.0503049,0.0598034,0.061892,0.0705892,0.11613,150,299790
-1.46503e+07,0.935808,0.000384689,1,1,0,1.46506e+07,0.0379316,60.3277,0.974003,1.17651,0.0379316,60.3277,0.974003,1.17651,0.0141191,0.0196485,0.0268897,0.0336888,0.0407735,0.0492275,0.0584453,0.0672367,0.0762524,0.0864053,0.0953197,0.108307,0.116536,0.131325,0.141375,0.15587,0.17124,0.185977,0.204466,0.221318,0.242918,0.263307,0.289719,0.311549,0.341276,0.372616,0.409809,0.447197,0.488303,0.544948,0.5974,0.665185,0.745204,0.853936,0.965404,1.16434,1.38294,1.6968,2.45415,3.61379,-8.07446,-7.35684,-6.67556,-6.18606,-5.7716,-5.36245,-4.98974,-4.68546,-4.41222,-4.14079,-3.92757,-3.6502,-3.49118,-3.23175,-3.07163,-2.85967,-2.65546,-2.47619,-2.27038,-2.0984,-1.89619,-1.72118,-1.5136,-1.35586,-1.15796,-0.96718,-0.760577,-0.57099,-0.380042,-0.14171,0.0578382,0.291224,0.537888,0.83364,1.10006,1.50691,1.88053,2.32467,3.12602,3.96633,61.6285,61.8565,62.1809,62.6983,62.7899,62.9929,63.0031,63.7143,63.8167,64.5658,64.8639,65.0794,65.0838,65.3522,65.5733,65.8532,65.9471,65.9663,67.2943,68.3824,69.3017,69.7217,71.0443,71.1168,71.4087,73.5006,77.9724,79.1326,80.4039,82.3726,86.9995,91.903,0.0406032,0.0502095,0.05969,0.0617746,0.0704553,0.115909,150,299790
