# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = total_model
# start_datetime = 2023-07-19 13:16:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/3together.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpk9qze93e/aktflwy5.json
# random
#   seed = 78767
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/together/total-20230719141652.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,M,theta.1,theta.2,theta.3,theta.4,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.000492758
# Diagonal elements of inverse mass matrix:
# 0.000926344, 2.43926e-05, 2.45976e-05, 0.00043722
-1.47113e+07,0.856917,0.000492758,2,3,0,1.47132e+07,0.11186,87.3227,0.964845,1.24429,0.11186,87.3227,0.964845,1.24429,0.013975,0.0194104,0.0265056,0.0331473,0.040049,0.0482616,0.0571902,0.065682,0.0743684,0.084125,0.0926705,0.105087,0.112936,0.127004,0.136539,0.150259,0.164763,0.178631,0.19598,0.211744,0.231886,0.250837,0.275299,0.295447,0.322787,0.351493,0.385413,0.419356,0.456505,0.507423,0.554302,0.614524,0.685123,0.780262,0.876917,1.04742,1.23213,1.49311,2.10626,3.0115,-8.02896,-7.31554,-6.63902,-6.15347,-5.74275,-5.3377,-4.9691,-4.66848,-4.39877,-4.13109,-3.921,-3.64796,-3.49156,-3.23662,-3.07942,-2.87151,-2.67142,-2.49593,-2.29465,-2.12665,-1.92933,-1.75875,-1.55669,-1.40331,-1.21113,-1.02613,-0.82608,-0.642796,-0.458484,-0.22886,-0.0369799,0.186983,0.423132,0.705491,0.959081,1.34488,1.69756,2.11475,2.86185,3.6382,92.7255,93.6532,94.9632,97.0312,97.3948,98.1973,98.2373,101.019,101.416,104.292,105.423,106.238,106.254,107.263,108.09,109.133,109.481,109.553,114.417,118.324,121.574,123.044,127.62,127.869,128.867,135.923,150.501,154.189,158.193,164.32,178.422,192.992,0.0766537,0.0947258,0.112558,0.116479,0.132804,0.217959,150,299790
-1.47037e+07,0.167014,0.000492758,5,31,0,1.47113e+07,0.108501,87.3227,0.964825,1.24532,0.108501,87.3227,0.964825,1.24532,0.0139814,0.019421,0.0265228,0.0331713,0.0400811,0.0483043,0.0572455,0.0657503,0.074451,0.0842246,0.0927859,0.105227,0.113092,0.127191,0.136748,0.1505,0.16504,0.178945,0.196341,0.21215,0.232352,0.251362,0.275904,0.29612,0.323556,0.352367,0.386417,0.420496,0.4578,0.508941,0.556034,0.616544,0.687499,0.783143,0.880342,1.05186,1.23776,1.50056,2.11843,3.03151,-8.02693,-7.31332,-6.63659,-6.15087,-5.73998,-5.33475,-4.96598,-4.66519,-4.39533,-4.12749,-3.91727,-3.64405,-3.48753,-3.23241,-3.07508,-2.86701,-2.66674,-2.49109,-2.28963,-2.12147,-1.92395,-1.75319,-1.5509,-1.39735,-1.20494,-1.01971,-0.819404,-0.635874,-0.451306,-0.221349,-0.0291785,0.195137,0.431675,0.714522,0.968571,1.35511,1.70851,2.12659,2.87539,3.65361,92.5678,93.4693,94.7427,96.7538,97.1075,97.8883,97.9272,100.634,101.021,103.822,104.925,105.719,105.735,106.719,107.525,108.542,108.881,108.951,113.698,117.512,120.687,122.124,126.597,126.84,127.817,134.719,148.994,152.609,156.533,162.54,176.373,190.674,0.075502,0.0933065,0.110876,0.114739,0.130825,0.21476,150,299790
-1.47018e+07,0.854838,0.000492758,2,3,0,1.47037e+07,0.107682,87.3227,0.964806,1.24561,0.107682,87.3227,0.964806,1.24561,0.013983,0.0194236,0.026527,0.0331772,0.040089,0.0483148,0.057259,0.0657671,0.0744712,0.084249,0.0928142,0.105261,0.11313,0.127237,0.136799,0.150559,0.165108,0.179022,0.196429,0.21225,0.232467,0.25149,0.276052,0.296285,0.323744,0.352582,0.386664,0.420776,0.458118,0.509314,0.55646,0.617042,0.688084,0.783853,0.881186,1.05296,1.23916,1.5024,2.12144,3.03648,-8.02639,-7.31274,-6.63595,-6.15019,-5.73927,-5.33399,-4.96517,-4.66435,-4.39445,-4.12657,-3.91632,-3.64305,-3.4865,-3.23133,-3.07398,-2.86586,-2.66555,-2.48986,-2.28836,-2.12016,-1.92259,-1.75178,-1.54944,-1.39585,-1.20338,-1.01809,-0.817726,-0.634135,-0.449504,-0.219464,-0.0272224,0.19718,0.433815,0.716782,0.970945,1.35767,1.71124,2.12954,2.87877,3.65746,92.5292,93.4243,94.6887,96.6859,97.0371,97.8126,97.8513,100.54,100.924,103.707,104.803,105.592,105.608,106.585,107.387,108.397,108.734,108.804,113.521,117.313,120.469,121.898,126.346,126.588,127.559,134.423,148.624,152.22,156.124,162.103,175.869,190.104,0.075218,0.0929565,0.110461,0.11431,0.130337,0.213971,150,299790
-1.47013e+07,0.923817,0.000492758,1,1,0,1.47018e+07,0.107483,87.3227,0.964807,1.24566,0.107483,87.3227,0.964807,1.24566,0.0139834,0.0194243,0.026528,0.0331787,0.0400909,0.0483173,0.0572623,0.0657711,0.0744761,0.0842549,0.0928211,0.10527,0.113139,0.127248,0.136811,0.150573,0.165125,0.17904,0.196451,0.212274,0.232494,0.251522,0.276088,0.296325,0.32379,0.352633,0.386723,0.420844,0.458195,0.509404,0.556563,0.617162,0.688225,0.784025,0.88139,1.05323,1.23949,1.50285,2.12217,3.03768,-8.02628,-7.31262,-6.63582,-6.15005,-5.73911,-5.33383,-4.965,-4.66416,-4.39426,-4.12636,-3.91611,-3.64282,-3.48627,-3.23109,-3.07373,-2.8656,-2.66528,-2.48959,-2.28807,-2.11986,-1.92228,-1.75146,-1.5491,-1.3955,-1.20302,-1.01772,-0.817338,-0.633733,-0.449087,-0.219027,-0.0267681,0.197656,0.434313,0.717309,0.9715,1.35827,1.71188,2.13024,2.87957,3.65837,92.5199,93.4134,94.6757,96.6695,97.0202,97.7944,97.8329,100.518,100.901,103.68,104.774,105.561,105.577,106.553,107.353,108.362,108.699,108.768,113.478,117.264,120.417,121.843,126.285,126.526,127.496,134.351,148.534,152.126,156.026,161.997,175.747,189.965,0.0751491,0.0928716,0.11036,0.114206,0.130219,0.213779,150,299790
-1.46994e+07,0.336419,0.000492758,4,15,0,1.47013e+07,0.106659,87.3227,0.964808,1.24595,0.106659,87.3227,0.964808,1.24595,0.013985,0.0194269,0.0265322,0.0331846,0.0400988,0.0483278,0.0572759,0.0657879,0.0744964,0.0842794,0.0928495,0.105304,0.113178,0.127294,0.136863,0.150633,0.165193,0.179118,0.19654,0.212374,0.232609,0.251651,0.276237,0.296491,0.32398,0.35285,0.386972,0.421126,0.458516,0.50978,0.556993,0.617663,0.688815,0.784741,0.882241,1.05433,1.2409,1.50471,2.12522,3.04271,-8.02574,-7.31203,-6.63518,-6.14936,-5.73839,-5.33306,-4.96419,-4.66332,-4.39337,-4.12544,-3.91515,-3.64182,-3.48524,-3.23001,-3.07262,-2.86445,-2.66409,-2.48836,-2.28679,-2.11854,-1.92091,-1.75005,-1.54764,-1.39399,-1.20146,-1.0161,-0.81565,-0.631984,-0.447273,-0.217131,-0.0247994,0.199712,0.436467,0.719585,0.973891,1.36084,1.71464,2.13321,2.88297,3.66225,92.4811,93.3682,94.6214,96.6012,96.9494,97.7183,97.7566,100.423,100.804,103.564,104.651,105.433,105.449,106.419,107.214,108.216,108.551,108.62,113.301,117.064,120.197,121.616,126.032,126.272,127.236,134.053,148.161,151.734,155.614,161.555,175.239,189.39,0.074862,0.0925177,0.109941,0.113772,0.129725,0.21298,150,299790
-1.46989e+07,0.918315,0.000492758,1,1,0,1.46994e+07,0.106446,87.3227,0.964808,1.24601,0.106446,87.3227,0.964808,1.24601,0.0139854,0.0194276,0.0265333,0.0331861,0.0401008,0.0483305,0.0572794,0.0657923,0.0745016,0.0842857,0.0928568,0.105313,0.113188,0.127305,0.136876,0.150648,0.165211,0.179138,0.196563,0.2124,0.232639,0.251685,0.276276,0.296534,0.324029,0.352905,0.387036,0.421199,0.458599,0.509877,0.557103,0.617792,0.688967,0.784925,0.882461,1.05462,1.24126,1.50519,2.12601,3.044,-8.02562,-7.3119,-6.63504,-6.14921,-5.73822,-5.33288,-4.964,-4.66312,-4.39316,-4.12522,-3.91492,-3.64158,-3.485,-3.22976,-3.07236,-2.86418,-2.6638,-2.48806,-2.28648,-2.11822,-1.92058,-1.74971,-1.54728,-1.39362,-1.20107,-1.0157,-0.815235,-0.631553,-0.446826,-0.216662,-0.024312,0.200223,0.437002,0.720152,0.974487,1.36149,1.71533,2.13396,2.88383,3.66324,92.4711,93.3565,94.6075,96.5836,96.9312,97.6987,97.7369,100.399,100.779,103.534,104.619,105.4,105.416,106.384,107.178,108.178,108.513,108.581,113.255,117.012,120.141,121.557,125.967,126.206,127.169,133.977,148.065,151.633,155.508,161.441,175.108,189.241,0.0747879,0.0924264,0.109832,0.11366,0.129597,0.212774,150,299790
