# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = total_model
# start_datetime = 2023-07-19 13:18:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/3together.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp2j2q1u9x/gvo9btam.json
# random
#   seed = 7843
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/together/total-20230719141840.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,M,theta.1,theta.2,theta.3,theta.4,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.130218
# Diagonal elements of inverse mass matrix:
# 0.000887794, 2.38795, 0.00355538, 0.000280987
-10437.9,0.881497,0.130218,4,19,0,10438.9,0.346372,70.5731,-0.192691,-1.23609,0.346372,70.5731,-0.192691,-1.23609,0.0142746,0.0198899,0.0272512,0.0341668,0.0413739,0.049972,0.0593415,0.0682699,0.0774166,0.0877034,0.0967222,0.109838,0.118133,0.133008,0.143091,0.1576,0.172936,0.187593,0.205917,0.222553,0.243784,0.263731,0.289435,0.310563,0.339169,0.369119,0.404393,0.43956,0.477894,0.530172,0.578029,0.639126,0.710208,0.805094,0.900469,1.06634,1.2429,1.48744,2.04334,2.82929,14.5367,15.2571,15.9408,16.4319,16.8475,17.2575,17.6307,17.9351,18.2081,18.479,18.6915,18.9677,19.1258,19.3833,19.542,19.7517,19.9533,20.13,20.3324,20.5011,20.6989,20.8697,21.0717,21.2247,21.416,21.5997,21.7979,21.979,22.1606,22.386,22.5737,22.7918,23.0208,23.2931,23.5363,23.9034,24.2361,24.6261,25.3156,26.0223,71.0873,71.6129,72.4987,74.1805,74.5069,75.2558,75.2941,78.1565,78.5933,81.929,83.312,84.3279,84.3485,85.6298,86.6962,88.0597,88.5197,88.6144,95.2343,100.744,105.418,107.553,114.258,114.625,116.098,126.577,148.403,153.935,159.938,169.119,190.196,211.882,0.131483,0.163185,0.19471,0.201669,0.230729,0.382493,150,299790
-10437.7,0.960227,0.130218,4,23,0,10439.2,0.357365,68.3978,-0.173761,-1.23865,0.357365,68.3978,-0.173761,-1.23865,0.0142637,0.0198716,0.0272209,0.0341234,0.0413149,0.0498922,0.0592364,0.0681382,0.0772553,0.0875061,0.0964913,0.109554,0.117814,0.132622,0.142657,0.157093,0.172347,0.186923,0.205139,0.221672,0.242766,0.262578,0.288098,0.30907,0.337453,0.367161,0.402135,0.436992,0.474973,0.526749,0.574127,0.634587,0.704898,0.798708,0.892957,1.05678,1.23107,1.47233,2.02045,2.79501,14.5325,15.2525,15.9359,16.4266,16.8419,17.2515,17.6243,17.9283,18.201,18.4715,18.6838,18.9595,19.1173,19.3744,19.5328,19.7421,19.9434,20.1197,20.3216,20.4899,20.6873,20.8576,21.0591,21.2116,21.4024,21.5856,21.7832,21.9637,22.1447,22.3694,22.5564,22.7738,23.002,23.2733,23.5155,23.8813,24.2128,24.6014,25.2886,25.9933,69.1294,69.6845,70.6083,72.3424,72.677,73.4431,73.4822,76.3944,76.8372,80.2082,81.6016,82.6238,82.6445,83.9323,85.0031,86.3708,86.832,86.9269,93.5489,99.0447,103.699,105.822,112.486,112.849,114.312,124.705,146.309,151.778,157.711,166.781,187.591,208.988,0.132453,0.164364,0.196081,0.20308,0.232299,0.384679,150,299790
-10437.4,0.969497,0.130218,5,63,0,10438.9,0.336701,71.6999,-0.19444,-1.24431,0.336701,71.6999,-0.19444,-1.24431,0.0142735,0.0198886,0.0272499,0.0341659,0.0413738,0.0499735,0.0593455,0.068277,0.0774277,0.0877199,0.0967443,0.10987,0.118171,0.13306,0.143155,0.15768,0.173036,0.187715,0.206069,0.222734,0.244007,0.263996,0.289759,0.31094,0.339623,0.369662,0.405048,0.440336,0.478812,0.531299,0.579362,0.640742,0.712179,0.807578,0.90351,1.07044,1.24822,1.4946,2.05511,2.84825,14.5283,15.2487,15.9325,16.4237,16.8393,17.2494,17.6226,17.9271,18.2002,18.4712,18.6838,18.9601,19.1183,19.3759,19.5347,19.7446,19.9464,20.1232,20.3258,20.4946,20.6927,20.8637,21.0659,21.2191,21.4107,21.5947,21.7932,21.9746,22.1565,22.3824,22.5704,22.7891,23.0186,23.2916,23.5354,23.9035,24.2372,24.6283,25.3199,26.0286,72.1878,72.7044,73.5761,75.2338,75.5557,76.2948,76.3326,79.1602,79.5921,82.8924,84.2619,85.2683,85.2887,86.5584,87.6155,88.9675,89.4238,89.5177,96.0889,101.564,106.213,108.338,115.014,115.378,116.846,127.29,149.067,154.59,160.585,169.757,190.822,212.505,0.130108,0.161475,0.192671,0.199558,0.228322,0.378673,150,299790
-10437.5,0.996747,0.130218,4,15,0,10438.6,0.35461,71.8659,-0.172944,-1.23061,0.35461,71.8659,-0.172944,-1.23061,0.0142626,0.0198699,0.0272184,0.0341202,0.041311,0.0498874,0.0592308,0.068132,0.0772486,0.0874989,0.0964839,0.109547,0.117807,0.132615,0.142651,0.157088,0.172344,0.186922,0.205141,0.221678,0.242778,0.262595,0.288125,0.309104,0.3375,0.367223,0.402217,0.437095,0.475102,0.526918,0.574336,0.634853,0.705235,0.799153,0.89352,1.05758,1.23213,1.47381,2.02299,2.79924,14.5404,15.2604,15.9437,16.4345,16.8497,17.2593,17.6321,17.9361,18.2088,18.4794,18.6917,18.9674,19.1252,19.3824,19.5408,19.7501,19.9514,20.1277,20.3297,20.498,20.6954,20.8658,21.0673,21.2199,21.4108,21.594,21.7917,21.9723,22.1533,22.3781,22.5652,22.7828,23.0111,23.2825,23.5249,23.891,24.2227,24.6116,25.2994,26.0046,72.6385,73.2185,74.1836,75.9946,76.3441,77.1441,77.1849,80.2256,80.688,84.208,85.6631,86.7306,86.7522,88.0971,89.2155,90.644,91.1257,91.2248,98.1423,103.885,108.748,110.967,117.932,118.312,119.841,130.705,153.296,159.016,165.222,174.709,196.477,218.862,0.133586,0.165767,0.197754,0.204813,0.234281,0.387994,150,299790
-10438.6,0.880062,0.130218,5,47,0,10439.9,0.304915,71.883,-0.139958,-1.23657,0.304915,71.883,-0.139958,-1.23657,0.0142334,0.0198242,0.0271493,0.034028,0.0411942,0.0497411,0.0590526,0.0679242,0.0770116,0.0872309,0.0961903,0.10922,0.11746,0.132238,0.142258,0.156676,0.171918,0.18649,0.204712,0.221259,0.242386,0.262243,0.287842,0.308895,0.337414,0.367294,0.40251,0.437648,0.475983,0.528316,0.576277,0.637579,0.709001,0.804502,0.90067,1.06831,1.24724,1.49576,2.06317,2.86941,14.53,15.2494,15.9322,16.4226,16.8376,17.247,17.6196,17.9236,18.1962,18.4668,18.6791,18.9549,19.1129,19.3702,19.5288,19.7384,19.94,20.1167,20.3191,20.4879,20.686,20.857,21.0592,21.2125,21.4042,21.5885,21.7873,21.9691,22.1514,22.3779,22.5666,22.7861,23.0167,23.2911,23.5363,23.9069,24.2432,24.6377,25.3361,26.0524,72.887,73.4333,74.327,75.98,76.2968,77.0207,77.0575,79.7958,80.2111,83.3688,84.6731,85.63,85.6493,86.855,87.8577,89.1388,89.5709,89.6598,95.8721,101.041,105.426,107.431,113.73,114.074,115.459,125.318,145.902,151.129,156.805,165.491,185.461,206.038,0.123459,0.153134,0.182625,0.189133,0.216315,0.358589,150,299790
-10438.3,0.965059,0.130218,4,31,0,10441.5,0.364684,71.925,-0.178776,-1.22997,0.364684,71.925,-0.178776,-1.22997,0.0142687,0.0198795,0.027233,0.0341396,0.0413356,0.0499184,0.0592686,0.0681761,0.077299,0.0875562,0.0965467,0.109617,0.117881,0.132696,0.142737,0.157178,0.172438,0.187018,0.205238,0.221773,0.242869,0.262679,0.288196,0.309163,0.337536,0.367229,0.402181,0.43701,0.474955,0.526672,0.573987,0.634353,0.704537,0.798152,0.892176,1.05555,1.22928,1.46967,2.01546,2.78618,14.542,15.2621,15.9455,16.4363,16.8517,17.2613,17.6342,17.9382,18.2109,18.4815,18.6937,18.9694,19.1273,19.3843,19.5427,19.752,19.9532,20.1294,20.3313,20.4996,20.6969,20.8672,21.0685,21.221,21.4116,21.5947,21.7921,21.9725,22.1533,22.3777,22.5645,22.7817,23.0095,23.2805,23.5223,23.8874,24.2183,24.6061,25.2919,25.9951,72.6482,73.2353,74.2152,76.0591,76.4153,77.2312,77.2728,80.3765,80.8487,84.4439,85.9302,87.0206,87.0427,88.4165,89.5587,91.0177,91.5097,91.6109,98.6737,104.534,109.495,111.758,118.859,119.246,120.805,131.875,154.876,160.697,167.01,176.661,198.797,221.552,0.135591,0.168269,0.20075,0.207918,0.237838,0.393798,150,299790
