# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = total_model
# start_datetime = 2023-07-19 14:36:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/3together.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpe2_kqd_7/x7kpeuc8.json
# random
#   seed = 17636
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/together/total-20230719153624.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,M,theta.1,theta.2,theta.3,theta.4,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.140384
# Diagonal elements of inverse mass matrix:
# 0.000715971, 3.2309, 0.00366951, 0.000304461
-10438.8,0.993713,0.140384,4,31,0,10440.8,0.317698,67.9058,-0.0459055,-1.19851,0.317698,67.9058,-0.0459055,-1.19851,0.0141767,0.0197307,0.0269991,0.0338168,0.0409126,0.0493672,0.0585689,0.0673276,0.0762918,0.086364,0.0951875,0.108008,0.116111,0.130631,0.140468,0.154613,0.169555,0.183828,0.201663,0.217847,0.238494,0.257884,0.282862,0.303389,0.331175,0.360262,0.394518,0.428671,0.465903,0.51669,0.563198,0.622599,0.691753,0.78415,0.877126,1.03909,1.21185,1.45171,1.99926,2.77762,14.5594,15.2772,15.9582,16.4472,16.8608,17.2687,17.6398,17.9425,18.2139,18.4832,18.6944,18.9688,19.1259,19.3817,19.5394,19.7477,19.948,20.1235,20.3246,20.4922,20.6889,20.8586,21.0594,21.2115,21.4018,21.5846,21.7818,21.9621,22.143,22.3676,22.5548,22.7725,23.0012,23.2735,23.5168,23.8847,24.2187,24.6109,25.3058,26.0198,69.8361,70.5008,71.5459,73.4045,73.7537,74.545,74.5851,77.5199,77.9591,81.2619,82.6115,83.5972,83.6171,84.8542,85.8796,87.1855,87.625,87.7153,93.9879,99.1585,103.522,105.509,111.736,112.076,113.441,123.132,143.252,148.344,153.869,162.315,181.699,201.64,0.123842,0.153496,0.182916,0.189403,0.216467,0.357646,150,299790
-10438.3,0.874859,0.140384,4,31,0,10441.5,0.317805,72.84,-0.15588,-1.23906,0.317805,72.84,-0.15588,-1.23906,0.0142449,0.0198426,0.0271777,0.0340665,0.0412438,0.0498046,0.0591318,0.0680186,0.0771218,0.087359,0.096334,0.109386,0.11764,0.132443,0.142479,0.156919,0.172185,0.186777,0.205023,0.221591,0.242741,0.262616,0.288236,0.309303,0.337834,0.367721,0.402937,0.438066,0.476381,0.528668,0.576571,0.637775,0.709051,0.804305,0.900169,1.06716,1.24523,1.49235,2.05578,2.85508,14.5292,15.2489,15.932,16.4226,16.8377,17.2473,17.6201,17.9241,18.1968,18.4675,18.6798,18.9557,19.1137,19.3711,19.5297,19.7393,19.9409,20.1176,20.32,20.4887,20.6867,20.8576,21.0597,21.2129,21.4045,21.5885,21.7871,21.9686,22.1507,22.3769,22.5652,22.7843,23.0143,23.288,23.5326,23.9021,24.2372,24.6303,25.3258,26.039,73.7275,74.2805,75.1926,76.8918,77.2186,77.9661,78.0043,80.8403,81.2713,84.5513,85.9076,86.9029,86.9231,88.1775,89.2209,90.5544,91.0042,91.0967,97.5646,102.946,107.511,109.597,116.152,116.51,117.951,128.204,149.594,155.022,160.915,169.931,190.65,211.989,0.12661,0.157069,0.187344,0.194027,0.221933,0.367893,150,299790
-10439.2,0.917908,0.140384,4,15,0,10440,0.320145,73.0984,-0.154596,-1.24155,0.320145,73.0984,-0.154596,-1.24155,0.0142445,0.0198417,0.0271761,0.0340642,0.0412405,0.0497998,0.0591251,0.0680098,0.0771106,0.0873447,0.0963168,0.109364,0.117615,0.132412,0.142443,0.156876,0.172133,0.186717,0.204952,0.221509,0.242644,0.262504,0.288103,0.309151,0.337656,0.367514,0.402693,0.437782,0.476051,0.528273,0.576111,0.637228,0.708395,0.803494,0.899191,1.06587,1.24359,1.49017,2.05228,2.84954,14.5267,15.2463,15.9294,16.4199,16.8351,17.2446,17.6173,17.9213,18.194,18.4646,18.677,18.9528,19.1108,19.3681,19.5267,19.7362,19.9378,20.1144,20.3167,20.4854,20.6833,20.8541,21.0562,21.2093,21.4008,21.5848,21.7833,21.9647,22.1467,22.3727,22.561,22.7799,23.0098,23.2834,23.5277,23.897,24.2318,24.6246,25.3196,26.0323,74.0097,74.5706,75.495,77.2158,77.5467,78.3033,78.3418,81.211,81.6468,84.9631,86.334,87.3399,87.3603,88.6279,89.6821,91.0293,91.4837,91.5772,98.1092,103.542,108.15,110.255,116.869,117.23,118.684,129.026,150.595,156.067,162.007,171.096,191.978,213.482,0.127196,0.157795,0.188209,0.194921,0.222953,0.369534,150,299790
-10440.5,0.973131,0.140384,4,31,0,10444.1,0.380928,72.7743,-0.204913,-1.24548,0.380928,72.7743,-0.204913,-1.24548,0.0142917,0.0199166,0.0272911,0.0342195,0.04144,0.0500537,0.0594396,0.0683826,0.0775431,0.0878436,0.0968731,0.110001,0.118302,0.133184,0.14327,0.157778,0.173107,0.187752,0.206054,0.222663,0.243851,0.263746,0.289369,0.310419,0.338901,0.368702,0.403774,0.438712,0.476765,0.528612,0.576026,0.636495,0.706762,0.800432,0.894448,1.05767,1.23106,1.47073,2.014,2.77974,14.5299,15.2506,15.9346,16.4259,16.8416,17.2517,17.6249,17.9292,18.2022,18.4731,18.6855,18.9615,19.1195,19.3768,19.5353,19.7447,19.9461,20.1224,20.3244,20.4928,20.6901,20.8605,21.0618,21.2143,21.4049,21.5879,21.7852,21.9654,22.146,22.3702,22.5567,22.7735,23.0009,23.2711,23.5123,23.8763,24.2059,24.5922,25.2748,25.9745,73.1975,73.7713,74.7455,76.6062,76.9682,77.7992,77.8417,81.022,81.5076,85.2144,86.7505,87.8784,87.9012,89.3232,90.5061,92.0179,92.5278,92.6327,99.9596,106.044,111.196,113.547,120.922,121.324,122.943,134.438,158.309,164.348,170.897,180.905,203.853,227.432,0.139256,0.172872,0.206299,0.213676,0.244472,0.404875,150,299790
-10440.6,0.983286,0.140384,3,7,0,10442.1,0.384914,72.7574,-0.210843,-1.23755,0.384914,72.7574,-0.210843,-1.23755,0.0142973,0.0199255,0.0273051,0.0342388,0.0414651,0.0500863,0.0594809,0.0684324,0.0776019,0.087913,0.0969518,0.110094,0.118404,0.133302,0.143399,0.157922,0.173267,0.187929,0.206251,0.222877,0.244087,0.264002,0.28965,0.31072,0.339228,0.369054,0.404153,0.439116,0.477195,0.529071,0.576508,0.636999,0.707284,0.800962,0.894972,1.05815,1.23145,1.47093,2.01357,2.77808,14.5387,15.2595,15.9437,16.435,16.8509,17.261,17.6343,17.9388,18.2118,18.4827,18.6952,18.9713,19.1293,19.3866,19.5452,19.7547,19.956,20.1324,20.3344,20.5028,20.7002,20.8705,21.0718,21.2243,21.4149,21.5979,21.7952,21.9753,22.1559,22.38,22.5665,22.7831,23.0104,23.2805,23.5215,23.8852,24.2145,24.6004,25.2823,25.9812,73.1066,73.6755,74.6455,76.5051,76.8674,77.6999,77.7424,80.9324,81.4198,85.1433,86.6871,87.8208,87.8438,89.2733,90.4628,91.9831,92.4958,92.6014,99.9712,106.092,111.276,113.641,121.06,121.465,123.094,134.658,158.67,164.744,171.33,181.395,204.472,228.18,0.140039,0.173858,0.207488,0.214911,0.245896,0.407252,150,299790
-10439.4,0.96349,0.140384,5,31,0,10442.5,0.312187,69.8595,-0.0456935,-1.19417,0.312187,69.8595,-0.0456935,-1.19417,0.0141769,0.0197313,0.0270004,0.0338192,0.0409163,0.049373,0.0585775,0.0673393,0.0763072,0.0863842,0.0952124,0.108041,0.116149,0.13068,0.140524,0.154682,0.169638,0.183926,0.201781,0.217985,0.238659,0.258077,0.283093,0.303654,0.331488,0.36063,0.394955,0.429181,0.466499,0.517411,0.564042,0.623611,0.692974,0.785672,0.878974,1.04155,1.21502,1.45595,2.0062,2.7888,14.5637,15.2816,15.9627,16.4516,16.8653,17.2733,17.6445,17.9472,18.2187,18.488,18.6993,18.9738,19.1309,19.3869,19.5446,19.753,19.9534,20.129,20.3302,20.498,20.6947,20.8646,21.0655,21.2177,21.4082,21.5911,21.7886,21.969,22.1501,22.375,22.5624,22.7804,23.0094,23.282,23.5257,23.8942,24.2287,24.6216,25.3177,26.0329,71.8135,72.4861,73.5438,75.4252,75.7788,76.58,76.6207,79.5933,80.0382,83.3856,84.7538,85.7532,85.7734,87.028,88.068,89.3927,89.8385,89.9302,96.2962,101.547,105.979,107.999,114.327,114.672,116.06,125.914,146.386,151.57,157.194,165.793,185.535,205.848,0.123628,0.153231,0.182602,0.189078,0.2161,0.357123,150,299790
