# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = total_model
# start_datetime = 2023-07-20 10:48:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/3together.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpiq05zra7/eqb1l_85.json
# random
#   seed = 8157
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/together/total-20230720114854.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,M,theta.1,theta.2,theta.3,theta.4,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.228133
# Diagonal elements of inverse mass matrix:
# 0.000237808, 3.14336, 0.00885566, 9.50652e-05
-35.597,0.979907,0.228133,2,7,0,36.5741,0.297324,68.9529,-0.0287444,-1.19735,68.9529,0.297324,-0.0287444,-1.19735,0.0141528,0.0196929,0.026941,0.0337384,0.0408117,0.0492386,0.0584094,0.0671381,0.0760714,0.0861088,0.094902,0.107679,0.115755,0.130228,0.140034,0.154136,0.169034,0.183269,0.201058,0.217205,0.237808,0.257163,0.282102,0.302604,0.330365,0.359438,0.393691,0.427858,0.465124,0.515986,0.562593,0.62216,0.691561,0.784372,0.877859,1.04091,1.21509,1.45728,2.01139,2.80112,14.5569,15.2742,15.9547,16.4433,16.8566,17.2642,17.6351,17.9375,18.2088,18.4779,18.689,18.9633,19.1204,19.3762,19.5338,19.7422,19.9425,20.1181,20.3193,20.487,20.6838,20.8537,21.0547,21.207,21.3976,21.5808,21.7784,21.9592,22.1405,22.3658,22.5536,22.7722,23.0018,23.2753,23.5198,23.8897,24.2257,24.6204,25.3201,26.0393,71.1615,71.8356,72.8826,74.7221,75.0656,75.8426,75.8819,78.7495,79.1774,82.3889,83.699,84.6554,84.6747,85.8746,86.8688,88.1348,88.5607,88.6483,94.7276,99.7402,103.972,105.901,111.946,112.275,113.602,123.021,142.613,147.577,152.965,161.207,180.141,199.637,1275.86,1680.19,2074.52,2159.38,2502.34,3924.34,150,299790
-37.2998,0.913263,0.228133,2,3,0,37.6521,0.29749,68.2731,-0.0352049,-1.19816,68.2731,0.29749,-0.0352049,-1.19816,0.0141531,0.0196934,0.026942,0.0337398,0.0408138,0.0492416,0.0584136,0.0671436,0.0760783,0.0861176,0.0949126,0.107693,0.11577,0.130247,0.140056,0.154162,0.169065,0.183305,0.201101,0.217254,0.237866,0.257229,0.28218,0.302692,0.330467,0.359556,0.393829,0.428016,0.465305,0.516201,0.562839,0.622448,0.6919,0.784783,0.878343,1.04153,1.21585,1.45825,2.01283,2.80319,14.5561,15.2734,15.954,16.4426,16.8559,17.2635,17.6344,17.9369,18.2081,18.4773,18.6885,18.9628,19.1198,19.3757,19.5333,19.7417,19.9421,20.1177,20.3189,20.4867,20.6835,20.8534,21.0545,21.2068,21.3975,21.5807,21.7784,21.9591,22.1405,22.3659,22.5538,22.7724,23.0021,23.2756,23.5202,23.8902,24.2262,24.621,25.3209,26.0401,70.4475,71.1115,72.1431,73.9562,74.295,75.0611,75.0999,77.9286,78.3508,81.5206,82.814,83.7584,83.7774,84.9624,85.9444,87.1949,87.6157,87.7022,93.7094,98.6643,102.849,104.756,110.735,111.061,112.373,121.691,141.079,145.993,151.326,159.485,178.228,197.531,1282.86,1689.6,2086.31,2171.69,2516.75,3947.15,150,299790
-38.2079,0.931948,0.228133,2,7,0,41.5362,0.296634,68.7681,-0.0970514,-1.20542,68.7681,0.296634,-0.0970514,-1.20542,0.0141559,0.0196988,0.0269521,0.0337555,0.0408367,0.0492746,0.0584594,0.0672036,0.0761547,0.0862144,0.0950291,0.107841,0.11594,0.130459,0.140298,0.154452,0.169409,0.183703,0.201573,0.217797,0.238505,0.257964,0.283046,0.303671,0.331608,0.360877,0.395372,0.429793,0.467348,0.518625,0.565631,0.625729,0.695777,0.789493,0.883927,1.0487,1.22478,1.46969,2.03012,2.8287,14.5493,15.2668,15.9475,16.4363,16.8498,17.2577,17.6289,17.9315,18.2031,18.4725,18.6839,18.9585,19.1157,19.3719,19.5298,19.7385,19.9393,20.1152,20.3167,20.4848,20.6821,20.8524,21.0539,21.2066,21.3977,21.5814,21.7796,21.9609,22.1428,22.3688,22.5572,22.7765,23.0069,23.2813,23.5267,23.8978,24.2349,24.6307,25.3322,26.0525,70.8213,71.4516,72.4336,74.1666,74.4912,75.2265,75.2638,77.9891,78.3971,81.4694,82.7271,83.6467,83.6652,84.8207,85.7793,87.0015,87.4131,87.4977,93.3908,98.2709,102.403,104.289,110.211,110.534,111.836,121.094,140.416,145.322,150.651,158.808,177.568,196.91,1283.82,1693.08,2092.91,2179.03,2527.16,3969,150,299790
-34.6474,0.995084,0.228133,3,7,0,38.6725,0.29288,70.9372,-0.0888859,-1.20398,70.9372,0.29288,-0.0888859,-1.20398,0.0141561,0.0196991,0.0269526,0.0337564,0.0408379,0.0492764,0.0584621,0.0672071,0.0761592,0.0862202,0.0950362,0.10785,0.115951,0.130472,0.140314,0.154471,0.169432,0.183731,0.201606,0.217835,0.238551,0.258018,0.283112,0.303747,0.331699,0.360985,0.395502,0.429947,0.46753,0.51885,0.565898,0.626055,0.696179,0.790008,0.884568,1.04959,1.22597,1.47135,2.03303,2.83375,14.5507,15.2683,15.949,16.4378,16.8513,17.2592,17.6304,17.9331,18.2046,18.4741,18.6855,18.9601,19.1174,19.3736,19.5315,19.7403,19.941,20.1169,20.3185,20.4867,20.6839,20.8543,21.0558,21.2086,21.3997,21.5835,21.7818,21.9631,22.1451,22.3712,22.5597,22.7791,23.0096,23.2842,23.5297,23.9011,24.2384,24.6346,25.3367,26.0578,73.0463,73.6936,74.7015,76.4798,76.8129,77.5672,77.6054,80.4003,80.8186,83.9681,85.2572,86.1997,86.2187,87.4028,88.3851,89.6375,90.0592,90.146,96.1837,101.183,105.415,107.347,113.413,113.745,115.078,124.561,144.354,149.38,154.839,163.196,182.417,202.234,1260.83,1663.13,2056.39,2141.13,2483.81,3905.46,150,299790
-34.8673,0.996964,0.228133,3,15,0,35.8663,0.282057,68.97,-0.00519883,-1.19998,68.97,0.282057,-0.00519883,-1.19998,0.014154,0.0196952,0.0269455,0.0337453,0.0408218,0.0492533,0.0584299,0.0671652,0.0761061,0.0861531,0.0949557,0.107748,0.115834,0.130328,0.140149,0.154275,0.169201,0.183464,0.201292,0.217476,0.238132,0.257539,0.282552,0.303119,0.330974,0.360153,0.394542,0.428853,0.466288,0.5174,0.564254,0.62416,0.693988,0.787423,0.881593,1.04596,1.22168,1.46626,2.02661,2.82655,14.5544,15.2718,15.9524,16.4411,16.8545,17.2622,17.6332,17.9357,18.2071,18.4764,18.6876,18.9621,19.1192,19.3752,19.533,19.7415,19.942,20.1178,20.3192,20.4871,20.6841,20.8542,21.0555,21.2081,21.399,21.5825,21.7805,21.9616,22.1433,22.3692,22.5574,22.7765,23.0068,23.2811,23.5264,23.8976,24.2348,24.6311,25.3339,26.0563,71.1148,71.7689,72.7844,74.5677,74.9007,75.6536,75.6917,78.4695,78.8838,81.9937,83.2621,84.1881,84.2068,85.3685,86.3311,87.5568,87.9692,88.054,93.9407,98.7957,102.896,104.764,110.623,110.943,112.229,121.363,140.374,145.195,150.427,158.433,176.83,195.782,1262.49,1664.52,2057.66,2142.41,2485.46,3917.15,150,299790
-36.4232,0.891078,0.228133,4,15,0,37.1648,0.281186,68.1515,0.0440483,-1.20061,68.1515,0.281186,0.0440483,-1.20061,0.0141521,0.0196916,0.0269386,0.0337346,0.0408064,0.0492311,0.058399,0.0671248,0.0760547,0.086088,0.0948774,0.107649,0.115721,0.130186,0.139986,0.154081,0.168971,0.183198,0.200977,0.217114,0.237706,0.25705,0.281977,0.302468,0.330216,0.359278,0.393521,0.42768,0.464942,0.515805,0.56242,0.62201,0.691454,0.784353,0.877964,1.04132,1.21593,1.45893,2.01567,2.81062,14.5535,15.2708,15.9513,16.4398,16.853,17.2606,17.6314,17.9338,18.205,18.4741,18.6852,18.9594,19.1164,19.3722,19.5298,19.7381,19.9385,20.114,20.3151,20.4828,20.6796,20.8495,21.0505,21.2028,21.3934,21.5765,21.7742,21.955,22.1364,22.3618,22.5497,22.7684,22.9982,23.272,23.5168,23.8873,24.2239,24.6196,25.3215,26.0434,70.3621,71.0339,72.0749,73.8978,74.2376,75.0051,75.0439,77.8681,78.2884,81.4371,82.7186,83.6531,83.6719,84.8434,85.8131,87.047,87.4619,87.5472,93.458,98.3194,102.417,104.283,110.127,110.445,111.726,120.817,139.696,144.477,149.663,157.596,175.81,194.559,1264.74,1666.11,2058.24,2142.75,2484.74,3913.77,150,299790
