# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = total_model
# start_datetime = 2023-07-27 14:53:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/3together.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp7c2hgc8p/87rtwbml.json
# random
#   seed = 64094
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/together/total-20230727155353.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,M,theta.1,theta.2,theta.3,theta.4,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.276278
# Diagonal elements of inverse mass matrix:
# 0.000234452, 2.30105, 0.00632365, 7.97638e-05
-35.3796,0.945131,0.276278,3,7,0,36.4027,0.305652,71.8038,-0.123626,-1.20594,71.8038,0.305652,-0.123626,-1.20594,0.0141559,0.0196988,0.026952,0.0337554,0.0408364,0.0492742,0.0584588,0.0672026,0.0761533,0.0862124,0.0950265,0.107837,0.115936,0.130452,0.14029,0.154442,0.169396,0.183687,0.201552,0.217771,0.238473,0.257924,0.282995,0.30361,0.331532,0.360781,0.395251,0.429643,0.467164,0.518387,0.565336,0.625353,0.695292,0.788841,0.883083,1.04746,1.22304,1.46715,2.02528,2.81979,14.5487,15.2663,15.947,16.4358,16.8493,17.2572,17.6283,17.931,18.2025,18.4719,18.6833,18.9579,19.1151,19.3713,19.5292,19.7379,19.9386,20.1145,20.316,20.4841,20.6812,20.8515,21.053,21.2056,21.3967,21.5803,21.7784,21.9596,22.1414,22.3673,22.5556,22.7747,23.0049,23.279,23.5241,23.8947,24.2313,24.6264,25.3265,26.0451,73.9514,74.612,75.642,77.4622,77.8035,78.5768,78.616,81.4856,81.9155,85.1559,86.4836,87.4547,87.4743,88.6948,89.7077,90.9996,91.4347,91.5242,97.7578,102.924,107.3,109.298,115.573,115.915,117.295,127.108,147.595,152.797,158.448,167.098,186.992,207.502,1265.72,1668.58,2061.68,2146.28,2487.97,3897.27,150,299790
-35.9904,0.965957,0.276278,2,7,0,36.3378,0.307898,71.9301,-0.131913,-1.20754,71.9301,0.307898,-0.131913,-1.20754,0.014156,0.0196989,0.0269523,0.0337558,0.0408371,0.0492751,0.05846,0.0672042,0.0761553,0.0862149,0.0950295,0.107841,0.11594,0.130457,0.140296,0.154448,0.169404,0.183696,0.201562,0.217782,0.238484,0.257937,0.283009,0.303625,0.331548,0.360798,0.395269,0.429661,0.467181,0.518402,0.565348,0.625359,0.69529,0.788823,0.883043,1.04737,1.22289,1.46686,2.0246,2.81835,14.5472,15.2647,15.9454,16.4342,16.8477,17.2556,17.6268,17.9294,18.201,18.4704,18.6818,18.9564,19.1136,19.3698,19.5277,19.7364,19.9371,20.113,20.3145,20.4826,20.6798,20.85,21.0515,21.2042,21.3952,21.5788,21.7769,21.9581,22.1399,22.3658,22.554,22.7731,23.0033,23.2774,23.5224,23.893,24.2294,24.6244,25.3242,26.0424,74.078,74.7391,75.7703,77.5934,77.9353,78.7102,78.7495,81.6262,82.0573,85.3077,86.64,87.6145,87.6342,88.8592,89.8759,91.1727,91.6096,91.6994,97.9592,103.149,107.545,109.553,115.858,116.203,117.589,127.453,148.047,153.277,158.958,167.655,187.656,208.278,1267.01,1670.2,2063.51,2148.13,2489.87,3897.88,150,299790
-37.4536,0.9824,0.276278,3,7,0,37.7148,0.300299,73.0447,-0.143129,-1.19946,73.0447,0.300299,-0.143129,-1.19946,0.0141575,0.0197018,0.0269576,0.0337641,0.0408491,0.0492925,0.0584844,0.0672363,0.0761961,0.0862669,0.0950922,0.107921,0.116032,0.130573,0.140428,0.154607,0.169593,0.183917,0.201825,0.218086,0.238844,0.258353,0.283503,0.304187,0.332207,0.361566,0.396174,0.430712,0.4684,0.519866,0.567051,0.627386,0.697717,0.791824,0.88666,1.05214,1.22898,1.47493,2.03758,2.83888,14.5555,15.2731,15.9539,16.4428,16.8565,17.2644,17.6357,17.9386,18.2102,18.4798,18.6913,18.9661,19.1234,19.3798,19.5378,19.7467,19.9476,20.1236,20.3254,20.4937,20.6911,20.8616,21.0633,21.2162,21.4076,21.5915,21.79,21.9715,22.1536,22.38,22.5686,22.7882,23.0189,23.2937,23.5393,23.9109,24.2483,24.6444,25.3461,26.0663,75.1473,75.7955,76.8072,78.5982,78.9344,79.6966,79.7353,82.5683,82.9934,86.2009,87.517,88.4803,88.4997,89.7111,90.7169,92.0004,92.4329,92.5219,98.7261,103.877,108.246,110.242,116.517,116.859,118.24,128.067,148.616,153.84,159.515,168.207,188.208,208.841,1253.3,1653.76,2045.13,2129.43,2470.14,3877.76,150,299790
-37.3098,1,0.276278,3,7,0,38.5753,0.295775,70.6489,-0.171675,-1.2094,70.6489,0.295775,-0.171675,-1.2094,0.0141593,0.0197053,0.0269641,0.0337743,0.0408639,0.0493139,0.0585143,0.0672754,0.076246,0.0863303,0.0951687,0.108018,0.116144,0.130713,0.140589,0.1548,0.169822,0.184183,0.202141,0.21845,0.239275,0.25885,0.284091,0.304854,0.332988,0.362474,0.39724,0.431945,0.469825,0.521569,0.569023,0.62972,0.700498,0.795236,0.890745,1.05747,1.23572,1.48372,2.05133,2.86,14.5458,15.2635,15.9445,16.4335,16.8473,17.2555,17.6269,17.9299,18.2017,18.4714,18.6831,18.9581,19.1156,19.3722,19.5304,19.7395,19.9406,20.1168,20.3189,20.4874,20.6851,20.8558,21.0579,21.2111,21.4027,21.587,21.7859,21.9677,22.1503,22.3772,22.5663,22.7863,23.0176,23.2931,23.5394,23.9119,24.2502,24.6474,25.3508,26.0724,72.5903,73.1906,74.1292,75.7946,76.1078,76.8182,76.8543,79.501,79.8988,82.9061,84.1424,85.0479,85.0662,86.206,87.1531,88.3625,88.7702,88.8541,94.7133,99.5899,103.732,105.627,111.588,111.914,113.226,122.582,142.182,147.172,152.594,160.902,180.035,199.787,1273.66,1682.37,2082.47,2168.73,2517.57,3960.55,150,299790
-38.9002,0.894012,0.276278,3,7,0,39.9528,0.296743,72.8933,-0.0733658,-1.20544,72.8933,0.296743,-0.0733658,-1.20544,0.0141548,0.0196968,0.0269483,0.0337497,0.0408282,0.0492623,0.0584424,0.0671813,0.0761263,0.0861784,0.0949858,0.107786,0.115877,0.13038,0.140208,0.154344,0.169281,0.183555,0.201397,0.217595,0.238267,0.257691,0.282724,0.303307,0.331184,0.360386,0.394798,0.429132,0.466589,0.517724,0.564593,0.62451,0.694337,0.787744,0.881855,1.04604,1.22147,1.46546,2.02374,2.81933,14.5491,15.2665,15.9472,16.4359,16.8494,17.2571,17.6282,17.9308,18.2022,18.4716,18.6829,18.9574,19.1145,19.3706,19.5284,19.737,19.9376,20.1134,20.3148,20.4828,20.6799,20.8501,21.0514,21.204,21.3949,21.5784,21.7764,21.9575,22.1392,22.3651,22.5532,22.7723,23.0024,23.2765,23.5215,23.8923,24.229,24.6244,25.3253,26.0453,75.1236,75.8069,76.8702,78.7437,79.0943,79.888,79.9282,82.8654,83.3046,86.6081,87.9588,88.9458,88.9657,90.2052,91.2331,92.5431,92.9841,93.0748,99.3819,104.597,109.008,111.02,117.335,117.68,119.067,128.928,149.483,154.699,160.362,169.029,188.955,209.489,1245.26,1641.43,2028.25,2111.54,2448.22,3843.25,150,299790
-38.285,1,0.276278,3,11,0,40.7342,0.303204,68.6219,-0.0204169,-1.19855,68.6219,0.303204,-0.0204169,-1.19855,0.0141516,0.0196905,0.0269367,0.0337315,0.0408018,0.0492243,0.0583893,0.0671118,0.0760379,0.0860662,0.0948507,0.107614,0.11568,0.130134,0.139926,0.154006,0.16888,0.183089,0.200845,0.216958,0.237517,0.256826,0.281704,0.302151,0.329834,0.358821,0.392966,0.427017,0.46415,0.51482,0.561239,0.620553,0.68964,0.782005,0.875013,1.03717,1.21032,1.451,2.00134,2.78526,14.5555,15.2727,15.9532,16.4416,16.8548,17.2623,17.6331,17.9354,18.2066,18.4756,18.6867,18.9608,19.1177,19.3734,19.5309,19.7391,19.9393,20.1148,20.3158,20.4833,20.6799,20.8496,21.0504,21.2026,21.3929,21.5758,21.7732,21.9537,22.1347,22.3597,22.5472,22.7653,22.9946,23.2675,23.5115,23.8807,24.216,24.6098,25.308,26.0258,70.8805,71.5692,72.6382,74.5147,74.865,75.657,75.697,78.6173,79.0526,82.3185,83.6497,84.6211,84.6407,85.8591,86.8683,88.1529,88.5851,88.6739,94.8368,99.9125,104.195,106.145,112.256,112.589,113.929,123.442,143.206,148.211,153.641,161.946,181.016,200.644,1282.12,1687.15,2081.58,2166.41,2508.96,3926.38,150,299790
