# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-19 14:13:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpnxt5f_9e/a1eegjcz.json
# random
#   seed = 46926
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230719151303.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.506394
# Diagonal elements of inverse mass matrix:
# 0.0109299, 67.1384, 24.17
-10407.6,0.789154,0.506394,2,5,1,10407.8,0.46762,75.6556,6.31741,0.46762,75.6556,6.31741,0.139864,0.170601,0.201052,0.207788,0.236054,0.391526,150,299790
-10408.4,0.962918,0.506394,2,3,0,10408.6,0.516756,76.6368,5.81756,0.516756,76.6368,5.81756,0.148539,0.181289,0.213738,0.220915,0.251034,0.416671,150,299790
-10407.7,0.73247,0.506394,2,5,1,10412.6,0.234546,59.2929,8.07812,0.234546,59.2929,8.07812,0.0908754,0.11066,0.130259,0.134594,0.15279,0.25292,150,299790
-10410,0.796641,0.506394,2,6,1,10410.6,0.25875,48.708,14.3099,0.25875,48.708,14.3099,0.0858795,0.104165,0.12228,0.126288,0.143114,0.235849,150,299790
-10408.3,0.891739,0.506394,3,10,1,10411.5,0.35174,76.8233,18.0545,0.35174,76.8233,18.0545,0.10978,0.132967,0.155939,0.161023,0.182366,0.300071,150,299790
-10408,0.980495,0.506394,3,7,0,10409,0.211197,70.5506,13.9019,0.211197,70.5506,13.9019,0.0853852,0.103586,0.121617,0.125607,0.142354,0.23465,150,299790
-10408,0.857143,0.506394,2,7,1,10408.7,0.293964,65.6323,16.982,0.293964,65.6323,16.982,0.0969878,0.117516,0.137854,0.142355,0.161249,0.265432,150,299790
