# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-19 14:18:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmprxp6705z/2zmdpp1c.json
# random
#   seed = 8536
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230719151849.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.166016
# Diagonal elements of inverse mass matrix:
# 0.00853777, 101.056, 50.4259
-10406.8,0.888082,0.166016,3,9,1,10408.2,0.283927,75.7725,8.02118,0.283927,75.7725,8.02118,0.106575,0.129779,0.152766,0.157851,0.179191,0.296629,150,299790
-10406.9,0.945979,0.166016,4,19,1,10407.5,0.368172,62.3014,6.65801,0.368172,62.3014,6.65801,0.11752,0.143301,0.168843,0.174492,0.198202,0.328621,150,299790
-10406.7,0.664985,0.166016,1,3,1,10409.5,0.354734,61.9007,4.16089,0.354734,61.9007,4.16089,0.119377,0.146133,0.172659,0.178526,0.203148,0.338431,150,299790
-10407.3,0.90765,0.166016,3,11,1,10407.5,0.393697,61.3087,8.54568,0.393697,61.3087,8.54568,0.118441,0.144149,0.169616,0.175249,0.198892,0.329033,150,299790
-10407.9,0.998737,0.166016,4,15,0,10408.7,0.444882,70.3,12.6406,0.444882,70.3,12.6406,0.125565,0.152408,0.178999,0.184882,0.209576,0.345648,150,299790
-10408.1,0.946501,0.166016,4,19,1,10408.9,0.406354,58.8724,12.1467,0.406354,58.8724,12.1467,0.115142,0.139795,0.164216,0.169619,0.192298,0.317249,150,299790
-10407.8,0.945806,0.166016,4,19,1,10409.6,0.247622,57.7612,8.14121,0.247622,57.7612,8.14121,0.0927188,0.112897,0.132886,0.137307,0.155865,0.257989,150,299790
