# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-20 13:48:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpqnwu57i0/u2xb1q4t.json
# random
#   seed = 37728
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230720144840.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.15262
# Diagonal elements of inverse mass matrix:
# 0.00428669, 0.0380923, 5.12631e-05
0.572112,0.921388,0.15262,3,15,0,2.124,73.1524,0.378905,-0.00238215,73.1524,0.378905,-0.00238215,1285.7,1680.81,2061.67,2143.18,2471.39,3850.09,150,299790
1.50813,0.989158,0.15262,4,31,0,1.23919,72.575,0.333645,-0.00250004,72.575,0.333645,-0.00250004,1266.9,1663.5,2049.12,2132.06,2467.56,3905.24,150,299790
1.52701,0.993831,0.15262,4,19,0,-1.39722,72.5079,0.331805,-0.00155143,72.5079,0.331805,-0.00155143,1265.3,1660.89,2044.95,2127.46,2460.64,3864.36,150,299790
0.800921,0.934688,0.15262,2,3,0,-0.745399,71.4061,0.332759,-0.00276042,71.4061,0.332759,-0.00276042,1276.87,1676.97,2066.25,2150.03,2489.09,3949.89,150,299790
0.515066,0.866104,0.15262,2,3,0,0.859708,71.2802,0.341509,-0.00201381,71.2802,0.341509,-0.00201381,1282.14,1681.78,2069.4,2152.63,2488.74,3911.35,150,299790
-2.2829,0.808316,0.15262,3,11,0,5.4546,73.0232,0.336515,0.00498984,73.0232,0.336515,0.00498984,1256.08,1642.65,2013.06,2091.82,2406.09,3596.76,150,299790
-0.729727,0.99515,0.15262,2,7,0,2.89666,72.5664,0.33082,0.00365132,72.5664,0.33082,0.00365132,1258.2,1647.39,2021.59,2101.35,2420.5,3654.55,150,299790
