# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-25 13:31:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpihu4ha8p/qgklovjt.json
# random
#   seed = 33781
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230725143122.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.165043
# Diagonal elements of inverse mass matrix:
# 0.00412661, 0.042037, 5.19864e-05
0.790071,0.894686,0.165043,2,3,0,0.0585017,70.4018,0.336105,0.0036507,70.4018,0.336105,0.0036507,1280.24,1675.41,2055,2135.88,2459.32,3708.74,150,299790
0.853877,0.966688,0.165043,3,15,0,0.962017,70.6549,0.292621,-0.0017293,70.6549,0.292621,-0.0017293,1256.67,1656.38,2047.73,2132.23,2475.03,3949.35,150,299790
-1.12029,0.966624,0.165043,4,15,0,1.31,69.3227,0.331022,0.00989931,69.3227,0.331022,0.00989931,1279.75,1670.49,2041.99,2120.48,2431.34,3536.32,150,299790
-0.130695,0.759823,0.165043,3,11,0,3.41401,71.6945,0.299951,0.00062417,71.6945,0.299951,0.00062417,1249.85,1644.02,2027.49,2109.89,2442.34,3804.47,150,299790
-1.42965,0.902656,0.165043,2,7,0,3.10886,68.7728,0.339033,0.00550366,68.7728,0.339033,0.00550366,1294.65,1692.27,2072.75,2153.57,2475.76,3687.22,150,299790
-2.27225,0.891504,0.165043,3,11,0,3.57659,66.0494,0.28516,0.00236822,66.0494,0.28516,0.00236822,1288.63,1696.05,2092.21,2177.25,2519.68,3886.36,150,299790
-1.03639,1,0.165043,1,1,0,2.44624,66.3368,0.279975,0.00199931,66.3368,0.279975,0.00199931,1282.43,1689.16,2085.37,2170.52,2513.85,3895.24,150,299790
0.350553,0.990935,0.165043,2,7,0,2.7977,67.8094,0.284282,0.00724315,67.8094,0.284282,0.00724315,1265.54,1661.51,2042.88,2124.12,2448.35,3646.25,150,299790
-0.0505393,0.762027,0.165043,3,11,0,2.45883,65.1564,0.268138,0.00698277,65.1564,0.268138,0.00698277,1278.4,1681.4,2070.96,2154.12,2486.61,3722.35,150,299790
0.194256,0.946548,0.165043,3,15,0,0.770128,67.1955,0.274182,0.00760383,67.1955,0.274182,0.00760383,1263.13,1659.74,2042.19,2123.7,2449.06,3646.28,150,299790
-1.17338,0.317589,0.165043,3,9,0,7.83804,71.1695,0.27948,-0.00105817,71.1695,0.27948,-0.00105817,1242.02,1638.78,2027.82,2111.87,2452.89,3908.57,150,299790
-1.00727,0.972413,0.165043,3,15,0,2.71133,67.3851,0.27866,-0.0010345,67.3851,0.27866,-0.0010345,1275.28,1682.8,2082.43,2168.78,2519.13,4014.49,150,299790
-2.62492,0.767596,0.165043,2,3,0,6.24014,68.7804,0.246835,-0.00242234,68.7804,0.246835,-0.00242234,1238.51,1641.5,2040.94,2127.87,2483.13,4076.55,150,299790
-1.54647,1,0.165043,2,3,0,2.733,68.3821,0.256279,-0.0030018,68.3821,0.256279,-0.0030018,1250.81,1656.54,2058.29,2145.69,2502.87,4117.57,150,299790
0.581471,0.996051,0.165043,4,15,0,3.18418,65.4266,0.250742,0.00362004,65.4266,0.250742,0.00362004,1265.3,1670.38,2066.13,2151.26,2494.45,3847.47,150,299790
0.7832,0.953624,0.165043,4,15,0,0.104116,65.9028,0.257196,0.00558103,65.9028,0.257196,0.00558103,1263.92,1665.55,2055.77,2139.36,2474.82,3751.65,150,299790
-0.239185,0.736647,0.165043,2,3,0,0.556101,65.1707,0.264357,0.00467513,65.1707,0.264357,0.00467513,1278,1683.66,2077.93,2162.45,2501.98,3811.79,150,299790
0.91644,0.925686,0.165043,2,3,0,0.900466,66.3558,0.266051,0.00474119,66.3558,0.266051,0.00474119,1267.99,1670.11,2060.75,2144.46,2480.66,3775.73,150,299790
1.35953,0.94515,0.165043,4,19,0,0.540171,71.5648,0.327403,0.00145752,71.5648,0.327403,0.00145752,1267.36,1661.76,2042.77,2124.28,2451.77,3763.34,150,299790
0.847087,0.990167,0.165043,4,31,0,-0.604012,67.0596,0.258884,0.00272174,67.0596,0.258884,0.00272174,1258.01,1660.11,2052.99,2137.55,2478.75,3842.75,150,299790
1.24555,0.999996,0.165043,4,31,0,-0.81153,68.84,0.298467,0.00383723,68.84,0.298467,0.00383723,1270.27,1668.31,2053.19,2135.48,2465.54,3746.65,150,299790
-0.0640006,0.698033,0.165043,2,3,0,0.497787,69.8638,0.288982,0.00408874,69.8638,0.288982,0.00408874,1254.15,1648.5,2030.34,2112.03,2439.82,3709.65,150,299790
0.289957,1,0.165043,3,15,0,0.62439,73.2945,0.330631,2.65921e-05,73.2945,0.330631,2.65921e-05,1256.08,1647.64,2026.72,2107.97,2435.15,3776.03,150,299790
0.684451,0.992033,0.165043,3,15,0,0.89145,74.1456,0.35354,-0.00630377,74.1456,0.35354,-0.00630377,1268.94,1666.16,2053.72,2137.4,2477.6,4036.13,150,299790
1.5283,0.999832,0.165043,3,15,0,0.411553,72.9763,0.341403,-0.00269019,72.9763,0.341403,-0.00269019,1268.09,1663.94,2048.39,2131.04,2465.18,3897.37,150,299790
0.441092,0.852967,0.165043,2,3,0,-0.137303,72.4949,0.358545,-0.00365552,72.4949,0.358545,-0.00365552,1282.65,1681.07,2067.46,2150.48,2486.19,3940.48,150,299790
0.0981185,0.992657,0.165043,4,23,0,1.53007,67.4101,0.294547,0.00308076,67.4101,0.294547,0.00308076,1281.65,1684.59,2075.09,2158.72,2494.74,3816.31,150,299790
0.783468,0.999858,0.165043,2,7,0,0.0116089,67.8914,0.271767,0.00438265,67.8914,0.271767,0.00438265,1258.72,1657.21,2044.16,2127.08,2460.12,3749.01,150,299790
0.246281,0.803336,0.165043,1,3,0,0.730638,66.7944,0.283505,0.00355823,66.7944,0.283505,0.00355823,1278.84,1682.39,2073.97,2157.87,2495.03,3814.23,150,299790
0.543855,0.999511,0.165043,2,7,0,0.147726,67.4227,0.274112,0.00638932,67.4227,0.274112,0.00638932,1262.43,1659.9,2044.11,2126.15,2454.36,3684.16,150,299790
-1.18051,0.892075,0.165043,4,15,0,3.12985,64.0816,0.259954,0.0129067,64.0816,0.259954,0.0129067,1274.92,1672.96,2053.9,2134.54,2453.82,3548.18,150,299790
-2.4539,0.861228,0.165043,2,7,0,2.96951,64.5265,0.255793,0.0145765,64.5265,0.255793,0.0145765,1265.03,1659.24,2035.58,2115.09,2429.07,3483.3,150,299790
-3.63005,0.995587,0.165043,3,7,0,3.9035,62.1931,0.260663,0.016489,62.1931,0.260663,0.016489,1290.12,1689.68,2069.45,2149.43,2464.18,3498.19,150,299790
-1.91185,1,0.165043,2,3,0,3.69055,62.9274,0.246771,0.0148867,62.9274,0.246771,0.0148867,1272.36,1670.09,2050.19,2130.52,2447.77,3508.48,150,299790
-0.961517,0.896699,0.165043,4,23,0,4.80559,76.2018,0.34895,-0.00759089,76.2018,0.34895,-0.00759089,1251.03,1644.48,2029.72,2113.11,2453.22,4062.02,150,299790
-0.222512,0.999989,0.165043,4,31,0,1.63659,70.1085,0.344992,0.00626904,70.1085,0.344992,0.00626904,1284.95,1678.07,2053.35,2132.94,2449.69,3627.58,150,299790
0.132925,1,0.165043,2,3,0,0.418337,70.2491,0.324214,0.00645236,70.2491,0.324214,0.00645236,1271.24,1663.2,2038.56,2118.3,2435.99,3617.32,150,299790
0.890695,0.948962,0.165043,4,19,0,3.18321,76.4699,0.409611,-0.00647404,76.4699,0.409611,-0.00647404,1276.19,1666.98,2044.43,2125.44,2453.02,3913.96,150,299790
1.4828,0.988668,0.165043,4,31,0,0.960788,70.2569,0.313415,0.000533461,70.2569,0.313415,0.000533461,1271.34,1670.09,2057.02,2140.05,2474.62,3841.48,150,299790
0.883549,0.955307,0.165043,4,23,0,-0.160537,70.034,0.303741,0.00385717,70.034,0.303741,0.00385717,1263.08,1657.98,2039.41,2120.92,2447.66,3714.07,150,299790
1.28454,0.976034,0.165043,4,23,0,-0.349725,72.4641,0.331615,-0.00346076,72.4641,0.331615,-0.00346076,1267.81,1665.86,2053.78,2137.37,2476.17,3956.88,150,299790
-0.37954,0.86663,0.165043,3,7,0,1.66779,73.5801,0.313983,-0.00429324,73.5801,0.313983,-0.00429324,1248.7,1644.46,2032.21,2116.07,2457.19,3988.87,150,299790
