# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-19 14:12:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmppi_8e_8u/ii10r_6_.json
# random
#   seed = 38477
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/cc/cc-20230719151247.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.260525
# Diagonal elements of inverse mass matrix:
# 0.00500967, 4.88044, 4.31005e-05
-8.41647,0.993247,0.260525,4,15,0,8.63226,0.388179,64.4653,-0.00158144,0.388179,64.4653,-0.00158144,67.1976,68.0239,69.3008,71.5262,71.9395,72.8715,72.9186,76.3282,76.8332,80.596,82.1178,83.2241,83.2464,84.6292,85.7707,87.219,87.705,87.8049,94.6732,100.252,104.91,107.017,113.567,113.921,115.346,125.358,145.615,150.632,156.024,164.164,182.362,200.332
-9.24392,0.960766,0.260525,3,15,0,11.0634,0.395229,69.4889,-0.00641834,0.395229,69.4889,-0.00641834,72.4063,73.2855,74.6412,76.9957,77.4318,78.4138,78.4634,82.0392,82.5666,86.4775,88.0495,89.1889,89.2118,90.6317,91.8001,93.2778,93.7724,93.874,100.795,106.318,110.856,112.887,119.099,119.431,120.761,129.876,146.913,150.786,154.772,160.403,170.987,177.875
-9.91877,0.994454,0.260525,3,7,0,10.5871,0.37105,70.5736,-0.00770273,0.37105,70.5736,-0.00770273,73.3302,74.1612,75.4427,77.6685,78.0807,79.009,79.0558,82.4348,82.9329,86.6244,88.1067,89.1804,89.202,90.5391,91.6387,93.0281,93.493,93.5884,100.074,105.22,109.423,111.296,116.987,117.29,118.499,126.69,141.34,144.486,147.613,151.782,158.151,158.985
-7.96493,0.997907,0.260525,3,7,0,10.5708,0.333827,65.8549,0.00167982,0.333827,65.8549,0.00167982,68.3105,69.0574,70.2154,72.2444,72.6227,73.4775,73.5208,76.6678,77.1365,80.6487,82.079,83.1224,83.1434,84.4519,85.5355,86.9148,87.3787,87.4741,94.0926,99.5508,104.164,106.269,112.879,113.24,114.694,125.057,146.885,152.488,158.605,168.041,190.11,213.469
-7.4671,0.999768,0.260525,4,15,0,8.08372,0.316232,67.3601,0.00124193,0.316232,67.3601,0.00124193,69.7361,70.4594,71.5814,73.5489,73.916,74.7455,74.7875,77.844,78.2995,81.7149,83.1068,84.1225,84.143,85.417,86.4723,87.8159,88.268,88.3609,94.8124,100.136,104.636,106.69,113.138,113.49,114.908,125.009,146.25,151.691,157.626,166.767,188.082,210.539
-7.41622,0.987266,0.260525,3,15,0,7.81825,0.284378,68.6713,0.0018599,0.284378,68.6713,0.0018599,70.8656,71.5356,72.5763,74.4062,74.7481,75.5218,75.561,78.4202,78.8473,82.059,83.372,84.3316,84.351,85.5564,86.5564,87.8312,88.2606,88.3489,94.501,99.6088,103.947,105.933,112.192,112.535,113.916,123.804,144.848,150.291,156.251,165.48,187.214,210.431
