# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-19 14:50:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpbzjwszdg/9l4l2ka8.json
# random
#   seed = 80474
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/cc/cc-20230719155019.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.254705
# Diagonal elements of inverse mass matrix:
# 0.00555406, 8.59389, 3.94882e-05
-8.35568,0.998289,0.254705,3,7,0,8.49398,0.3533,69.6008,-0.002093,0.3533,69.6008,-0.002093,72.2797,73.0914,74.3467,76.5379,76.9453,77.8644,77.9108,81.2783,81.7776,85.5023,87.0104,88.1073,88.1294,89.5011,90.6339,92.0716,92.5542,92.6534,99.478,105.025,109.655,111.75,118.254,118.607,120.021,129.94,149.885,154.79,160.041,167.929,185.341,202.152
-8.28624,0.821166,0.254705,3,11,0,10.374,0.330416,69.7669,2.53567e-05,0.330416,69.7669,2.53567e-05,72.3147,73.0889,74.2884,76.3883,76.7795,77.663,77.7077,80.9561,81.4393,85.0549,86.5247,87.596,87.6176,88.9596,90.0701,91.4821,91.9568,92.0544,98.8051,104.344,109.004,111.124,117.753,118.114,119.566,129.851,151.146,156.527,162.362,171.278,191.728,212.754
-9.90277,0.988106,0.254705,4,15,0,10.3374,0.249567,68.204,0.0093268,0.249567,68.204,0.0093268,70.2479,70.8778,71.8618,73.6079,73.9364,74.6823,74.7202,77.5083,77.929,81.1263,82.4508,83.425,83.4447,84.6762,85.704,87.0228,87.469,87.5609,94.0717,99.6374,104.477,106.726,113.953,114.355,115.98,127.904,154.904,162.23,170.406,183.374,215.305,251.369
-9.18929,0.993455,0.254705,4,15,0,10.9481,0.294511,72.2785,1.31282e-05,0.294511,72.2785,1.31282e-05,74.6356,75.3535,76.4674,78.4214,78.786,79.6101,79.6518,82.6887,83.1413,86.5349,87.9176,88.9265,88.9468,90.212,91.2599,92.5936,93.0422,93.1344,99.5306,104.797,109.24,111.264,117.603,117.949,119.339,129.209,149.718,154.914,160.551,169.174,188.979,209.372
-8.71088,0.996436,0.254705,4,15,0,9.43456,0.252272,67.2096,0.00478931,0.252272,67.2096,0.00478931,69.1694,69.7709,70.7081,72.3641,72.6747,73.3788,73.4145,76.0326,76.4258,79.3994,80.6237,81.5215,81.5397,82.6712,83.6129,84.8177,85.2244,85.3081,91.1925,96.1543,100.422,102.391,108.663,109.009,110.408,120.554,142.91,148.855,155.439,165.782,190.819,218.536
-8.88215,0.968274,0.254705,3,13,0,10.465,0.31438,64.9973,0.00339952,0.31438,64.9973,0.00339952,67.3107,68.0163,69.1118,71.0363,71.3958,72.2088,72.25,75.2526,75.7009,79.0705,80.4475,81.4538,81.4741,82.738,83.7864,85.1231,85.5733,85.6659,92.1186,97.4814,102.043,104.132,110.73,111.092,112.55,123.02,145.491,151.349,157.786,167.8,191.612,217.392
-8.69847,0.908292,0.254705,3,7,0,10.406,0.3641,69.3755,-0.00202177,0.3641,69.3755,-0.00202177,72.128,72.9614,74.2501,76.4983,76.9161,77.8586,77.9062,81.3575,81.869,85.6831,87.2267,88.3493,88.3719,89.7754,90.9342,92.4047,92.8982,92.9996,99.9765,105.644,110.375,112.514,119.159,119.519,120.964,131.099,151.497,156.519,161.901,169.992,187.899,205.273
-9.17583,0.999894,0.254705,4,15,0,9.284,0.368918,64.0841,-0.00178698,0.368918,64.0841,-0.00178698,66.6637,67.4447,68.6522,70.7585,71.1499,72.0329,72.0775,75.3106,75.7898,79.3627,80.8088,81.8604,81.8816,83.1965,84.2822,85.66,86.1224,86.2174,92.7563,98.071,102.509,104.517,110.757,111.095,112.453,121.986,141.232,145.986,151.088,158.776,175.879,192.625
