# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-20 13:48:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpg8x_te24/0hrqdxef.json
# random
#   seed = 22589
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/cc/cc-20230720144828.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.221277
# Diagonal elements of inverse mass matrix:
# 0.00535485, 8.35221, 4.27045e-05
-8.4752,0.910391,0.221277,3,11,0,8.83791,0.288685,69.6496,0.0040287,69.6496,0.288685,0.0040287,71.9445,72.6462,73.7372,75.6582,76.0177,76.8313,76.8725,79.8856,80.3365,83.7339,85.1264,86.1453,86.1659,87.4475,88.512,89.8709,90.3291,90.4233,97.0137,102.522,107.228,109.39,116.24,116.616,118.136,129.089,152.85,159.095,165.981,176.735,202.505,230.68
-7.49862,0.973824,0.221277,1,3,0,8.67544,0.271507,69.4306,0.00265004,69.4306,0.271507,0.00265004,71.565,72.2178,73.2327,75.0201,75.3545,76.1116,76.1499,78.9531,79.3726,82.5322,83.8268,84.7739,84.7931,85.984,86.973,88.2351,88.6605,88.748,94.8613,99.961,104.309,106.304,112.613,112.959,114.356,124.395,145.995,151.632,157.827,167.466,190.378,215.162
-7.52897,0.991274,0.221277,3,11,0,7.95106,0.333264,69.1085,-0.00165036,69.1085,0.333264,-0.00165036,71.6256,72.3895,73.5719,75.6387,76.0233,76.8916,76.9355,80.1216,80.5947,84.1284,85.5615,86.6048,86.6258,87.9313,89.0102,90.3805,90.8407,90.9352,97.456,102.772,107.22,109.235,115.506,115.846,117.212,126.816,146.257,151.067,156.231,164.015,181.342,198.306
-7.52897,0.706642,0.221277,1,3,0,9.79685,0.333264,69.1085,-0.00165036,69.1085,0.333264,-0.00165036,71.6256,72.3895,73.5719,75.6387,76.0233,76.8916,76.9355,80.1216,80.5947,84.1284,85.5615,86.6048,86.6258,87.9313,89.0102,90.3805,90.8407,90.9352,97.456,102.772,107.22,109.235,115.506,115.846,117.212,126.816,146.257,151.067,156.231,164.015,181.342,198.306
-8.48261,0.966893,0.221277,3,15,0,9.0771,0.287449,71.8078,0.000291105,71.8078,0.287449,0.000291105,74.0991,74.7975,75.8815,77.7844,78.1396,78.9428,78.9834,81.9455,82.3872,85.7019,87.0537,88.0404,88.0603,89.2982,90.3239,91.6299,92.0693,92.1597,98.4323,103.607,107.979,109.972,116.225,116.566,117.939,127.702,148.084,153.267,158.901,167.539,187.475,208.152
-8.72507,0.993308,0.221277,2,3,0,9.08257,0.275962,72.426,-0.00181221,72.426,0.275962,-0.00181221,74.6092,75.2739,76.3048,78.1122,78.4493,79.2109,79.2495,82.0533,82.4708,85.5968,86.8684,87.7953,87.814,88.9753,89.9362,91.158,91.5686,91.653,97.4878,102.262,106.266,108.082,113.739,114.045,115.278,123.95,141.467,145.782,150.404,157.343,172.629,187.299
-8.3459,0.773208,0.221277,3,7,0,10.3188,0.296062,71.6618,-0.00103779,71.6618,0.296062,-0.00103779,73.9925,74.7018,75.8015,77.7287,78.088,78.8999,78.9409,81.9288,82.3736,85.7041,87.0589,88.0465,88.0664,89.304,90.3281,91.6305,92.0683,92.1583,98.384,103.488,107.776,109.724,115.806,116.136,117.465,126.848,146.048,150.842,156.01,163.843,181.48,199.073
-9.62497,0.880248,0.221277,4,15,0,10.2557,0.255713,71.9038,-0.00245839,71.9038,0.255713,-0.00245839,73.9007,74.5091,75.4528,77.108,77.4167,78.1145,78.1498,80.7191,81.1017,83.9669,85.1323,85.9818,85.9989,87.0631,87.9434,89.0626,89.4387,89.516,94.8554,99.216,102.865,104.517,109.651,109.929,111.045,118.858,134.406,138.174,142.177,148.113,160.806,172.297
-10.6246,0.864769,0.221277,2,3,0,12.238,0.252265,73.9677,0.00278161,73.9677,0.252265,0.00278161,76.0884,76.738,77.7491,79.5323,79.8663,80.6228,80.6612,83.4676,83.8881,87.0613,88.3639,89.3177,89.337,90.5374,91.5351,92.8094,93.2392,93.3277,99.5184,104.701,109.133,111.169,117.623,117.978,119.409,129.726,152.058,157.912,164.358,174.408,198.398,224.482
-10.3689,0.982594,0.221277,3,11,0,12.2501,0.206546,68.6857,0.00379165,68.6857,0.206546,0.00379165,70.3276,70.8331,71.6221,73.0202,73.283,73.8794,73.9096,76.1345,76.4696,79.0113,80.0614,80.8327,80.8483,81.822,82.6335,83.6732,84.0246,84.0969,89.2011,93.5306,97.2704,99.0004,104.527,104.833,106.069,115.063,135.016,140.345,146.254,155.553,178.121,203.171
-12.3199,0.993895,0.221277,4,15,0,14.7155,0.135025,69.4618,0.0133424,69.4618,0.135025,0.0133424,70.7375,71.1389,71.7735,72.9222,73.1415,73.6431,73.6687,75.5889,75.8846,78.1811,79.1572,79.8842,79.899,80.8287,81.6137,82.6324,82.9801,83.0518,88.2877,92.9816,97.2097,99.217,105.834,106.209,107.732,119.225,146.853,154.637,163.437,177.602,213.31,254.618
-7.96723,0.996805,0.221277,4,15,0,14.9116,0.386398,66.1401,-0.00434348,66.1401,0.386398,-0.00434348,68.8868,69.7161,70.9962,73.2235,73.6366,74.5675,74.6145,78.012,78.5141,82.2463,83.7509,84.843,84.865,86.2279,87.3511,88.7737,89.2505,89.3484,96.0506,101.444,105.908,107.916,114.104,114.437,115.772,125.031,143.026,147.302,151.806,158.409,172.158,183.992
-9.73152,0.988479,0.221277,3,7,0,9.96191,0.46874,66.0559,-0.00977178,66.0559,0.46874,-0.00977178,69.2987,70.2704,71.7639,74.3446,74.8208,75.8913,75.9452,79.8209,80.3897,84.5867,86.2637,87.4755,87.4999,89.006,90.2421,91.801,92.3218,92.4286,99.6594,105.357,109.989,112.046,118.28,118.611,119.931,128.849,144.685,148.068,151.425,155.887,162.65,163.412
-8.13951,0.986718,0.221277,4,15,0,10.1649,0.388954,66.5415,-0.0054368,66.5415,0.388954,-0.0054368,69.3057,70.1397,71.4262,73.6627,74.0772,75.011,75.0581,78.4625,78.9651,82.6967,84.1988,85.2883,85.3103,86.6689,87.7879,89.204,89.6783,89.7757,96.4272,101.757,106.151,108.123,114.175,114.5,115.8,124.765,141.845,145.816,149.95,155.904,167.733,176.818
-11.1242,0.934738,0.221277,4,15,0,11.196,0.402501,61.5322,0.00113037,61.5322,0.402501,0.00113037,64.2752,65.1054,66.3888,68.6275,69.0436,69.9822,70.0296,73.4682,73.9781,77.7837,79.3259,80.4483,80.4709,81.8754,83.0362,84.5106,85.0058,85.1076,92.1328,97.8786,102.705,104.899,111.757,112.13,113.632,124.276,146.402,152.022,158.134,167.51,189.216,211.871
-9.48529,0.968692,0.221277,3,7,0,12.6483,0.39998,64.4641,0.0018926,64.4641,0.39998,0.0018926,67.3321,68.2006,69.5437,71.8881,72.324,73.3076,73.3573,76.9632,77.4983,81.4946,83.1156,84.2958,84.3196,85.7971,87.0187,88.5712,89.0927,89.2,96.6094,102.683,107.794,110.121,117.405,117.802,119.4,130.754,154.51,160.581,167.198,177.386,201.134,226.175
-10.7953,0.999254,0.221277,4,15,0,12.1716,0.466698,61.9667,-0.00647667,61.9667,0.466698,-0.00647667,65.0439,65.9677,67.3892,69.8503,70.3051,71.3283,71.3799,75.0943,75.6407,79.684,81.3054,82.4793,82.5029,83.9644,85.1661,86.6848,87.1929,87.2972,94.3961,100.054,104.703,106.784,113.159,113.5,114.867,124.27,142.109,146.247,150.553,156.753,169.073,178.57
-12.1734,0.814505,0.221277,3,7,0,13.8512,0.440143,62.759,-0.00883019,62.759,0.440143,-0.00883019,65.6613,66.5327,67.8734,70.1941,70.6228,71.5871,71.6357,75.1332,75.6473,79.4464,80.967,82.0669,82.089,83.4569,84.5804,85.9984,86.4724,86.5697,93.1639,98.3767,102.625,104.515,110.255,110.56,111.778,120.033,134.847,138.053,141.259,145.578,152.482,154.263
-10.0402,0.968137,0.221277,3,7,0,12.6082,0.40654,65.3188,-0.00810471,65.3188,0.40654,-0.00810471,68.1144,68.9555,70.2512,72.4978,72.9134,73.8487,73.8959,77.2947,77.7951,81.4983,82.9832,84.0581,84.0797,85.4175,86.5171,87.9058,88.3702,88.4656,94.9383,100.068,104.256,106.122,111.793,112.095,113.3,121.478,136.204,139.401,142.603,146.926,153.894,155.834
-10.3659,0.999157,0.221277,4,15,0,11.7568,0.417091,65.7568,-0.0094211,65.7568,0.417091,-0.0094211,68.6252,69.4871,70.8136,73.1109,73.5354,74.4904,74.5385,78.0033,78.5126,82.2765,83.7827,84.8719,84.8938,86.2482,87.3604,88.7636,89.2325,89.3287,95.8439,100.979,105.151,107.002,112.603,112.899,114.083,122.043,135.918,138.799,141.605,145.203,149.83,147.963
-8.80459,0.978267,0.221277,2,3,0,10.6775,0.424387,66.5464,-0.00786181,66.5464,0.424387,-0.00786181,69.5265,70.4225,71.802,74.1929,74.635,75.6298,75.68,79.2935,79.8253,83.7602,85.3377,86.4795,86.5025,87.9237,89.0918,90.5672,91.0607,91.162,98.0419,103.501,107.963,109.954,116.015,116.338,117.629,126.418,142.465,146.013,149.608,154.558,163.128,167.082
-8.34124,0.99496,0.221277,4,15,0,9.10868,0.34849,65.0122,0.000239801,65.0122,0.34849,0.000239801,67.5171,68.2775,69.455,71.5143,71.8977,72.7634,72.8071,75.9869,76.4594,79.9931,81.4284,82.4741,82.4951,83.8047,84.8879,86.2649,86.7277,86.8228,93.3994,98.7901,103.323,105.385,111.83,112.18,113.592,123.59,144.304,149.544,155.229,163.925,183.911,204.535
-9.86164,0.972959,0.221277,3,15,0,9.98155,0.381183,69.2284,-0.00861854,69.2284,0.381183,-0.00861854,71.9931,72.8257,74.1086,76.3346,76.7465,77.6738,77.7205,81.0913,81.5876,85.2613,86.7342,87.8003,87.8217,89.1483,90.2384,91.6148,92.075,92.1694,98.5749,103.637,107.756,109.586,115.128,115.422,116.594,124.488,138.274,141.139,143.93,147.51,152.102,150.205
-10.2538,0.802744,0.221277,3,15,0,17.4115,0.394923,63.3839,0.00363226,63.3839,0.394923,0.00363226,66.1958,67.0485,68.3681,70.6745,71.1037,72.0728,72.1218,75.6804,76.2093,80.1653,81.773,82.9449,82.9685,84.4368,85.652,87.1978,87.7176,87.8244,95.2293,101.329,106.483,108.836,116.228,116.632,118.26,129.882,154.534,160.908,167.89,178.71,204.265,231.706
-11.1419,0.936534,0.221277,4,15,0,12.0909,0.429526,63.5593,0.00271259,63.5593,0.429526,0.00271259,66.6015,67.5213,68.9426,71.4202,71.8804,72.9185,72.971,76.772,77.3355,81.54,83.2438,84.4838,84.5087,86.0605,87.343,88.9723,89.5196,89.6321,97.4021,103.767,109.123,111.561,119.197,119.613,121.288,133.202,158.202,164.609,171.604,182.394,207.653,234.454
