# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = snia_model
# start_datetime = 2023-07-19 14:09:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpzvtcylkn/f2c8wxg1.json
# random
#   seed = 32083
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/snia/snia-20230719150953.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.170091
# Diagonal elements of inverse mass matrix:
# 0.000689728, 106.591, 5.11679e-05
-47.2173,0.881767,0.170091,3,15,0,52.3432,0.199396,75.2178,0.0155638,0.199396,75.2178,0.0155638,3.25804e+07,1.36956e+06,57571.6,23.8145,23.7546,23.7796,23.7781,23.7788,23.7687,23.7382,23.7697,23.7653,23.8717,23.8062,23.8691,23.8447,23.7869,23.813,23.8668,23.7913,23.7346,23.807,23.8042,23.7869,23.7916,23.7801,23.7788,23.7468,23.7778,23.8132,23.7846,23.7785,23.789,23.7783,23.7984,23.7719,23.7976,23.7569,23.7524,23.7988,23.8094,23.8006,23.7539
-47.5618,0.975026,0.170091,2,7,0,47.756,0.200081,75.0824,0.0146575,0.200081,75.0824,0.0146575,3.25776e+07,1.3695e+06,57571.6,23.8145,23.7546,23.7795,23.778,23.7787,23.7686,23.7381,23.7696,23.7651,23.8716,23.806,23.8689,23.8444,23.7867,23.8127,23.8664,23.791,23.7342,23.8066,23.8037,23.7864,23.791,23.7795,23.7781,23.746,23.777,23.8122,23.7836,23.7773,23.7876,23.7768,23.7967,23.77,23.7953,23.7542,23.749,23.7947,23.8043,23.7932,23.7437
-49.8563,0.882273,0.170091,3,15,0,52.0901,0.250589,76.9469,0.00352575,0.250589,76.9469,0.00352575,3.2593e+07,1.36983e+06,57571.6,23.8151,23.7554,23.7807,23.7795,23.7805,23.7707,23.7406,23.7724,23.7683,23.8751,23.8098,23.8731,23.8489,23.7916,23.818,23.8721,23.7971,23.7407,23.8135,23.811,23.7941,23.7992,23.7881,23.7871,23.7554,23.7867,23.8223,23.7939,23.7879,23.7983,23.7875,23.8071,23.7799,23.8041,23.7614,23.7527,23.7934,23.7946,23.7597,23.6715
-46.9147,0.999314,0.170091,4,19,0,50.8123,0.213002,77.1366,0.0132515,0.213002,77.1366,0.0132515,3.25873e+07,1.36971e+06,57571.6,23.8147,23.7549,23.7799,23.7786,23.7794,23.7694,23.739,23.7706,23.7663,23.8729,23.8074,23.8705,23.8462,23.7886,23.8147,23.8687,23.7934,23.7368,23.8094,23.8067,23.7896,23.7944,23.7832,23.782,23.7502,23.7814,23.8169,23.7886,23.7826,23.7932,23.7827,23.8029,23.7765,23.8022,23.7614,23.7565,23.8022,23.8115,23.7987,23.7458
-48.5212,0.859875,0.170091,3,7,0,48.9413,0.234355,74.7687,0.0137355,0.234355,74.7687,0.0137355,3.26143e+07,1.37027e+06,57571.6,23.8152,23.7556,23.7809,23.7798,23.7808,23.7711,23.7411,23.773,23.7689,23.8759,23.8107,23.8742,23.8501,23.793,23.8194,23.8738,23.799,23.7428,23.8159,23.8137,23.7972,23.8026,23.792,23.7914,23.7603,23.7923,23.8287,23.8012,23.7961,23.8079,23.7984,23.8198,23.7949,23.8223,23.7831,23.7808,23.8289,23.841,23.8329,23.7839
-46.7222,0.987229,0.170091,3,15,0,49.2701,0.232136,72.825,0.0117634,0.232136,72.825,0.0117634,3.2604e+07,1.37006e+06,57571.6,23.8151,23.7554,23.7806,23.7794,23.7804,23.7706,23.7405,23.7723,23.7682,23.875,23.8097,23.8731,23.8489,23.7917,23.818,23.8722,23.7973,23.741,23.8139,23.8115,23.7948,23.8,23.7892,23.7883,23.757,23.7887,23.8247,23.7968,23.7914,23.8026,23.7926,23.8135,23.7878,23.8142,23.774,23.77,23.8162,23.8258,23.8122,23.7563
