# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = snia_model
# start_datetime = 2023-07-20 13:47:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpu228vuyi/g0sfij6q.json
# random
#   seed = 16219
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/snia/snia-20230720144753.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,zeta,theta.1,theta.2,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.204307
# Diagonal elements of inverse mass matrix:
# 0.000495151, 4.12255e-05
-46.4614,0.9575,0.204307,3,7,0,47.288,0.225181,0.0115438,0.225181,0.0115438,3.2595e+07,1.36987e+06,57571.6,23.8149,23.7551,23.7803,23.779,23.7799,23.77,23.7398,23.7715,23.7673,23.874,23.8087,23.8719,23.8476,23.7902,23.8165,23.8705,23.7954,23.739,23.8117,23.8092,23.7923,23.7973,23.7862,23.7852,23.7536,23.785,23.8208,23.7926,23.7869,23.7977,23.7874,23.8078,23.7816,23.8075,23.7667,23.7617,23.8071,23.8157,23.8003,23.7428
-46.8095,0.947789,0.204307,2,3,0,46.9371,0.224866,0.0104747,0.224866,0.0104747,3.25904e+07,1.36977e+06,57571.6,23.8148,23.7551,23.7802,23.7789,23.7798,23.7698,23.7396,23.7712,23.767,23.8737,23.8083,23.8714,23.8472,23.7897,23.8159,23.8699,23.7947,23.7382,23.8109,23.8083,23.7913,23.7962,23.785,23.7839,23.7522,23.7835,23.8191,23.7907,23.7848,23.7954,23.7848,23.8049,23.7784,23.8038,23.7625,23.7566,23.801,23.8083,23.7898,23.7283
-47.3864,0.952868,0.204307,3,7,0,47.7216,0.242684,0.0108261,0.242684,0.0108261,3.26127e+07,1.37024e+06,57571.6,23.8153,23.7557,23.781,23.7799,23.781,23.7713,23.7413,23.7732,23.7692,23.8761,23.811,23.8745,23.8504,23.7933,23.8198,23.8742,23.7993,23.7432,23.8163,23.8141,23.7976,23.8029,23.7924,23.7917,23.7606,23.7925,23.8288,23.8012,23.796,23.8076,23.7978,23.819,23.7936,23.8204,23.7805,23.7768,23.8232,23.8329,23.8185,23.7605
-46.7479,0.997552,0.204307,2,7,0,47.5831,0.244397,0.00850087,0.244397,0.00850087,3.26056e+07,1.37009e+06,57571.6,23.8152,23.7556,23.7809,23.7797,23.7808,23.771,23.741,23.7728,23.7688,23.8757,23.8105,23.8739,23.8498,23.7926,23.819,23.8733,23.7984,23.7422,23.8152,23.8128,23.7962,23.8014,23.7907,23.7899,23.7586,23.7903,23.8263,23.7984,23.7929,23.8041,23.794,23.8146,23.7886,23.8146,23.7737,23.7684,23.813,23.82,23.7994,23.7329
-46.8667,0.996623,0.204307,2,7,0,47.0773,0.247546,0.00818223,0.247546,0.00818223,3.2608e+07,1.37014e+06,57571.6,23.8152,23.7556,23.781,23.7799,23.7809,23.7712,23.7412,23.7731,23.7691,23.876,23.8108,23.8743,23.8502,23.7931,23.8195,23.8739,23.799,23.7428,23.8159,23.8136,23.797,23.8023,23.7916,23.7908,23.7596,23.7914,23.8275,23.7997,23.7942,23.8055,23.7955,23.8162,23.7902,23.8163,23.7755,23.7703,23.8149,23.8219,23.801,23.7336
-47.0105,0.969229,0.204307,2,7,0,47.2943,0.24774,0.00692296,0.24774,0.00692296,3.26032e+07,1.37004e+06,57571.6,23.8152,23.7556,23.7809,23.7797,23.7808,23.771,23.741,23.7728,23.7688,23.8757,23.8105,23.8739,23.8498,23.7926,23.819,23.8733,23.7983,23.7421,23.815,23.8127,23.796,23.8012,23.7904,23.7896,23.7582,23.7898,23.8258,23.7978,23.7922,23.8032,23.7929,23.8133,23.787,23.8125,23.7712,23.7649,23.8085,23.8138,23.7892,23.7166
