# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = together_model
# start_datetime = 2023-07-19 14:14:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/3together.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpmxkdfugn/lgpso5xh.json
# random
#   seed = 50886
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/together/together-20230719151418.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.193565
# Diagonal elements of inverse mass matrix:
# 0.000391749, 3.17137, 3.50386e-05
-10462.5,0.99843,0.193565,4,15,0,10463,0.256554,67.007,0.00488655,0.256554,67.007,0.00488655,3.26055e+07,1.37009e+06,57571.6,23.8153,23.7557,23.7811,23.78,23.7811,23.7714,23.7414,23.7733,23.7693,23.8762,23.8111,23.8746,23.8505,23.7934,23.8198,23.8742,23.7993,23.7432,23.8162,23.8139,23.7973,23.8026,23.7918,23.791,23.7597,23.7914,23.8274,23.7994,23.7938,23.8048,23.7945,23.8148,23.7884,23.8137,23.7721,23.7651,23.8077,23.8115,23.7824,23.7021,68.9938,69.6034,70.5531,72.2307,72.5454,73.2584,73.2946,75.9453,76.3434,79.3526,80.5911,81.4992,81.5176,82.662,83.6143,84.8324,85.2436,85.3283,91.2754,96.2876,100.597,102.585,108.916,109.265,110.676,120.912,143.455,149.448,156.083,166.506,191.733,219.656,0.110592,0.137092,0.16345,0.169276,0.19366,0.324774,150,299790
-10462.1,0.99864,0.193565,3,15,0,10464.1,0.250383,69.7398,0.00694435,0.250383,69.7398,0.00694435,3.26064e+07,1.37011e+06,57571.6,23.8153,23.7556,23.781,23.7799,23.7809,23.7713,23.7412,23.7731,23.7691,23.876,23.8109,23.8743,23.8502,23.7931,23.8195,23.8739,23.799,23.7428,23.8158,23.8135,23.7969,23.8022,23.7915,23.7907,23.7594,23.7911,23.8272,23.7993,23.7938,23.8049,23.7947,23.8153,23.7891,23.8148,23.7737,23.7678,23.8116,23.8173,23.7933,23.7212,71.7955,72.4278,73.4141,75.1606,75.4888,76.2331,76.2709,79.046,79.4637,82.6309,83.939,84.8997,84.9191,86.1318,87.1425,88.4373,88.875,88.9651,95.3249,100.726,105.398,107.562,114.486,114.869,116.421,127.742,153.064,159.874,167.451,179.417,208.676,241.459,0.110366,0.136838,0.163199,0.169031,0.193469,0.32607,150,299790
-10463.1,0.91998,0.193565,4,31,0,10463.5,0.269491,69.8955,0.0013144,0.269491,69.8955,0.0013144,3.26065e+07,1.37011e+06,57571.6,23.8154,23.7559,23.7813,23.7803,23.7814,23.7718,23.7419,23.7739,23.7699,23.8769,23.8118,23.8754,23.8514,23.7943,23.8208,23.8753,23.8005,23.7443,23.8174,23.8152,23.7986,23.804,23.7933,23.7925,23.7612,23.7929,23.8289,23.8009,23.7952,23.8061,23.7956,23.8157,23.7889,23.8136,23.7713,23.7628,23.8035,23.8041,23.7659,23.67,72.0061,72.6509,73.6528,75.4154,75.745,76.4906,76.5283,79.2853,79.6973,82.7965,84.0641,84.9905,85.0093,86.1732,87.1389,88.3701,88.7848,88.8701,94.813,99.7468,103.936,105.853,111.893,112.223,113.555,123.082,143.289,148.498,154.194,162.995,183.63,205.531,0.114573,0.141978,0.169181,0.175184,0.200251,0.332454,150,299790
-10464.3,0.926015,0.193565,3,15,0,10466.3,0.2348,66.6765,0.00683067,0.2348,66.6765,0.00683067,3.25876e+07,1.36971e+06,57571.6,23.8149,23.7551,23.7803,23.779,23.7799,23.77,23.7398,23.7715,23.7672,23.8739,23.8086,23.8717,23.8475,23.79,23.8162,23.8703,23.7951,23.7386,23.8112,23.8086,23.7916,23.7965,23.7853,23.7841,23.7523,23.7835,23.8189,23.7904,23.7843,23.7946,23.7838,23.8034,23.7763,23.8008,23.7585,23.7508,23.7929,23.7966,23.7691,23.694,68.5264,69.0962,69.9858,71.5631,71.8598,72.533,72.5672,75.0811,75.46,78.3372,79.5274,80.4023,80.42,81.5252,82.447,83.6289,84.0286,84.1109,89.9309,94.8888,99.1878,101.182,107.573,107.928,109.362,119.85,143.414,149.771,156.851,168.048,195.486,226.304,0.105614,0.130945,0.156176,0.161759,0.185162,0.312459,150,299790
-10466.5,0.998154,0.193565,3,7,0,10466.7,0.21856,65.2158,0.0098711,0.21856,65.2158,0.0098711,3.25804e+07,1.36956e+06,57571.6,23.8147,23.7548,23.7799,23.7785,23.7793,23.7693,23.7389,23.7704,23.7661,23.8726,23.8072,23.8702,23.8458,23.7882,23.8143,23.8681,23.7928,23.7361,23.8086,23.8058,23.7886,23.7933,23.7819,23.7806,23.7486,23.7796,23.8149,23.7862,23.78,23.7901,23.7791,23.7987,23.7716,23.7962,23.7542,23.7472,23.7904,23.7961,23.7748,23.71,66.9576,67.4965,68.3403,69.843,70.1266,70.7712,70.804,73.2244,73.591,76.3886,77.5531,78.4116,78.429,79.5167,80.4265,81.5963,81.9927,82.0744,87.894,92.9144,97.3103,99.3616,105.987,106.357,107.854,118.902,144.244,151.18,158.945,171.305,201.919,236.719,0.101297,0.12563,0.149912,0.155294,0.177893,0.302472,150,299790
-10465.1,1,0.193565,2,3,0,10466.3,0.221109,65.4312,0.0105289,0.221109,65.4312,0.0105289,3.25861e+07,1.36968e+06,57571.6,23.8147,23.755,23.78,23.7787,23.7795,23.7696,23.7393,23.7709,23.7666,23.8732,23.8077,23.8708,23.8465,23.789,23.8151,23.8691,23.7938,23.7372,23.8098,23.8071,23.79,23.7949,23.7836,23.7824,23.7505,23.7817,23.8172,23.7887,23.7827,23.7931,23.7824,23.8023,23.7755,23.8006,23.7591,23.7529,23.797,23.8038,23.7849,23.723,67.2075,67.7573,68.6182,70.152,70.4414,71.0996,71.133,73.6052,73.9798,76.8392,78.0299,78.9081,78.9259,80.0385,80.9694,82.1666,82.5724,82.656,88.6164,93.7632,98.273,100.379,107.183,107.563,109.101,120.462,146.561,153.712,161.72,174.474,206.089,242.056,0.101987,0.126493,0.150954,0.156377,0.179153,0.304871,150,299790
