# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = together_model
# start_datetime = 2023-07-20 13:49:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/3together.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpnw0av1uc/ms19231p.json
# random
#   seed = 84814
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/together/together-20230720144903.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.21682
# Diagonal elements of inverse mass matrix:
# 0.000130418, 1.5197, 2.86373e-05
-58.6871,0.9976,0.21682,4,15,0,59.4963,0.272817,68.4599,0.00139769,68.4599,0.272817,0.00139769,3.26108e+07,1.3702e+06,57571.6,23.8155,23.756,23.7815,23.7805,23.7816,23.7721,23.7422,23.7742,23.7703,23.8774,23.8124,23.876,23.852,23.795,23.8216,23.8761,23.8013,23.7453,23.8185,23.8163,23.7998,23.8052,23.7947,23.794,23.7628,23.7946,23.8307,23.8028,23.7973,23.8084,23.7981,23.8184,23.7918,23.8168,23.7747,23.7667,23.8078,23.8089,23.7718,23.6771,70.5534,71.1929,72.1865,73.9341,74.2608,74.9999,75.0374,77.7701,78.1784,81.2496,82.5055,83.4234,83.4419,84.595,85.5517,86.7714,87.1822,87.2667,93.1528,98.039,102.188,104.086,110.067,110.394,111.713,121.148,141.168,146.331,151.978,160.705,181.18,202.931,1257.96,1658.75,2050.26,2134.57,2475.14,3864.01,150,299790
-59.502,0.902322,0.21682,3,11,0,60.863,0.276554,67.7115,0.00510623,67.7115,0.276554,0.00510623,3.26297e+07,1.3706e+06,57571.6,23.8158,23.7564,23.782,23.7811,23.7824,23.773,23.7433,23.7754,23.7717,23.879,23.8141,23.8779,23.8541,23.7974,23.8241,23.8789,23.8044,23.7486,23.8221,23.8202,23.8041,23.8099,23.7998,23.7995,23.7688,23.8011,23.8379,23.8107,23.8059,23.8179,23.8085,23.8299,23.8048,23.8316,23.7914,23.7868,23.8316,23.838,23.8136,23.7377,69.8707,70.5322,71.5617,73.3779,73.7181,74.4889,74.528,77.3885,77.8174,81.0555,82.386,83.3609,83.3806,84.608,85.6287,86.9333,87.3735,87.4641,93.8176,99.1566,103.737,105.847,112.556,112.926,114.419,125.232,148.951,155.239,162.196,173.109,199.471,228.584,1263.19,1661.61,2047.55,2130.11,2461.11,3725.84,150,299790
-59.6349,0.995762,0.21682,3,15,0,62.616,0.263125,65.6189,0.00647095,65.6189,0.263125,0.00647095,3.26195e+07,1.37038e+06,57571.6,23.8155,23.756,23.7815,23.7805,23.7817,23.7722,23.7423,23.7743,23.7705,23.8776,23.8126,23.8762,23.8523,23.7954,23.822,23.8765,23.8019,23.7459,23.8192,23.8171,23.8008,23.8063,23.796,23.7954,23.7645,23.7966,23.833,23.8055,23.8004,23.8121,23.8024,23.8234,23.7979,23.8244,23.7839,23.7789,23.8236,23.8302,23.8072,23.7351,67.637,68.2567,69.2225,70.93,71.2505,71.9769,72.0138,74.7174,75.1237,78.1993,79.4669,80.397,80.4159,81.5888,82.5655,83.8157,84.238,84.3249,90.4453,95.6222,100.087,102.15,108.738,109.103,110.575,121.292,145.102,151.475,158.552,169.705,196.871,227.174,1270.48,1672.33,2061.56,2144.77,2477.91,3726.74,150,299790
-59.0759,0.957012,0.21682,4,31,0,60.4376,0.264787,68.0878,0.00522309,68.0878,0.264787,0.00522309,3.26165e+07,1.37032e+06,57571.6,23.8155,23.756,23.7815,23.7804,23.7816,23.7721,23.7422,23.7742,23.7704,23.8774,23.8124,23.8761,23.8521,23.7951,23.8217,23.8762,23.8016,23.7456,23.8188,23.8167,23.8003,23.8058,23.7954,23.7948,23.7637,23.7957,23.8321,23.8045,23.7992,23.8107,23.8008,23.8217,23.7958,23.8219,23.781,23.7752,23.819,23.8242,23.7977,23.7205,70.1735,70.8132,71.8094,73.5687,73.8985,74.646,74.6839,77.4614,77.8783,81.0292,82.3255,83.2759,83.2951,84.4926,85.4889,86.763,87.1931,87.2817,93.4997,98.7377,103.24,105.317,111.929,112.294,113.768,124.457,148.001,154.261,161.194,172.086,198.459,227.669,1250.4,1646.72,2031.45,2113.85,2444.48,3708.4,150,299790
-58.9136,0.904466,0.21682,1,3,0,60.2852,0.262787,68.1293,0.00299239,68.1293,0.262787,0.00299239,3.26053e+07,1.37009e+06,57571.6,23.8154,23.7558,23.7812,23.7801,23.7812,23.7716,23.7416,23.7735,23.7696,23.8765,23.8114,23.8749,23.8509,23.7938,23.8202,23.8746,23.7998,23.7436,23.8167,23.8144,23.7978,23.8031,23.7924,23.7915,23.7602,23.7919,23.8279,23.7998,23.7942,23.8051,23.7947,23.8148,23.7882,23.8131,23.7711,23.7633,23.8048,23.8068,23.7728,23.6844,70.1645,70.7875,71.7568,73.4653,73.7852,74.5097,74.5464,77.2318,77.6341,80.6672,81.9114,82.8223,82.8407,83.9868,84.939,86.1549,86.565,86.6493,92.5513,97.4877,101.705,103.643,109.781,110.118,111.479,121.284,142.495,148.054,154.174,163.718,186.5,211.279,1251.1,1650.03,2039.26,2122.95,2460.34,3800.85,150,299790
-60.3445,0.996447,0.21682,4,15,0,60.7974,0.262768,65.2474,0.00515683,65.2474,0.262768,0.00515683,3.26139e+07,1.37027e+06,57571.6,23.8155,23.7559,23.7814,23.7803,23.7815,23.7719,23.742,23.774,23.7701,23.8771,23.8121,23.8757,23.8517,23.7947,23.8213,23.8758,23.801,23.745,23.8182,23.816,23.7996,23.805,23.7945,23.7939,23.7628,23.7947,23.831,23.8033,23.7979,23.8093,23.7993,23.82,23.7941,23.8199,23.7789,23.7728,23.8163,23.8212,23.7942,23.7162,67.2307,67.839,68.7865,70.4598,70.7736,71.4846,71.5207,74.1631,74.5598,77.5582,78.7919,79.6964,79.7147,80.8544,81.8027,83.0156,83.425,83.5093,89.4289,94.4165,98.7042,100.682,106.979,107.327,108.731,118.913,141.341,147.305,153.91,164.286,189.411,217.237,1275.36,1680.01,2073.06,2157.26,2495.26,3789.27,150,299790
