# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-21 15:11:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp01ars5w5/z3ukat6_.json
# random
#   seed = 35118
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/bao/bao-20230721161121.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.318335
# Diagonal elements of inverse mass matrix:
# 0.00104139, 0.018858
0.0505001,0.790428,0.318335,2,3,0,2.08738,73.8692,0.333383,73.8692,0.333383,0.386776,1,0,0.372279,1,1.16156,1.24462,1.34768,1.37327,1.49137,2.40049,0.298638,0.398504,0.498938,0.520991,0.611864,1.03068,1279.74,1685.57,2078.65,2162.74,2500.36,3857.01,150,299790
1.28099,1,0.318335,2,3,0,-0.0884239,74.8758,0.326661,74.8758,0.326661,0.389343,1,0,0.363272,1,1.15786,1.23921,1.34034,1.36548,1.48161,2.37879,0.299094,0.399338,0.500267,0.522443,0.613876,1.03606,1267.31,1670.48,2061.58,2145.33,2481.78,3836.48,150,299790
1.28099,0.604551,0.318335,1,3,0,0.703233,74.8758,0.326661,74.8758,0.326661,0.389343,1,0,0.363272,1,1.15786,1.23921,1.34034,1.36548,1.48161,2.37879,0.299094,0.399338,0.500267,0.522443,0.613876,1.03606,1267.31,1670.48,2061.58,2145.33,2481.78,3836.48,150,299790
1.05297,0.999405,0.318335,3,11,0,-0.989311,74.2301,0.304078,74.2301,0.304078,0.397868,1,0,0.333501,1,1.1455,1.22109,1.31561,1.33919,1.44852,2.30449,0.300625,0.402154,0.504783,0.527385,0.620762,1.05488,1258.58,1663.32,2058.1,2142.9,2484.45,3869.96,150,299790
1.22922,0.992407,0.318335,4,15,0,-0.929506,75.6132,0.324469,75.6132,0.324469,0.390178,1,0,0.360349,1,1.15665,1.23745,1.33795,1.36294,1.47841,2.37168,0.299243,0.399611,0.500702,0.522919,0.614536,1.03784,1259.91,1661.14,2050.56,2133.97,2469.15,3819.65,150,299790
-6.60342,0.542918,0.318335,3,11,0,7.59437,69.0989,0.280548,69.0989,0.280548,0.406589,1,0,0.30327,1,1.13279,1.20229,1.28974,1.31165,1.41363,2.22456,0.302216,0.405107,0.509569,0.532635,0.628148,1.07578,1286.75,1705.34,2116.13,2204.68,2562.43,4026.85,150,299790
-3.30298,1,0.318335,1,1,0,6.03294,69.8288,0.275218,69.8288,0.275218,0.408543,1,0,0.296532,1,1.12993,1.19805,1.28388,1.3054,1.40567,2.20608,0.302575,0.405779,0.510664,0.533838,0.629851,1.08072,1275.98,1692.16,2101.17,2189.42,2546.2,4009.93,150,299790
-0.802535,0.968598,0.318335,2,3,0,2.98499,70.898,0.257098,70.898,0.257098,0.415125,1,0,0.273929,1,1.12028,1.18367,1.26393,1.28411,1.37847,2.14213,0.303794,0.408067,0.514417,0.537966,0.635724,1.09809,1251.69,1663.66,2070.61,2158.68,2515.69,3992.63,150,299790
0.125147,0.703397,0.318335,2,5,0,2.42557,72.2443,0.290379,72.2443,0.290379,0.402965,1,0,0.315802,1,1.13808,1.21013,1.30056,1.32317,1.42826,2.25828,0.301552,0.403871,0.50756,0.530429,0.625036,1.06688,1266.03,1675.89,2077.07,2163.42,2511.8,3932.27,150,299790
1.20846,0.999861,0.318335,3,11,0,0.731827,76.7144,0.347948,76.7144,0.347948,0.381164,1,0,0.392022,1,1.16961,1.25634,1.36355,1.39011,1.51241,2.44686,0.297649,0.396704,0.496084,0.517875,0.607564,1.01932,1264.08,1662.25,2046.64,2128.73,2457.82,3774.77,150,299790
0.900607,0.897788,0.318335,2,7,0,-0.349875,75.6857,0.357611,75.6857,0.357611,0.377404,1,0,0.405293,1,1.17498,1.26412,1.37404,1.40123,1.52626,2.47715,0.296992,0.395516,0.494209,0.51583,0.604755,1.01202,1277.56,1678.19,2064.16,2146.49,2476.25,3792.57,150,299790
1.31735,1,0.318335,2,3,0,-0.898198,76.3053,0.350068,76.3053,0.350068,0.380342,1,0,0.394921,1,1.17079,1.25805,1.36585,1.39255,1.51545,2.45353,0.297505,0.396443,0.495672,0.517425,0.606945,1.01771,1268.54,1667.72,2052.91,2135.15,2464.77,3783.12,150,299790
1.06502,0.967002,0.318335,3,11,0,-0.092108,74.0456,0.304559,74.0456,0.304559,0.397688,1,0,0.334128,1,1.14577,1.22148,1.31614,1.33975,1.44923,2.30609,0.300593,0.402094,0.504686,0.527278,0.620613,1.05447,1260.45,1665.69,2060.91,2145.8,2487.69,3874.35,150,299790
0.329123,0.849196,0.318335,4,15,0,1.13133,78.0332,0.402208,78.0332,0.402208,0.359644,1,0,0.468349,1,1.19996,1.30003,1.42204,1.45203,1.58915,2.61256,0.293965,0.390098,0.485756,0.506634,0.592239,0.980467,1278.7,1671.83,2047.28,2126.99,2445.08,3702.18,150,299790
0.136477,0.98112,0.318335,2,3,0,-0.0586874,78.8521,0.391236,78.8521,0.391236,0.364077,1,0,0.452559,1,1.19378,1.2912,1.4103,1.43961,1.57384,2.57989,0.294709,0.391421,0.487805,0.50886,0.595251,0.987922,1267.55,1659.12,2033.83,2113.47,2431.55,3691.4,150,299790
-0.0326871,0.967213,0.318335,1,1,0,0.0633982,79.0073,0.389085,79.0073,0.389085,0.364941,1,0,0.449485,1,1.19258,1.28947,1.40799,1.43717,1.57082,2.57344,0.294855,0.391681,0.488209,0.509299,0.595847,0.989406,1265.4,1656.67,2031.25,2110.88,2428.97,3689.44,150,299790
1.10737,0.879227,0.318335,3,11,0,1.12541,74.6308,0.308617,74.6308,0.308617,0.396167,1,0,0.339425,1,1.14798,1.22473,1.32059,1.34449,1.4552,2.3196,0.300318,0.401586,0.503869,0.526384,0.619362,1.05101,1258.21,1661.94,2055.29,2139.73,2479.64,3856.32,150,299790
