# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-25 10:45:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpkqw66c8c/_e_nzfz2.json
# random
#   seed = 18528
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/bao/bao-20230725114542.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.367923
# Diagonal elements of inverse mass matrix:
# 0.0007232, 0.0149394
0.563965,0.913114,0.367923,3,11,0,-0.202177,75.3289,0.306445,75.3289,0.306445,0.396981,1,0,0.336587,1,1.14679,1.22299,1.3182,1.34195,1.45201,2.31238,0.300465,0.401858,0.504306,0.526862,0.620031,1.05286,1251.04,1652.9,2044.63,2128.75,2467.45,3840.27,150,299790
-1.47404,0.883776,0.367923,2,3,0,1.86748,72.505,0.319615,72.505,0.319615,0.39202,1,0,0.353903,1,1.15399,1.23355,1.33264,1.35729,1.47133,2.35585,0.299572,0.400214,0.501668,0.523975,0.616004,1.04181,1283.27,1692.89,2090.9,2176.21,2519.19,3903.25,150,299790
-3.73693,0.859105,0.367923,2,3,0,4.2348,71.7068,0.319905,71.7068,0.319905,0.39191,1,0,0.354288,1,1.15415,1.23379,1.33295,1.35763,1.47175,2.3568,0.299553,0.400178,0.50161,0.523911,0.615915,1.04157,1290.48,1702.33,2102.5,2188.26,2533.07,3924.38,150,299790
0.240805,1,0.367923,2,3,0,3.06856,72.422,0.292722,72.422,0.292722,0.402097,1,0,0.31881,1,1.13935,1.212,1.30313,1.32592,1.43173,2.26624,0.301394,0.403577,0.507083,0.529906,0.6243,1.0648,1266.17,1675.6,2076.11,2162.29,2509.87,3925.78,150,299790
1.1862,0.990231,0.367923,3,7,0,-0.151488,74.672,0.327008,74.672,0.327008,0.389211,1,0,0.363735,1,1.15805,1.23949,1.34072,1.36588,1.48211,2.37992,0.299071,0.399295,0.500198,0.522368,0.613772,1.03578,1269.22,1672.94,2064.53,2148.38,2485.23,3841.38,150,299790
1.16877,0.833069,0.367923,2,3,0,0.0920207,74.9804,0.314031,74.9804,0.314031,0.39413,1,0,0.34653,1,1.15093,1.22907,1.32652,1.3508,1.46315,2.33751,0.299951,0.40091,0.502783,0.525195,0.617703,1.04645,1258.75,1661.61,2053.59,2137.67,2475.92,3843.39,150,299790
1.08697,0.980898,0.367923,1,1,0,-1.07276,75.0087,0.311909,75.0087,0.311909,0.394929,1,0,0.34374,1,1.14977,1.22737,1.3242,1.34832,1.46004,2.33051,0.300095,0.401175,0.503208,0.52566,0.618352,1.04823,1257.18,1659.95,2052.04,2136.16,2474.7,3844.27,150,299790
1.07565,0.757386,0.367923,2,7,0,0.964251,75.7168,0.353548,75.7168,0.353548,0.378989,1,0,0.399695,1,1.17272,1.26085,1.36963,1.39655,1.52045,2.46446,0.297268,0.396015,0.494996,0.516688,0.605932,1.01507,1275.21,1675.85,2062.16,2144.6,2474.94,3794.92,150,299790
0.047251,0.965377,0.367923,3,11,0,0.515071,73.5043,0.279684,73.5043,0.279684,0.406906,1,0,0.302174,1,1.13232,1.2016,1.28879,1.31064,1.41234,2.22157,0.302274,0.405216,0.509746,0.53283,0.628423,1.07658,1247.49,1653.48,2052,2137.92,2485.07,3906.63,150,299790
0.047251,0.462257,0.367923,1,1,0,1.86399,73.5043,0.279684,73.5043,0.279684,0.406906,1,0,0.302174,1,1.13232,1.2016,1.28879,1.31064,1.41234,2.22157,0.302274,0.405216,0.509746,0.53283,0.628423,1.07658,1247.49,1653.48,2052,2137.92,2485.07,3906.63,150,299790
-0.0883305,0.994748,0.367923,3,15,0,0.945406,79.0196,0.385989,79.0196,0.385989,0.366182,1,0,0.445072,1,1.19084,1.28698,1.40467,1.43366,1.56648,2.56412,0.295065,0.392056,0.488792,0.509933,0.596707,0.991556,1263.96,1655.31,2030.2,2109.92,2428.45,3691.49,150,299790
