# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-25 13:30:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpk2mlqffo/go02ozrp.json
# random
#   seed = 89813
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/bao/bao-20230725143046.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.293347
# Diagonal elements of inverse mass matrix:
# 0.0010928, 0.0179356
0.0705195,1,0.293347,3,7,0,0.503119,78.2659,0.358467,78.2659,0.358467,0.37707,1,0,0.406474,1,1.17545,1.26481,1.37496,1.40221,1.52748,2.47982,0.296934,0.395411,0.494044,0.51565,0.604508,1.01138,1257.04,1651.09,2030.64,2111.6,2435.82,3729.76,150,299790
1.01534,0.961631,0.293347,2,3,0,0.285052,77.3028,0.372998,77.3028,0.372998,0.371353,1,0,0.426713,1,1.18356,1.27652,1.39068,1.41885,1.54816,2.52467,0.295947,0.393634,0.491256,0.512613,0.600355,1.00075,1271.8,1667.86,2048.22,2129.21,2453.18,3741.55,150,299790
0.742276,0.667223,0.293347,2,7,0,3.49983,74.5478,0.337081,74.5478,0.337081,0.385357,1,0,0.377262,1,1.1636,1.24759,1.35172,1.37756,1.49673,2.41234,0.298387,0.398046,0.498211,0.520196,0.610765,1.02775,1276.08,1680.06,2071.01,2154.61,2490.12,3836.82,150,299790
0.766657,0.998962,0.293347,3,13,0,-0.363019,74.1359,0.295881,74.1359,0.295881,0.400924,1,0,0.322878,1,1.14106,1.21453,1.30661,1.32961,1.43641,2.27694,0.30118,0.403181,0.506441,0.529202,0.623311,1.06201,1253.84,1658.66,2054.34,2139.44,2482.53,3878.46,150,299790
0.847818,1,0.293347,1,1,0,-0.764097,74.0353,0.296829,74.0353,0.296829,0.400572,1,0,0.324102,1,1.14157,1.21529,1.30765,1.33072,1.43782,2.28015,0.301116,0.403062,0.506249,0.528991,0.623014,1.06117,1255.33,1660.45,2056.32,2141.45,2484.61,3880.36,150,299790
1.10621,0.967187,0.293347,3,15,0,-0.229474,77.1219,0.367332,77.1219,0.367332,0.37359,1,0,0.418783,1,1.18039,1.27195,1.38456,1.41237,1.54012,2.50728,0.296332,0.394326,0.492339,0.513792,0.601965,1.00485,1270.57,1667.25,2048.65,2129.92,2455.13,3750.19,150,299790
