# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-21 15:10:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp04urymr_/mtihphj_.json
# random
#   seed = 83402
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/cc/cc-20230721161048.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.7.1,S.8.1,S.9.1,S.10.1,S.11.1,S.12.1,S.13.1,S.14.1,S.15.1,S.16.1,S.17.1,S.18.1,S.19.1,S.20.1,S.21.1,S.22.1,S.23.1,S.24.1,S.25.1,S.26.1,S.27.1,S.28.1,S.29.1,S.30.1,S.31.1,S.32.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,S.7.2,S.8.2,S.9.2,S.10.2,S.11.2,S.12.2,S.13.2,S.14.2,S.15.2,S.16.2,S.17.2,S.18.2,S.19.2,S.20.2,S.21.2,S.22.2,S.23.2,S.24.2,S.25.2,S.26.2,S.27.2,S.28.2,S.29.2,S.30.2,S.31.2,S.32.2,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.516917
# Diagonal elements of inverse mass matrix:
# 0.00127486, 4.29564
-8.02772,0.967169,0.516917,2,7,0,8.54063,0.336011,71.1335,71.1335,0.336011,0.385768,1,0,0.375817,1,1.02827,1.03708,1.05092,1.0757,1.08039,1.09105,1.0916,1.13173,1.13782,1.18415,1.20336,1.21749,1.21777,1.23561,1.25048,1.26952,1.27595,1.27728,1.37025,1.44813,1.51445,1.5448,1.64031,1.64553,1.66654,1.81606,2.12738,2.20617,2.2916,2.42213,2.72117,3.02806,0.0690514,0.0884193,0.117157,0.16419,0.172539,0.19096,0.191877,0.254872,0.263685,0.325729,0.349186,0.36571,0.366038,0.386093,0.402183,0.422026,0.428547,0.429879,0.515328,0.577101,0.624373,0.644641,0.703699,0.706743,0.71882,0.797581,0.931413,0.960494,0.990292,1.03274,1.11843,1.19332,73.1442,73.7709,74.7558,76.5182,76.8516,77.6105,77.6491,80.5042,80.9368,84.2327,85.5993,86.6042,86.6246,87.8935,88.9511,90.3054,90.7629,90.8571,97.4705,103.01,107.728,109.887,116.681,117.052,118.547,129.183,151.328,156.933,163.01,172.294,193.567,215.397
-8.25673,0.999556,0.516917,3,11,0,8.97737,0.38755,66.3453,66.3453,0.38755,0.365557,1,0,0.447296,1,1.03359,1.04403,1.06042,1.08965,1.09517,1.10771,1.10835,1.15533,1.16242,1.21621,1.23839,1.25466,1.25499,1.27549,1.29253,1.3143,1.32164,1.32315,1.42858,1.51609,1.59014,1.62391,1.72973,1.73549,1.7587,1.92315,2.2631,2.34878,2.44157,2.58314,2.90684,3.23835,0.068876,0.0881296,0.116643,0.163165,0.171404,0.189563,0.190465,0.252342,0.260971,0.32154,0.344356,0.360402,0.36072,0.380164,0.395741,0.414923,0.42122,0.422506,0.504725,0.563849,0.608936,0.628228,0.684319,0.687205,0.698653,0.773153,0.89923,0.926555,0.954533,0.994352,1.07463,1.1447,68.5736,69.2665,70.3535,72.2931,72.6592,73.4913,73.5336,76.6506,77.121,80.6896,82.1615,83.2409,83.2627,84.6224,85.753,87.1973,87.6843,87.7845,94.7798,100.586,105.499,107.739,114.759,115.142,116.681,127.592,150.146,155.831,161.987,171.379,192.855,214.849
-7.68172,0.972244,0.516917,3,7,0,8.46827,0.36535,67.8546,67.8546,0.36535,0.37437,1,0,0.416022,1,1.03126,1.041,1.05628,1.08358,1.08873,1.10047,1.10106,1.1451,1.15175,1.20235,1.22327,1.23862,1.23893,1.2583,1.27442,1.29503,1.30198,1.30342,1.40359,1.48704,1.55785,1.59018,1.69167,1.6972,1.71949,1.87768,2.20561,2.28839,2.37809,2.51502,2.82834,3.14948,0.0689525,0.0882558,0.116867,0.16361,0.171896,0.190168,0.191077,0.253434,0.262142,0.323341,0.34643,0.362678,0.363001,0.382704,0.398498,0.417958,0.42435,0.425655,0.509231,0.56946,0.615455,0.635151,0.692469,0.69542,0.707127,0.783381,0.912634,0.940676,0.969397,1.01029,1.09277,1.1648,69.9759,70.6364,71.6732,73.5256,73.8757,74.6718,74.7122,77.7001,78.1518,81.585,83.0043,84.0464,84.0674,85.3814,86.4751,87.8737,88.3456,88.4428,95.2398,100.903,105.707,107.901,114.787,115.163,116.675,127.409,149.661,155.278,161.365,170.655,191.916,213.707
-7.83422,0.986839,0.516917,1,3,0,7.99535,0.366421,67.0543,67.0543,0.366421,0.373949,1,0,0.417513,1,1.03137,1.04114,1.05647,1.08387,1.08904,1.10081,1.10141,1.14559,1.15227,1.20302,1.224,1.2394,1.23971,1.25913,1.27529,1.29596,1.30293,1.30437,1.4048,1.48845,1.55941,1.59182,1.69352,1.69907,1.7214,1.8799,2.20841,2.29134,2.38119,2.51834,2.83217,3.15382,0.0689489,0.0882498,0.116856,0.163589,0.171872,0.190139,0.191047,0.253382,0.262085,0.323254,0.34633,0.362568,0.362891,0.382581,0.398364,0.417811,0.424198,0.425502,0.509011,0.569186,0.615136,0.634812,0.692069,0.695017,0.706711,0.782877,0.911972,0.939978,0.968662,1.0095,1.09187,1.1638,69.1581,69.813,70.8411,72.678,73.025,73.8143,73.8545,76.8166,77.2644,80.6675,82.0742,83.1069,83.1278,84.43,85.5138,86.8997,87.3673,87.4636,94.1977,99.8071,104.566,106.738,113.558,113.93,115.427,126.055,148.084,153.644,159.669,168.866,189.909,211.478
-7.60871,0.947226,0.516917,3,9,0,8.41966,0.292848,72.2753,72.2753,0.292848,0.40205,1,0,0.318973,1,1.02401,1.03151,1.0433,1.06443,1.06844,1.07756,1.07803,1.11246,1.1177,1.1577,1.17435,1.18663,1.18687,1.2024,1.21538,1.23202,1.23765,1.23881,1.32069,1.38988,1.44918,1.47642,1.5625,1.56721,1.58623,1.72206,2.00718,2.07968,2.15841,2.27887,2.55554,2.84013,0.0691922,0.0886526,0.117573,0.165026,0.173465,0.192105,0.193033,0.256969,0.265937,0.329249,0.353263,0.370206,0.370543,0.391136,0.407681,0.428111,0.434833,0.436206,0.524588,0.588816,0.638144,0.659337,0.721235,0.724431,0.737115,0.820024,0.961536,0.992371,1.02399,1.06908,1.16025,1.24005,74.0108,74.5525,75.4046,76.9324,77.2219,77.8814,77.9149,80.4037,80.7819,83.6728,84.8767,85.7638,85.7817,86.9042,87.8417,89.0447,89.4516,89.5355,95.4533,100.454,104.74,106.709,112.93,113.271,114.645,124.463,145.07,150.31,156,164.706,184.703,205.271
-7.38021,0.996277,0.516917,4,15,0,8.47152,0.334585,68.6,68.6,0.334585,0.386315,1,0,0.373896,1,1.02812,1.03689,1.05066,1.07532,1.07998,1.0906,1.09114,1.13109,1.13714,1.18327,1.2024,1.21646,1.21675,1.23451,1.24932,1.26828,1.27469,1.276,1.36862,1.44622,1.51232,1.54258,1.63778,1.64298,1.66393,1.81302,2.12351,2.2021,2.28732,2.41752,2.71586,3.02204,0.0690561,0.0884271,0.117171,0.164218,0.17257,0.190998,0.191915,0.254942,0.263759,0.325845,0.34932,0.365858,0.366186,0.386259,0.402364,0.422225,0.428753,0.430086,0.515629,0.577479,0.624816,0.645112,0.704259,0.707307,0.719403,0.798292,0.932359,0.961493,0.991346,1.03387,1.11973,1.19477,70.5292,71.1306,72.0757,73.7669,74.087,74.8153,74.8523,77.5928,78.008,81.1722,82.4845,83.4494,83.469,84.6876,85.7033,87.0041,87.4435,87.5339,93.8873,99.2108,103.745,105.821,112.352,112.709,114.146,124.374,145.673,151.064,156.91,165.842,186.308,207.312
