# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb4_4_model
# start_datetime = 2023-07-26 13:00:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = Model3/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpxnpwqt8s/46tdhvv7.json
# random
#   seed = 35252
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/cmb/cmb4_4-20230726140045_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,c,h,Omega_b,Omega_c,wr,Omega_r,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,y1,dy1,y2,dy2,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0241922
# Diagonal elements of inverse mass matrix:
# 0.000110496, 2.48226e-05, 7.53945e-05
0.851644,0.861768,0.0241922,7,135,0,1.81315,73.4446,0.0412442,0.257938,299790,0.734446,0.0412442,0.216693,4.15e-05,7.69358e-05,0.414794,0.0611864,0.548202,1091.75,0.734446,0.0412442,0.216693,7.69358e-05,0.414794,1091.75,1,0.275089,0,1,21125.1,3.42321,0.0356376,301.769,1.73856,0.0222476,0.199288,-0.00213687,-3.24086e-05
2.68192,0.95741,0.0241922,3,11,0,-0.194497,73.4849,0.0416938,0.260147,299790,0.734849,0.0416938,0.218453,4.15e-05,7.68514e-05,0.413996,0.0606332,0.54795,1091.48,0.734849,0.0416938,0.218453,7.68514e-05,0.413996,1091.48,1,0.277822,0,1,21182,3.41148,0.0355378,301.58,1.74001,0.0225148,0.0103735,-0.000688376,0.00023482
3.57923,0.998097,0.0241922,3,7,0,-2.43773,73.4414,0.041498,0.260404,299790,0.734414,0.041498,0.218906,4.15e-05,7.69426e-05,0.413902,0.0609058,0.548075,1091.67,0.734414,0.041498,0.218906,7.69426e-05,0.413902,1091.67,1,0.278142,0,1,21198.9,3.41011,0.0355346,301.486,1.74017,0.0223825,-0.0840306,-0.000525779,0.000102523
2.49708,0.901276,0.0241922,6,123,0,-2.3149,73.6874,0.0407762,0.256206,299790,0.736874,0.0407762,0.21543,4.15e-05,7.64297e-05,0.415418,0.0614105,0.548302,1091.9,0.736874,0.0407762,0.21543,7.64297e-05,0.415418,1091.9,1,0.272951,0,1,21059.3,3.43261,0.0357697,301.48,1.73748,0.0221408,-0.0899401,-0.00322292,-0.000139212
2.21283,0.892262,0.0241922,5,59,0,-0.838416,73.3875,0.0414035,0.25913,299790,0.733875,0.0414035,0.217726,4.15e-05,7.70556e-05,0.414363,0.0610797,0.548154,1091.71,0.733875,0.0414035,0.217726,7.70556e-05,0.414363,1091.71,1,0.276564,0,1,21164.8,3.41683,0.0355761,301.728,1.73933,0.0222988,0.157745,-0.00136805,1.87583e-05
3.26421,0.995205,0.0241922,5,63,0,-1.68737,73.6484,0.0408762,0.25651,299790,0.736484,0.0408762,0.215634,4.15e-05,7.65106e-05,0.415309,0.0613456,0.548273,1091.86,0.736484,0.0408762,0.215634,7.65106e-05,0.415309,1091.86,1,0.273326,0,1,21070.1,3.43095,0.0357459,301.536,1.73767,0.0221716,-0.0342131,-0.00303133,-0.000108368
