# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb4_4_model
# start_datetime = 2023-07-26 13:00:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = Model3/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpxnpwqt8s/46tdhvv7.json
# random
#   seed = 35252
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/cmb/cmb4_4-20230726140045_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,c,h,Omega_b,Omega_c,wr,Omega_r,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,y1,dy1,y2,dy2,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0268287
# Diagonal elements of inverse mass matrix:
# 8.30022e-05, 2.47013e-05, 5.99164e-05
1.90365,0.886491,0.0268287,3,15,0,0.418116,73.4007,0.0409896,0.258071,299790,0.734007,0.0409896,0.217081,4.15e-05,7.70278e-05,0.414746,0.0615308,0.548356,1091.98,0.734007,0.0409896,0.217081,7.70278e-05,0.414746,1091.98,1,0.275254,0,1,21139.6,3.42249,0.0356424,301.665,1.73865,0.0220838,0.0946146,-0.00205354,-0.000196187
3.35318,0.983522,0.0268287,5,47,0,-1.08099,73.1512,0.0419037,0.263574,299790,0.731512,0.0419037,0.221671,4.15e-05,7.75542e-05,0.412754,0.060822,0.548037,1091.66,0.731512,0.0419037,0.221671,7.75542e-05,0.412754,1091.66,1,0.282078,0,1,21316.4,3.39341,0.0353518,301.561,1.74216,0.0224231,-0.00937571,0.00145744,0.000143078
4.09842,0.992504,0.0268287,5,63,0,-1.80657,73.5112,0.0412129,0.258661,299790,0.735112,0.0412129,0.217448,4.15e-05,7.67965e-05,0.414533,0.0611375,0.54818,1091.77,0.735112,0.0412129,0.217448,7.67965e-05,0.414533,1091.77,1,0.275983,0,1,21143.5,3.41938,0.0356254,301.535,1.73905,0.022271,-0.0354012,-0.00164635,-8.97974e-06
3.56368,0.622614,0.0268287,2,3,0,-1.64413,73.5472,0.0411391,0.25849,299790,0.735472,0.0411391,0.21735,4.15e-05,7.67213e-05,0.414595,0.0611753,0.548197,1091.8,0.735472,0.0411391,0.21735,7.67213e-05,0.414595,1091.8,1,0.275771,0,1,21136.6,3.42031,0.0356422,301.474,1.73895,0.0222529,-0.0956848,-0.00175017,-2.70952e-05
3.64213,0.939671,0.0268287,6,103,0,-2.80731,73.0924,0.0417125,0.26281,299790,0.730924,0.0417125,0.221098,4.15e-05,7.76789e-05,0.413031,0.0611085,0.548167,1091.81,0.730924,0.0417125,0.221098,7.76789e-05,0.413031,1091.81,1,0.281129,0,1,21301.8,3.39736,0.0353806,301.666,1.74166,0.0222849,0.0961021,0.000957113,4.94803e-06
3.90341,0.991253,0.0268287,6,107,0,-2.92374,73.2509,0.0416874,0.261865,299790,0.732509,0.0416874,0.220178,4.15e-05,7.73433e-05,0.413374,0.0609355,0.548089,1091.69,0.732509,0.0416874,0.220178,7.73433e-05,0.413374,1091.69,1,0.279955,0,1,21258,3.40236,0.0354406,301.598,1.74108,0.0223682,0.0282081,0.000380124,8.81613e-05
3.33666,0.892628,0.0268287,6,87,0,-2.62637,73.5003,0.0411256,0.25884,299790,0.735003,0.0411256,0.217714,4.15e-05,7.68192e-05,0.414468,0.0612499,0.548231,1091.85,0.735003,0.0411256,0.217714,7.68192e-05,0.414468,1091.85,1,0.276205,0,1,21152.3,3.41843,0.0356232,301.47,1.73917,0.0222172,-0.100302,-0.00152949,-6.27516e-05
2.45697,0.683422,0.0268287,2,7,0,-0.517816,73.5004,0.0415166,0.258847,299790,0.735004,0.0415166,0.217331,4.15e-05,7.6819e-05,0.414465,0.0608106,0.548032,1091.55,0.735004,0.0415166,0.217331,7.6819e-05,0.414465,1091.55,1,0.276214,0,1,21143,3.41837,0.0355971,301.686,1.73917,0.0224286,0.116019,-0.00153185,0.000148577
3.68389,0.947074,0.0268287,3,11,0,-1.88173,73.4879,0.0413519,0.259626,299790,0.734879,0.0413519,0.218274,4.15e-05,7.68452e-05,0.414184,0.0610106,0.548123,1091.72,0.734879,0.0413519,0.218274,7.68452e-05,0.414184,1091.72,1,0.277177,0,1,21173.3,3.41425,0.0355789,301.476,1.73968,0.022332,-0.0938101,-0.00102164,5.1968e-05
2.78247,0.66833,0.0268287,2,3,0,-1.92029,73.48,0.0416264,0.259654,299790,0.7348,0.0416264,0.218028,4.15e-05,7.68616e-05,0.414174,0.0607142,0.547987,1091.51,0.7348,0.0416264,0.218028,7.68616e-05,0.414174,1091.51,1,0.277212,0,1,21168.2,3.41409,0.0355585,301.635,1.73969,0.0224754,0.0647173,-0.00100987,0.000195384
0.870714,0.845149,0.0268287,2,3,0,-0.663211,73.4824,0.0417408,0.259632,299790,0.734824,0.0417408,0.217892,4.15e-05,7.68566e-05,0.414182,0.0605844,0.547927,1091.42,0.734824,0.0417408,0.217892,7.68566e-05,0.414182,1091.42,1,0.277185,0,1,21164.5,3.4142,0.035552,301.699,1.73967,0.0225386,0.128978,-0.0010256,0.000258642
1.57571,0.994623,0.0268287,6,79,0,-0.475349,72.9599,0.0421697,0.265083,299790,0.729599,0.0421697,0.222913,4.15e-05,7.79613e-05,0.412207,0.0607715,0.548014,1091.63,0.729599,0.0421697,0.222913,7.79613e-05,0.412207,1091.63,1,0.283958,0,1,21375.2,3.38552,0.0352521,301.71,1.74308,0.0224476,0.140443,0.00237889,0.000167563
2.49153,1,0.0268287,2,7,0,-1.42136,72.9357,0.0415837,0.264846,299790,0.729357,0.0415837,0.223262,4.15e-05,7.80131e-05,0.412293,0.0614524,0.548321,1092.09,0.729357,0.0415837,0.223262,7.80131e-05,0.412293,1092.09,1,0.283662,0,1,21384.1,3.38676,0.0352939,301.463,1.74293,0.0221209,-0.107258,0.00223344,-0.000159052
3.45925,1,0.0268287,2,3,0,-2.68509,72.9413,0.0419365,0.264709,299790,0.729413,0.0419365,0.222773,4.15e-05,7.80012e-05,0.412342,0.061052,0.548141,1091.8,0.729413,0.0419365,0.222773,7.80012e-05,0.412342,1091.8,1,0.283492,0,1,21370.6,3.38745,0.0352767,301.672,1.74284,0.022312,0.101556,0.00214062,3.20448e-05
3.41959,0.955017,0.0268287,6,107,0,-0.689184,73.9514,0.0410806,0.254675,299790,0.739514,0.0410806,0.213595,4.15e-05,7.58849e-05,0.41597,0.0607331,0.547996,1091.45,0.739514,0.0410806,0.213595,7.58849e-05,0.41597,1091.45,1,0.271063,0,1,20979.1,3.44098,0.0358472,301.562,1.73651,0.0224662,-0.00760838,-0.0041946,0.000186194
