# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb4_4_model
# start_datetime = 2023-07-27 08:25:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = Model3/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpi41g4h3w/qahj9hqm.json
# random
#   seed = 43854
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/cmb/cmb4_4-20230727092527_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,c,h,Omega_b,Omega_c,wr,Omega_r,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,y1,dy1,y2,dy2,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0239808
# Diagonal elements of inverse mass matrix:
# 0.000127003, 2.48928e-05, 8.50991e-05
2.98635,0.942933,0.0239808,5,63,0,-2.09897,74.2275,0.0405522,0.251546,299790,0.742275,0.0405522,0.210994,4.15e-05,7.53214e-05,0.417096,0.0609874,0.548112,1091.56,0.742275,0.0405522,0.210994,7.53214e-05,0.417096,1091.56,1,0.267217,0,1,20866,3.45825,0.0360409,301.447,1.73446,0.0223432,-0.123343,-0.00623614,6.31537e-05
1.78058,0.647679,0.0239808,2,3,0,0.0891659,74.1804,0.0408477,0.251648,299790,0.741804,0.0408477,0.2108,4.15e-05,7.54171e-05,0.41706,0.06071,0.547985,1091.36,0.741804,0.0408477,0.2108,7.54171e-05,0.41706,1091.36,1,0.267342,0,1,20866.2,3.45766,0.0360093,301.66,1.73452,0.0224774,0.090093,-0.00618248,0.000197402
2.43303,1,0.0239808,2,3,0,-1.7678,74.1953,0.0405925,0.252166,299790,0.741953,0.0405925,0.211574,4.15e-05,7.53867e-05,0.416873,0.0609815,0.548109,1091.58,0.741953,0.0405925,0.211574,7.53867e-05,0.416873,1091.58,1,0.267978,0,1,20888.1,3.45482,0.0360104,301.402,1.73488,0.022346,-0.167853,-0.005823,6.59769e-05
0.0118004,0.845146,0.0239808,4,19,0,2.04008,74.0095,0.0402557,0.251556,299790,0.740095,0.0402557,0.2113,4.15e-05,7.57658e-05,0.417092,0.0616031,0.548387,1091.92,0.740095,0.0402557,0.2113,7.57658e-05,0.417092,1091.92,1,0.267229,0,1,20892.5,3.45812,0.0360244,301.574,1.73443,0.0220497,0.0035442,-0.00626916,-0.000230347
-2.07496,0.899634,0.0239808,5,39,0,3.79164,73.5046,0.0405003,0.256271,299790,0.735046,0.0405003,0.215771,4.15e-05,7.68102e-05,0.415395,0.0619607,0.548544,1092.23,0.735046,0.0405003,0.215771,7.68102e-05,0.415395,1092.23,1,0.273031,0,1,21084.3,3.4322,0.0357553,301.566,1.73749,0.021882,-0.00432156,-0.00321306,-0.000397987
2.98308,0.980469,0.0239808,4,15,0,2.64717,73.6538,0.0413428,0.25848,299790,0.736538,0.0413428,0.217137,4.15e-05,7.64993e-05,0.414598,0.0608118,0.548032,1091.58,0.736538,0.0413428,0.217137,7.64993e-05,0.414598,1091.58,1,0.275759,0,1,21122,3.4204,0.0356466,301.445,1.73896,0.022428,-0.12503,-0.00173842,0.000148002
