# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb4_4_model
# start_datetime = 2023-07-27 08:25:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = Model3/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpi41g4h3w/qahj9hqm.json
# random
#   seed = 43854
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/cmb/cmb4_4-20230727092527_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,c,h,Omega_b,Omega_c,wr,Omega_r,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,y1,dy1,y2,dy2,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0209741
# Diagonal elements of inverse mass matrix:
# 0.000121075, 2.48121e-05, 8.03846e-05
0.74049,0.959476,0.0209741,3,7,0,0.0169087,73.2072,0.041423,0.260283,299790,0.732072,0.041423,0.21886,4.15e-05,7.74355e-05,0.413946,0.0612864,0.548247,1091.85,0.732072,0.041423,0.21886,7.74355e-05,0.413946,1091.85,1,0.277992,0,1,21217.4,3.41066,0.0355051,301.785,1.74005,0.0221999,0.214997,-0.00065224,-8.01472e-05
2.57661,0.974282,0.0209741,3,7,0,0.225861,73.2333,0.0411232,0.260323,299790,0.732333,0.0411232,0.2192,4.15e-05,7.73804e-05,0.413932,0.0615922,0.548383,1092.07,0.732333,0.0411232,0.2192,7.73804e-05,0.413932,1092.07,1,0.278042,0,1,21223.8,3.41047,0.0355276,301.577,1.74009,0.0220548,0.00652798,-0.000614677,-0.000225175
3.54584,0.786529,0.0209741,4,15,0,1.46749,73.2289,0.0416138,0.262493,299790,0.732289,0.0416138,0.220879,4.15e-05,7.73898e-05,0.413146,0.0610453,0.548138,1091.79,0.732289,0.0416138,0.220879,7.73898e-05,0.413146,1091.79,1,0.280734,0,1,21281.9,3.39907,0.0354203,301.48,1.74148,0.0223153,-0.0901174,0.000782518,3.52794e-05
3.03058,0.96742,0.0209741,6,79,0,-1.54512,72.6478,0.0418101,0.26671,299790,0.726478,0.0418101,0.2249,4.15e-05,7.86327e-05,0.411616,0.0615682,0.548372,1092.16,0.726478,0.0418101,0.2249,7.86327e-05,0.411616,1092.16,1,0.285987,0,1,21463.8,3.37707,0.0351693,301.667,1.74405,0.0220662,0.0966665,0.00335477,-0.000213849
2.43786,0.821894,0.0209741,2,3,0,-1.90132,72.6559,0.0416811,0.266846,299790,0.726559,0.0416811,0.225165,4.15e-05,7.86151e-05,0.411566,0.0617023,0.548431,1092.26,0.726559,0.0416811,0.225165,7.86151e-05,0.411566,1092.26,1,0.286158,0,1,21470.6,3.37639,0.0351743,301.562,1.74415,0.022003,-0.00767805,0.00344537,-0.000277047
2.22491,0.961883,0.0209741,3,7,0,-0.976186,72.6683,0.0418131,0.266166,299790,0.726683,0.0418131,0.224353,4.15e-05,7.85883e-05,0.411813,0.0615385,0.548359,1092.12,0.726683,0.0418131,0.224353,7.85883e-05,0.411813,1092.12,1,0.285309,0,1,21444.5,3.37986,0.0351907,301.732,1.74371,0.0220802,0.161958,0.00301408,-0.000199838
