# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = snia_model
# start_datetime = 2023-07-21 15:11:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmprjh8q11q/s816ob2p.json
# random
#   seed = 50981
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/snia/snia-20230721161155.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.7.1,S.8.1,S.9.1,S.10.1,S.11.1,S.12.1,S.13.1,S.14.1,S.15.1,S.16.1,S.17.1,S.18.1,S.19.1,S.20.1,S.21.1,S.22.1,S.23.1,S.24.1,S.25.1,S.26.1,S.27.1,S.28.1,S.29.1,S.30.1,S.31.1,S.32.1,S.33.1,S.34.1,S.35.1,S.36.1,S.37.1,S.38.1,S.39.1,S.40.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,S.7.2,S.8.2,S.9.2,S.10.2,S.11.2,S.12.2,S.13.2,S.14.2,S.15.2,S.16.2,S.17.2,S.18.2,S.19.2,S.20.2,S.21.2,S.22.2,S.23.2,S.24.2,S.25.2,S.26.2,S.27.2,S.28.2,S.29.2,S.30.2,S.31.2,S.32.2,S.33.2,S.34.2,S.35.2,S.36.2,S.37.2,S.38.2,S.39.2,S.40.2,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.92523
# Diagonal elements of inverse mass matrix:
# 0.000903198
-48.3726,0.9269,0.92523,2,3,0,48.8267,0.341719,0.383572,1,0,0.383539,1,1.00545,1.00759,1.01041,1.01305,1.01582,1.01913,1.02275,1.02621,1.02977,1.03379,1.03733,1.0425,1.04579,1.05171,1.05575,1.0616,1.06782,1.07381,1.08135,1.08826,1.09715,1.10558,1.11656,1.12567,1.13815,1.15137,1.16715,1.1831,1.20073,1.22516,1.24792,1.27747,1.31253,1.36039,1.40962,1.49763,1.59423,1.73225,2.06062,2.55153,0.0139622,0.0193272,0.0262648,0.0326895,0.0392941,0.0470585,0.0553842,0.0631931,0.0710726,0.0797954,0.0873276,0.0980979,0.104802,0.116626,0.124503,0.135649,0.147201,0.158034,0.171305,0.183105,0.197839,0.211368,0.228379,0.242026,0.26005,0.278395,0.299358,0.319612,0.341007,0.369123,0.393872,0.424208,0.457881,0.500392,0.540618,0.605395,0.66818,0.746482,0.89606,1.06122,3.26073e+07,1.37013e+06,57571.6,23.8151,23.7554,23.7806,23.7795,23.7804,23.7707,23.7406,23.7724,23.7683,23.8752,23.81,23.8734,23.8492,23.792,23.8185,23.8728,23.7979,23.7417,23.8147,23.8124,23.7958,23.8012,23.7906,23.7899,23.7587,23.7907,23.827,23.7994,23.7942,23.8058,23.7961,23.8173,23.7919,23.8186,23.7784,23.7737,23.8185,23.8246,23.7973,23.7118
-48.7516,0.864462,0.92523,2,3,0,49.433,0.325521,0.389777,1,0,0.361751,1,1.00514,1.00716,1.00982,1.01232,1.01493,1.01805,1.02146,1.02473,1.02809,1.03188,1.03523,1.04011,1.04321,1.04881,1.05263,1.05815,1.06404,1.0697,1.07684,1.08337,1.09179,1.09977,1.11017,1.11881,1.13064,1.14318,1.15817,1.17333,1.19009,1.21336,1.23504,1.26325,1.29675,1.34257,1.38977,1.47436,1.56743,1.70074,2.01895,2.49611,0.0139643,0.0193313,0.0262724,0.0327013,0.0393113,0.0470832,0.0554186,0.063238,0.0711296,0.0798676,0.0874144,0.098208,0.104928,0.116783,0.124682,0.135863,0.147455,0.158328,0.171652,0.183503,0.198307,0.211905,0.22901,0.242738,0.260877,0.279348,0.300467,0.320885,0.342465,0.370843,0.395841,0.426506,0.460573,0.503626,0.544406,0.610157,0.673975,0.753673,0.906189,1.07489,3.25888e+07,1.36974e+06,57571.6,23.8147,23.7549,23.78,23.7787,23.7795,23.7695,23.7392,23.7709,23.7666,23.8732,23.8078,23.8709,23.8466,23.7891,23.8153,23.8693,23.7941,23.7376,23.8103,23.8077,23.7907,23.7957,23.7846,23.7835,23.7518,23.7832,23.819,23.7907,23.7849,23.7957,23.7853,23.8056,23.7792,23.8046,23.7632,23.7567,23.7998,23.8038,23.7729,23.684
-48.3034,1,0.92523,1,1,0,48.6355,0.330089,0.388036,1,0,0.367857,1,1.00523,1.00728,1.00998,1.01252,1.01518,1.01835,1.02182,1.02515,1.02856,1.03242,1.03582,1.04078,1.04394,1.04963,1.05351,1.05912,1.0651,1.07085,1.07811,1.08474,1.09329,1.1014,1.11196,1.12074,1.13275,1.14549,1.1607,1.17608,1.19309,1.21668,1.23867,1.26726,1.30121,1.3476,1.39538,1.48094,1.57502,1.70968,2.03078,2.51186,0.0139637,0.0193302,0.0262703,0.032698,0.0393065,0.0470763,0.0554089,0.0632254,0.0711136,0.0798474,0.0873901,0.0981771,0.104893,0.116739,0.124632,0.135803,0.147384,0.158245,0.171554,0.183391,0.198175,0.211754,0.228832,0.242538,0.260644,0.27908,0.300155,0.320525,0.342053,0.370357,0.395285,0.425856,0.459811,0.502709,0.543332,0.608804,0.672326,0.751624,0.903294,1.07098,3.2594e+07,1.36985e+06,57571.6,23.8148,23.7551,23.7802,23.7789,23.7798,23.7699,23.7396,23.7713,23.7671,23.8738,23.8084,23.8716,23.8474,23.7899,23.8162,23.8703,23.7952,23.7388,23.8115,23.809,23.7922,23.7972,23.7863,23.7853,23.7538,23.7853,23.8212,23.7932,23.7876,23.7986,23.7884,23.8089,23.7828,23.8086,23.7675,23.7616,23.8051,23.8097,23.7798,23.692
-48.4185,0.919439,0.92523,2,3,0,48.9353,0.342274,0.383358,1,0,0.384292,1,1.00546,1.00761,1.01043,1.01308,1.01585,1.01917,1.02279,1.02626,1.02983,1.03385,1.0374,1.04258,1.04587,1.05181,1.05586,1.06172,1.06795,1.07395,1.08151,1.08843,1.09734,1.10578,1.11678,1.12591,1.13841,1.15165,1.16746,1.18344,1.20109,1.22557,1.24836,1.27796,1.31307,1.361,1.4103,1.49842,1.59514,1.73332,2.06203,2.55341,0.0139621,0.0193271,0.0262645,0.0326891,0.0392935,0.0470576,0.055383,0.0631915,0.0710706,0.0797929,0.0873246,0.0980941,0.104798,0.11662,0.124496,0.135641,0.147193,0.158024,0.171293,0.183091,0.197823,0.211349,0.228357,0.242002,0.260021,0.278362,0.29932,0.319568,0.340957,0.369065,0.393805,0.424129,0.457789,0.500282,0.54049,0.605233,0.667984,0.746239,0.895719,1.06076,3.26079e+07,1.37014e+06,57571.6,23.8151,23.7554,23.7807,23.7795,23.7805,23.7707,23.7406,23.7725,23.7684,23.8752,23.81,23.8734,23.8493,23.7921,23.8186,23.8729,23.798,23.7418,23.8148,23.8126,23.796,23.8014,23.7908,23.7901,23.759,23.7909,23.8273,23.7997,23.7945,23.8062,23.7965,23.8177,23.7923,23.8191,23.7789,23.7743,23.8192,23.8253,23.7981,23.7128
-48.1469,0.965559,0.92523,2,3,0,48.6449,0.33741,0.385231,1,0,0.377705,1,1.00537,1.00748,1.01025,1.01286,1.01558,1.01884,1.02241,1.02581,1.02932,1.03328,1.03677,1.04186,1.0451,1.05094,1.05492,1.06068,1.06681,1.07271,1.08015,1.08695,1.09572,1.10403,1.11485,1.12384,1.13614,1.14919,1.16475,1.18049,1.19789,1.22202,1.24449,1.27369,1.30834,1.35566,1.40435,1.49146,1.58713,1.72391,2.04961,2.5369,0.0139628,0.0193283,0.0262669,0.0326926,0.0392987,0.0470651,0.0553934,0.0632051,0.0710878,0.0798147,0.0873508,0.0981273,0.104836,0.116668,0.124551,0.135706,0.147269,0.158113,0.171398,0.183211,0.197964,0.211511,0.228547,0.242216,0.26027,0.278649,0.299653,0.31995,0.341395,0.36958,0.394395,0.424817,0.458595,0.501248,0.54162,0.606652,0.669708,0.748375,0.898718,1.0648,3.26024e+07,1.37002e+06,57571.6,23.815,23.7553,23.7805,23.7792,23.7802,23.7704,23.7402,23.772,23.7679,23.8746,23.8094,23.8727,23.8485,23.7913,23.8176,23.8718,23.7969,23.7406,23.8135,23.8112,23.7945,23.7997,23.789,23.7882,23.7569,23.7887,23.8248,23.7971,23.7917,23.8031,23.7933,23.8142,23.7885,23.8149,23.7743,23.7692,23.8136,23.8191,23.7908,23.7045
-48.5269,0.916651,0.92523,1,3,0,48.539,0.343434,0.382911,1,0,0.385868,1,1.00548,1.00764,1.01047,1.01313,1.01592,1.01925,1.02289,1.02637,1.02995,1.03399,1.03755,1.04275,1.04606,1.05202,1.05608,1.06196,1.06822,1.07425,1.08184,1.08878,1.09772,1.1062,1.11724,1.1264,1.13895,1.15224,1.1681,1.18414,1.20186,1.22642,1.24928,1.27897,1.3142,1.36227,1.41171,1.50008,1.59704,1.73555,2.06498,2.55733,0.013962,0.0193268,0.026264,0.0326882,0.0392923,0.0470558,0.0553805,0.0631883,0.0710665,0.0797877,0.0873184,0.0980861,0.104789,0.116609,0.124483,0.135626,0.147174,0.158003,0.171268,0.183062,0.197789,0.211311,0.228312,0.241951,0.259962,0.278294,0.29924,0.319477,0.340853,0.368942,0.393664,0.423966,0.457598,0.500052,0.540221,0.604896,0.667575,0.745733,0.895009,1.0598,3.26092e+07,1.37017e+06,57571.6,23.8151,23.7554,23.7807,23.7795,23.7806,23.7708,23.7407,23.7726,23.7685,23.8754,23.8102,23.8736,23.8495,23.7923,23.8188,23.8731,23.7983,23.7421,23.8152,23.8129,23.7964,23.8018,23.7912,23.7906,23.7595,23.7914,23.8278,23.8003,23.7952,23.8069,23.7973,23.8185,23.7932,23.8201,23.78,23.7755,23.8205,23.8268,23.7998,23.7147
