# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = snia_model
# start_datetime = 2023-07-25 13:31:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp6zgqa64l/ons3dw6p.json
# random
#   seed = 79395
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/snia/snia-20230725143104.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.7.1,S.8.1,S.9.1,S.10.1,S.11.1,S.12.1,S.13.1,S.14.1,S.15.1,S.16.1,S.17.1,S.18.1,S.19.1,S.20.1,S.21.1,S.22.1,S.23.1,S.24.1,S.25.1,S.26.1,S.27.1,S.28.1,S.29.1,S.30.1,S.31.1,S.32.1,S.33.1,S.34.1,S.35.1,S.36.1,S.37.1,S.38.1,S.39.1,S.40.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,S.7.2,S.8.2,S.9.2,S.10.2,S.11.2,S.12.2,S.13.2,S.14.2,S.15.2,S.16.2,S.17.2,S.18.2,S.19.2,S.20.2,S.21.2,S.22.2,S.23.2,S.24.2,S.25.2,S.26.2,S.27.2,S.28.2,S.29.2,S.30.2,S.31.2,S.32.2,S.33.2,S.34.2,S.35.2,S.36.2,S.37.2,S.38.2,S.39.2,S.40.2,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 1.08553
# Diagonal elements of inverse mass matrix:
# 0.000579896
-49.2482,0.899904,1.08553,1,1,0,49.3143,0.322206,0.391037,1,0,0.357339,1,1.00508,1.00707,1.0097,1.01217,1.01474,1.01783,1.0212,1.02443,1.02775,1.0315,1.0348,1.03963,1.04269,1.04822,1.052,1.05746,1.06327,1.06887,1.07592,1.08238,1.0907,1.09859,1.10887,1.11741,1.12911,1.14152,1.15634,1.17133,1.18792,1.21095,1.23241,1.26034,1.29352,1.33891,1.3857,1.46957,1.56191,1.69424,2.01032,2.48463,0.0139648,0.0193322,0.026274,0.0327037,0.0393148,0.0470882,0.0554255,0.0632471,0.0711412,0.0798823,0.0874321,0.0982303,0.104954,0.116815,0.124719,0.135906,0.147506,0.158388,0.171723,0.183584,0.198402,0.212014,0.229138,0.242883,0.261045,0.279543,0.300694,0.321145,0.342763,0.371196,0.396245,0.426978,0.461128,0.504293,0.545189,0.611144,0.675179,0.755171,0.908309,1.07777,3.2585e+07,1.36966e+06,57571.6,23.8147,23.7548,23.7799,23.7785,23.7793,23.7693,23.739,23.7705,23.7662,23.8728,23.8074,23.8704,23.8461,23.7885,23.8147,23.8686,23.7934,23.7368,23.8094,23.8067,23.7897,23.7946,23.7834,23.7822,23.7504,23.7817,23.8173,23.789,23.7831,23.7937,23.7831,23.8032,23.7766,23.8017,23.7601,23.7532,23.7959,23.7995,23.7678,23.6782
-49.8063,0.882378,1.08553,1,1,0,49.9473,0.319286,0.392144,1,0,0.353468,1,1.00502,1.007,1.00959,1.01203,1.01459,1.01764,1.02098,1.02417,1.02745,1.03116,1.03443,1.0392,1.04224,1.04771,1.05144,1.05684,1.06259,1.06813,1.07511,1.08151,1.08974,1.09755,1.10773,1.11618,1.12776,1.14005,1.15473,1.16958,1.18601,1.20882,1.2301,1.25777,1.29067,1.33569,1.3821,1.46534,1.55703,1.6885,2.0027,2.47447,0.0139651,0.0193329,0.0262753,0.0327058,0.0393178,0.0470926,0.0554317,0.0632551,0.0711514,0.0798952,0.0874475,0.09825,0.104976,0.116843,0.124751,0.135945,0.147552,0.15844,0.171785,0.183655,0.198486,0.21211,0.229251,0.243011,0.261194,0.279715,0.300894,0.321374,0.343026,0.371507,0.396602,0.427395,0.461617,0.504882,0.54588,0.612016,0.676244,0.756498,0.910189,1.08032,3.25817e+07,1.36959e+06,57571.6,23.8146,23.7548,23.7798,23.7784,23.7791,23.7691,23.7387,23.7703,23.7659,23.8725,23.807,23.87,23.8456,23.788,23.8141,23.868,23.7927,23.7361,23.8086,23.8059,23.7888,23.7936,23.7823,23.7811,23.7492,23.7804,23.8159,23.7874,23.7814,23.7919,23.7811,23.801,23.7743,23.7992,23.7573,23.7501,23.7925,23.7957,23.7633,23.6731
-48.3583,0.933772,1.08553,2,3,0,50.4217,0.329339,0.388322,1,0,0.366852,1,1.00521,1.00726,1.00995,1.01249,1.01514,1.0183,1.02177,1.02508,1.02848,1.03233,1.03572,1.04067,1.04382,1.04949,1.05336,1.05896,1.06492,1.07066,1.0779,1.08452,1.09305,1.10113,1.11167,1.12042,1.1324,1.14511,1.16028,1.17563,1.1926,1.21614,1.23808,1.2666,1.30047,1.34677,1.39446,1.47986,1.57378,1.70821,2.02884,2.50928,0.0139638,0.0193304,0.0262706,0.0326985,0.0393073,0.0470774,0.0554105,0.0632275,0.0711162,0.0798507,0.0873941,0.0981822,0.104898,0.116746,0.12464,0.135813,0.147395,0.158259,0.17157,0.183409,0.198197,0.211778,0.228861,0.242571,0.260682,0.279124,0.300206,0.320584,0.342121,0.370437,0.395376,0.425962,0.459936,0.50286,0.543508,0.609026,0.672596,0.751959,0.903768,1.07162,3.25932e+07,1.36983e+06,57571.6,23.8148,23.755,23.7802,23.7788,23.7797,23.7698,23.7396,23.7712,23.767,23.8737,23.8083,23.8715,23.8472,23.7898,23.8161,23.8701,23.795,23.7386,23.8113,23.8088,23.7919,23.797,23.786,23.785,23.7535,23.785,23.8208,23.7928,23.7871,23.7981,23.7879,23.8083,23.7822,23.8079,23.7668,23.7608,23.8042,23.8088,23.7787,23.6907
-48.3583,0.314461,1.08553,1,3,0,53.472,0.329339,0.388322,1,0,0.366852,1,1.00521,1.00726,1.00995,1.01249,1.01514,1.0183,1.02177,1.02508,1.02848,1.03233,1.03572,1.04067,1.04382,1.04949,1.05336,1.05896,1.06492,1.07066,1.0779,1.08452,1.09305,1.10113,1.11167,1.12042,1.1324,1.14511,1.16028,1.17563,1.1926,1.21614,1.23808,1.2666,1.30047,1.34677,1.39446,1.47986,1.57378,1.70821,2.02884,2.50928,0.0139638,0.0193304,0.0262706,0.0326985,0.0393073,0.0470774,0.0554105,0.0632275,0.0711162,0.0798507,0.0873941,0.0981822,0.104898,0.116746,0.12464,0.135813,0.147395,0.158259,0.17157,0.183409,0.198197,0.211778,0.228861,0.242571,0.260682,0.279124,0.300206,0.320584,0.342121,0.370437,0.395376,0.425962,0.459936,0.50286,0.543508,0.609026,0.672596,0.751959,0.903768,1.07162,3.25932e+07,1.36983e+06,57571.6,23.8148,23.755,23.7802,23.7788,23.7797,23.7698,23.7396,23.7712,23.767,23.8737,23.8083,23.8715,23.8472,23.7898,23.8161,23.8701,23.795,23.7386,23.8113,23.8088,23.7919,23.797,23.786,23.785,23.7535,23.785,23.8208,23.7928,23.7871,23.7981,23.7879,23.8083,23.7822,23.8079,23.7668,23.7608,23.8042,23.8088,23.7787,23.6907
-48.3082,0.815694,1.08553,2,3,0,49.9602,0.340849,0.383908,1,0,0.382359,1,1.00543,1.00757,1.01037,1.01301,1.01577,1.01907,1.02268,1.02613,1.02968,1.03369,1.03721,1.04237,1.04565,1.05155,1.05558,1.06141,1.06762,1.07359,1.08111,1.088,1.09686,1.10527,1.11621,1.1253,1.13774,1.15093,1.16666,1.18257,1.20016,1.22453,1.24722,1.27671,1.31168,1.35943,1.40855,1.49638,1.5928,1.73057,2.0584,2.54858,0.0139623,0.0193274,0.0262652,0.0326901,0.0392951,0.0470598,0.0553861,0.0631955,0.0710756,0.0797993,0.0873323,0.0981038,0.104809,0.116634,0.124512,0.13566,0.147215,0.15805,0.171324,0.183126,0.197864,0.211397,0.228413,0.242065,0.260094,0.278446,0.299417,0.31968,0.341085,0.369216,0.393977,0.424331,0.458025,0.500565,0.54082,0.605648,0.668488,0.746863,0.896595,1.06194,3.26063e+07,1.37011e+06,57571.6,23.815,23.7554,23.7806,23.7794,23.7804,23.7706,23.7405,23.7723,23.7682,23.8751,23.8098,23.8732,23.8491,23.7919,23.8183,23.8726,23.7977,23.7414,23.8145,23.8122,23.7956,23.8009,23.7903,23.7895,23.7584,23.7903,23.8266,23.7989,23.7937,23.8053,23.7956,23.8167,23.7912,23.8178,23.7776,23.7728,23.8175,23.8235,23.796,23.7104
-48.1256,0.994279,1.08553,1,3,0,48.3436,0.334633,0.386297,1,0,0.373961,1,1.00531,1.0074,1.01015,1.01273,1.01543,1.01866,1.02219,1.02556,1.02903,1.03295,1.0364,1.04145,1.04466,1.05044,1.05438,1.06009,1.06616,1.07201,1.07937,1.08611,1.0948,1.10303,1.11376,1.12266,1.13485,1.14778,1.16321,1.17882,1.19607,1.22,1.24228,1.27125,1.30563,1.3526,1.40095,1.48747,1.58255,1.71852,2.04248,2.52743,0.0139631,0.019329,0.0262682,0.0326947,0.0393017,0.0470693,0.0553993,0.0632128,0.0710976,0.0798271,0.0873657,0.0981462,0.104857,0.116695,0.124581,0.135743,0.147313,0.158163,0.171457,0.183279,0.198044,0.211603,0.228655,0.242338,0.260412,0.278812,0.299843,0.320168,0.341644,0.369875,0.394732,0.425211,0.459055,0.501801,0.542268,0.607466,0.670698,0.749602,0.900445,1.06713,3.25992e+07,1.36996e+06,57571.6,23.8149,23.7552,23.7804,23.7791,23.78,23.7702,23.74,23.7717,23.7676,23.8743,23.809,23.8723,23.8481,23.7908,23.8171,23.8712,23.7962,23.7399,23.8128,23.8104,23.7936,23.7988,23.788,23.7871,23.7557,23.7874,23.8235,23.7956,23.7902,23.8014,23.7914,23.8122,23.7863,23.8125,23.7718,23.7663,23.8104,23.8156,23.7867,23.6998
