# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = together_model
# start_datetime = 2023-07-21 15:08:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/3together.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp27jg97fg/qzlcs4cf.json
# random
#   seed = 23065
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/together/together-20230721160853.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S_bao.1.1,S_bao.2.1,S_bao.3.1,S_bao.4.1,S_bao.5.1,S_bao.6.1,S_bao.1.2,S_bao.2.2,S_bao.3.2,S_bao.4.2,S_bao.5.2,S_bao.6.2,S_cc.1.1,S_cc.2.1,S_cc.3.1,S_cc.4.1,S_cc.5.1,S_cc.6.1,S_cc.7.1,S_cc.8.1,S_cc.9.1,S_cc.10.1,S_cc.11.1,S_cc.12.1,S_cc.13.1,S_cc.14.1,S_cc.15.1,S_cc.16.1,S_cc.17.1,S_cc.18.1,S_cc.19.1,S_cc.20.1,S_cc.21.1,S_cc.22.1,S_cc.23.1,S_cc.24.1,S_cc.25.1,S_cc.26.1,S_cc.27.1,S_cc.28.1,S_cc.29.1,S_cc.30.1,S_cc.31.1,S_cc.32.1,S_cc.1.2,S_cc.2.2,S_cc.3.2,S_cc.4.2,S_cc.5.2,S_cc.6.2,S_cc.7.2,S_cc.8.2,S_cc.9.2,S_cc.10.2,S_cc.11.2,S_cc.12.2,S_cc.13.2,S_cc.14.2,S_cc.15.2,S_cc.16.2,S_cc.17.2,S_cc.18.2,S_cc.19.2,S_cc.20.2,S_cc.21.2,S_cc.22.2,S_cc.23.2,S_cc.24.2,S_cc.25.2,S_cc.26.2,S_cc.27.2,S_cc.28.2,S_cc.29.2,S_cc.30.2,S_cc.31.2,S_cc.32.2,S_snia.1.1,S_snia.2.1,S_snia.3.1,S_snia.4.1,S_snia.5.1,S_snia.6.1,S_snia.7.1,S_snia.8.1,S_snia.9.1,S_snia.10.1,S_snia.11.1,S_snia.12.1,S_snia.13.1,S_snia.14.1,S_snia.15.1,S_snia.16.1,S_snia.17.1,S_snia.18.1,S_snia.19.1,S_snia.20.1,S_snia.21.1,S_snia.22.1,S_snia.23.1,S_snia.24.1,S_snia.25.1,S_snia.26.1,S_snia.27.1,S_snia.28.1,S_snia.29.1,S_snia.30.1,S_snia.31.1,S_snia.32.1,S_snia.33.1,S_snia.34.1,S_snia.35.1,S_snia.36.1,S_snia.37.1,S_snia.38.1,S_snia.39.1,S_snia.40.1,S_snia.1.2,S_snia.2.2,S_snia.3.2,S_snia.4.2,S_snia.5.2,S_snia.6.2,S_snia.7.2,S_snia.8.2,S_snia.9.2,S_snia.10.2,S_snia.11.2,S_snia.12.2,S_snia.13.2,S_snia.14.2,S_snia.15.2,S_snia.16.2,S_snia.17.2,S_snia.18.2,S_snia.19.2,S_snia.20.2,S_snia.21.2,S_snia.22.2,S_snia.23.2,S_snia.24.2,S_snia.25.2,S_snia.26.2,S_snia.27.2,S_snia.28.2,S_snia.29.2,S_snia.30.2,S_snia.31.2,S_snia.32.2,S_snia.33.2,S_snia.34.2,S_snia.35.2,S_snia.36.2,S_snia.37.2,S_snia.38.2,S_snia.39.2,S_snia.40.2,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.74328
# Diagonal elements of inverse mass matrix:
# 8.09513e-05, 0.812388
-61.7662,0.932808,0.74328,1,1,0,61.8227,0.334104,73.2021,73.2021,0.334104,0.3865,1,0,0.373248,1,1.16195,1.2452,1.34847,1.37411,1.49242,2.4028,0.298589,0.398415,0.498796,0.520836,0.611649,1.03011,1.02807,1.03683,1.05058,1.07519,1.07985,1.09045,1.09099,1.13087,1.13692,1.18297,1.20207,1.21612,1.2164,1.23414,1.24893,1.26786,1.27426,1.27557,1.36807,1.44558,1.5116,1.54182,1.63693,1.64212,1.66305,1.812,2.1222,2.20073,2.28587,2.41597,2.71406,3.02,0.0690577,0.0884298,0.117176,0.164227,0.17258,0.191011,0.191928,0.254965,0.263785,0.325884,0.349366,0.365908,0.366236,0.386315,0.402424,0.422292,0.428822,0.430155,0.51573,0.577607,0.624965,0.645272,0.704448,0.707498,0.7196,0.798532,0.932679,0.961831,0.991703,1.03426,1.12017,1.19526,1.0053,1.00739,1.01013,1.01271,1.0154,1.01862,1.02214,1.02551,1.02898,1.03289,1.03634,1.04137,1.04457,1.05034,1.05428,1.05997,1.06604,1.07187,1.07922,1.08595,1.09462,1.10284,1.11355,1.12244,1.13461,1.14751,1.16292,1.1785,1.19572,1.21961,1.24186,1.27078,1.30512,1.35202,1.4003,1.48671,1.58167,1.7175,2.04113,2.52563,0.0139632,0.0193292,0.0262684,0.0326951,0.0393022,0.0470702,0.0554004,0.0632143,0.0710995,0.0798295,0.0873686,0.0981498,0.104861,0.1167,0.124587,0.13575,0.147321,0.158173,0.171468,0.183292,0.198059,0.211621,0.228676,0.242361,0.260439,0.278843,0.299879,0.32021,0.341692,0.369931,0.394796,0.425286,0.459143,0.501907,0.542391,0.607621,0.670887,0.749836,0.900775,1.06757,3.25986e+07,1.36995e+06,57571.6,23.8149,23.7552,23.7804,23.7791,23.78,23.7701,23.74,23.7717,23.7675,23.8742,23.8089,23.8722,23.848,23.7907,23.817,23.8711,23.7961,23.7398,23.8126,23.8102,23.7934,23.7986,23.7878,23.7869,23.7555,23.7872,23.8232,23.7953,23.7898,23.8011,23.791,23.8118,23.7859,23.812,23.7713,23.7658,23.8098,23.8149,23.7859,23.6989,75.2572,75.8978,76.9045,78.7063,79.0472,79.8231,79.8626,82.7822,83.2247,86.596,87.9942,89.0224,89.0432,90.3417,91.424,92.8101,93.2784,93.3748,100.146,105.819,110.652,112.865,119.826,120.207,121.739,132.642,155.35,161.098,167.331,176.854,198.675,221.07,1285.89,1693.54,2088.31,2172.76,2511.77,3873.74,150,299790
-61.1562,0.913453,0.74328,2,3,0,62.6838,0.326772,74.2713,74.2713,0.326772,0.389301,1,0,0.36342,1,1.15792,1.2393,1.34046,1.36561,1.48177,2.37915,0.299087,0.399324,0.500245,0.522419,0.613843,1.03597,1.02734,1.03586,1.04926,1.07325,1.07779,1.08813,1.08865,1.12757,1.13347,1.17845,1.19712,1.21085,1.21113,1.22848,1.24295,1.26148,1.26775,1.26904,1.35968,1.43575,1.50062,1.53033,1.62388,1.62899,1.64959,1.79629,2.10218,2.17967,2.26371,2.39215,2.68656,2.98881,0.069082,0.0884699,0.117247,0.164371,0.172739,0.191207,0.192126,0.255323,0.264169,0.326482,0.350057,0.366669,0.366999,0.387168,0.403353,0.423319,0.429882,0.431222,0.517282,0.579561,0.627255,0.647712,0.707349,0.710423,0.722624,0.802224,0.937599,0.96703,0.997193,1.04017,1.12694,1.20281,1.00516,1.00719,1.00986,1.01237,1.01499,1.01813,1.02156,1.02484,1.02822,1.03203,1.03539,1.04029,1.04341,1.04903,1.05287,1.05842,1.06433,1.07002,1.07718,1.08375,1.0922,1.10022,1.11066,1.11934,1.13122,1.14381,1.15886,1.17408,1.19091,1.21427,1.23604,1.26435,1.29797,1.34394,1.39131,1.47616,1.56951,1.70319,2.02219,2.50044,0.0139642,0.019331,0.0262718,0.0327004,0.03931,0.0470813,0.0554159,0.0632346,0.0711252,0.0798621,0.0874078,0.0981995,0.104918,0.116771,0.124668,0.135846,0.147435,0.158305,0.171625,0.183472,0.198271,0.211863,0.228961,0.242683,0.260813,0.279275,0.300382,0.320786,0.342352,0.37071,0.395689,0.426328,0.460365,0.503374,0.544112,0.609786,0.673523,0.75311,0.905394,1.07382,3.25902e+07,1.36977e+06,57571.6,23.8148,23.755,23.7801,23.7787,23.7796,23.7696,23.7394,23.771,23.7667,23.8734,23.808,23.8711,23.8468,23.7893,23.8156,23.8696,23.7944,23.7379,23.8106,23.8081,23.7911,23.7961,23.7851,23.784,23.7524,23.7838,23.8196,23.7914,23.7857,23.7965,23.7861,23.8065,23.7801,23.8057,23.7644,23.7581,23.8012,23.8054,23.7748,23.6862,76.3018,76.935,77.9302,79.7119,80.0491,80.8168,80.8558,83.7459,84.1841,87.525,88.9116,89.9317,89.9523,91.241,92.3155,93.6921,94.1572,94.253,100.985,106.635,111.453,113.659,120.607,120.987,122.517,133.413,156.132,161.887,168.129,177.668,199.534,221.983,1272.45,1677.24,2069.89,2153.97,2491.75,3851.76,150,299790
-62.106,0.802972,0.74328,2,3,0,63.4391,0.31273,73.8712,73.8712,0.31273,0.39462,1,0,0.344819,1,1.15022,1.22803,1.3251,1.34928,1.46125,2.33322,0.300039,0.401073,0.503043,0.52548,0.618101,1.04754,1.02595,1.03404,1.04677,1.06957,1.07389,1.08372,1.08422,1.12128,1.1269,1.16982,1.18767,1.2008,1.20106,1.21767,1.23152,1.24928,1.25528,1.25652,1.34358,1.41685,1.47945,1.50816,1.59867,1.60363,1.62358,1.76588,2.06335,2.13881,2.2207,2.3459,2.6331,2.92817,0.069128,0.0885462,0.117383,0.164644,0.173041,0.191581,0.192503,0.256006,0.264903,0.327627,0.351383,0.368131,0.368464,0.388806,0.405138,0.425294,0.431922,0.433276,0.520281,0.583349,0.631703,0.652457,0.713002,0.716125,0.72852,0.809444,0.947265,0.977255,1.008,1.05181,1.14033,1.21775,1.0049,1.00683,1.00936,1.01174,1.01423,1.01721,1.02046,1.02358,1.02678,1.0304,1.03359,1.03825,1.04121,1.04655,1.0502,1.05547,1.06109,1.06649,1.07331,1.07955,1.0876,1.09523,1.10517,1.11343,1.12475,1.13677,1.15112,1.16565,1.18173,1.20406,1.2249,1.25202,1.28428,1.32844,1.37402,1.45583,1.54605,1.67554,1.98549,2.4515,0.013966,0.0193345,0.0262784,0.0327105,0.0393247,0.0471024,0.0554453,0.063273,0.0711741,0.079924,0.0874822,0.0982939,0.105026,0.116905,0.124822,0.13603,0.147653,0.158558,0.171924,0.183815,0.198673,0.212326,0.229505,0.243298,0.261527,0.2801,0.301343,0.32189,0.343617,0.372206,0.397404,0.428333,0.462719,0.506209,0.54744,0.613987,0.678653,0.759503,0.914459,1.08613,3.25742e+07,1.36943e+06,57571.6,23.8145,23.7546,23.7795,23.7781,23.7788,23.7687,23.7382,23.7697,23.7652,23.8717,23.8061,23.869,23.8446,23.7868,23.8129,23.8667,23.7912,23.7345,23.8069,23.804,23.7867,23.7914,23.7799,23.7785,23.7464,23.7774,23.8126,23.7839,23.7776,23.7878,23.7768,23.7963,23.7691,23.7935,23.7511,23.7431,23.7848,23.7871,23.7531,23.6615,75.7881,76.3861,77.3263,79.0107,79.3296,80.056,80.0929,82.8302,83.2456,86.4164,87.7343,88.7044,88.7241,89.9505,90.9739,92.2857,92.7293,92.8206,99.252,104.664,109.289,111.41,118.096,118.462,119.936,130.447,152.422,157.997,164.046,173.295,194.51,216.308,1267.21,1673.03,2068.01,2152.75,2493.71,3872.71,150,299790
-62.8645,0.962231,0.74328,2,3,0,63.6364,0.321553,71.8312,71.8312,0.321553,0.391285,1,0,0.356473,1,1.15505,1.23511,1.33476,1.35955,1.47416,2.36218,0.299441,0.399973,0.501282,0.523552,0.615416,1.04022,1.02682,1.03518,1.04833,1.07188,1.07634,1.08649,1.087,1.12522,1.13102,1.17524,1.1936,1.20711,1.20739,1.22446,1.2387,1.25695,1.26311,1.26438,1.35371,1.42874,1.49277,1.52211,1.61454,1.6196,1.63996,1.78503,2.08783,2.16457,2.24782,2.37506,2.66681,2.96642,0.0690992,0.0884984,0.117298,0.164473,0.172852,0.191347,0.192267,0.255577,0.264442,0.326908,0.35055,0.367212,0.367543,0.387776,0.404016,0.424051,0.430639,0.431984,0.518393,0.580962,0.628899,0.649465,0.709435,0.712527,0.724799,0.804884,0.941153,0.970788,1.00116,1.04444,1.13185,1.20829,1.00506,1.00706,1.00967,1.01214,1.01471,1.01779,1.02115,1.02437,1.02768,1.03142,1.03472,1.03953,1.04259,1.04811,1.05187,1.05732,1.06312,1.0687,1.07574,1.08218,1.09048,1.09836,1.10861,1.11714,1.12881,1.14119,1.15598,1.17094,1.1875,1.21047,1.2319,1.25976,1.29288,1.33819,1.38489,1.46862,1.56082,1.69296,2.00862,2.48236,0.0139648,0.0193323,0.0262743,0.0327042,0.0393155,0.0470892,0.0554269,0.0632489,0.0711435,0.0798852,0.0874355,0.0982347,0.104959,0.116821,0.124726,0.135915,0.147517,0.158399,0.171736,0.1836,0.198421,0.212035,0.229163,0.242912,0.261079,0.279582,0.300739,0.321196,0.342822,0.371265,0.396325,0.427071,0.461237,0.504424,0.545343,0.611339,0.675417,0.755467,0.908728,1.07834,3.25843e+07,1.36964e+06,57571.6,23.8146,23.7548,23.7799,23.7785,23.7793,23.7693,23.7389,23.7705,23.7662,23.8727,23.8073,23.8703,23.846,23.7884,23.8146,23.8685,23.7932,23.7367,23.8092,23.8066,23.7895,23.7943,23.7831,23.7819,23.7502,23.7814,23.817,23.7886,23.7827,23.7933,23.7827,23.8027,23.776,23.8012,23.7595,23.7525,23.7951,23.7987,23.7668,23.6771,73.7577,74.3586,75.3031,76.9945,77.3147,78.0436,78.0807,80.8262,81.2426,84.4189,85.7379,86.7084,86.728,87.9544,88.9773,90.288,90.731,90.8222,97.2383,102.628,107.228,109.335,115.975,116.338,117.8,128.221,149.971,155.484,161.463,170.604,191.56,213.081,1290.4,1701.91,2101.57,2187.21,2531.46,3919.76,150,299790
-61.2289,1,0.74328,2,3,0,63.2392,0.331577,73.6909,73.6909,0.331577,0.387467,1,0,0.369852,1,1.16056,1.24317,1.34571,1.37118,1.48875,2.39468,0.298761,0.398728,0.499295,0.52138,0.612403,1.03212,1.02782,1.03649,1.05012,1.07452,1.07914,1.08965,1.09018,1.12973,1.13573,1.18141,1.20036,1.2143,1.21458,1.23219,1.24687,1.26566,1.27201,1.27332,1.36518,1.4422,1.50782,1.53787,1.63244,1.63761,1.65842,1.8066,2.11532,2.19349,2.27826,2.40779,2.70462,3.00929,0.0690661,0.0884436,0.1172,0.164277,0.172635,0.191079,0.191997,0.255089,0.263917,0.32609,0.349604,0.36617,0.366499,0.386608,0.402744,0.422645,0.429187,0.430523,0.516264,0.578278,0.625752,0.64611,0.705444,0.708502,0.720638,0.799798,0.934365,0.963612,0.993583,1.03628,1.12249,1.19784,1.00525,1.00732,1.01004,1.01259,1.01526,1.01845,1.02194,1.02528,1.02872,1.03259,1.03601,1.041,1.04417,1.04989,1.05379,1.05944,1.06545,1.07123,1.07852,1.08519,1.09379,1.10194,1.11255,1.12137,1.13344,1.14624,1.16152,1.17697,1.19406,1.21777,1.23985,1.26856,1.30265,1.34924,1.39721,1.48308,1.57749,1.71258,2.03462,2.51697,0.0139635,0.0193298,0.0262696,0.0326969,0.0393049,0.047074,0.0554058,0.0632213,0.0711084,0.0798408,0.0873821,0.098167,0.104881,0.116724,0.124615,0.135783,0.14736,0.158218,0.171523,0.183354,0.198132,0.211704,0.228774,0.242472,0.260568,0.278992,0.300053,0.320409,0.341919,0.370199,0.395104,0.425644,0.459563,0.502412,0.542983,0.608365,0.671792,0.75096,0.902358,1.06971,3.25957e+07,1.36988e+06,57571.6,23.8149,23.7551,23.7803,23.779,23.7799,23.77,23.7398,23.7714,23.7672,23.8739,23.8086,23.8718,23.8476,23.7902,23.8165,23.8706,23.7955,23.7391,23.8119,23.8095,23.7926,23.7977,23.7868,23.7859,23.7544,23.786,23.822,23.794,23.7884,23.7995,23.7894,23.8099,23.7839,23.8098,23.7689,23.7631,23.8068,23.8117,23.7821,23.6945,75.741,76.3802,77.3847,79.1825,79.5228,80.2972,80.3366,83.251,83.6927,87.0593,88.456,89.4831,89.5039,90.8012,91.8827,93.2679,93.7359,93.8323,100.601,106.277,111.113,113.327,120.296,120.677,122.211,133.13,155.88,161.64,167.887,177.432,199.306,221.757,1280.21,1686.55,2080.26,2164.52,2502.83,3862.99,150,299790
-60.888,1,0.74328,2,3,0,61.2558,0.327299,73.465,73.465,0.327299,0.3891,1,0,0.364124,1,1.15821,1.23973,1.34104,1.36622,1.48253,2.38086,0.299051,0.399259,0.500141,0.522305,0.613685,1.03555,1.02739,1.03593,1.04936,1.07339,1.07794,1.0883,1.08882,1.1278,1.13371,1.17877,1.19748,1.21123,1.21151,1.22889,1.24338,1.26194,1.26822,1.26951,1.36029,1.43646,1.50141,1.53116,1.62482,1.62994,1.65056,1.79742,2.10363,2.18119,2.26531,2.39387,2.68854,2.99106,0.0690803,0.0884671,0.117242,0.164361,0.172728,0.191193,0.192112,0.255297,0.264141,0.326439,0.350007,0.366614,0.366945,0.387106,0.403286,0.423245,0.429806,0.431145,0.51717,0.57942,0.62709,0.647536,0.707139,0.710212,0.722405,0.801956,0.937242,0.966653,0.996795,1.03974,1.12645,1.20226,1.00517,1.00721,1.00988,1.0124,1.01502,1.01817,1.0216,1.02489,1.02827,1.03209,1.03546,1.04037,1.04349,1.04913,1.05297,1.05853,1.06445,1.07015,1.07733,1.08391,1.09237,1.10041,1.11087,1.11956,1.13146,1.14408,1.15915,1.1744,1.19126,1.21465,1.23646,1.26481,1.29849,1.34453,1.39196,1.47692,1.57039,1.70422,2.02356,2.50226,0.0139641,0.0193309,0.0262716,0.0327,0.0393094,0.0470805,0.0554148,0.0632331,0.0711234,0.0798598,0.087405,0.098196,0.104914,0.116766,0.124662,0.13584,0.147427,0.158296,0.171614,0.183459,0.198255,0.211846,0.228941,0.24266,0.260786,0.279244,0.300346,0.320745,0.342305,0.370654,0.395624,0.426253,0.460277,0.503269,0.543987,0.60963,0.673332,0.752874,0.905059,1.07336,3.25908e+07,1.36978e+06,57571.6,23.8148,23.755,23.7801,23.7788,23.7796,23.7697,23.7394,23.771,23.7668,23.8734,23.808,23.8712,23.8469,23.7894,23.8157,23.8697,23.7945,23.7381,23.8108,23.8082,23.7913,23.7963,23.7852,23.7842,23.7526,23.784,23.8198,23.7917,23.786,23.7968,23.7865,23.8068,23.7806,23.8061,23.7649,23.7586,23.8019,23.8061,23.7756,23.6871,75.4773,76.1048,77.0911,78.8567,79.1909,79.9516,79.9903,82.8541,83.2883,86.5986,87.9725,88.9831,89.0036,90.2803,91.3448,92.7086,93.1694,93.2643,99.9335,105.53,110.301,112.486,119.367,119.743,121.259,132.047,154.543,160.241,166.421,175.866,197.514,219.739,1279.63,1686.6,2081.33,2165.84,2505.36,3872.14,150,299790
