# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-26 21:05:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model4/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp8zh8u9ta/ilhn2vsg.json
# random
#   seed = 19381
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/bao/bao-20230726220534.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,lambda,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.148855
# Diagonal elements of inverse mass matrix:
# 20.0581, 0.00209817, 0.142782
-1.53516,0.999818,0.148855,5,31,0,1.81451,71.0088,0.320152,-0.134069,71.0088,0.320152,-0.134069,1267.7,1664.07,2048.43,2130.89,2463.28,3830.76,150,299790
-2.14359,0.948015,0.148855,3,15,0,2.3328,70.5308,0.337842,-0.180324,70.5308,0.337842,-0.180324,1281.02,1678.18,2061.88,2144.03,2474.57,3826.43,150,299790
-1.56462,0.892114,0.148855,3,15,0,3.91874,70.5466,0.312671,-0.189861,70.5466,0.312671,-0.189861,1265.23,1661.49,2046.15,2128.73,2461.8,3835.51,150,299790
-2.17923,0.928865,0.148855,3,15,0,2.94523,70.7567,0.311888,-0.27416,70.7567,0.311888,-0.27416,1258.89,1652.04,2033.37,2115.21,2445.23,3806.34,150,299790
-2.05237,0.965388,0.148855,4,19,0,3.05286,70.1701,0.321122,-0.0267957,70.1701,0.321122,-0.0267957,1277.53,1677.36,2065.15,2148.36,2483.76,3863.29,150,299790
-2.58745,0.986449,0.148855,4,19,0,3.12213,72.8112,0.327697,0.100863,72.8112,0.327697,0.100863,1257.46,1649.63,2029.44,2110.87,2438.85,3784.85,150,299790
-1.56279,0.997528,0.148855,4,23,0,2.81897,69.7267,0.306606,0.266313,69.7267,0.306606,0.266313,1265.02,1661.1,2045.72,2128.32,2461.59,3838.79,150,299790
-2.13834,0.983111,0.148855,5,31,0,2.5383,62.757,0.273261,0.669523,62.757,0.273261,0.669523,1267.56,1657.34,2034.59,2115.54,2442.2,3802.7,150,299790
-1.9226,0.997724,0.148855,4,31,0,3.26325,67.7284,0.275808,0.211354,67.7284,0.275808,0.211354,1264.01,1665.98,2059.12,2143.9,2487.16,3923.18,150,299790
-2.25108,0.91383,0.148855,3,15,0,3.05981,65.6591,0.258933,0.422308,65.6591,0.258933,0.422308,1255.93,1653.83,2043.07,2127.06,2467.43,3900.19,150,299790
-2.29509,0.979319,0.148855,4,23,0,2.71922,67.3963,0.265212,0.296471,67.3963,0.265212,0.296471,1254.29,1653.62,2044.66,2129.06,2471.09,3908.13,150,299790
-2.18546,0.942156,0.148855,5,31,0,3.3654,70.3542,0.346674,-0.287988,70.3542,0.346674,-0.287988,1282.45,1677.05,2057.22,2138.5,2465.15,3796.95,150,299790
-1.77613,0.965951,0.148855,4,15,0,2.83272,71.885,0.343366,-0.208102,71.885,0.343366,-0.208102,1271.09,1663.96,2043.03,2124.13,2450.27,3781.73,150,299790
-2.16422,0.959131,0.148855,5,31,0,3.44424,65.1516,0.312975,0.592952,65.1516,0.312975,0.592952,1282.84,1674.16,2050.97,2131.57,2455.79,3788.01,150,299790
-1.54026,0.587656,0.148855,4,23,0,4.90287,71.3403,0.323024,0.00598406,71.3403,0.323024,0.00598406,1268.39,1665.06,2049.66,2132.17,2464.67,3831.43,150,299790
-1.50447,0.989404,0.148855,5,63,0,1.80698,68.7307,0.302777,0.31919,68.7307,0.302777,0.31919,1268.27,1665,2050.26,2133.01,2466.91,3848.35,150,299790
-1.94298,0.951915,0.148855,4,27,0,2.21607,70.7632,0.298452,-0.0459126,70.7632,0.298452,-0.0459126,1257.44,1654.76,2041.87,2125.15,2461.6,3856.83,150,299790
-1.68689,0.96793,0.148855,4,15,0,3.07171,69.6202,0.311992,0.188007,69.6202,0.311992,0.188007,1273.14,1672.01,2059.26,2142.41,2477.78,3861.31,150,299790
-1.69494,0.992252,0.148855,5,31,0,3.41045,69.4395,0.329496,0.362669,69.4395,0.329496,0.362669,1275.78,1669.5,2049.58,2130.94,2458.34,3799.85,150,299790
-2.54466,0.918981,0.148855,5,31,0,3.19436,72.3894,0.35344,-0.304348,72.3894,0.35344,-0.304348,1267.24,1655.82,2029.65,2109.51,2430.26,3735.19,150,299790
-2.06146,0.992752,0.148855,4,31,0,2.97459,72.3162,0.360546,0.149231,72.3162,0.360546,0.149231,1278.75,1671.95,2050.36,2131.19,2455.82,3774.52,150,299790
-2.50905,0.931628,0.148855,4,31,0,4.43118,61.8281,0.235318,0.526388,61.8281,0.235318,0.526388,1261.77,1662.36,2055.29,2140.24,2485.18,3951.97,150,299790
-7.36769,0.458004,0.148855,3,9,0,7.58424,60.0698,0.256818,0.847964,60.0698,0.256818,0.847964,1252.85,1631.39,1995.9,2073.95,2388.47,3698.31,150,299790
-3.58722,0.977579,0.148855,2,5,0,5.88757,60.2976,0.265147,0.658705,60.2976,0.265147,0.658705,1287.64,1685.47,2071.32,2154.22,2489.09,3889.03,150,299790
-2.54292,0.958823,0.148855,4,31,0,5.82043,67.5401,0.272897,0.0286336,67.5401,0.272897,0.0286336,1268.07,1673.33,2070.39,2156.09,2503.3,3958.11,150,299790
-2.1749,0.981308,0.148855,4,23,0,3.0179,68.6084,0.271266,-0.120636,68.6084,0.271266,-0.120636,1255.61,1656.74,2049.74,2134.57,2478.3,3919.37,150,299790
-2.61945,0.980961,0.148855,3,15,0,5.61296,69.4576,0.275642,0.148429,69.4576,0.275642,0.148429,1250.59,1649.08,2039.05,2123.17,2463.81,3889.25,150,299790
-2.62344,0.989737,0.148855,4,31,0,3.18859,65.4029,0.317631,0.559842,65.4029,0.317631,0.559842,1287.42,1680.67,2059.39,2140.39,2466.22,3803.66,150,299790
-1.6219,0.958082,0.148855,3,15,0,3.34048,69.2903,0.297102,0.161541,69.2903,0.297102,0.161541,1267.15,1666.98,2056.42,2140.2,2478.64,3882.62,150,299790
-1.93509,0.918281,0.148855,4,31,0,3.18724,68.0835,0.279789,0.317749,68.0835,0.279789,0.317749,1257.94,1655.41,2043.24,2126.77,2464.7,3875.43,150,299790
-1.71069,0.964212,0.148855,3,15,0,2.2253,67.1339,0.280418,0.386341,67.1339,0.280418,0.386341,1262.15,1659.21,2046.11,2129.4,2466.14,3870.91,150,299790
-2.04079,0.982152,0.148855,4,19,0,2.45814,63.3902,0.257852,0.569663,63.3902,0.257852,0.569663,1261.6,1656.43,2041.18,2124.05,2459.47,3869.13,150,299790
-1.74721,0.945189,0.148855,4,31,0,3.15932,67.2914,0.280756,0.381484,67.2914,0.280756,0.381484,1261.33,1658.2,2044.93,2128.17,2464.76,3868.74,150,299790
-2.55713,0.996311,0.148855,4,15,0,3.25364,70.4204,0.365754,0.433386,70.4204,0.365754,0.433386,1281.41,1669.49,2041.22,2120.46,2438.15,3724.85,150,299790
-3.47273,0.966568,0.148855,4,31,0,3.96794,65.6738,0.240255,0.0597366,65.6738,0.240255,0.0597366,1257.7,1665.68,2068.45,2155.78,2511.04,4022.49,150,299790
-1.87642,0.871838,0.148855,4,15,0,4.84586,69.7169,0.322773,-0.392023,69.7169,0.322773,-0.392023,1266.93,1658.28,2036.34,2117.31,2443.28,3781.66,150,299790
-2.26443,0.767915,0.148855,2,3,0,3.62489,69.6593,0.333911,-0.268079,69.6593,0.333911,-0.268079,1282.54,1679.55,2063.04,2145.15,2475.54,3828.1,150,299790
-2.01729,0.995509,0.148855,4,19,0,2.78903,67.9038,0.297326,0.2729,67.9038,0.297326,0.2729,1274.96,1675.62,2065.4,2149.19,2487.6,3890.84,150,299790
-2.29139,0.95875,0.148855,4,19,0,2.67211,72.1278,0.319172,0.117362,72.1278,0.319172,0.117362,1257.79,1651.36,2033.1,2115.02,2445.24,3804.32,150,299790
-2.06592,0.996952,0.148855,3,15,0,4.32699,72.7007,0.333398,-0.0639135,72.7007,0.333398,-0.0639135,1262.35,1655.32,2035.54,2117.01,2445,3788.57,150,299790
-2.37699,0.991046,0.148855,3,11,0,2.85642,71.9719,0.358856,0.00343478,71.9719,0.358856,0.00343478,1283.14,1678.64,2059.57,2140.97,2467.98,3797.18,150,299790
