# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-26 21:07:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model4/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp7e5i_7u4/2v40dvxq.json
# random
#   seed = 43447
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/cc/cc-20230726220713.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,lambda,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.209891
# Diagonal elements of inverse mass matrix:
# 0.00352967, 7.40013, 0.266703
-7.55504,0.978312,0.209891,3,7,0,8.36707,0.283021,70.1491,0.20736,70.1491,0.283021,0.20736,72.4506,73.149,74.2306,76.123,76.4755,77.2717,77.312,80.24,80.6757,83.9382,85.2656,86.2336,86.2531,87.4664,88.4708,89.7488,90.1785,90.2669,96.3885,101.424,105.669,107.602,113.658,113.988,115.315,124.738,144.317,149.276,154.658,162.889,181.794,201.261
-7.56571,0.915526,0.209891,3,15,0,9.97953,0.343765,66.5776,-0.00189956,66.5776,0.343765,-0.00189956,69.1049,69.8723,71.0605,73.1389,73.5259,74.3996,74.4438,77.6535,78.1306,81.6979,83.1468,84.2023,84.2236,85.5456,86.639,88.0289,88.496,88.592,95.2292,100.668,105.239,107.317,113.812,114.165,115.587,125.651,146.453,151.704,157.395,166.088,186.006,206.464
-8.30478,0.975233,0.209891,5,31,0,10.2638,0.251026,67.5021,0.767928,67.5021,0.251026,0.767928,70.742,71.6929,73.1405,75.6104,76.0626,77.0759,77.1269,80.7668,81.2984,85.2114,86.7736,87.9032,87.9259,89.3314,90.4868,91.947,92.4358,92.5361,99.3875,104.903,109.488,111.56,117.997,118.345,119.746,129.612,149.805,154.876,160.364,168.733,187.873,207.499
-9.05712,0.888719,0.209891,4,15,0,9.68708,0.234018,63.4937,0.815632,63.4937,0.234018,0.815632,66.5887,67.4941,68.8701,71.212,71.64,72.5984,72.6465,76.0805,76.581,80.2585,81.7236,82.7821,82.8034,84.1193,85.2002,86.5653,87.0219,87.1156,93.5058,98.637,102.897,104.82,110.787,111.111,112.409,121.54,140.2,144.881,149.946,157.668,175.319,193.412
-8.42763,0.98817,0.209891,3,15,0,11.7616,0.290374,66.9642,0.689073,66.9642,0.290374,0.689073,70.2013,71.1567,72.6153,75.1146,75.5735,76.6031,76.6549,80.3678,80.9117,84.9262,86.5338,87.6977,87.7211,89.171,90.3641,91.8735,92.3791,92.4829,99.5866,105.322,110.099,112.26,118.979,119.343,120.807,131.121,152.262,157.574,163.323,172.092,192.145,212.705
-7.32224,1,0.209891,3,15,0,9.19777,0.317313,68.0045,-0.0345941,68.0045,0.317313,-0.0345941,70.3934,71.1199,72.246,74.2185,74.5862,75.4167,75.4588,78.5148,78.9696,82.3754,83.7609,84.7711,84.7914,86.0574,87.1052,88.438,88.8861,88.9782,95.3563,100.595,105.007,107.014,113.296,113.638,115.014,124.77,144.987,150.099,155.643,164.115,183.551,203.535
-7.80775,0.974865,0.209891,3,7,0,8.29342,0.326511,69.2846,0.0829488,69.2846,0.326511,0.0829488,71.8011,72.5656,73.7497,75.822,76.208,77.0797,77.1238,80.3284,80.805,84.3711,85.8207,86.8771,86.8984,88.2219,89.3169,90.7094,91.1775,91.2737,97.9305,103.392,107.987,110.078,116.614,116.97,118.402,128.544,149.539,154.844,160.596,169.384,189.534,210.244
-7.68644,0.986933,0.209891,5,47,0,8.86439,0.26065,69.3308,0.377429,69.3308,0.26065,0.377429,71.6699,72.3736,73.4588,75.3462,75.6963,76.4858,76.5257,79.4145,79.8426,83.038,84.3335,85.2768,85.2958,86.4766,87.4529,88.6938,89.1107,89.1964,95.1213,99.9803,104.07,105.931,111.754,112.071,113.347,122.399,141.191,145.951,151.115,159.016,177.165,195.861
-7.79958,0.988382,0.209891,2,7,0,8.06554,0.254766,70.0845,0.383975,70.0845,0.254766,0.383975,72.4158,73.1169,74.1979,76.0776,76.4263,77.2124,77.2521,80.1282,80.5545,83.7357,85.0255,85.9646,85.9835,87.1591,88.1312,89.3667,89.7818,89.8672,95.7674,100.607,104.682,106.536,112.339,112.655,113.927,122.951,141.697,146.446,151.6,159.485,177.606,196.277
-8.05379,0.965711,0.209891,4,15,0,8.92915,0.260986,71.6323,-0.11996,71.6323,0.260986,-0.11996,73.7407,74.3833,75.3806,77.1316,77.4585,78.1977,78.2351,80.9626,81.3695,84.4245,85.6711,86.5813,86.5996,87.7419,88.6886,89.8944,90.3002,90.3836,96.1803,100.967,105.014,106.859,112.65,112.966,114.238,123.28,142.139,146.927,152.126,160.087,178.398,197.282
-8.45762,0.911824,0.209891,2,5,0,9.66595,0.282498,71.8483,-0.15117,71.8483,0.282498,-0.15117,74.1525,74.8532,75.9394,77.843,78.1979,78.9999,79.0405,81.9939,82.4338,85.7312,87.0742,88.0539,88.0737,89.3023,90.3197,91.6146,92.0501,92.1397,98.3494,103.463,107.777,109.742,115.9,116.235,117.586,127.176,147.116,152.168,157.652,166.04,185.311,205.157
-7.64602,0.994151,0.209891,4,19,0,9.60948,0.317614,65.9804,-0.374946,65.9804,0.317614,-0.374946,68.6121,69.4031,70.6219,72.7389,73.1312,74.0153,74.06,77.2883,77.766,81.3238,82.7629,83.8094,83.8305,85.1392,86.2201,87.5924,88.0531,88.1478,94.6755,100.005,104.475,106.505,112.843,113.188,114.574,124.377,144.616,149.722,155.256,163.708,183.074,202.967
